TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2008     2007     2007
   NAICS(1)                    Kind of Business                      Jun(3)   May      Apr      Jun      May
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   384,211  383,944  380,788  372,878  376,206

                 Total (excl. motor vehicle &  parts)............   315,251  312,611  309,029  296,711  298,330

                   Retail .......................................   345,939  345,582  342,733  335,943  339,627

                GAFO(4)..........................................       (*)   99,680   98,619   96,587   96,881

   441          Motor vehicle & parts dealers....................    68,960   71,333   71,759   76,167   77,876
   4411,4412     Auto & other motor veh. dealers.................    62,519   64,836   65,354   69,826   71,513

   442          Furniture & home furnishings stores..............     9,350    9,487    9,455    9,881    9,987

   443          Electronics & appliance stores....................    9,605    9,667    9,504    9,101    9,191
   44311,13      Appl., T.V. &  camera...........................       (*)    7,830    7,672    7,287    7,354
   44312         Computer & software stores......................       (*)    1,837    1,832    1,814    1,837

   444          Building material & garden eq. & supplies dealers    27,707   27,961   27,339   28,139   29,093
   4441          Building mat. & supplies dealers................       (*)   24,140   23,656   24,832   25,694

   445          Food & beverage stores...........................    49,240   48,895   48,960   46,615   46,393
   4451          Grocery stores..................................    44,062   43,788   43,865   41,631   41,431
   4453          Beer, wine & liquor stores......................       (*)    3,462    3,449    3,342    3,311

   446          Health & personal care stores....................    20,565   20,438   20,408   19,763   19,746
   44611         Pharmacies & drug stores........................       (*)   16,841   16,846   16,486   16,531

   447          Gasoline stations................................    45,971   43,958   42,552   36,910   38,312

   448          Clothing & clothing accessories stores...........    19,241   19,118   18,973   18,691   18,948
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,392    3,404    3,341    3,469
   4482          Shoe stores.....................................       (*)    2,276    2,257    2,184    2,185

   451          Sporting goods, hobby, book & music stores.......     7,561    7,510    7,453    7,353    7,384

   452          General merchandise stores.......................    50,484   50,267   49,615   47,817   47,659
   4521          Department stores (ex. L.D.)....................    17,153   17,108   17,018   17,386   17,618
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,159   32,597   30,431   30,041
   45291          Warehouse clubs & supercenters.................       (*)   29,361   28,854   26,841   26,436
   45299          All other gen. merchandise stores..............       (*)    3,798    3,743    3,590    3,605

   453          Miscellaneous store retailers....................     9,953    9,875    9,912   10,250    9,964

   454          Nonstore retailers...............................    27,302   27,073   26,803   25,256   25,074
   4541          Electronic shopping & mail-order houses.........       (*)   18,425   18,258   17,633   17,468

   722          Food services & drinking places..................    38,272   38,362   38,055   36,935   36,579
 
 
 
