TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2010     2009     2009
   NAICS(1)                    Kind of Business                      Nov(3)   Oct      Sep      Nov      Oct
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   378,706  375,571  369,440  351,764  347,880

                 Total (excl. motor vehicle &  parts)............   311,854  308,166  305,611  292,352  289,147

                   Retail .......................................   338,796  335,691  329,760  313,343  309,761

                GAFO(4)..........................................       (*)   96,456   96,196   92,906   93,889

   441          Motor vehicle & parts dealers....................    66,852   67,405   63,829   59,412   58,733
   4411,4412     Auto & other motor veh. dealers.................    60,109   60,720   57,143   53,293   52,533

   442          Furniture & home furnishings stores..............     7,507    7,548    7,638    7,459    7,385

   443          Electronics & appliance stores....................    8,598    8,652    8,697    8,522    8,319
   44311,13      Appl., T.V. &  camera...........................       (*)    6,687    6,723    6,790    6,657
   44312         Computer & software stores......................       (*)    1,965    1,974    1,732    1,662

   444          Building material & garden eq. & supplies dealers    24,868   24,901   24,117   22,148   21,651
   4441          Building mat. & supplies dealers................       (*)   19,657   19,294   18,792   18,706

   445          Food & beverage stores...........................    50,103   49,689   49,380   48,527   48,205
   4451          Grocery stores..................................    44,667   44,268   44,008   43,284   43,071
   4453          Beer, wine & liquor stores......................       (*)    3,533    3,501    3,363    3,363

   446          Health & personal care stores....................    22,515   22,315   22,277   21,447   21,427
   44611         Pharmacies & drug stores........................       (*)   18,699   18,682   18,456   18,366

   447          Gasoline stations................................    38,144   36,687   36,231   34,981   32,528

   448          Clothing & clothing accessories stores...........    18,823   18,324   18,108   17,507   17,620
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,097    3,053    2,977    3,001
   4482          Shoe stores.....................................       (*)    2,305    2,305    2,178    2,180

   451          Sporting goods, hobby, book & music stores.......     7,627    7,459    7,418    6,793    7,001

   452          General merchandise stores.......................    51,930   51,271   51,130   49,474   50,332
   4521          Department stores (ex. L.D.)....................    15,737   15,306   15,445   15,505   15,775
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   35,965   35,685   33,969   34,557
   45291          Warehouse clubs & supercenters.................       (*)   31,484   31,237   29,872   30,455
   45299          All other gen. merchandise stores..............       (*)    4,481    4,448    4,097    4,102

   453          Miscellaneous store retailers....................    10,297   10,548   10,295    9,465    9,331

   454          Nonstore retailers...............................    31,532   30,892   30,640   27,608   27,229
   4541          Electronic shopping & mail-order houses.........       (*)   23,621   23,331   20,566   20,144

   722          Food services & drinking places..................    39,910   39,880   39,680   38,421   38,119
 
 
