TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2010     2009     2009
   NAICS(1)                    Kind of Business                      Jun(3)   May      Apr      Jun      May
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   360,156  362,013  365,997  343,675  338,785

                 Total (excl. motor vehicle &  parts)............   299,159  299,605  303,201  286,544  283,502

                   Retail .......................................   320,747  322,693  326,614  305,343  300,408

                GAFO(4)..........................................       (*)   95,096   95,648   92,228   92,523

   441          Motor vehicle & parts dealers....................    60,997   62,408   62,796   57,131   55,283
   4411,4412     Auto & other motor veh. dealers.................    54,630   56,010   56,324   50,840   48,953

   442          Furniture & home furnishings stores..............     7,544    7,629    7,676    7,421    7,420

   443          Electronics & appliance stores....................    8,726    8,614    8,534    8,132    8,173
   44311,13      Appl., T.V. &  camera...........................       (*)    6,766    6,737    6,497    6,522
   44312         Computer & software stores......................       (*)    1,848    1,797    1,635    1,651

   444          Building material & garden eq. & supplies dealers    23,292   23,522   25,842   22,686   22,767
   4441          Building mat. & supplies dealers................       (*)   19,590   20,853   19,315   19,537

   445          Food & beverage stores...........................    48,697   48,928   48,912   47,982   47,958
   4451          Grocery stores..................................    43,390   43,666   43,556   42,854   42,743
   4453          Beer, wine & liquor stores......................       (*)    3,424    3,474    3,321    3,390

   446          Health & personal care stores....................    21,731   21,623   21,754   21,216   21,135
   44611         Pharmacies & drug stores........................       (*)   18,446   18,478   18,228   18,141

   447          Gasoline stations................................    34,607   35,329   36,250   31,814   29,059

   448          Clothing & clothing accessories stores...........    18,249   18,147   18,223   17,259   17,435
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,015    3,056    2,958    2,999
   4482          Shoe stores.....................................       (*)    2,262    2,267    2,165    2,144

   451          Sporting goods, hobby, book & music stores.......     7,083    7,181    7,161    6,981    6,841

   452          General merchandise stores.......................    50,453   50,330   50,860   49,195   49,325
   4521          Department stores (ex. L.D.)....................    15,573   15,407   15,668   15,623   15,834
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   34,923   35,192   33,572   33,491
   45291          Warehouse clubs & supercenters.................       (*)   30,624   30,806   29,646   29,555
   45299          All other gen. merchandise stores..............       (*)    4,299    4,386    3,926    3,936

   453          Miscellaneous store retailers....................     9,939    9,833    9,736    9,263    9,297

   454          Nonstore retailers...............................    29,429   29,149   28,870   26,263   25,715
   4541          Electronic shopping & mail-order houses.........       (*)   21,927   21,673   19,289   18,998

   722          Food services & drinking places..................    39,409   39,320   39,383   38,332   38,377
 
 

