TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      Sep(3)   Aug      Jul      Sep      Aug
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   344,688  349,885  342,489  365,399  371,311

                 Total (excl. motor vehicle &  parts)............   288,452  287,120  284,270  303,389  306,500

                   Retail .......................................   306,336  311,611  304,450  327,273  333,356

                GAFO(4)..........................................       (*)   93,458   92,532   95,095   97,192

   441          Motor vehicle & parts dealers....................    56,236   62,765   58,219   62,010   64,811
   4411,4412     Auto & other motor veh. dealers.................    49,696   56,320   51,784   55,465   58,268

   442          Furniture & home furnishings stores..............     7,830    7,721    7,783    8,371    8,724

   443          Electronics & appliance stores....................    8,283    8,283    8,240    9,176    9,323
   44311,13      Appl., T.V. &  camera...........................       (*)    6,516    6,460    7,320    7,421
   44312         Computer & software stores......................       (*)    1,767    1,780    1,856    1,902

   444          Building material & garden eq. & supplies dealers    23,342   23,399   23,679   26,845   27,113
   4441          Building mat. & supplies dealers................       (*)   19,514   19,687   22,565   22,827

   445          Food & beverage stores...........................    49,662   49,324   48,949   49,441   49,749
   4451          Grocery stores..................................    44,322   43,934   43,683   44,245   44,549
   4453          Beer, wine & liquor stores......................       (*)    3,504    3,447    3,484    3,500

   446          Health & personal care stores....................    21,293   21,115   21,012   20,565   20,556
   44611         Pharmacies & drug stores........................       (*)   17,569   17,509   17,115   16,979

   447          Gasoline stations................................    31,433   31,077   29,668   42,070   42,477

   448          Clothing & clothing accessories stores...........    17,477   17,392   17,208   17,713   18,443
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,889    2,868    3,105    3,180
   4482          Shoe stores.....................................       (*)    2,218    2,146    2,162    2,314

   451          Sporting goods, hobby, book & music stores.......     7,298    7,291    7,163    7,154    7,370

   452          General merchandise stores.......................    50,013   49,573   48,966   49,453   50,076
   4521          Department stores (ex. L.D.)....................    15,656   15,592   15,419   16,262   16,571
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,981   33,547   33,191   33,505
   45291          Warehouse clubs & supercenters.................       (*)   30,054   29,686   29,432   29,741
   45299          All other gen. merchandise stores..............       (*)    3,927    3,861    3,759    3,764

   453          Miscellaneous store retailers....................     9,317    9,498    9,413    9,752    9,779

   454          Nonstore retailers...............................    24,152   24,173   24,150   24,723   24,935
   4541          Electronic shopping & mail-order houses.........       (*)   17,518   17,336   16,905   16,930

   722          Food services & drinking places..................    38,352   38,274   38,039   38,126   37,955
 
 
