TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2006

Data adjusted for seasonal variations, holiday, trading-day differences, and price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2006     2006     2005     2005     2005
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   362,294  367,182  356,710  339,524  335,754

                 Total (excl. motor vehicle &  parts)............   286,888  288,135  280,878  263,447  260,904

                   Retail .......................................   326,744  330,925  321,590  306,254  302,973

                GAFO(4)..........................................       (*)   92,976   90,531   87,577   86,018

   441          Motor vehicle & parts dealers....................    75,406   79,047   75,832   76,077   74,850
   4411,4412     Auto & other motor veh. dealers.................    69,128   72,672   69,489   70,075   68,889

   442          Furniture & home furnishings stores..............     9,450    9,841    9,244    8,853    8,845

   443          Electronics & appliance stores....................    8,678    8,859    8,468    8,321    8,031
   44311,13      Appl., T.V. &  camera...........................       (*)    7,311    6,898    6,747    6,528
   44312         Computer & software stores......................       (*)    1,548    1,570    1,574    1,503

   444          Building material & garden eq. & supplies dealers    31,714   31,249   29,118   26,317   26,566
   4441          Building mat. & supplies dealers................       (*)   27,631   25,595   23,262   23,471

   445          Food & beverage stores...........................    44,995   44,517   44,442   42,699   42,609
   4451          Grocery stores..................................    39,964   39,554   39,639   38,249   38,331
   4453          Beer, wine & liquor stores......................       (*)    3,011    2,956    2,791    2,648

   446          Health & personal care stores....................    19,053   18,988   18,745   17,783   17,691
   44611         Pharmacies & drug stores........................       (*)   16,115   15,850   15,216   15,078

   447          Gasoline stations................................    34,345   34,901   33,470   29,177   28,595

   448          Clothing & clothing accessories stores...........    16,963   17,542   17,131   16,691   16,223
   44811         Men's clothing stores...........................       (*)      822      820      850      807
   44812         Women's clothing stores.........................       (*)    3,291    3,165    3,053    2,994
   4482          Shoe stores.....................................       (*)    2,191    2,105    2,097    1,986

   451          Sporting goods, hobby, book & music stores.......     7,045    7,040    6,904    6,683    6,548

   452          General merchandise stores.......................    46,139   46,290   45,458   43,798   43,214
   4521          Department stores (ex. L.D.)....................    17,800   18,048   17,801   18,313   17,979
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   28,242   27,657   25,485   25,235
   45291          Warehouse clubs & supercenters.................       (*)   24,657   24,200   22,045   21,917
   45299          All other gen. merchandise stores..............       (*)    3,585    3,457    3,440    3,318

   453          Miscellaneous store retailers....................     9,689   10,113    9,616    9,317    9,197

   454          Nonstore retailers...............................    23,267   22,538   23,162   20,538   20,604
   4541          Electronic shopping & mail-order houses.........       (*)   14,566   14,474   12,936   12,935

   722          Food services & drinking places..................    35,550   36,257   35,120   33,270   32,781
 
 



TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2006

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                       2 month total
                                                                                 % Chg.   2006     2006     2005     2005     2005
   NAICS(1)                    Kind of Business                        2006       from    Feb(2)   Jan      Dec      Feb      Jan
   Code                                                                           2005    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................     648,432      8.0   321,002  327,430  415,304  301,281  299,014

                 Total (excl. motor vehicle &  parts)............     512,714      9.6   252,929  259,785  342,544  232,531  235,486

                   Retail .......................................     582,510      8.0   288,509  294,001  379,236  270,872  268,560

                GAFO(3)..........................................         (*)       (*)      (*)   79,118  140,871   75,107   73,268

   441          Motor vehicle & parts dealers....................     135,718      2.6    68,073   67,645   72,760   68,750   63,528
   4411,4412     Auto & other motor veh. dealers.................     124,267      2.2    62,423   61,844   66,709   63,348   58,211
   44111          New car dealers................................         (*)       (*)      (*)   51,483   56,699   52,020   48,779
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    5,801    6,051    5,402    5,317

   442          Furniture & home furnishings stores..............      17,216      9.0     8,477    8,739   11,333    7,932    7,863
   4421          Furniture stores................................         (*)       (*)      (*)    4,845    5,501    4,605    4,482
   4422          Home furnishings stores.........................         (*)       (*)      (*)    3,894    5,832    3,327    3,381

   443          Electronics & appliance stores....................     16,155      7.9     7,770    8,385   13,795    7,425    7,541
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,902   11,610    6,018    6,104
   44312         Computer & software stores......................         (*)       (*)      (*)    1,483    2,185    1,407    1,437

   444          Building material & garden eq. & supplies dealers      49,695     20.4    24,904   24,791   25,959   20,644   20,640
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   22,823   23,419   18,796   18,941

   445          Food & beverage stores...........................      83,368      4.1    40,809   42,559   49,544   38,659   41,416
   4451          Grocery stores..................................      74,894      3.1    36,487   38,407   42,691   34,883   37,794
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,493    4,254    2,333    2,230

   446          Health & personal care stores....................      36,994      7.6    18,177   18,817   21,069   16,965   17,426
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   16,034   17,800   14,501   14,957

   447          Gasoline stations................................      61,084     19.4    29,743   31,341   31,930   25,355   25,793

   448          Clothing & clothing accessories stores...........      26,994      3.8    14,026   12,968   30,410   13,904   12,090
   44811         Men's clothing stores...........................         (*)       (*)      (*)      649    1,427      651      649
   44812         Women's clothing stores.........................         (*)       (*)      (*)    2,577    4,823    2,461    2,347
   44814         Family clothing stores..........................         (*)       (*)      (*)    4,636   11,114    4,802    4,335
   4482          Shoe stores.....................................         (*)       (*)      (*)    1,643    2,856    1,797    1,509

   451          Sporting goods, hobby, book & music stores.......      12,366      7.0     5,657    6,709   12,421    5,340    6,214

   452          General merchandise stores.......................      78,763      6.2    39,688   39,075   67,917   37,515   36,623
   4521          Department stores (ex. L.D.)....................      28,515     -2.0    14,524   13,991   31,054   14,915   14,169
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   14,091   31,312   15,071   14,317
   4529          Other general merchandise stores................         (*)       (*)      (*)   25,084   36,863   22,600   22,454
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   22,216   31,533   19,686   19,813
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    2,868    5,330    2,914    2,641

   453          Miscellaneous store retailers....................      17,955      7.4     8,688    9,267   11,926    8,462    8,256

   454          Nonstore retailers...............................      46,202     12.4    22,497   23,705   30,172   19,921   21,170
