TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2005

Data adjusted for seasonal variations, holiday, trading-day differences, and price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   357,841  355,387  352,541  336,432  332,874

                 Total (excl. motor vehicle &  parts)............   280,630  280,119  281,332  259,864  258,200

                   Retail .......................................   322,693  320,413  317,923  303,677  300,589

                GAFO(4)..........................................       (*)   90,518   90,512   85,656   85,345

   441          Motor vehicle & parts dealers....................    77,211   75,268   71,209   76,568   74,674
   4411,4412     Auto & other motor veh. dealers.................    70,933   68,981   65,074   70,671   68,961

   442          Furniture & home furnishings stores..............     9,263    9,271    9,231    8,774    8,671

   443          Electronics & appliance stores....................    8,539    8,550    8,515    7,966    7,996
   44311,13      Appl., T.V. &  camera...........................       (*)    6,960    6,932    6,435    6,391
   44312         Computer & software stores......................       (*)    1,590    1,583    1,531    1,605

   444          Building material & garden eq. & supplies dealers    28,943   29,110   28,710   26,379   25,652
   4441          Building mat. & supplies dealers................       (*)   25,724   25,420   23,260   22,661

   445          Food & beverage stores...........................    44,431   44,248   44,261   42,334   42,221
   4451          Grocery stores..................................    39,573   39,442   39,510   38,096   37,942
   4453          Beer, wine & liquor stores......................       (*)    2,940    2,906    2,649    2,680

   446          Health & personal care stores....................    18,714   18,652   18,460   17,398   17,374
   44611         Pharmacies & drug stores........................       (*)   15,823   15,675   14,728   14,894

   447          Gasoline stations................................    33,875   33,579   35,779   28,728   29,017

   448          Clothing & clothing accessories stores...........    17,172   17,179   17,197   16,029   16,043
   44811         Men's clothing stores...........................       (*)      839      830      815      823
   44812         Women's clothing stores.........................       (*)    3,209    3,173    2,959    2,969
   4482          Shoe stores.....................................       (*)    2,153    2,137    1,998    1,942

   451          Sporting goods, hobby, book & music stores.......     6,875    6,773    6,857    6,609    6,705

   452          General merchandise stores.......................    45,302   45,438   45,351   43,113   42,694
   4521          Department stores (ex. L.D.)....................    17,733   18,012   17,905   18,145   18,011
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   27,426   27,446   24,968   24,683
   45291          Warehouse clubs & supercenters.................       (*)   23,981   23,964   21,600   21,354
   45299          All other gen. merchandise stores..............       (*)    3,445    3,482    3,368    3,329

   453          Miscellaneous store retailers....................     9,600    9,679    9,769    9,195    9,270

   454          Nonstore retailers...............................    22,768   22,666   22,584   20,584   20,272
   4541          Electronic shopping & mail-order houses.........       (*)   14,251   14,079   12,812   12,689

   722          Food services & drinking places..................    35,148   34,974   34,618   32,755   32,285
 
 
 
