TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--May 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      May(3)   Apr      Mar      May      Apr
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   377,885  372,631  372,851  359,961  361,376

                 Total (excl. motor vehicle &  parts)............   299,291  295,451  295,269  286,201  285,687

                   Retail .......................................   340,721  335,708  336,007  324,763  326,298

                GAFO(4)..........................................       (*)   96,894   97,692   93,434   93,703

   441          Motor vehicle & parts dealers....................    78,594   77,180   77,582   73,760   75,689
   4411,4412     Auto & other motor veh. dealers.................    72,293   70,969   71,271   67,691   69,589

   442          Furniture & home furnishings stores..............    10,390   10,357   10,362   10,078   10,051

   443          Electronics & appliance stores....................    9,380    9,263    9,220    8,962    8,972
   44311,13      Appl., T.V. &  camera...........................       (*)    7,461    7,444    7,219    7,246
   44312         Computer & software stores......................       (*)    1,802    1,776    1,743    1,726

   444          Building material & garden eq. & supplies dealers    29,614   29,014   29,676   30,114   30,736
   4441          Building mat. & supplies dealers................       (*)   25,571   25,857   26,792   27,149

   445          Food & beverage stores...........................    47,547   47,403   47,151   44,823   44,539
   4451          Grocery stores..................................    42,422   42,277   41,950   39,989   39,740
   4453          Beer, wine & liquor stores......................       (*)    3,280    3,336    3,129    3,105

   446          Health & personal care stores....................    19,819   19,652   19,550   18,537   18,309
   44611         Pharmacies & drug stores........................       (*)   16,666   16,528   15,651   15,472

   447          Gasoline stations................................    36,374   35,046   34,437   35,065   34,835

   448          Clothing & clothing accessories stores...........    19,061   18,563   18,843   17,676   17,748
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,359    3,394    3,245    3,291
   4482          Shoe stores.....................................       (*)    2,227    2,279    2,243    2,253

   451          Sporting goods, hobby, book & music stores.......     7,461    7,332    7,401    7,280    7,362

   452          General merchandise stores.......................    47,864   47,388   47,840   45,754   45,943
   4521          Department stores (ex. L.D.)....................    17,564   17,345   17,692   17,694   17,760
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   30,043   30,148   28,060   28,183
   45291          Warehouse clubs & supercenters.................       (*)   26,516   26,571   24,593   24,697
   45299          All other gen. merchandise stores..............       (*)    3,527    3,577    3,467    3,486

   453          Miscellaneous store retailers....................    10,154   10,068   10,140    9,999    9,908

   454          Nonstore retailers...............................    24,463   24,442   23,805   22,715   22,206
   4541          Electronic shopping & mail-order houses.........       (*)   16,175   16,058   14,931   14,899

   722          Food services & drinking places..................    37,164   36,923   36,844   35,198   35,078
 
 
 
 
