TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Sep(3)   Aug      Jul      Sep      Aug
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   351,461  350,634  357,285  329,872  324,257

                 Total (excl. motor vehicle &  parts)............   278,093  275,177  272,354  253,689  251,574

                   Retail .......................................   317,598  316,829  323,510  297,693  292,729

                GAFO(4)..........................................       (*)   88,978   88,622   84,417   83,881

   441          Motor vehicle & parts dealers....................    73,368   75,457   84,931   76,183   72,683
   4411,4412     Auto & other motor veh. dealers.................    67,341   69,384   78,894   70,579   67,129

   442          Furniture & home furnishings stores..............     9,330    9,217    9,111    8,611    8,673

   443          Electronics & appliance stores....................    8,436    8,367    8,338    7,965    7,876
   44311,13      Appl., T.V. &  camera...........................       (*)    6,804    6,763    6,389    6,346
   44312         Computer & software stores......................       (*)    1,563    1,575    1,576    1,530

   444          Building material & garden eq. & supplies dealers    27,969   27,681   27,480   25,766   25,487
   4441          Building mat. & supplies dealers................       (*)   24,533   24,391   22,688   22,611

   445          Food & beverage stores...........................    44,125   43,847   43,602   41,787   41,547
   4451          Grocery stores..................................    39,517   39,242   39,001   37,552   37,344
   4453          Beer, wine & liquor stores......................       (*)    2,851    2,846    2,674    2,656

   446          Health & personal care stores....................    18,474   18,268   18,235   17,226   17,208
   44611         Pharmacies & drug stores........................       (*)   15,672   15,602   14,743   14,730

   447          Gasoline stations................................    35,712   34,340   32,836   26,500   26,539

   448          Clothing & clothing accessories stores...........    16,673   16,712   16,627   15,771   15,646
   44811         Men's clothing stores...........................       (*)      839      831      788      793
   44812         Women's clothing stores.........................       (*)    3,096    3,100    2,933    2,884
   4482          Shoe stores.....................................       (*)    1,997    2,009    1,957    1,917

   451          Sporting goods, hobby, book & music stores.......     6,744    6,808    6,790    6,716    6,749

   452          General merchandise stores.......................    44,955   44,567   44,439   42,109   41,735
   4521          Department stores (ex. L.D.)....................    17,619   17,707   17,768   17,982   17,841
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   26,860   26,671   24,127   23,894
   45291          Warehouse clubs & supercenters.................       (*)   23,424   23,261   20,860   20,663
   45299          All other gen. merchandise stores..............       (*)    3,436    3,410    3,267    3,231

   453          Miscellaneous store retailers....................     9,569    9,364    9,549    9,032    8,917

   454          Nonstore retailers...............................    22,243   22,201   21,572   20,027   19,669
   4541          Electronic shopping & mail-order houses.........       (*)   13,840   13,586   12,449   12,403

   722          Food services & drinking places..................    33,863   33,805   33,775   32,179   31,528




TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2005

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                       9 month total
                                                                                 % Chg.   2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                        2005       from    Sep(2)   Aug      Jul      Sep      Aug
   Code                                                                           2004    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   3,069,448      7.6   341,813  364,594  360,366  319,134  331,754

                 Total (excl. motor vehicle &  parts)............   2,359,249      8.1   269,687  280,952  270,029  243,939  253,816

                   Retail .......................................   2,767,134      7.7   308,593  329,403  324,497  287,953  298,902

                GAFO(3)..........................................         (*)       (*)      (*)   89,115   83,957   77,389   83,569

   441          Motor vehicle & parts dealers....................     710,199      5.9    72,126   83,642   90,337   75,195   77,938
   4411,4412     Auto & other motor veh. dealers.................     655,588      5.7    66,129   77,016   84,101   69,591   72,029
   44111          New car dealers................................         (*)       (*)      (*)   63,538   70,442   59,517   60,826
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,626    6,236    5,604    5,909

   442          Furniture & home furnishings stores..............      78,257      4.8     9,199    9,632    8,956    8,413    8,855
   4421          Furniture stores................................         (*)       (*)      (*)    5,204    4,899    4,587    4,851
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,428    4,057    3,826    4,004

   443          Electronics & appliance stores....................     69,130      5.7     7,756    8,361    7,778    7,293    7,805
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,736    6,290    5,712    6,244
   44312         Computer & software stores......................         (*)       (*)      (*)    1,625    1,488    1,581    1,561

   444          Building material & garden eq. & supplies dealers     249,207      9.0    28,438   29,638   28,290   26,028   26,545
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   26,839   25,269   23,664   24,126

   445          Food & beverage stores...........................     385,389      4.8    43,506   44,111   44,930   41,016   41,350
   4451          Grocery stores..................................     346,436      4.4    39,082   39,517   40,132   36,989   37,232
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,854    2,980    2,599    2,600

   446          Health & personal care stores....................     160,819      6.1    17,790   18,359   17,688   16,537   16,933
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,641   15,056   14,227   14,376

   447          Gasoline stations................................     285,815     21.0    36,890   37,225   34,839   27,083   28,370

   448          Clothing & clothing accessories stores...........     136,033      5.6    15,027   16,657   15,236   14,209   15,556
   44811         Men's clothing stores...........................         (*)       (*)      (*)      843      735      707      799
   44812         Women's clothing stores.........................         (*)       (*)      (*)    2,870    2,753    2,795    2,665
   44814         Family clothing stores..........................         (*)       (*)      (*)    6,426    6,006    5,360    5,972
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,389    1,989    1,793    2,281

   451          Sporting goods, hobby, book & music stores.......      55,662      1.6     6,339    7,380    6,233    6,246    7,181

   452          General merchandise stores.......................     370,729      6.3    40,764   43,462   42,711   38,074   40,727
   4521          Department stores (ex. L.D.)....................     145,269     -0.4    15,547   17,152   16,271   16,006   17,203
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   17,313   16,429   16,199   17,404
   4529          Other general merchandise stores................         (*)       (*)      (*)   26,310   26,440   22,068   23,524
   45291          Warehouse clubs & supercenters.................         (*)       (*)      (*)   23,073   23,214   19,108   20,477
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,237    3,226    2,960    3,047

   453          Miscellaneous store retailers....................      82,549      6.0     9,397    9,742    9,193    8,777    9,126

