TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--July 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2008     2007     2007
   NAICS(1)                    Kind of Business                      Jul(3)   Jun      May      Jul      Jun
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   384,631  385,102  383,769  374,758  372,603

                 Total (excl. motor vehicle &  parts)............   316,704  315,494  312,653  298,832  296,604

                   Retail .......................................   346,238  346,645  345,425  337,572  335,739

                GAFO(4)..........................................       (*)   99,720   99,675   97,541   96,642

   441          Motor vehicle & parts dealers....................    67,927   69,608   71,116   75,926   75,999
   4411,4412     Auto & other motor veh. dealers.................    61,445   63,046   64,608   69,605   69,694

   442          Furniture & home furnishings stores..............     9,482    9,390    9,502    9,959    9,901

   443          Electronics & appliance stores....................    9,659    9,584    9,657    9,214    9,103
   44311,13      Appl., T.V. &  camera...........................       (*)    7,708    7,830    7,355    7,295
   44312         Computer & software stores......................       (*)    1,876    1,827    1,859    1,808

   444          Building material & garden eq. & supplies dealers    28,008   27,923   28,017   28,293   28,096
   4441          Building mat. & supplies dealers................       (*)   23,851   24,138   24,901   24,854

   445          Food & beverage stores...........................    49,584   49,370   48,891   46,967   46,601
   4451          Grocery stores..................................    44,309   44,160   43,775   41,975   41,631
   4453          Beer, wine & liquor stores......................       (*)    3,517    3,468    3,359    3,336

   446          Health & personal care stores....................    20,525   20,532   20,407   19,957   19,763
   44611         Pharmacies & drug stores........................       (*)   17,004   16,859   16,658   16,452

   447          Gasoline stations................................    46,045   45,688   43,946   36,952   37,013

   448          Clothing & clothing accessories stores...........    19,126   19,080   19,094   18,948   18,730
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,356    3,369    3,391    3,351
   4482          Shoe stores.....................................       (*)    2,280    2,275    2,230    2,180

   451          Sporting goods, hobby, book & music stores.......     7,514    7,527    7,509    7,471    7,353

   452          General merchandise stores.......................    50,726   50,589   50,306   48,208   47,787
   4521          Department stores (ex. L.D.)....................    17,195   17,183   17,128   17,556   17,386
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,406   33,178   30,652   30,401
   45291          Warehouse clubs & supercenters.................       (*)   29,604   29,389   27,049   26,815
   45299          All other gen. merchandise stores..............       (*)    3,802    3,789    3,603    3,586

   453          Miscellaneous store retailers....................    10,046   10,051    9,904   10,044   10,196

   454          Nonstore retailers...............................    27,596   27,303   27,076   25,633   25,197
   4541          Electronic shopping & mail-order houses.........       (*)   18,535   18,397   17,973   17,539

   722          Food services & drinking places..................    38,393   38,457   38,344   37,186   36,864
 
 
