"","Table 2A# Real Gross Domestic Product                           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241"
"11","20","Personal consumption expenditures","A002RX1",1017.2,1034,1037.5,1037.7,1042.6,1054.3,1056.1,1064.8,1066.1,1082.6,1085,1100.2,1118.9,1136.8,1195.3,1160.1,1187.4,1154.5,1167.9,1174.9,1178.1,1200.7,1206,1248.3,1263.4,1271.2,1268.2,1259.7,1264.3,1280.1,1297.1,1324,1353.5,1379.1,1396.1,1413.3,1415.5,1420.2,1423.4,1442.8,1452.7,1455.1,1467,1467.8,1447.3,1458.9,1482.2,1500.9,1525.9,1551.7,1569.2,1571.4,1585.6,1605.1,1598.5,1600.3,1600.2,1624.2,1632.1,1664.9,1682.7,1703.1,1717,1741.5,1753.1,1770,1794,1809.3,1845.2,1877.9,1912.6,1918,1960.3,1982,2016,2072.7,2103.2,2109,2133.1,2142,2154.6,2183.4,2194.5,2207.8,2260.3,2295.1,2338.2,2348.6,2375,2390,2401,2419.8,2434.4,2445.7,2467.1,2460.1,2507.4,2530.5,2550.7,2593.2,2627.6,2677.3,2718.4,2781.7,2832,2830.5,2840.6,2832.2,2807.8,2819,2831.6,2790.8,2814.6,2860.5,2901.2,2931.4,2989.7,3016.3,3047.9,3088,3124.6,3141.5,3171.4,3219.1,3237.3,3306.4,3320.8,3347.8,3365.3,3364,3397.3,3407.1,3401.7,3325.8,3362,3406.8,3421.3,3422.1,3435.7,3409.7,3432.2,3444.3,3470.8,3533.9,3568.5,3639.5,3704.1,3762.5,3794.9,3849.3,3879.1,3930.2,3996.2,4032.6,4109.1,4118.4,4152.7,4196.7,4269.5,4296.7,4298.6,4357.3,4406.3,4417.1,4490.6,4522.7,4560.5,4614,4631.2,4653,4697.3,4718.8,4757.1,4773,4792.6,4758.3,4738.1,4779.4,4800.1,4795.9,4875,4903,4951.8,5009.4,5027.3,5071.9,5127.3,5172.9,5230.3,5268,5305.7,5358.7,5367.2,5411.7,5458.8,5496.1,5544.6,5604.9,5640.7,5687.6,5749.1,5775.8,5870.7,5931.4,5996.8,6092.1,6165.7,6248.8,6311.3,6409.7,6476.7,6556.8,6661.3,6703.3,6768,6825,6853.1,6870.3,6900.5,7017.6,7042.2,7083.5,7123.2,7148.2,7184.9,7249.3,7352.9,7394.3,7479.8,7534.4,7607.1,7687.1,7739.4,7819.8,7895.3,7910.2,8003.8,8054.8
"12","30","Gross private domestic investment","A006RX1",170.2,156.7,151.6,182.6,202.6,215.8,218.3,207.9,174.8,150.9,164.3,154.9,194.2,215.5,234.8,266.2,237.9,244,225.3,206.1,210.9,193.3,203.5,218.1,222.5,223.3,218,201,199.1,198.5,208.7,218.2,241.6,256.8,260.4,266,257.1,254.1,251.2,248.4,244.3,244.1,249.9,228.7,211.9,206.7,223.8,244.5,258,279.8,260.1,268.8,298.5,268,266.4,233.6,239.4,257.3,279,283.7,300.6,297.7,302.9,292.6,308.9,313.4,323.7,327.8,341.2,339.7,347.7,350.3,385.8,385.7,399.5,401.4,435.2,427.3,423.1,425.2,413.4,395.8,407.2,416,425.2,442.3,427.9,432.3,460.8,457.1,467.8,442.7,428.7,430.2,437.5,411.9,465.6,479.9,486.3,471.3,504.4,535.4,542.9,545.5,580.4,607.4,583.6,606.2,566.9,564.7,533,537.9,443.8,427.7,463.9,477.2,526.4,549.3,550,553.1,580.9,625.5,659.8,641.9,654,699.3,720.6,736.6,737.1,735.1,720.6,707.2,701.6,638.7,590.3,650.6,716,682.2,724.7,696.4,623.7,622.9,615.8,561.5,581.3,637.7,680.1,750.7,830.1,858,878.3,864.3,835.2,849.8,840.5,873.5,871.6,852.2,825.4,826.6,852,853.2,854.1,920.6,868.8,889.9,895.6,907.5,942.3,931.3,920.4,910.8,920,920.1,898.4,841.8,807.3,803.5,823.5,854.7,835.8,890.7,900.2,929.1,950.3,957.8,957.8,1007.3,1050.6,1112,1092.4,1143.2,1154.6,1123.8,1113.1,1144.4,1160.2,1220,1280.8,1276.1,1302.9,1389.6,1417.5,1440.7,1515.8,1491.7,1525.8,1563,1606.6,1607.8,1647.4,1708.4,1678,1788.6,1742.6,1732.7,1670.3,1637.4,1592.6,1493.4,1541.7,1549,1570.9,1567,1561.8,1574.4,1639.7,1676.5,1696.4,1781.9,1790.8,1813.4,1849.6,1832.6,1855.9,1927,1963.6,1977
"13",NA,"Exports and imports of goods and services"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","40","  Exports","A020RX1",78.3,77.5,73.7,65.3,62.3,56.4,57.7,55.7,62.3,61.8,56.7,49.1,48.3,48.9,50.1,54.1,56.9,62.5,64,63.4,66.8,59.4,54.7,55.2,54.2,54.5,56.7,54.8,52.4,59.9,58,60.6,62.9,61.4,65.5,65.8,68.9,73.5,76,79.4,84.6,82.1,79.8,77.3,69.7,70,70.2,70.1,74.7,77.2,79.6,77.4,87.2,92.7,90.4,92.2,91.6,90.3,89.8,92.6,92.4,101.3,95.6,93.5,95.7,106.9,101.2,106.3,112.8,114.7,113.8,117.2,104.5,124.2,117.1,125.5,123.3,128.7,123.9,128,130.4,129.3,126.1,129.7,133.5,136.1,144.1,142.3,125.2,153.3,149.6,154.8,156.1,163,162.5,164,164.6,164.3,171,156.7,173.3,168.2,178.4,185.9,199.6,209.2,209.9,220.2,223,233.9,221.3,227,228.7,222,218.2,230.6,229,231.3,238,240.4,236.6,243,244.8,237,242.6,267.8,270.8,281.6,281.8,282.5,292.7,311,319.8,325.8,325.1,323.2,329.2,331.1,324,325.5,311.4,313.3,299.4,285.7,290.3,291.2,295.6,301.5,307.8,315.5,322.4,329,329.2,328,323.2,332.9,343.6,347.3,355.2,368.5,368.7,383.6,400.1,414.9,437.8,450,458.3,472.4,485.9,507.1,513,521.4,543.6,550.5,555.1,560.7,563.2,583.8,597.8,611.6,621.9,622.2,635.6,639.1,639.9,647.4,645.7,667,672.8,695,721,737.3,750.5,761,794.5,806.6,816.4,830.3,837.3,889.5,905.7,941.8,964.2,963.2,967.4,957,952.9,988.7,980.1,991.2,1017.4,1044.1,1060.9,1092,1120,1112.3,1097.2,1060.6,1008.7,980.3,992.8,1018,1025.2,1017.2,1003.3,999,1026.3,1075.8,1094.8,1111.3,1124.3,1151.3,1164.5,1191,1200.5,1228.4,1269.3,1285.1
"15","50","  Imports","A021RX1",46,46.9,41.6,43.9,49.5,51.4,54.1,53.2,51.6,50.9,48.8,49.5,50.9,53.7,66.3,66.4,66.4,64.2,58.8,57.2,63.9,63.6,67.4,73.4,71.7,75.4,75.1,71.4,67.3,73.3,68.9,69.6,73.7,77.9,79.1,82,85.4,85,85.8,81.9,88.4,89.1,87.3,87.5,88.8,92.5,91.3,96.4,98.3,103.3,104.5,101.8,105.6,106.3,103.1,98.3,97.8,99,105.6,108.1,111.4,113.8,115.2,116.6,113.9,116.6,119.6,119.2,119.1,121.8,125,128.4,123.8,138.4,139,145.8,149.5,153.2,161.8,163.7,166.1,164.8,167.1,175.9,186.2,189.1,200.4,198.7,180,215.5,212.7,210.3,209.7,213.8,213.3,216.7,214.1,230.2,235.3,219.3,251.4,242.5,247.5,258.7,270.6,262.8,255.6,257.5,248.7,261.9,257.4,254.8,229.3,210.9,228.4,240.6,255.7,266.8,277.6,286.8,300.4,303.2,299,303.2,323.5,324.5,328.8,333.4,332.4,334.2,329.1,336.3,336.6,312.1,289.6,305.2,318.2,318.7,315.1,324.2,314.9,309.8,324.1,311.4,318.5,343,369.7,387.9,419,436.6,447.9,461.1,450.9,473.1,468.5,486.7,486.5,507.1,521.2,525.4,522,535.1,545.5,558,555.6,549.1,561.9,578.8,577.2,585.8,586.5,594.2,607.3,614.1,613.2,593.8,581.5,598.1,613.9,621.2,626.6,642.4,651.4,662.1,677.2,696,705.1,730.1,746.5,778.1,800,819.2,836.5,848.7,851.7,859.7,884.6,911.4,941.6,954.4,994.7,1034.8,1073,1090.9,1131.1,1162.1,1176.9,1211,1242.2,1286.4,1331.3,1357.9,1411.5,1466.5,1515.6,1509.5,1495.4,1445.8,1407.1,1394.9,1434,1476.9,1497.4,1530.2,1510.5,1525.9,1540,1603.6,1643.2,1705.2,1723.7,1773.1,1790.9,1797.1,1808.1,1865,1905.9,1908.7
"16","60","Government consumption expenditures and gross investment","A822RX1",335.4,337.4,340.5,335.4,342,358.4,365.5,381,391.7,409.5,413.7,404.7,397.9,404.3,396.7,422.3,467.2,531.4,591.5,623.9,643.7,665.3,672,684.1,707.1,722.6,713.9,711.9,692.6,668,651.9,647.8,647.1,640.5,644.5,630.5,630,643.3,637.3,653.6,667.2,662.8,668,680.2,672.5,689.4,693.6,708.3,703.7,714.4,723.4,715.6,701.3,707,724.1,729.1,738.6,740.3,754.9,771.4,785.2,789.4,807.3,808.5,803.6,802.6,837,829.4,832.3,837.8,838.3,835.9,834,844.6,873.8,892.7,908.7,924.8,949.7,965.1,1006.1,1000.6,1011,1018,1035.6,1040.3,1042.6,1043.3,1044.4,1040,1041.4,1026,1020.5,1007.3,1011.8,1011.8,995.4,992.3,991.5,984.1,987.7,993.8,973.3,979.4,988.9,983.1,970.5,977.6,998.1,1004.7,1006.2,1009.8,1022.1,1014.2,1032.2,1040.9,1043.4,1032,1026.6,1025.8,1035.1,1045.8,1047.7,1044.4,1046.1,1074.3,1082.9,1092.7,1082.9,1094.4,1095.9,1103.1,1120.8,1124.3,1108.8,1107.7,1122.5,1124.9,1122.3,1132.7,1131.5,1138.2,1146,1165.8,1174.6,1184.6,1205.2,1184.8,1196.6,1222.4,1231.4,1257.9,1272.2,1300.8,1334.6,1342.6,1357.1,1385.9,1417.5,1409.6,1413.2,1423.1,1425.6,1445.1,1436.7,1439.9,1438,1465.9,1456.7,1479.2,1493,1501,1524.2,1526.8,1526.7,1542.2,1548.4,1553.7,1546.6,1540.4,1552.3,1550.7,1559,1559.3,1543,1541.4,1537,1542.7,1527.1,1533.7,1558.8,1545.5,1551.9,1558.2,1553.2,1535.5,1544.9,1570.3,1565.1,1579.2,1581.6,1598.1,1598.5,1597.9,1589.1,1621.4,1636,1651.1,1662.2,1672.3,1693.1,1720.2,1707.3,1730.5,1721.5,1727.1,1749.6,1783,1776.1,1812.7,1832,1853.4,1863.9,1885.8,1879.3,1907.5,1914.5,1918,1931.8,1942.6,1948.7,1939.3,1947.2,1952.6,1968.8,1963.5,1987.1,1991.8
"17","70","Residual","AR2ARX1",15.4,10,6.3,13.8,16.1,11.1,10.6,1.8,-10.1,-25.5,-24.2,-29.5,-11.6,-4.5,5.2,12.6,-11.7,-25.1,-48.8,-66.7,-70.9,-89.1,-90,-88.5,-93.2,-98.1,-96.3,-103.5,-98.7,-88.9,-79.9,-73.2,-62.9,-55.9,-54,-48.3,-51.3,-53.6,-52.3,-55.8,-60.1,-60.4,-60.4,-74,-82.4,-89.1,-83.3,-79.4,-71.1,-64,-73.9,-68.8,-49.6,-61.7,-67.6,-80.7,-80.8,-75.1,-71.1,-72.7,-70.4,-69.3,-74.3,-79.5,-71.5,-65.7,-72.8,-67.8,-61.9,-63.5,-61.9,-59.4,-52.6,-47.9,-53.3,-54.7,-48.6,-52.6,-61.7,-62.9,-74.3,-80,-79.9,-77.4,-77.7,-73.1,-75.9,-75.8,-75.2,-64,-62.9,-66.7,-70,-65.3,-65.1,-71.3,-54.8,-50.9,-47.5,-58.1,-43.9,-40.1,-34.4,-35.1,-25,-12.3,-17.1,-5.4,-11.7,-12.5,-28.9,-21.8,-42.3,-44.9,-46.2,-41.7,-36,-31.8,-32.9,-35.9,-36.8,-21.5,-8.9,-23.9,-25.7,-2.1,4.4,12.1,12.7,10.5,12,12.6,14,13.4,10.8,19,36.7,24.5,38.2,23.3,-6.8,-4,-22.7,-45.7,-42.4,-37.7,-36.9,-21.1,-10.6,-10.7,-9,-17.9,-25,-30.3,-37.2,-32.1,-31.1,-43,-54.7,-52.6,-45.5,-47.1,-47.2,-32.9,-39.2,-29.9,-31.1,-32.4,-20.8,-21.3,-24.1,-26.9,-25.5,-26,-28.8,-32.3,-34.7,-35.8,-33.4,-27.3,-30.2,-26.3,-25.7,-24.1,-23.6,-25,-26.7,-22.4,-19.2,-14.9,-18.4,-13.9,-14,-18,-14.8,-10.9,-12.3,-11,-9.6,-7.4,-8.5,-4.7,-4.2,-3.9,-1.8,-4.8,-4.6,-3.5,-2.5,-2,-1.1,-0.5,-0.4,0,0.1,0.1,0.8,0.4,0.3,0.9,2.6,4.6,4.9,7.8,7.2,8.4,5.3,6,6.7,6.5,6.1,4.9,4,2.9,2.7,-0.3,-1.5,-2.3
"18","80","Final sales of domestic product","A190RX1",1584,1594.5,1607.6,1607.8,1614.6,1625.6,1628.8,1643.4,1649.4,1671.2,1670.4,1675.7,1703,1748.1,1811.4,1792.7,1844.6,1854,1915.3,1943.7,1960.4,1991.3,1971.5,2036.6,2080.8,2097.4,2092.3,2080.4,2068.1,2075.7,2095.9,2130.4,2170.9,2199.1,2231.1,2235.5,2230.3,2255.1,2255.9,2294.6,2314.8,2305.9,2323.6,2323.4,2263.4,2274.9,2307.2,2350.4,2396.9,2440.3,2471.1,2462.3,2488.1,2511.5,2507.9,2519.8,2522,2549.1,2568.9,2627.3,2659.5,2704.5,2725.6,2744.5,2762.8,2809.7,2859.4,2889.5,2952.7,2988.1,3025.4,3033.2,3081,3136.6,3195.5,3282.4,3337,3352.4,3380.2,3389.6,3424.2,3460.2,3477.8,3508.2,3581.7,3617.7,3669.4,3692.2,3730.5,3748.6,3767.6,3768.1,3778,3771,3804.6,3797.2,3844.7,3871.3,3905.2,3952.5,4006.9,4073,4109.6,4204.8,4296.4,4317.4,4322.6,4327.3,4322.7,4328.7,4316.3,4254.5,4287.8,4331,4370.1,4421.1,4482.1,4496.3,4523.7,4587.1,4631.5,4705.5,4755.2,4794.1,4799.5,4989.9,5036,5100.6,5117.8,5117.9,5192.3,5216.9,5227.3,5126.2,5193.5,5239.7,5261.7,5272.8,5278.5,5247.4,5232.9,5230.5,5196.6,5273.3,5329.2,5404.6,5505.1,5577,5614.4,5717.5,5770.2,5854.6,5953,5998.5,6095.8,6121.2,6184.1,6230.5,6317.8,6355,6344.4,6431.4,6510.8,6542.5,6637.2,6716.4,6749.5,6835.1,6873.3,6933.6,7015.3,7026.8,7110.6,7103.8,7118.3,7101.3,7071.5,7120.2,7134.6,7133.8,7239.3,7284.3,7360.5,7440.3,7431.2,7483.7,7540.6,7633.7,7677.5,7737.2,7814.3,7882.3,7918.7,7962.3,8055,8104.8,8175.4,8285.8,8319.9,8444.7,8507.3,8574.6,8705.7,8758.6,8821.1,8948.7,9038.4,9182.2,9239.7,9353.7,9453.5,9569.3,9668.8,9748.4,9780.4,9844.3,9883.2,9908.7,9899.9,9992.3,9986.8,10028.4,10063.5,10067.3,10100.9,10213.7,10385.9,10440,10528.7,10596.1,10700.1,10768.2,10856.5,11005.3,11123.5,11115.5,11269,11332.5
"19","90","Gross domestic purchases","A712RX1",1528.8,1529.2,1528.4,1568.8,1606.1,1647.6,1658.2,1664.4,1626.8,1621.8,1646,1641.4,1712.2,1766,1848.8,1876.8,1895.4,1916.3,1945.1,1947.3,1971.5,1984,2009.3,2082.4,2120.7,2140.7,2123.9,2088.9,2077.4,2075.3,2095.8,2134.1,2197.3,2240.7,2266.1,2281.1,2269.8,2280.2,2274.6,2302.3,2316.2,2315,2339.3,2318.1,2267.5,2284.5,2335.6,2395.2,2436.2,2502.3,2498,2507.1,2553,2532.8,2536.8,2495.9,2511.5,2562.4,2612,2664.4,2716.4,2736,2771.1,2782.2,2813,2835.2,2900.4,2915.5,2972.1,3007.1,3053.3,3060.5,3149.7,3179.6,3255.5,3329.9,3418.9,3427,3465.6,3489.6,3519.6,3520.1,3555.1,3585.7,3664.7,3726,3751.4,3768,3833.3,3839.5,3865.8,3837.9,3829,3830.8,3865.2,3824.8,3927.8,3966.4,3993.7,4008.7,4089.1,4183.4,4214.4,4284.4,4386.9,4415.7,4382.7,4411,4355.5,4369.1,4340.3,4310.4,4219.3,4235.1,4339.3,4394.2,4517.1,4562.8,4589.1,4631,4712,4797.5,4873.5,4891.1,4926.8,5080.2,5131.2,5187.9,5195.8,5202.3,5215.6,5213.2,5217.1,5062.3,5016.3,5139.7,5256.3,5213.4,5281.4,5228,5149.4,5166.2,5189.4,5195.2,5263.2,5414.9,5552.1,5680.4,5823.3,5934.3,5996,6052.6,6093.7,6174.5,6268.9,6326.2,6370.7,6416.6,6483.5,6503.5,6540.5,6608.1,6658.8,6769.1,6768.9,6828.9,6870.6,6963.3,7013.1,7042.4,7085.4,7102.4,7172.2,7190.4,7184.3,7099.4,7045.3,7086.6,7123.4,7149.3,7217.2,7305.2,7371.7,7461.3,7487,7538.1,7588.9,7694.4,7784.3,7895.4,7935,8030.5,8057.4,8073.8,8104.1,8158.6,8233,8381.4,8476.7,8532,8623.8,8757.9,8882.1,8966.5,9101.1,9202.5,9325.3,9461.4,9579.6,9689.1,9816.7,9985.4,10046.5,10222.4,10232.1,10284.7,10273.2,10291.3,10270.1,10325.6,10418,10488.5,10560.4,10604.1,10629,10734.6,10908.7,10989.5,11108.5,11257.2,11344.5,11435.9,11531.5,11599.9,11714.6,11792.9,11946.3,12014.8
"20","100","Final sales to domestic purchasers","A713RX1",1541.9,1554.9,1568.6,1585.9,1604.5,1628.2,1632.2,1649.3,1643.1,1665.2,1670.1,1688,1718.5,1766.9,1844.5,1819.7,1868.5,1866.6,1918.8,1946.5,1967.1,2009.8,2002.1,2075.3,2119.4,2140.2,2131.2,2117.5,2103.7,2107.4,2125.3,2157.2,2200,2235.9,2263.9,2271.4,2265.4,2283,2281.1,2310.6,2331,2326.6,2346.1,2349.7,2301.4,2316.9,2348.1,2398,2440.6,2486.6,2515.7,2507,2523.3,2539.8,2536,2540.3,2543,2573.8,2601.6,2659.9,2696.6,2732.1,2763.3,2787.1,2799.7,2834.2,2896.3,2919.2,2974.4,3010.6,3053.2,3060,3122.1,3165.8,3236.7,3320.2,3383,3395,3439.3,3444.8,3479.1,3516.2,3541,3576,3656,3691.8,3744.5,3768.7,3813.5,3827.3,3849.2,3840.2,3847.8,3835,3869.8,3863.4,3908.4,3951.9,3982.4,4034.3,4099,4164.5,4193,4291.1,4378.2,4377.5,4373.5,4364.4,4342.6,4349.5,4350.9,4275.7,4269.3,4297.4,4368.5,4417.4,4502.2,4528.4,4560.5,4633.6,4703.6,4771.9,4812.6,4869.8,4895.5,5048.8,5096.3,5150.9,5166,5167.7,5218.1,5225,5222.8,5071.8,5100.3,5176.2,5210.4,5219.3,5230,5211.7,5204,5191.2,5200.2,5277.6,5337.5,5446.6,5578.4,5666.9,5738.1,5854,5912.2,6004.9,6089.8,6165.3,6263.1,6298.9,6347.6,6415.1,6509.6,6535.1,6520.1,6604.6,6676.1,6705.1,6767,6821.7,6860.6,6949.6,6968.4,7012.5,7087.4,7098.1,7170.5,7163.8,7171.7,7123.4,7075.5,7119.9,7136.8,7128.7,7228.1,7291.3,7362.3,7450.4,7458.4,7523.9,7593,7690.4,7746.6,7817,7889.7,7961.1,8002.3,8047.9,8105.8,8151,8238.9,8363.8,8423.9,8505.9,8595,8666.5,8814,8886.4,8985.9,9155.9,9264.9,9406.4,9503.6,9650.1,9768.1,9883.5,10019.6,10122.9,10176,10241.4,10280.8,10294.2,10299.1,10408.4,10427.5,10485.3,10533.1,10575.4,10603.9,10735.6,10895.9,10962.4,11070.8,11181.5,11291,11381.1,11473.9,11603.2,11722.8,11744.6,11898.7,11949.7
"21","110","Gross national product","A001RX1",1579.1,1577.7,1576.9,1600.4,1626.4,1655.5,1665.1,1669,1643.8,1638.6,1656.7,1638.9,1706.4,1757.5,1827.9,1860.9,1882.8,1916.5,1955,1959.2,1978.6,1980.1,1992.6,2057.4,2095.7,2112.2,2098.1,2065.2,2056,2057.8,2080.7,2123.2,2184.2,2219.5,2249,2261.3,2252.5,2269.9,2267.5,2302.3,2318.8,2314.4,2335.9,2307.9,2246,2259.3,2310.6,2363.3,2408.1,2471.1,2470.3,2479.8,2534.1,2521.8,2526.5,2494.9,2510.8,2556.7,2598.3,2651.4,2698.6,2729.7,2754.8,2764.5,2799.4,2833.3,2886.6,2909.6,2976.3,3009.6,3051.1,3057.5,3135.2,3178,3240,3315.7,3396.9,3408.7,3430.4,3458.9,3489,3488.5,3518.5,3544.1,3617.2,3678.7,3704.4,3719.6,3778,3787.7,3810,3792.1,3786.3,3794.3,3827.4,3784.5,3893.1,3916.4,3944.4,3957.1,4028.1,4122.1,4163.5,4231,4342.5,4394.6,4377.8,4419.5,4389.4,4399.1,4352.4,4329.3,4271.5,4302.8,4377.7,4441.7,4539.3,4574.6,4596.7,4630.4,4692.2,4782.3,4866.4,4860.4,4882.9,5064.7,5118.2,5191.9,5203.1,5214.9,5263.8,5278.6,5296.5,5185.5,5173,5255.6,5364.5,5319.8,5386.8,5327.3,5237.7,5272.8,5242.9,5245.3,5308.8,5430.9,5538,5652.4,5757.1,5855.5,5911.3,5953.2,5997.4,6050.8,6137.4,6188.2,6242.5,6257.3,6320.1,6342.8,6386.8,6461.8,6519.5,6635.4,6675,6756.2,6788.9,6880.9,6950.1,6993.9,7046.2,7071.4,7150,7169.9,7163.9,7137.1,7087,7119.1,7149.3,7191.8,7265.5,7334.5,7402.6,7485,7502.4,7532.8,7577.7,7661.5,7747.2,7843.7,7886.8,7979.2,8014.3,8032,8081,8152,8213.3,8337.6,8402.7,8507.6,8566,8707,8808.7,8868.1,8965.5,9022.2,9112.2,9255.2,9346.7,9429.1,9532.7,9710.4,9729,9885.3,9867.8,9941.6,9913.6,9949.8,9887.7,9983.1,10004.1,10048.6,10119.7,10143.8,10163.8,10266.9,10449.9,10540.5,10632.2,10709.4,10796.3,10849.3,10946,11028.2,11162,11175.6,11342.7,11415.1
"22",NA,"Percent change from preceding period"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
