"","Table 6#16B# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 9, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2006 8:43:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",31.2,29.1,36,41.2,39.3,39.7,38.8,49.5,48.5,48.4,43.5,55.7,53.8,54.9,63.3,69,76.5,87.5,93.2,91.3,98.8,95.4,83.6,98,112.1,125.5,115.8,134.8,163.3,192.4,216.6,223.2,201.1,226.1,209.7,264.2,318.6,330.3,319.5,368.8
"9","2","Domestic industries","A445RC1",29.9,27.9,34.7,39.5,37.4,37.9,36.9,47.2,45.7,45.3,41,53,50.6,51.5,59.5,64.9,72,82.8,88.7,86.6,93.2,88.8,76.5,90.2,102.6,110.6,98.3,120.2,146.8,173.3,193.8,188.6,165.7,196.4,177.1,229.2,282,292.2,280,320.8
"10","3","  Financial","A587RC1",2.6,3.2,3.2,3.6,4.2,4.7,5,5.2,5.6,5.9,6.3,7.5,8.4,8.4,8.7,8.4,9,9.5,10.8,11.4,13.1,13.9,15.7,18,19.6,21.3,20.8,20.6,25.1,31.9,39.6,39.9,32.4,28.7,25.2,36.2,34.1,45.9,57.9,61.1
"11","4","  Nonfinancial","A463RC1",27.3,24.8,31.6,35.9,33.1,33.2,31.9,41.9,40.2,39.4,34.6,45.5,42.2,43.2,50.8,56.5,63,73.3,77.9,75.2,80,74.9,60.9,72.1,83,89.4,77.5,99.6,121.7,141.4,154.1,148.8,133.2,167.7,151.9,192.9,248,246.3,222.1,259.7
"12","5","Rest of the world","B394RC1",1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48
"13","6","  Receipts from the rest of the world","B933RC1",1.7,1.6,1.8,2.2,2.3,2.3,2.4,2.9,3.4,3.6,3.1,3.4,3.8,4,4.5,4.9,5.4,5.8,5.7,6,7,8,8.7,9.8,11.8,17.6,20.4,17.9,20.9,23.8,29,42.6,43.8,38.1,36.7,41.1,46.1,46.8,48.7,58.9
"14","7","  Less:  Payments to the rest of the world","B934RC1",0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.1,1.1,1.2,1.4,1.5,1.6,1.9,2.2,2.7,2.9,3.3,4.4,4.7,6.1,7.9,8.4,8.4,4.1,6,9.5,8.7,9.2,10.9
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",33.7,31.5,38.3,43.6,41.2,40.7,39,48.1,47.8,47.5,42.7,53.5,51.5,51.8,57,62.1,68.6,78.9,84.6,82,88.8,85.5,74.4,88.3,101.2,115.3,109.5,135,165.6,194.7,222.4,231.8,211.4,219.1,191,226.5,264.6,257.5,253,301.4
"16","9","Domestic industries","A390RC1",32.5,30.3,37,41.8,39.3,38.9,37.1,45.8,44.9,44.4,40.2,50.8,48.3,48.5,53.3,58.1,64.1,74.2,80.1,77.2,83.2,78.9,67.3,80.4,91.7,100.4,92.1,120.4,149,175.6,199.6,197.2,175.9,189.4,158.5,191.4,228.1,219.4,213.5,253.4
"17","10","  Financial","A392RC1",2.7,3.3,3.3,3.7,4.4,4.8,5.1,5.3,5.7,6,6.5,7.6,8.4,8.3,8.6,8.3,8.8,9.3,10.7,11.2,12.8,13.6,15.4,17.6,19.1,20.5,20.2,20.2,25,31.9,39.5,40.3,34,29.1,26,35.5,34.4,45.9,56.8,59.8
"18","11","    Federal Reserve banks","B397RC1",0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.6,0.7,0.9,0.8,0.9,1,1.1,1.3,1.7,2,2.5,3.1,3.5,3.3,3.3,4.5,5.7,5.6,5.9,6.1,7.6,9.4,11.8,14.4,15.2,14.6,16.4,16.3,15.5,15.7
"19","12","    Other","B398RC1",2.5,3.1,3.1,3.4,4.1,4.4,4.8,5,5.2,5.4,5.9,6.9,7.5,7.6,7.7,7.3,7.6,8,9.1,9.2,10.3,10.5,11.9,14.3,15.8,16,14.5,14.6,19.1,25.8,31.9,30.9,22.2,14.7,10.8,20.9,18,29.5,41.2,44.1
"20","13","  Nonfinancial","A399RC1",29.7,27,33.7,38.1,34.9,34,32,40.5,39.3,38.5,33.7,43.2,39.9,40.2,44.7,49.8,55.4,64.9,69.3,66,70.4,65.3,52,62.8,72.6,79.9,71.9,100.2,124.1,143.7,160,156.8,141.9,160.3,132.4,155.9,193.7,173.5,156.8,193.5
"21","14","    Manufacturing","A400RC1",17.5,16.2,21,24.7,21.7,22,19.9,26.1,24.8,24.1,19.5,26.5,23.8,23.4,26.3,29.7,32.6,39.8,42.6,39.2,41.9,37.3,27.5,35.1,41.9,47.2,41.4,55.2,71.3,79.3,90.5,89.6,78.3,91.1,67.1,76.2,91.8,84.3,57.9,86.3
"22","15","      Durable goods","A406RC1",7.5,8.1,12,13.2,11.7,12,10.5,14.2,12.8,13.3,9.3,13.7,11.6,11.3,14.1,16.4,18.1,23.3,24.1,21.3,22.5,19.2,10.5,16.6,22.7,25.1,15.3,20.6,31.4,37.9,45.4,37.1,18.9,19.5,5,19.5,39.3,29.7,26.3,40.7
"23","16","        Primary metal industries","A407RC1",1.6,1.5,2.3,3.1,1.9,2.5,1.7,2.9,3,3.1,1.9,2.3,2,1.6,1.6,2,2.5,3.1,3.6,2.7,1.9,1.4,0.8,0.8,1.7,2.3,5,2.8,2.1,1,3.6,3.5,2.7,3.1,-4.7,-4.9,-0.4,-0.9,0.9,2.6
"24","17","        Fabricated metal products","A408RC1",0.8,0.7,1.1,1.3,1,1,0.9,1.1,1.1,1.1,0.9,1.1,0.8,1,1.2,1.3,1.5,2.1,2.4,2.5,2.3,2,1.1,1.5,2.2,2.7,1.8,3.3,3.9,4.5,5,5.3,4.4,4.5,2.7,3.1,4.7,4.9,5.2,5.5
"25","18","        Machinery,except electrical","A409RC1",1.3,1.3,1.6,2.3,2.3,1.9,1.7,1.7,2.1,2,1.5,2.2,1.8,1.9,2.4,2.6,3.3,4,4.6,4.2,4.2,3.8,3.1,3.1,4.5,4.9,3.3,5.1,6.9,8.6,10.7,9.5,8,9,3.1,4,6,5.7,0.8,5.4
"26","19","        Electric and electronic equipment","A410RC1",0.6,0.8,1.2,1.3,1.5,1.4,1.2,1.1,1.2,1.5,1.3,1.7,1.3,1.3,1.5,1.6,1.7,2.7,3,3,2.9,2.3,1.3,2,2.9,3.2,0.6,2.6,3.8,5.9,6.7,5.6,5.2,5.2,1.7,3.5,5.1,2.6,2.7,5.9
"27","20","        Motor vehicles and equipment","A411RC1",1.4,2.1,3.1,2.4,2.4,2.6,2.1,4.1,2.2,2.6,0.9,3,3,2.5,4,4.9,4.6,6.2,5.2,4,5.5,4.8,1.3,5.2,6,5.9,0.7,2.3,7.4,9.4,9,4.7,-4.3,0.3,0,5.3,9.2,7.4,4.6,3.7
"28","21","        Other","A412RC1",1.8,1.7,2.6,2.8,2.6,2.6,2.9,3.5,3.1,3.1,2.9,3.5,2.7,2.9,3.4,4,4.4,5.2,5.2,4.9,5.6,4.9,2.9,4.1,5.6,6.2,4,4.7,7.3,8.5,10.5,8.5,2.7,-2.6,2.1,8.4,14.6,10.1,12.1,17.6
"29","22","      Nondurable goods","A401RC1",10,8.1,9,11.4,10,10,9.5,11.8,12,10.8,10.2,12.9,12.2,12.1,12.3,13.3,14.5,16.5,18.6,18,19.4,18.1,17,18.5,19.2,22,26.1,34.5,39.9,41.4,45.1,52.5,59.5,71.6,62.1,56.7,52.6,54.6,31.7,45.6
"30","23","        Food and kindred products","A402RC1",1.9,1.6,1.6,1.4,1.8,1.8,1.6,2.2,1.8,1.8,2.1,2.5,2.2,2.4,2.4,2.7,2.7,2.9,3.3,3.3,3.2,3.1,3.2,3.6,3,2.5,2.6,8.6,7.1,6.9,6.2,5.8,6.1,9.2,7.3,6.3,6.8,8.8,7.5,11.4
"31","24","        Chemicals and allied products","A403RC1",1.7,1.8,2.3,2.8,2.3,2.2,2.2,3,2.8,2.8,2.5,3.5,3.1,3.3,3.2,3.7,4.1,4.6,4.9,4.3,5.3,4.6,3.9,4.5,5.3,6.2,5.3,6.4,8.2,7.8,8.3,7.2,5.7,8,5.1,7.4,8.2,6.6,7.5,14.4
"32","25","        Petroleum and coal products","A404RC1",2.8,1.9,2.3,2.8,2.3,2.7,2.8,3,3.3,2.6,2.1,2.6,2.6,2.3,2.2,2.2,2.4,2.9,3.4,4,3.8,3.4,3.7,3.8,3.3,5.4,10.9,10.1,13.5,13.1,15.8,24.8,34.7,40,34.7,23.9,17.6,18.7,-4.7,-1.5
"33","26","        Other","A405RC1",3.7,2.8,2.7,4.4,3.6,3.3,2.9,3.6,4.1,3.6,3.4,4.3,4.2,4.2,4.4,4.7,5.3,6.1,6.9,6.4,7.1,7,6.1,6.6,7.6,7.9,7.3,9.5,11.1,13.6,14.8,14.7,13.1,14.5,15,19.1,20.1,20.5,21.3,21.3
"34","27","    Transportation and public utilities","A416RC1",3,3,4.1,4.7,5,5,4.7,5.7,5.9,5.9,5.9,7.1,7.5,7.9,8.5,9.5,10.2,11,12,10.9,11,10.7,8.3,8.9,9.5,9.1,7.6,11,15.3,18.6,21.8,17,18.4,20.3,23.1,29.5,40.1,33.8,35.8,41.9
"35","28","      Transportation","A417RC1",1.5,1.2,1.9,1.9,1.9,1.6,1,1.5,1.4,1.1,0.9,1.1,0.9,1,1,1.4,1.6,2.1,2.3,1.3,1,0.7,-0.1,0.7,1.5,1.3,2,1,3,3.7,4.1,3.5,2.7,1.7,-0.1,3.2,6.1,1.8,3.4,3.4
"36","29","      Communication","A418RC1",0.4,0.5,0.7,1,1.1,1.2,1.3,1.7,1.8,2,2.3,2.8,3,3.2,3.6,3.9,4,4.3,4.8,4.8,5.1,5.4,4.8,4.1,3.9,4.3,4.1,4.3,5.7,6.6,8.6,7.5,7.7,8.6,8.6,9.9,12.8,14.2,17.6,19.4
"37","30","      Electric, gas, and sanitary services","A419RC1",1.1,1.4,1.5,1.8,2,2.2,2.4,2.5,2.7,2.7,2.7,3.1,3.6,3.7,3.9,4.2,4.6,4.6,4.9,4.8,4.9,4.6,3.6,4.1,4,3.4,1.5,5.7,6.5,8.3,9.1,6,8,10,14.6,16.4,21.3,17.8,14.7,19.1
"38","31","    Wholesale trade","A414RC1",2.4,1.9,2.1,2.6,2.3,1.8,1.7,2.4,2.2,2.2,2.2,2.9,2.5,2.5,2.8,2.8,3.4,3.8,4,4.1,4.6,4.9,4.4,5.2,6.9,8.2,11.5,13.8,12.9,15.6,15.6,18.8,17.2,22.4,19.6,21,29.5,23.9,24.1,18.6
"39","32","    Retail trade","A415RC1",3.2,2.8,3,2.6,2.7,2.3,2.3,2.9,2.6,2.6,2.6,3.3,2.8,3,3.4,3.6,4.5,4.9,4.9,5.7,6.4,6.4,6,7.2,7.4,6.6,2.3,8.2,10.5,12.4,12.3,9.8,6.2,9.9,13.4,18.7,21.1,22.2,23.5,23.4
"40","33","    Other","A420RC1",3.5,3.1,3.5,3.6,3.3,3,3.3,3.5,3.9,3.8,3.5,3.4,3.3,3.4,3.6,4.1,4.7,5.4,5.9,6.1,6.6,6.1,5.8,6.4,7,8.7,9.1,12,14,17.8,19.8,21.6,21.8,16.7,9.2,10.4,11.1,9.2,15.5,23.4
"41","34","Rest of the world","B394RC1",1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
