"","Table 5#4#4AU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159"
"12","4","    Commercial, including office","B308RG3",15.095,15.094,15.032,15.038,15.146,15.073,15.01,14.872,14.858,14.922,14.986,15.064,15.054,15.125,15.124,15.252,15.325,15.401,15.46,15.527,15.457,15.724,15.729,16.054,16.04,16.169,16.17,16.562,16.416,16.866,16.864,17.117,17.193,17.263,17.33,17.604,17.852,18.049,18.176,18.767,19.098,19.433,19.705,20.092,20.205,20.914,20.778,21.178,21.789,22.337,22.885,23.347,23.842,24.088,24.464,25.114,25.464,25.991,26.713,27.169,27.681,28.6,29.787,30.948,31.73,32.124,32.207,32.419,32.472,33.134,33.554,33.884,34.418,35.077,35.912,36.669,37.54,38.456,39.28,40.281,41.134,42.567,43.917,45.025,46.28,47.372,48.589,49.952,51.003,51.955,52.824,53.728,54.637,55.446,56.093,56.508,56.836,57.145,57.508,58.049,58.702,59.238,59.947,60.446,60.9,61.241,61.665,62.183,62.663,63.302,63.914,64.612,65.146,65.701,66.185,66.804,67.617,68.104,68.619,69.257,69.854,70.691,71.136,71.624,72.359,72.837,73.386,73.666,73.909,74.11,74.375,74.104,73.993,74.302,74.666,75.341,76.119,76.665,77.403,78.149,78.811,79.359,80.379,81.569,82.58,83.057,83.479,83.853,84.239,84.662,85.556,86.035,86.667,87.259,88.264,89.221
"13","5","      Office, including medical buildings\1\","B346RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.564,23.813,24.189,24.835,25.172,25.695,26.422,26.888,27.417,28.344,29.527,30.675,31.415,31.788,31.859,32.06,32.118,32.768,33.175,33.494,34.043,34.688,35.503,36.237,37.044,37.939,38.731,39.691,40.537,41.924,43.251,44.367,45.67,46.81,48.062,49.435,50.428,51.353,52.201,53.103,54.033,54.854,55.51,55.932,56.277,56.575,56.922,57.442,58.091,58.609,59.313,59.816,60.274,60.639,61.086,61.626,62.122,62.755,63.36,64.041,64.559,65.094,65.561,66.167,66.985,67.468,67.98,68.615,69.208,70.04,70.485,70.974,71.697,72.176,72.719,72.986,73.232,73.419,73.668,73.385,73.284,73.589,73.954,74.631,75.424,75.961,76.685,77.41,78.036,78.555,79.561,80.744,81.748,82.236,82.661,83.021,83.354,83.759,84.637,85.113,85.735,86.329,87.334,88.285
"14","6","      Commercial\2\","B347RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.084,24.348,24.739,25.403,25.746,26.276,27.002,27.459,27.985,28.911,30.11,31.282,32.075,32.474,32.557,32.771,32.823,33.495,33.927,34.265,34.797,35.467,36.312,37.074,37.963,38.878,39.708,40.724,41.568,43.031,44.404,45.526,46.802,47.888,49.101,50.467,51.527,52.494,53.376,54.279,55.197,56.001,56.643,57.057,57.367,57.692,58.071,58.624,59.246,59.791,60.499,60.996,61.47,61.798,62.211,62.72,63.205,63.857,64.476,65.185,65.703,66.264,66.755,67.383,68.199,68.694,69.216,69.862,70.466,71.31,71.76,72.249,72.995,73.473,74.026,74.316,74.55,74.76,75.038,74.777,74.653,74.967,75.333,76.015,76.797,77.353,78.102,78.859,79.527,80.09,81.118,82.317,83.354,83.828,84.246,84.623,85.024,85.45,86.349,86.828,87.475,88.068,89.075,90.039
"15","7","    Hospitals and special care","C311RG3",15.095,15.095,15.027,15.028,15.16,15.09,15.024,14.897,14.89,14.962,15.029,15.097,15.091,15.159,15.162,15.293,15.359,15.425,15.491,15.558,15.492,15.764,15.765,16.089,16.105,16.232,16.231,16.623,16.489,16.955,16.96,17.23,17.283,17.355,17.418,17.69,17.935,18.133,18.269,18.88,19.19,19.533,19.803,20.196,20.35,21.067,20.928,21.33,21.914,22.451,22.984,23.442,23.999,24.264,24.652,25.309,25.661,26.184,26.908,27.365,27.884,28.812,30.009,31.18,31.961,32.36,32.448,32.665,32.717,33.381,33.794,34.113,34.685,35.334,36.16,36.909,37.815,38.737,39.563,40.565,41.409,42.856,44.242,45.404,46.562,47.714,48.985,50.385,51.424,52.373,53.238,54.147,55.106,55.912,56.551,56.957,57.341,57.635,57.984,58.517,59.21,59.749,60.475,60.987,61.43,61.781,62.219,62.761,63.223,63.872,64.504,65.22,65.75,66.314,66.804,67.426,68.251,68.735,69.248,69.888,70.491,71.335,71.787,72.285,73.018,73.508,74.062,74.331,74.594,74.784,75.04,74.758,74.649,74.964,75.337,76.024,76.809,77.353,78.087,78.821,79.516,80.039,81.064,82.27,83.257,83.759,84.203,84.589,84.955,85.384,86.285,86.762,87.535,88.012,88.964,89.905
"16","8","  Manufacturing","B307RG3",15.171,15.171,15.103,15.107,15.238,15.17,15.104,14.977,14.973,15.042,15.105,15.169,15.167,15.232,15.233,15.365,15.431,15.498,15.562,15.624,15.559,15.824,15.822,16.152,16.16,16.295,16.3,16.698,16.568,17.036,17.04,17.312,17.379,17.449,17.51,17.778,18.028,18.22,18.35,18.956,19.295,19.63,19.896,20.295,20.43,21.164,21.039,21.456,22.073,22.613,23.147,23.602,24.136,24.393,24.773,25.424,25.749,26.266,26.99,27.451,27.983,28.928,30.142,31.329,32.115,32.519,32.612,32.836,32.914,33.584,33.995,34.31,34.842,35.483,36.3,37.04,37.861,38.782,39.611,40.631,41.587,43.069,44.478,45.646,46.938,48.072,49.313,50.678,51.648,52.573,53.435,54.373,55.368,56.218,56.889,57.314,57.663,57.959,58.307,58.834,59.492,60.022,60.744,61.258,61.717,62.083,62.533,63.079,63.582,64.225,64.842,65.536,66.063,66.609,67.086,67.707,68.556,69.051,69.573,70.218,70.805,71.649,72.103,72.608,73.371,73.875,74.441,74.721,74.964,75.159,75.418,75.133,75.039,75.35,75.718,76.401,77.193,77.729,78.46,79.195,79.831,80.358,81.385,82.599,83.646,84.162,84.616,85.002,85.345,85.778,86.699,87.207,87.909,88.485,89.44,90.301
"17","9","  Power and communication","W003RG3",19.923,20.078,20.371,20.333,20.349,20.258,20.29,20.267,20.293,20.278,20.198,20.2,20.131,20.107,19.986,19.903,20.005,20.075,20.196,20.144,20.137,20.069,20.158,20.261,20.433,20.539,20.664,20.902,21.043,21.164,21.129,21.227,21.405,21.62,21.949,22.19,22.435,22.819,23.043,23.255,23.486,23.741,24.061,24.563,25.024,25.607,26.126,26.473,26.806,27.343,27.858,28.177,28.577,28.988,29.167,29.318,29.817,30.577,31.543,32.886,34.174,35.623,37.103,38.622,39.914,40.871,41.499,42.037,42.69,43.363,43.992,44.669,46.694,46.797,47.116,47.747,48.441,49.392,50.502,51.672,53.109,54.458,56.145,57.634,58.686,60.152,61.439,62.77,63.565,64.609,65.535,66.349,67.349,67.776,68.399,68.657,68.982,68.833,68.854,68.942,68.892,69.363,69.412,69.57,70.047,70.164,70.267,70.256,70.12,70.119,70.095,70.145,70.237,70.423,70.988,71.604,72.304,73.277,74.503,75.743,76.538,77.667,78.776,79.795,80.136,80.405,80.704,80.921,80.983,81.1,81.488,81.452,81.874,82.108,82.409,82.718,83.22,84.373,84.789,85.523,86.437,87.15,87.758,88.849,89.75,90.57,91.698,92.42,92.777,93.138,93.654,94.388,94.625,95.465,95.873,96.08
"18","10","    Power","W028RG3",17.657,17.834,18.083,18.037,18.013,17.878,17.902,17.809,17.766,17.72,17.656,17.747,17.744,17.793,17.654,17.508,17.581,17.581,17.645,17.601,17.556,17.506,17.615,17.701,17.859,17.949,17.995,18.178,18.293,18.293,18.224,18.263,18.382,18.586,18.864,19.07,19.315,19.722,19.992,20.219,20.42,20.618,20.839,21.125,21.45,21.852,22.313,22.822,23.365,23.996,24.56,24.887,25.245,25.569,25.751,25.899,26.249,26.952,27.933,29.085,30.185,31.434,32.74,34.481,36.04,37.148,37.841,38.457,39.115,39.65,40.257,40.802,42.574,42.77,43.136,43.663,44.237,45.08,46.118,47.19,48.452,49.632,50.89,52.11,52.985,54.358,55.603,57.022,58.263,59.435,60.622,61.446,62.354,63.045,63.788,64.347,64.841,65.068,65.338,65.842,66.357,66.847,67.178,67.346,67.472,67.535,67.602,67.602,67.677,67.745,67.763,67.902,68.079,68.364,68.892,69.828,71.436,72.696,73.972,75.033,74.784,75.763,76.602,77.529,78.254,78.499,78.657,78.884,79.044,79.21,79.378,79.459,80.251,80.444,80.728,81.168,81.841,82.732,83.451,84.484,85.733,86.504,87.082,88.154,88.469,89.172,89.846,90.366,90.748,90.793,90.812,91.195,91.622,92.513,93.205,93.915
"19","11","      Electric","B571RG3",16.555,16.761,17.037,16.967,16.961,16.821,16.821,16.683,16.615,16.544,16.479,16.549,16.618,16.686,16.617,16.545,16.613,16.684,16.82,16.887,16.959,17.026,17.23,17.436,17.641,17.778,17.782,17.921,17.926,17.858,17.785,17.846,18.045,18.316,18.725,19.003,19.349,19.767,20.046,20.185,20.325,20.459,20.66,20.928,21.268,21.675,22.158,22.71,23.269,23.895,24.452,24.802,25.146,25.484,25.677,25.868,26.27,27.026,28.074,29.274,30.482,31.82,33.205,35.046,36.587,37.704,38.355,38.956,39.577,40.066,40.695,41.319,43.369,43.308,43.481,43.854,44.381,45.214,46.215,47.357,48.645,50.011,51.499,52.791,53.744,54.981,56.247,57.558,58.766,59.833,60.774,61.706,62.415,63.086,63.808,64.364,64.974,65.241,65.477,65.941,66.468,66.899,67.233,67.408,67.517,67.655,67.847,67.995,68.314,68.493,68.58,68.719,68.73,68.893,69.368,70.286,72.153,73.473,74.556,75.509,75.584,76.189,76.941,77.865,78.931,79.16,79.258,79.382,79.404,79.524,79.649,79.808,80.475,80.76,81.106,81.639,82.501,83.352,83.894,84.849,85.763,86.781,87.296,87.898,88.548,89.482,90.374,91.081,91.367,91.411,91.413,91.824,92.062,92.973,93.702,94.401
"20","12","      Other power","W029RG3",20.104,20.232,20.437,20.428,20.366,20.231,20.299,20.289,20.292,20.292,20.23,20.361,20.227,20.239,19.966,19.683,19.763,19.626,19.552,19.289,19.022,18.754,18.688,18.557,18.622,18.622,18.754,19.027,19.359,19.491,19.429,19.425,19.365,19.427,19.423,19.488,19.557,19.963,20.231,20.634,20.962,21.301,21.572,21.902,22.179,22.573,22.978,23.371,23.912,24.584,25.19,25.456,25.859,26.126,26.263,26.261,26.403,26.939,27.73,28.79,29.735,30.806,31.952,33.446,34.9,35.912,36.634,37.239,38.04,38.656,39.187,39.515,40.436,41.393,42.411,43.611,44.491,45.434,46.684,47.494,48.672,49.103,49.462,50.427,51.027,52.902,54.085,55.888,57.241,58.795,60.889,61.37,63.122,63.944,64.811,65.39,65.263,65.267,65.696,66.415,66.901,67.721,68.019,68.126,68.259,67.995,67.563,66.98,66.037,65.633,65.387,65.57,66.508,67.284,67.999,68.978,69.728,70.789,72.576,73.929,72.846,74.889,75.963,76.879,76.744,76.996,77.26,77.696,78.194,78.486,78.769,78.656,79.753,79.735,79.887,80.137,80.423,81.399,82.509,83.717,85.776,85.92,86.635,88.787,88.365,88.607,88.866,89.04,89.569,89.601,89.635,89.953,90.76,91.597,92.208,92.951
"21","13","    Communication","B314RG3",26.398,26.382,26.827,26.844,27.062,27.208,27.276,27.585,27.938,28.083,27.945,27.51,27.136,26.776,26.759,26.984,27.19,27.571,27.929,27.848,28.007,27.872,27.869,28.02,28.225,28.378,28.814,29.253,29.483,30.149,30.296,30.664,31.111,31.331,31.854,32.222,32.369,32.437,32.277,32.332,32.69,33.188,33.918,35.309,36.266,37.521,38.194,37.835,37.271,37.357,37.585,37.813,38.331,39.05,39.178,39.312,40.313,41.2,42.022,43.973,45.932,48.031,50.04,50.482,50.509,50.688,50.874,50.917,51.441,52.623,53.217,54.402,57.237,56.899,56.952,57.921,58.996,60.239,61.492,62.898,64.82,66.661,69.739,72.067,73.714,75.448,76.818,77.718,76.794,77.302,77.23,77.946,79.177,78.745,78.974,78.312,78.15,76.929,76.217,75.161,73.614,74.016,73.353,73.488,74.82,75.075,75.275,75.244,74.578,74.415,74.294,74.14,74.056,74.025,74.641,74.662,73.79,74.262,75.392,76.927,79.64,81.065,82.724,83.911,83.482,83.771,84.305,84.497,84.368,84.37,85.358,84.995,84.326,84.693,85.045,84.977,85.009,86.833,86.44,86.437,86.58,87.16,87.831,88.957,91.103,92.168,94.203,95.316,95.579,96.456,97.757,98.985,98.958,99.713,99.717,99.19
"22","14","  Mining exploration, shafts, and wells","B318RG3",14.732,15.188,15.55,15.64,15.47,15.196,14.918,14.819,14.818,14.731,14.644,14.738,15.013,15.109,15.109,14.845,14.758,14.582,14.406,14.235,14.408,14.513,14.512,14.622,14.622,14.721,14.902,15.014,15.275,15.663,15.929,16.13,16.129,16.226,16.32,16.606,16.712,16.988,17.177,17.487,17.516,17.803,18.087,18.209,18.48,19.069,19.231,19.099,18.908,19.387,19.868,20.168,20.482,20.936,21.32,21.479,21.764,22.086,22.504,23.14,24.123,27.062,29.388,31.046,32.636,33.683,34.42,35.577,35.574,36.239,37.4,38.567,40.382,42.566,44.726,46.43,47.764,50.402,52.454,54.752,57.376,58.974,60.773,60.908,59.62,60.006,60.606,63.444,71.705,78.375,83.881,91.095,94.146,94.624,92.796,89.117,80.669,75.664,73.261,70.496,68.384,69.342,68.774,68.792,69.422,68.651,68.883,68.832,68.478,67.373,65.397,63.095,58.174,56.008,55.006,55.937,59.469,61.308,62.64,63.704,64.112,64.525,65.088,65.378,65.264,66.361,67.878,70.036,74.45,73.845,71.215,65.824,65.525,65.695,66.044,66.636,66.335,66.609,67.109,67.582,67.703,67.48,68.842,69.87,70.697,71.053,75.811,79.165,75.54,75.184,79.494,81.222,85.062,87.717,89.424,92.116
