"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Goods \1\","A253RC1",562.2,575.6,595.6,599.7,608.2,611.9,615.4,637.8,658.3,687,704.7,700.8,694.5,672.8,666.8,689.4,673.5,680.5,703.9,730.9,749.5,777.1,810.9,799.9,788.9,749.8,704.5,681.7,679.5,706.3,715.6,699.9,709,710.6,723.5,764.2,787.1,811.3,824.1,845.4,871.6,906,907.4,939.4,985.1,1016.5,1030.6,1065.4,1081.4,1109.4,1156.6,1210.4,1247.3,1326.2,1338.5,1155.7,989.5,971.4
"12","4","    Durable","A332RC1",379.7,387.6,401.2,407.6,411.3,416.1,420.2,437,457.1,481.6,497.7,492.8,494.2,478,477.2,496.8,487.2,490.3,507.8,527.7,542.8,566.4,587.6,580,570.3,535.9,498.6,479.7,476,494.6,499.5,484.1,481.8,486.7,494.5,526.3,541.1,557.5,569,577.2,596.1,618.3,627.2,657.9,685.7,703.3,709.4,738,747,759,785.4,816,819.2,852.8,856.6,762.7,644.7,614.5
"13","5","    Nondurable","A339RC1",182.5,188,194.4,192.1,196.9,195.9,195.3,200.7,201.1,205.4,206.9,208,200.3,194.8,189.5,192.6,186.3,190.2,196,203.2,206.7,210.7,223.2,219.9,218.7,213.9,205.8,202.1,203.5,211.7,216.1,215.8,227.2,223.9,229,237.9,246,253.8,255.1,268.2,275.6,287.7,280.2,281.5,299.4,313.2,321.2,327.3,334.5,350.4,371.1,394.4,428.1,473.4,481.8,393,344.8,356.9
"14","6","  Services \1\","A646RC1",218.5,222.1,234.9,238.9,239.5,247,244.3,266.6,260.9,268,270,268.1,269.3,275,269.2,278.5,285.2,290.7,294.9,297.7,303.3,312.2,308.2,311.9,308.1,306.8,292.7,278.4,294,299.7,305,312.3,303.5,301,317.9,334.5,351.7,359.5,361.3,380.5,390.7,392.4,400.8,411.9,428.9,439.6,445.3,472.8,483.4,492.7,528.6,561.2,556.3,575.3,574.6,550.5,519.8,512.4
"15","7","Income receipts","B645RC1",220.7,231.1,229.3,235.9,239.9,238.7,245.2,259.6,269.6,282.4,285.5,280.4,289.3,292.6,281.6,281.4,293.2,309.1,328.6,347,361.5,384,377.4,399.1,358.9,335.6,308.1,289.6,297.7,311.6,327.9,316.8,331.4,342.6,354.7,384.6,418.2,434.4,456.3,485.4,535.5,551.3,582.4,622.9,659,716.4,741.6,767.2,787.9,852.1,897.6,909.4,856.3,840.5,825.6,714.4,579.6,NA
"16","8","  Wage and salary receipts","B4188C1",2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.8,2.8,2.7,2.7,2.9,2.8,2.9,2.8,3,2.8,2.9,2.8,2.9,2.8,2.8,2.8,2.7,2.7,2.9,2.9,2.8,2.7,2.9,3,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,3,3.1,3.1,3.1,3,3.1,NA
"17","9","  Income receipts on assets","W160RC1",218.6,229,227.1,233.7,237.8,236.5,243,257.4,267.4,280.2,283.3,278.1,287,290.3,279.1,278.9,290.4,306.3,325.9,344.3,358.6,381.3,374.5,396.3,355.9,332.7,305.2,286.7,294.8,308.9,325.1,314,328.6,339.9,351.8,381.7,415.4,431.7,453.4,482.5,532.7,548.4,579.5,620,656.1,713.5,738.7,764.3,785,849.2,894.6,906.4,853.3,837.4,822.5,711.4,576.6,NA
"18","10","    Interest","A2067C1",97.3,99.7,100.7,101.2,103,101.6,104.6,108.1,114.1,120.7,122.5,129.5,136.5,137.6,139.5,134.5,129.7,135.1,142.6,152.3,161.1,177.5,178.3,183.8,164.7,146.5,129.1,110,103.1,106.6,107.9,107.6,99.2,103.7,101.7,100.7,100.7,108.6,120.7,140.3,159.5,173.8,195.3,215.8,245.5,277.5,297.6,314.3,327.4,359.2,372.9,357.6,287.6,263.8,264,232.3,174.5,NA
"19","11","    Dividends","B3375C1",58.5,61.3,57.5,57,64,69.9,70.3,72.2,73.9,82.9,80.7,82.5,82.2,78.7,88.9,83.3,104.2,87.7,97.5,81.3,80.9,86.8,80,97.6,92.7,88.4,81.8,86.8,86.4,85,104.1,95.8,109.3,94.2,93.3,107.2,125.9,142,130.3,144.4,195,233.6,452.7,572.1,176.8,200.6,176,190.8,193.6,223.2,243,273.3,277.1,264.8,264.4,228.6,222,NA
"20","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",62.8,68,68.9,75.6,70.8,65.1,68.1,77.1,79.3,76.5,80,66.1,68.2,74,50.8,61.1,56.6,83.5,85.8,110.7,116.6,116.9,116.2,114.8,98.5,97.9,94.3,90,105.3,117.2,113.2,110.6,120,142,156.8,173.8,188.8,181.2,202.4,197.8,178.3,141,-68.5,-167.9,233.8,235.5,265.2,259.3,264,266.8,278.8,275.5,288.7,308.9,294.1,250.5,180.1,NA
"21","13","    Current payments to the rest of the world","W163RC1",1119.8,1147.5,1158.8,1158.8,1189.6,1206.1,1237.5,1277.3,1319.9,1338.6,1382.3,1412.3,1417.1,1435.8,1441.4,1484.2,1495.6,1559.3,1640.5,1707.4,1800,1864.2,1926.1,1946.2,1878.9,1777.5,1717.9,1595.2,1677.6,1771.5,1805.6,1817.7,1877.2,1872.5,1909.7,1982.5,2093.3,2219.7,2274.1,2426.4,2492.5,2553.6,2625.3,2803.2,2862.6,2983.5,3070.9,3045,3152.2,3216.8,3267.6,3332.9,3377.4,3495.3,3475.8,3041.7,2498.5,NA
"22","14","Imports of goods and services","B021RC1",886.9,908.3,905.8,909.2,936.7,952.8,973.8,992.6,1027.2,1039.7,1070.9,1085.3,1098.2,1109.6,1109.9,1145,1170.6,1222.2,1281.7,1331,1410.7,1453.6,1515,1521.8,1492.5,1420.3,1364.2,1317.9,1348.3,1424,1456.4,1492.1,1516.1,1515.9,1540.8,1607.8,1685.1,1776.9,1821.3,1912.4,1939.8,1988.7,2042.1,2140.6,2189.8,2237.4,2281.7,2252.5,2294.3,2326.9,2383.6,2474,2548.1,2640.2,2670.5,2296.7,1887.9,1831.5
"23","15","  Goods \1\","A255RC1",745.5,764.3,759.7,760.4,784.5,798.4,814.4,832.5,861.5,872,898.4,910.8,920.8,926.9,922.5,952.8,975.5,1020.8,1073.9,1120.6,1188.9,1227.6,1280.5,1289,1261.6,1184.8,1139.5,1100.9,1119.1,1192.4,1219.2,1244.7,1268,1271,1281.6,1336.4,1401.1,1483,1521.4,1601.2,1628.9,1671.7,1720,1811.4,1842.9,1884.3,1925,1887.5,1926.9,1951.1,1993.8,2078.9,2143.1,2226.8,2243.3,1892.5,1508.2,1463.6
"24","16","    Durable","A333RC1",501.1,514.6,512.4,514.9,525.1,529.7,539.1,539.7,563.4,582.4,600.5,607.9,624.9,633.4,631.2,661.3,677.3,703.7,730.6,755,790.3,819.1,845.1,839.9,809.9,761.8,738.5,723,743.8,777,788.3,789.1,780.4,795.4,800.4,850.3,874,930.6,954.7,985.8,998.6,1018.6,1025.6,1058.6,1105.2,1121,1138.2,1156.5,1166.4,1158,1183.7,1192.5,1187.6,1206.4,1187.7,1062.1,862.5,824.5
"25","17","    Nondurable","A340RC1",244.4,249.6,247.3,245.5,259.5,268.7,275.3,292.7,298.1,289.6,297.9,303,295.9,293.5,291.3,291.5,298.2,317.1,343.3,365.6,398.6,408.6,435.4,449.1,451.7,422.9,401,377.9,375.4,415.4,430.9,455.6,487.6,475.6,481.2,486.1,527.1,552.4,566.7,615.4,630.2,653.1,694.4,752.8,737.7,763.3,786.8,731,760.5,793.1,810.1,886.4,955.5,1020.4,1055.6,830.4,645.8,639.1
"26","18","  Services \1\","B656RC1",141.4,144.1,146.1,148.8,152.2,154.4,159.3,160.2,165.8,167.7,172.5,174.5,177.4,182.7,187.4,192.2,195.2,201.4,207.8,210.4,221.8,226,234.5,232.8,230.9,235.5,224.7,217,229.2,231.6,237.2,247.4,248.1,244.8,259.2,271.4,284,293.9,299.9,311.2,310.9,317,322.1,329.2,346.9,353.1,356.6,365,367.4,375.8,389.8,395.2,404.9,413.4,427.2,404.2,379.6,367.9
"27","19","Income payments","A655RC1",189.2,196.6,208.8,203.8,201.5,208.7,218.6,227.8,246.5,251.6,262.3,263.8,263.9,269.9,271.9,269.9,270.4,281.1,303.6,311.6,330.5,349.6,346.8,344,317.8,286,281.1,199.6,246.7,278.9,280.5,251.6,279.5,277.1,289.1,292.8,307.6,348.6,359.5,413.8,428.7,455.1,475.3,544.5,578.5,640.9,679.7,695.5,724,776,759.1,725.1,685.3,711.6,664.8,607.4,479.7,NA
"28","20","  Wage and salary payments","B4189C1",6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,7.8,7.9,8,8.1,7.5,7.5,7.4,7.7,8,8,8.1,8.2,8.4,8.5,8.2,8.4,8.6,8.3,8.5,8.7,8.7,8.9,8.9,9.4,9.1,9.2,9.5,9.4,9.4,9.4,9.4,9.8,9.7,10.1,10.1,10.4,10.4,10.3,10.3,10.5,10.3,NA
"29","21","  Income payments on assets","W161RC1",183,190.4,202.5,197.5,195.4,202.5,212.3,221.2,240.1,245,255.6,256.9,257.2,263.1,264.9,262.6,262.6,273.2,295.6,303.5,323,342.1,339.5,336.3,309.7,277.9,273,191.4,238.3,270.3,272.3,243.1,271,268.8,280.6,284.1,298.9,339.6,350.6,404.4,419.6,445.9,465.9,535.1,569.1,631.5,670.3,685.7,714.3,765.9,749,714.7,675,701.3,654.5,596.9,469.5,NA
"30","22","    Interest","B1869C1",150.5,157.9,163.1,164.2,161.3,165.4,172.5,182.6,190.1,198.5,204.4,212.7,215.4,216.4,221.3,218.5,215.7,218.5,230.8,248.5,256.6,276.9,287.7,292.3,278.6,262.7,243.5,215.8,205.3,214,211.6,207,190.7,191.5,193.6,194.9,197.4,213.8,233.1,256.7,280.5,304.6,334.5,368.3,405.4,450.8,480.1,509.8,538.9,587.1,597.8,593,521.5,494.7,493.2,450.2,383.1,NA
"31","23","    Dividends","B3376C1",23.2,23.6,30.9,25.4,26.7,26,29.6,32.4,27.7,31.6,30.8,41,35.5,36.8,42.9,48.7,66.2,54.6,41.4,41.7,49.1,62.7,62.4,53.5,47.2,31.4,54.9,52.7,43.2,42.6,38.2,55.1,40,108,59.4,68.3,81,65,47,100.3,95.4,68.4,125.8,120.3,72.7,75.2,97.5,187.1,86.2,109.5,109,123.7,106.2,101,102.5,138.6,119.2,NA
"32","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",9.3,8.9,8.5,7.8,7.4,11,10.2,6.2,22.2,14.8,20.4,3.1,6.3,9.9,0.7,-4.7,-19.3,0,23.4,13.3,17.3,2.6,-10.6,-9.5,-16,-16.1,-25.4,-77.1,-10.2,13.8,22.5,-18.9,40.2,-30.7,27.6,20.9,20.5,60.9,70.5,47.4,43.7,72.9,5.5,46.5,91,105.5,92.7,-11.2,89.2,69.3,42.3,-2,47.2,105.7,58.8,8.1,-32.8,NA
"33","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",43.7,42.5,44.2,45.8,51.4,44.6,45.2,56.9,46.2,47.4,49,63.1,55,56.2,59.5,69.4,54.5,56,55.1,64.8,58.7,61,64.2,80.4,68.6,71.3,72.7,77.7,82.6,68.6,68.7,74.1,81.6,79.6,79.7,81.9,100.7,94.2,93.3,100.3,124,109.9,107.8,118.1,94.3,105.1,109.5,97.1,133.9,113.9,124.8,133.8,144,143.6,140.4,137.5,130.9,143.4
"34","26","  From persons (net)","B070RC1",18.9,18.9,20.2,23,21.4,22.7,22.9,23.5,25.1,25.1,25.6,26.8,26.9,28.7,30.4,32.7,31.4,32.8,32.5,32,35,34.6,34.4,34.5,37.4,38.1,38.8,38,40,39.8,40.9,41.8,40.5,41.3,38.9,43.9,43.5,44.1,44,42.7,48.9,48.2,47.6,48.7,46.8,52.2,52.7,54.8,57.8,57.9,58.7,60.4,63.1,66.2,66.7,61.8,63.8,62.9
"35","27","  From government (net)","B088RC1",16.1,15,15.4,15.7,23.3,15.2,15.5,26,13.6,13.7,14.1,25.5,14.5,13.6,15.8,25.7,14.8,16.3,15.2,25.9,15.1,15.8,17.9,31.3,13.8,14.6,15.6,20.9,30.4,17.8,17,21.3,28.4,26,27,22,34.9,24.3,25.6,24.1,40.2,27.8,31.6,41.6,26.9,33.6,34.6,20.1,46.2,26.1,32.4,41.2,43.8,43,37.2,39.1,35.9,51.7
"36","28","  From business (net)","W164RC1",8.7,8.6,8.6,7.1,6.7,6.8,6.7,7.3,7.6,8.6,9.4,10.8,13.6,13.9,13.4,11,8.4,7,7.4,6.9,8.5,10.5,11.9,14.6,17.5,18.6,18.3,18.7,12.2,11,10.8,11,12.6,12.3,13.8,16,22.3,25.8,23.7,33.4,34.8,33.9,28.6,27.8,20.6,19.4,22.3,22.2,29.9,29.9,33.7,32.1,37.1,34.4,36.5,36.6,31.2,28.9
"37","29","    Balance on current account, NIPAs","A124RC1",-118.4,-118.6,-99,-84.3,-102.1,-108.5,-132.6,-113.4,-131.2,-101.1,-122,-163,-164.1,-195.3,-223.8,-235,-243.7,-279,-313.1,-331.9,-385.6,-391,-429.6,-435.3,-422.9,-385.4,-412.7,-345.5,-406.5,-453.9,-457.2,-488.7,-533.3,-518.3,-513.6,-499.2,-536.3,-614.5,-632.4,-715.1,-694.6,-703.9,-734.7,-829,-789.6,-811,-853.3,-739.7,-799.3,-762.6,-684.8,-651.9,-717.4,-753.3,-737.1,-621,-409.5,NA
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Net lending or net borrowing (-), NIPAs \2\","W162RC1",-119.3,-119,-101.8,-84.7,-103,-109.4,-133.6,-114.4,-132.2,-102.5,-123.5,-164.1,-165.1,-196.3,-224.8,-236,-244.7,-280,-314.1,-349.7,-386.9,-392.3,-431.1,-436.6,-424.3,-386.9,-361.5,-347.2,-408.2,-455.6,-459.1,-490.7,-535.5,-525.3,-517.6,-501.2,-538.5,-616.4,-621.7,-717.4,-705.2,-706.2,-675.3,-831.1,-796.7,-815.4,-855.8,-742.5,-801.8,-763.3,-687.6,-654.6,-720.3,-756.4,-725.5,-625.1,-412.6,NA
"40","31","    Balance on current account, NIPAs","A124RC1",-118.4,-118.6,-99,-84.3,-102.1,-108.5,-132.6,-113.4,-131.2,-101.1,-122,-163,-164.1,-195.3,-223.8,-235,-243.7,-279,-313.1,-331.9,-385.6,-391,-429.6,-435.3,-422.9,-385.4,-412.7,-345.5,-406.5,-453.9,-457.2,-488.7,-533.3,-518.3,-513.6,-499.2,-536.3,-614.5,-632.4,-715.1,-694.6,-703.9,-734.7,-829,-789.6,-811,-853.3,-739.7,-799.3,-762.6,-684.8,-651.9,-717.4,-753.3,-737.1,-621,-409.5,NA
"41","32","    Less:Capital account transactions (net) \3\","W167RC1",0.9,0.4,2.7,0.5,0.9,0.9,0.9,1,1.1,1.3,1.4,1.1,1,1,1,1,1,1,1,17.8,1.3,1.3,1.5,1.3,1.4,1.5,-51.2,1.6,1.7,1.7,2,2,2.2,7,4,1.9,2.2,1.9,-10.7,2.3,10.6,2.3,-59.4,2.1,7.2,4.3,2.4,2.8,2.5,0.8,2.8,2.7,2.8,3,-11.6,4,3.1,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Prior to 1982, equals the balance on current account, NIPAs (line 31); estimates of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","capital account transactions (line 32) are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
