"","Table 7#2#3B# Real Motor Vehicle Output, Quantity Indexes       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"48","41","    Used \1\","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RA3",62.851,65.749,70.331,77.242,85.481,86.635,87.776,90.951,92.16,96.442,100,100.694,97.463,79.152
"51","43","  Private fixed investment in new autos and new light trucks","AB76RA3",61.292,70.516,77.642,83.202,93.457,93.772,88.631,87.765,84.443,91.912,100,107.767,108.465,86.765
"52","44","  Domestic output of new autos \2\","B148RA3",102.539,99.751,99.058,99.415,103.486,105.39,97.936,101.803,90.042,90.092,100,100.452,97.209,92.713
"53","45","  Sales of imported new autos \3\","B149RA3",62.87,61.157,66.502,74.768,86.85,92.59,90.65,97.781,95.721,98.665,100,110.383,114.786,102.807
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
