"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253"
"11","3","  Goods","DGDSRC1",95.6,98.3,100.4,103.5,105.1,107.2,108.7,108.7,107.2,108.3,107.6,109.3,110.8,112.6,124,119.9,127.6,122.2,123.4,125.8,125.5,127.6,127.9,134.1,135.7,135.6,134.4,133.6,134.2,135,135.4,138.5,142.9,146.8,149.4,150.5,150.2,151.1,152.1,155.2,158,158.6,161.2,160.5,159.3,159.8,162.4,164.8,169.7,172.6,174.5,173.6,175.1,178.4,177.5,177.1,175.6,177.6,179.2,182.8,185.5,187.8,189.5,193,195,196.7,199.9,201,206.6,210.9,216.3,215.2,222.7,225.6,230.8,239.7,246.4,247,252.1,253,253.5,258.5,260.5,263.5,274.4,280.9,290.4,292.8,298.8,302.7,306.6,310.6,314.1,317.6,321.7,321.8,333.9,339.8,343.9,350.9,357.7,368.4,377.7,391.5,407.3,412.7,420.7,425.9,435.5,448.6,464,458.1,468,481.5,502.8,513.1,530.7,539,550.5,565.1,580.4,592.9,603.9,624.3,629.2,661,672.4,691.7,707.9,722.2,753.3,768.4,792,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2045.2,2090.6,2121.8,2182.5,2207.1,2275.6,2314.4,2362.8,2417.9,2442.7,2475.5,2500.4,2506.8,2518.4,2524,2586.9,2569.6,2599.2,2632,2639.1,2675.1,2682.2,2769.8,2782.5,2835,2862.8,2899.4,2971.8,2997.4,3047.3,3124.5,3126.6,3180.8,3206.5,3250.5,3249.1,3306.3,3338.2,3366.6,3448.9,3447.2,3474.9,3463,3227.5,3197.7,3185.8
"12","4","    Durable goods","DDURRC1",20.7,21.4,21.8,23.5,23.5,24,25.3,25,24.4,26.4,27.3,28.4,29.3,29.8,37.4,33.3,35.6,30.7,30.2,30.4,30.8,31,29.5,33.7,35.2,35,34.6,33.7,32.9,33.6,33.2,35.1,38.4,40.7,42.4,41.4,39.7,39.8,39.7,41.5,42.6,42.2,41.9,41.5,39.4,38.6,39.4,40.7,43.6,45.5,46.3,44.1,45.5,46.4,45.9,44.7,42.2,43.3,44.6,46.7,47.7,49,49.6,51.5,52.6,53.9,54.7,55.7,58,59.5,61.4,59.4,64.9,64.8,66.7,69.1,72.3,69.7,72.3,72.6,71.1,74.5,74.7,75.6,80.9,83.1,87.5,87.8,90,90.4,90.6,90.8,89.6,91,92,87.3,98.1,101,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.2,626.9,642.5,652.3,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.1,737.9,769.8,786,826.4,821.3,856.4,873.1,878.6,923.5,905,915,919.5,930.9,923.9,928.9,1001.7,981.3,986.4,1010.4,990.3,979.4,1007.3,1037.5,1035,1045.9,1052.3,1065,1083.1,1089.2,1117.9,1122.5,1092.3,1132.5,1125.1,1132.4,1142.2,1153,1154.9,1161.4,1172.7,1145.8,1126.5,1088.5,1019.9,1025.2,1007.4
"13","5","    Nondurable goods","DNDGRC1",74.9,76.9,78.6,80,81.5,83.2,83.5,83.7,82.7,81.9,80.3,80.9,81.5,82.8,86.6,86.7,92,91.4,93.2,95.5,94.8,96.6,98.5,100.3,100.5,100.6,99.8,100,101.3,101.3,102.2,103.4,104.5,106.1,106.9,109,110.5,111.3,112.4,113.7,115.4,116.5,119.4,119.1,119.9,121.2,123,124.1,126.1,127.2,128.2,129.5,129.6,132,131.6,132.4,133.4,134.2,134.6,136.2,137.8,138.7,140,141.5,142.5,142.8,145.2,145.3,148.7,151.5,154.9,155.8,157.8,160.8,164.1,170.5,174.1,177.2,179.8,180.4,182.4,184,185.8,187.9,193.5,197.8,202.8,205,208.8,212.2,216,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318,327.7,330.9,336.2,344.8,356,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.3,1320.8,1335.8,1356.2,1385.8,1419.2,1441.3,1484.2,1494.3,1537.7,1560.5,1580.9,1575.9,1594.5,1595.1,1585.2,1588.3,1612.8,1621.6,1648.8,1695.7,1674.8,1732.3,1747.6,1789.2,1810.5,1834.4,1888.7,1908.1,1929.4,2002,2034.2,2048.3,2081.4,2118.1,2106.9,2153.3,2183.3,2205.2,2276.2,2301.4,2348.4,2374.5,2207.6,2172.4,2178.3
"14","6","  Services","DSERRC1",60.7,61.9,63.3,64.4,65.4,67.1,68.5,69.4,69.8,70.3,70.4,71.1,72.3,74.4,76.7,78.2,81.8,83,84.4,85.9,87.6,89.7,91.8,93.9,95.8,97.7,99.6,99.8,101.3,103.3,105.3,107,108.9,110.1,111.8,114.7,116.5,118.3,120.5,122.8,124.4,126.1,128.1,130.4,131.3,133.6,136,137.5,140.3,143.5,146.8,149.8,151.9,154.4,155.3,157.6,159.6,162.6,163.9,167.5,170.1,173.4,175.6,178.4,179.9,182.4,186.2,189.7,193.7,197.4,201,204.7,207.9,211.9,215.9,220.9,224.6,229.2,233.2,238.1,241.9,246,251.3,255.8,263,270.3,276.9,283.4,289.6,297.1,303.5,311.5,319.1,325.6,333.4,340,346.9,355,363.4,372.6,383.1,391,400.3,411.2,420,430.2,440.6,450.6,459.2,474.6,488,503.8,520.1,535.3,547.9,566.5,582.6,594.1,612,631.1,651.3,666.7,687,704.8,729.8,755.7,775.4,795.3,814.7,841,864.4,892.8,916,932.2,966.9,1009.1,1032.3,1060.2,1082.4,1105.7,1129.9,1154.7,1188.9,1231.3,1266.3,1293.7,1335.7,1363.4,1387.6,1420.5,1456.1,1485.3,1533,1561.4,1598.9,1626.6,1656.4,1684.4,1713.9,1749.8,1788.9,1820.5,1857.1,1896.2,1944.7,1986.3,2039.2,2080.8,2118.7,2148.9,2184.8,2230.3,2269.2,2332.6,2378.5,2396.3,2423.9,2466.3,2500,2540.4,2606.3,2645.3,2694.5,2748.4,2777.9,2817.9,2867.1,2902,2944.7,2983,3027.4,3061.8,3100.6,3153.6,3196.7,3236.2,3285.5,3332.9,3378.5,3426.8,3480.4,3529.5,3592.9,3652.8,3712.3,3779.6,3846.2,3895.7,3950.3,4014.3,4084.4,4162.1,4265.1,4332.9,4406.2,4480.7,4551.4,4600.3,4627.3,4680.3,4739.4,4804.1,4859.2,4914.1,4971.8,5041.7,5112.6,5180.3,5270.3,5346.6,5431.3,5523.1,5612.3,5699.9,5784.4,5883.7,5967.4,6060.1,6141.3,6235,6352.2,6424.3,6499,6570.3,6647.9,6719.8,6757.1,6782.3,6790,6803.2
"15","7","Gross private domestic investment","A006RC1",33.7,32.4,32.7,41,45,48.1,50.2,49.1,40.9,34,37.3,35.2,44.4,49.9,56.1,65.9,62.1,64.8,59.4,54.4,55.2,49.9,53.9,57.1,57.9,58.1,57.4,52.3,51.5,51.2,54.7,57.8,64.2,68.1,70,73.9,73,71.4,72.5,71.2,71.8,71.9,73.2,64.9,60.5,58.7,65.5,73.2,76.2,82.2,76.4,79.3,89.1,79.7,78.7,68.1,70.3,75.8,82.4,84.2,89.4,87.9,89.3,86,90.5,92.2,95,97.4,100.7,100.6,102.5,104.6,115.7,115.8,119.7,121.8,131.7,130.7,130.2,132.7,129.3,123.7,128.5,132.9,137.2,143.4,139.7,144.4,155.7,155.7,160.3,154.1,150.7,153.9,156.1,148.9,171.3,178.8,183.4,179.2,193.2,206.5,212.4,218.4,232.5,246,241.8,257.6,244.1,252.3,245.4,255.8,218.7,216.8,237.8,247.6,274.8,291.6,296.5,304.9,326.6,354.9,378.4,385.5,396.8,430.9,451.4,472.8,481.1,493,497.9,499.5,505.2,470.4,443.5,497.9,563.1,551.4,592.8,582.2,526.5,530.8,528.7,482.9,496.6,542.2,577.7,640.7,709.7,735.1,753.5,744.3,720,735.3,727.2,762.2,763.8,753,732.5,736.7,765,767.6,769.5,837.8,797.6,820.4,825.7,842.6,884.1,878.2,870.3,867.3,880,882.5,866.8,814.6,787.9,784.1,805.3,834.3,810.2,865.4,876.8,906.7,931.3,942.3,943.4,996.4,1043.6,1106.9,1092.9,1145.7,1160.6,1132.7,1126.2,1156.7,1170,1227.8,1279.8,1283.1,1320.6,1385,1414.9,1434.1,1494.9,1471.5,1512.7,1564,1617.3,1604.7,1644.5,1699.5,1688.8,1810.9,1791.7,1797.4,1701.3,1699.4,1670.4,1576.6,1628,1648.1,1650.4,1661.3,1671.5,1678.6,1745.1,1823.6,1853.6,1956,2001.3,2063.2,2130.7,2115.2,2166.6,2276.3,2336.5,2352.1,2333.5,2286.5,2267.2,2302,2311.9,2272.9,2214.8,2164.6,2142.7,2022.1,1689.9,1585.5
"16","8","  Fixed investment","A007RC1",33.2,33.6,35.6,39.6,41.3,42.2,43.1,43.1,40.5,39.2,38.6,39.9,42.3,47,52,51.9,51.7,50.1,49.6,49.6,50.5,51.4,48.3,51.9,54,54.6,55.1,54.4,53.5,54.6,56.8,58.1,60.4,63.5,65.7,66.6,66.6,67.8,68.9,69,69.6,69.3,70.4,69.4,64.5,63,63.9,68,72.3,74.9,76.1,75.2,77.9,76.5,74.4,73.9,72.8,74,75.7,78.2,80,82.5,83.1,82.6,83.6,87.3,89.3,92.3,95.5,96.1,97.8,99.6,104.1,107.3,110.4,114.2,117.9,118.4,118.3,116.1,113.9,117.3,119.2,124.5,128.8,129.3,132,138.3,144.2,146.4,150.1,148.3,148.8,148.8,151,152.9,159,167.9,173.2,179.5,189.9,194.5,198.6,210.9,222,227.8,232,232.6,231.5,234.9,239.9,235.4,228.7,230.7,239.2,247.3,260.1,269.1,275.7,294.4,311.8,335.4,347.5,361.4,371.3,406.6,426.4,444.3,457.3,465.6,485.7,491,495.3,462.7,477.3,507,524.4,539.7,548.8,557.4,548,535,522.9,522.8,531.7,549.9,581.9,616.8,636.7,665.8,682.1,696.3,703.8,713.7,710.9,729.1,733.5,737.3,739.5,749.5,737,751.1,768.5,774.7,780.6,800.7,807.5,823.5,835.9,842.1,860.4,850.6,866.1,848.8,844.9,825.9,803.4,802.1,804.4,803.2,810,842.2,856.3,885.3,895.4,918.2,936.8,979.8,998.3,1025.5,1039.7,1070.5,1099.5,1098.9,1114.9,1138.2,1163.2,1197.4,1228.7,1248.5,1270.8,1296.6,1346.9,1356.3,1389.9,1434.2,1460.3,1503.9,1534,1569.7,1603.9,1615.2,1672.8,1720.5,1734.5,1742.9,1732,1711,1700.5,1657.4,1641.4,1634.9,1632.1,1631.4,1642.8,1681.7,1740.9,1787.9,1802.2,1880,1940.6,1991.8,2040,2099.4,2155.6,2194.1,2270.6,2279.7,2264.4,2254.2,2254.1,2278.6,2280.8,2263,2223,2214,2179.7,2066.6,1817.2,1741.6
"17","9","    Nonresidential","A008RC1",22.8,23.2,23.3,24.5,26.2,26,27,28.1,26.6,25.5,24.1,23.5,24.2,26.6,29.6,30.6,30.9,31.8,32.5,32.2,32.4,32.9,29.8,32.5,34.3,34.8,35.9,35.4,34.5,34.3,35,34.9,35.4,37.9,40.4,42.5,42.9,43.9,45.4,45.9,47,47.1,48.4,47.5,43.6,42,41.4,43.1,44.5,46.1,47.8,47.7,49.5,50.3,49,48.6,47.5,48.4,48.8,50.4,51.6,53.2,53.9,53.5,53.4,55.1,56.8,58.7,60.1,61.9,64.1,65.7,70.3,73.1,76.1,79.7,83,85.2,86.4,87,85.6,85.7,85.8,88.4,91.9,91.2,93.2,97.4,101,103,106.9,107.6,108.1,109.4,110.6,107.9,110.4,113.4,114.8,118,123.3,126.3,129.1,136.6,144.1,152.1,157,159.9,162.6,167.4,172.5,175.4,171,170.8,174.6,178.6,183.9,188.5,195.1,201.9,214.2,223.8,232.5,244.5,250.4,276,290.6,305.3,318.8,324.9,342.3,349.6,361.3,350.9,361.1,376.2,393.1,410.8,428.4,447.8,443.2,432,419.4,411.2,400.5,402.9,419.5,446,460.1,484.4,500.7,513.3,520.5,528.5,522.2,533.6,527.2,517.5,513.5,521.2,506.8,518.2,534.2,537.2,546.2,562.3,567.5,579.1,591.3,601.9,621.9,615.8,626.9,617.9,626.1,618.9,608.2,601.4,594.1,589,585.6,607.1,619,636.7,642.8,660.3,667.5,695.7,704.8,720.5,734.7,765.6,797.7,805.5,811.2,825.8,841.4,860.5,889,910.6,930.1,949.9,995.6,998.8,1025,1055.8,1066.7,1097.1,1120.7,1147.4,1174.5,1177,1223.5,1270.1,1288.4,1292.7,1273.7,1240.6,1219.6,1177.3,1149.5,1128.3,1120.6,1103.3,1097.7,1123.8,1150.8,1170.4,1164.6,1204.4,1244,1279.1,1305.2,1334.9,1362.9,1386.3,1457.2,1495.3,1522.7,1546.1,1574.1,1623.5,1665.2,1697.9,1705,1719.7,1711,1638.7,1442.6,1395.9
"18","10","      Structures","B009RC1",7.9,7.9,8.3,8.4,8.8,9.3,9.9,10.1,9.7,9.4,8.9,8.7,9.1,9.5,10.3,11,11.5,12.2,12.3,11.9,12,12.1,12.2,12.6,13.1,13.5,13.7,14,13.9,13.9,13.9,13.8,14.3,14.7,15.4,16.2,17.4,18,18.6,18.7,18.8,19,19.1,18.9,18.1,17.6,17.3,17.6,17.4,18,18.6,18.5,19.4,19.5,19.4,20,19.9,19.6,19.7,19.6,20,20.8,21.4,20.9,20.2,21.2,21.4,21.9,22.4,23.4,24.3,24.8,26.1,28.2,28.5,30.4,31.1,31.2,31.9,31.2,31.7,30.9,31.5,32,33.1,33.2,33.2,34.8,35.8,36.7,38.9,39.4,39.5,40.3,40.6,40.8,41.5,42.3,43.1,43.8,45.8,46.6,47.3,49,51.3,54.1,56.8,57.7,59,61.3,61.4,63.2,61.7,60.4,61.3,62,64.1,65.1,66.7,67.8,69.7,73.6,76.4,78.5,80,90.3,98.6,105.5,107.9,112.8,121.8,128.3,132.6,132.3,135.8,144.1,150,161,169.7,188.5,186.6,182.5,172.9,168.3,158.6,149.5,152.6,156.6,165.7,175.8,182.5,185.5,194.9,195.2,192.2,195.8,191.7,174.5,169,170.9,166.9,169.6,177.6,182.7,178.6,184.2,183.5,184.9,189.5,189.6,197.7,198.1,204.1,204.6,205.5,197.4,194.9,189.9,177.5,172.2,169.9,170.6,173,176.7,173.7,175.1,177.5,182.4,176.2,187.4,189.4,194.1,201.4,206.7,210.5,210.5,214.4,219.9,225.5,238.6,243,243.1,255.1,259.9,260.7,277.7,280.1,282,282.8,281.2,283,288.8,297.8,313,328.2,333.5,329,335.3,342.6,312,297.8,284.8,274.6,273.7,274.2,282.6,284.1,286.6,290.8,300.9,312.4,322.4,338.4,346.5,352.3,369.7,396.8,428.6,447.6,461.7,489.5,519.9,556.1,575.9,586.3,610.6,620.4,620.7,533.1,508.6
"19","11","      Equipment and software","B010RC1",14.9,15.2,15,16.1,17.3,16.7,17.1,18,16.8,16.1,15.2,14.8,15.1,17.1,19.3,19.6,19.4,19.7,20.2,20.2,20.4,20.8,17.7,19.9,21.2,21.3,22.1,21.4,20.6,20.4,21.1,21.1,21.1,23.1,25,26.3,25.4,25.9,26.8,27.2,28.2,28.1,29.3,28.6,25.5,24.4,24.1,25.5,27.1,28.1,29.1,29.2,30.2,30.9,29.6,28.6,27.6,28.8,29.1,30.8,31.6,32.4,32.5,32.6,33.2,33.9,35.4,36.8,37.7,38.5,39.8,40.9,44.1,44.9,47.5,49.3,51.9,54,54.5,55.7,53.9,54.8,54.3,56.5,58.8,58,59.9,62.6,65.2,66.4,68,68.2,68.7,69.1,70,67.1,68.9,71,71.7,74.2,77.6,79.7,81.8,87.6,92.8,98,100.1,102.2,103.6,106.1,111.1,112.1,109.3,110.4,113.3,116.6,119.8,123.4,128.4,134.1,144.5,150.1,156.1,165.9,170.3,185.8,192,199.8,210.9,212.1,220.5,221.3,228.8,218.6,225.3,232.2,243,249.8,258.6,259.3,256.6,249.6,246.5,243,241.9,253.4,266.8,289.3,294.3,308.6,318.2,327.8,325.6,333.3,329.9,337.8,335.5,343,344.4,350.3,339.9,348.6,356.7,354.5,367.6,378.2,384,394.2,401.8,412.3,424.2,417.8,422.7,413.3,420.6,421.5,413.3,411.5,416.6,416.9,415.7,436.5,446,460,469.1,485.2,490,513.3,528.6,533.1,545.3,571.6,596.3,598.7,600.6,615.4,627,640.6,663.5,672,687.1,706.9,740.5,738.9,764.3,778.1,786.5,815.1,837.9,866.2,891.5,888.2,925.7,957.1,960.2,959.2,944.7,905.4,877.1,865.3,851.7,843.5,846,829.5,823.4,841.2,866.8,883.9,873.8,903.5,931.5,956.7,966.8,988.4,1010.6,1016.5,1060.5,1066.7,1075.1,1084.4,1084.6,1103.5,1109.1,1122,1118.7,1109.2,1090.6,1018,909.5,887.4
"20","12","    Residential","A011RC1",10.4,10.4,12.3,15.1,15.2,16.3,16.1,15,14,13.7,14.5,16.3,18.1,20.4,22.3,21.3,20.8,18.2,17.2,17.5,18,18.5,18.5,19.4,19.7,19.8,19.2,18.9,19,20.3,21.8,23.2,25,25.6,25.2,24.2,23.7,23.9,23.5,23,22.6,22.2,22,21.9,20.9,21,22.5,24.9,27.8,28.8,28.3,27.5,28.4,26.1,25.3,25.3,25.3,25.5,26.9,27.8,28.4,29.2,29.2,29.1,30.2,32.2,32.5,33.7,35.4,34.2,33.7,33.8,33.9,34.2,34.3,34.5,34.8,33.2,31.9,29.2,28.3,31.6,33.4,36,36.9,38.2,38.9,40.9,43.2,43.4,43.2,40.7,40.7,39.4,40.4,45,48.6,54.6,58.3,61.5,66.6,68.2,69.6,74.3,77.9,75.8,75,72.7,69,67.5,67.4,60,57.7,59.9,64.6,68.7,76.2,80.7,80.6,92.5,97.6,111.7,115,116.9,121,130.6,135.8,139,138.5,140.6,143.5,141.4,134,111.7,116.3,130.8,131.3,128.9,120.4,109.6,104.8,102.9,103.5,111.5,131.2,147,162.4,170.8,176.6,181.4,181.4,183,183.3,185.1,188.8,195.5,206.3,219.8,226.1,228.3,230.1,232.9,234.2,237.5,234.4,238.4,240,244.4,244.6,240.2,238.4,234.8,239.2,230.9,218.8,207,195.2,200.7,210.3,214.2,224.4,235.1,237.3,248.6,252.6,257.9,269.3,284.1,293.5,305,304.9,304.9,301.8,293.5,303.8,312.4,321.8,336.9,339.7,337.9,340.7,346.7,351.3,357.5,364.9,378.4,393.6,406.8,413.3,422.3,429.4,438.1,449.2,450.5,446,450.2,458.3,470.4,480.9,480.1,491.9,506.6,511.5,528.1,545.2,557.9,590.1,617.4,637.6,675.6,696.6,712.6,734.8,764.5,792.6,807.9,813.3,784.4,741.7,708.1,680,655.1,615.6,565.2,518.1,494.2,468.6,427.8,374.6,345.6
"21","13","  Change in private inventories","A014RC1",0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.3,15.7,-7,-12.7,28,16.5,1,63.1,17,19.7,18.2,19.1,48.2,36,10,16.6,13.9,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.4,35.9,24.1,6.6,16.6,45.3,81.4,53.2,75.2,61.1,33.7,11.3,18.5,6.9,30.5,51.1,34.6,49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,13.1,23.5,31,9.8,-8.2,-49.3,-37,-44.5,-127.4,-156
"22","14","Net exports of goods and services","A019RC1",10.9,11.3,11.8,9.3,7.3,5.2,4.9,4.5,6.5,6.3,5.2,3,2.2,1.6,-0.7,-0.2,0.2,1.9,3.7,4.2,3.7,2,0,-1,-0.7,-1.3,-0.6,-0.3,-0.4,0.3,0.6,1.1,1.1,-0.2,0.7,0.2,0.4,1.9,2.6,4.5,4.8,4.1,4,3.4,1.1,0.5,0.9,-0.3,0.4,0,0.6,0.6,2.7,4.2,4.2,5.8,5.8,5.5,3.9,4.4,4,5.8,3.8,2.8,3.9,6.5,3.9,5.4,7.3,7.1,6.4,6.9,4.6,7.5,4.9,5.5,4.4,5.2,2.2,3.6,4.6,4.5,2.9,2.2,1.1,1.9,1.3,1.1,0.2,1.2,1,3.3,3.4,5.4,3.8,3.2,4.4,-0.2,-0.1,-1.7,-3.5,-4.3,-2.6,-3.1,-1.4,2.5,6.4,9,6.4,-2.7,-7,0,16.5,21.6,12,13.8,4.7,-0.5,-4.1,-6.6,-21.1,-21.1,-20.6,-29.6,-38.7,-22.6,-23.8,-16.4,-18.2,-22.2,-23,-26.8,-35.8,-15.2,5.5,-6.7,-14.3,-13.5,-7.6,-14.8,-16.3,-4.4,-29.7,-29.6,-24.6,-45.4,-65.2,-71.4,-95,-104.3,-103.9,-107.8,-91.9,-115.4,-118.6,-134.9,-127.4,-129.8,-139.3,-133.6,-141,-147.3,-145.7,-145.7,-124.4,-107.2,-100.2,-108.7,-102.1,-89.5,-76.3,-83.6,-89.2,-68.4,-74.4,-78.5,-45.6,-21.6,-19.5,-21.2,-18.5,-31.1,-36.5,-45.3,-54.3,-62,-67.9,-73.4,-80.7,-91.3,-96.7,-102.3,-106.2,-110.6,-75.4,-70.6,-89.1,-93.8,-114,-88.3,-108.1,-84.7,-96.2,-116.5,-134.5,-161.8,-173.9,-177.1,-212,-250.9,-282.9,-302.5,-357.9,-364.4,-395.9,-410,-395.4,-363.8,-367,-357.8,-374.9,-418.1,-435.8,-479.9,-503.6,-504.3,-499.5,-509.1,-546.3,-606.1,-635.9,-686.5,-677.4,-690.2,-734,-789.3,-775.8,-781.4,-805.7,-714.3,-729.4,-724.8,-698.4,-702.5,-744.4,-738.7,-757.5,-590.5,-378.5,-347.8
