"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Current receipts","W005RC1",1407.8,1526.4,1656.2,1777.9,1895,2057.1,2020.3,1859.3,1885.1,2013.9,2290.1,2524.5,2660.8,2475
"9","2","Current tax receipts","W006RC1",844.6,931.9,1030.1,1115.8,1195.4,1309.6,1249.4,1073.5,1070.2,1153.8,1383.7,1558.3,1647.2,1421.7
"10","3","  Personal current taxes \1\","A074RC1",585.8,663.3,744.2,825.2,893,995.6,991.8,828.6,774.2,799.2,931.9,1049.9,1168.1,1102.5
"11","4","  Taxes on production and imports \2\","W007RC1",75.6,72.9,77.8,80.7,83.4,87.3,85.3,86.8,89.3,94.3,98.8,99.4,94.7,92
"12","5","    Excise taxes","B234RC1",55.7,53.6,58.2,61.1,64.3,66.1,64.6,66.9,67.9,71,73.5,72.7,65.9,62.7
"13","6","    Customs duties","B235RC1",19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4,23.3,25.3,26.7,28.8,29.2
"14","7","  Taxes on corporate income","B075RC1",179.3,190.6,203,204.2,213,219.4,164.7,150.5,197.8,250.3,341,395,370.2,212.3
"15","8","    Federal Reserve banks","B677RC1",23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1,21.5,29.1,34.6,31.7
"16","9","    Other","A678RC1",155.9,170.5,182.3,177.7,187.6,194.1,137.6,126,175.8,232.2,319.5,366,335.6,180.6
"17","10","  Taxes from the rest of the world","W008RC1",3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14,14.2,15
"18","11","Contributions for government social insurance","W780RC1",521.9,545.4,579.4,617.4,654.8,698.6,723.3,739.3,762.8,807.6,852.6,904.6,944.4,974.5
"19","12","Income receipts on assets","W009RC1",23.3,26.5,25.4,21.2,20.6,24.5,24.5,20.3,22.8,23.2,23.7,26.1,29.1,30.3
"20","13","  Interest receipts \3\","B094RC1",20.8,22.5,21,17.3,17.1,19.3,18.1,15.4,16.4,16.3,16.4,18.2,21.6,19.7
"21","14","  Dividends","W053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.2,0.6
