"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Foods, feeds, and beverages","B638RX1",55.1,55.3,56.4,51.2,54.5,52.6,52.4,55,53.5,52.8,53,56.6,56,52.7,49.9,55,51.6,54.5,57.6,56.2,56.2,57.3,61.6,57.5,59.7,60.7,58.8,59.9,59.6,59.8,58.3,56.5,59.2,58.5,60.5,60,55.6,51.8,55.5,60.6,58.5,60.2,57.4,59.8,61.6,64.1,64.9,64,63.8,66.7,72.9,73.3,74.9,75.6,74.1,70.7,66.9,70.2
"12","4","  Industrial supplies and materials","A639RX1",164.6,165,171.1,173.1,174.4,173,176.8,183.8,185.5,193.3,196.2,194.8,194.5,189.6,187.2,190,185,189.4,191.7,201.8,206.3,206.6,215.8,214.6,208.9,202.6,199.4,198.6,197.9,205.8,204.3,203.9,208.6,205.6,207.1,211.2,219,222.4,220.9,224.3,226.6,233.4,227.4,222.5,238,245.6,242.5,252.3,249.7,254.1,259.8,268.5,280,295.6,295.9,276.2,248.4,249.7
"13","5","    Durable goods","B686RX1",56.1,56.9,59.8,57.9,58.5,60.6,62.3,63.2,64.2,66.9,67.5,68.4,70.4,67.2,66,67.8,67.2,68.8,70.2,74.4,79.2,80.3,81.2,81.6,78.5,74.4,71.4,69.8,66.1,70.1,69.6,69.1,69.9,71.1,70,71.1,76.2,77,75.9,76.6,77.6,80.9,84.1,86.1,88.6,89.4,88.8,93.3,92.3,93.1,96,99.1,100.5,108.9,108.8,102.3,86.9,86
"14","6","    Nondurable goods","B687RX1",108.8,108.3,111.5,115.6,116.3,112.6,114.7,120.9,121.5,126.7,129.1,126.6,124.1,122.5,121.4,122.2,117.8,120.6,121.5,127.4,127,126.2,134.4,132.8,130.3,128.1,127.9,128.7,131.9,135.8,134.7,134.8,138.8,134.5,137.2,140.2,142.9,145.5,145.1,147.7,149.1,152.5,143.3,136.5,149.3,156.2,153.7,158.9,157.4,161.1,163.7,169.4,179.4,186.7,187,174,161.4,163.5
"15","7","  Capital goods, except automotive","A640RX1",178.2,189.3,199.2,208.7,214.4,220,222.4,241.8,256.8,273.9,286.2,284.7,286.2,279.3,285.6,297.2,292.4,292.6,308.2,318.7,323.1,349.2,365.2,359.1,354.9,323.5,296.1,284.1,280.8,290.1,294.3,284.2,281.8,282.6,294.2,317.7,323.2,327.3,331,332.8,341.7,357.6,357.1,377.3,391.5,401.1,400,411.9,415.6,420,438.4,450.6,453.1,463.5,466.6,429.8,395.6,372.6
"16","8","    Civilian aircraft, engines, and parts","B688RX1",35.4,40.1,37.5,35.1,36.3,41.7,40.8,49.1,52.3,55.6,56.3,53.8,63,62.3,73.3,80,72.5,63.7,66.8,66.4,54.8,63.2,58.6,56.9,65.8,63.1,58,54.7,55.8,56.7,59.7,53.1,50.4,47.5,49,55.1,49.8,46.8,48.2,47.6,52.4,60.2,53.4,57.6,60.9,61.7,60.3,65,64.5,63.6,69.5,70.9,68.3,68.1,68.4,55,66.3,59.7
"17","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Other","B689RX1",132,139.1,147.2,154.7,156.5,158.4,160.2,171.8,179.7,190.5,200,201.4,197.6,190.4,187.4,191.6,192.4,196.7,207.7,217.3,227.2,241.5,257.5,254.5,244.4,221,201.4,194.7,192.8,199.9,202.1,196.8,197.1,201.1,208.3,224,235.4,242.1,242.8,243.8,246.4,251.7,257.3,272.6,281.5,289.3,290.7,295.8,298.8,306,316.7,327.3,331.7,339,341.6,325.2,279.3,265.5
"19","11","  Automotive vehicles, engines, and parts","B641RX1",68.2,63.8,65.9,65.2,65.7,66.6,71.4,69.1,73.6,76.3,79.7,79.1,80.7,75.3,70.6,78,76.6,78.1,79.3,80.2,86.7,83.1,81.9,81.1,76,79.2,78.9,77.3,77.2,83.3,82.8,80.8,81.4,83.6,79.8,83.9,85.2,88.8,93.1,93.8,95.3,95.6,98.7,104,106,104.5,105,108.4,113.2,116.9,119.6,124,120.7,120.5,122.8,104.7,67.3,64.6
"20","12","  Consumer goods, except automotive","A642RX1",65.4,66.1,67.6,67.6,69.3,70.3,71.1,73.8,76.1,79,79,79.7,79.2,81.1,81.9,81.1,80.6,81.2,82.8,86.1,89.2,90.3,93.1,91.3,94.6,93.7,86.9,85.6,84.8,86.7,87.7,87.1,88.9,89.8,92.9,95.5,99.2,104.1,105.1,109.2,111.7,114.2,116.1,119.2,123.4,125.7,127.3,133.4,137.8,138.7,142.8,145.4,150.5,154.7,157.9,147.8,138.1,137.7
"21","13","    Durable goods","B690RX1",33.5,33.7,33.7,33.8,34.4,35.2,36.1,37.6,38.2,40.6,40.9,40.6,40.5,41.5,42.1,41.8,40.3,41.9,43.1,45.8,47.5,46.7,48.5,47.1,50,49.3,45.4,43.6,44.2,44.9,45.6,44.1,44.1,45.4,47.4,49.9,50.6,53.9,55.7,57.7,59.7,60.9,63.3,64.5,67.2,69.9,70.4,74.3,76.9,79,81.9,86.6,88.4,90.7,90.3,79.3,69.3,68.6
"22","14","    Nondurable goods","B691RX1",31.9,32.4,33.9,33.8,35,35,34.9,36.1,37.9,38.4,38.1,39,38.7,39.7,39.7,39.3,40.3,39.3,39.8,40.3,41.6,43.5,44.6,44.1,44.6,44.3,41.5,42,40.6,41.8,42.1,43,44.8,44.4,45.6,45.6,48.5,50.2,49.4,51.5,52,53.2,52.8,54.8,56.2,55.9,56.9,59.1,60.9,59.7,60.9,59,62.2,64.1,67.6,68.4,68.6,68.9
"23","15","  Other","A643RX1",35,33.5,33.7,34.9,34.2,35.8,36.3,39.3,38.5,39.8,40.9,41.3,41.3,42.2,45.3,47.3,47.2,46.9,45.8,48,46.9,44.8,49.5,50.5,48.4,46.8,44.6,43.3,48.3,48.8,49.9,47.3,43.8,42.5,42.1,42.5,42.4,44.2,42.9,41.1,45.4,47,48.9,48.7,49.9,46.8,48.9,49.7,47.6,46.8,46.2,50,42.6,48.1,37.2,41.2,37,33.6
"24","16","Exports of services \1\","A646RX1",262.7,264.3,279.3,283.8,281.5,290.5,285.4,309.2,303.5,310.2,312.6,309.4,312.5,318.7,312.2,322.2,329.2,333.1,336.9,339.1,340.7,348,340.9,344.5,340.2,340,325.2,311.8,329.5,332.4,336.6,343.8,330.3,327.2,342,358.8,373.4,378.3,376.8,391.4,397,395.4,398.2,405.4,418.5,424.3,425.8,453.9,459.2,462.3,490.9,512.9,501.1,510.5,500.4,494.9,477.2,474.4
"25","17","  Transfers under U.S. military agency sales contracts","B267RX1",13.5,13.9,15.8,14.3,13.6,15.6,17.1,18.6,15.7,19.1,17.8,15.5,18.9,18.7,16.5,18.1,15.9,18,15.5,13.5,12.8,14.7,12.4,13.6,10.6,14.1,13.4,12,11.3,10.9,13.8,12,11.5,11.7,15.5,14,16.1,15.9,15.3,13.8,18.2,17.9,19.7,16.6,20.6,22.6,21.8,23.4,25.5,18.5,19.5,28,22.1,20.6,17.3,18.1,17.9,19
"26","18","  Travel","B493RX1",75.3,75.3,81.7,85.3,83,87,79,92.8,88.7,87.7,88.8,86.3,85.4,86.3,81.8,84.1,85.1,84.9,86.2,88.6,91.4,92.9,89.1,89.4,90.2,85.2,76.3,63.1,71.9,71.3,71.9,78.9,68.7,62.7,69.8,77.2,75.9,78.4,77.9,79.3,81.2,84.8,80.9,80.3,80.6,81.2,81.8,85.2,82.8,85.7,93.1,97.5,96.6,98.5,99.2,95.1,89,84.9
"27","19","  Passenger fares","B533RX1",26.3,25.2,27.9,28.9,28.9,29.6,28,30.5,31.9,30.7,30.8,32.1,30.4,31.9,31.6,29,27.9,27.9,29,27.5,27.7,29.3,28.6,28.6,27.7,26.8,24.8,19,23.3,23.1,22,22.3,19.3,17.4,19.1,19.7,19.9,20.5,21.1,19.7,19.3,20.8,21.8,22,22.1,21.8,22.2,21.7,22.4,22.3,24.3,25.6,26,27,26.4,26.2,25,25.4
"28","20","  Other transportation","B683RX1",32.2,33,33.2,34.3,31.4,32.3,31.8,33.5,32.7,33.4,33.3,33.9,32.6,32,32.3,34,34.1,34,33.5,34.9,34.7,35.1,33.9,33.4,34.3,33.6,32.7,31.7,33.6,33.8,34.5,35.6,34.3,35.5,35.7,37.8,40.2,41,40,41.1,41.8,41.7,40.3,41.4,42.6,43.7,43.9,45.2,45.9,46.8,48,48.9,49.3,49.6,47.4,45.1,39.9,40
"29","21","  Royalties and license fees","B684RX1",36,36.8,38.6,38.4,38.6,38.4,39.6,40.6,39.3,39.8,39.8,39.1,40.6,41.6,41.1,44.7,45.6,45.2,46.8,46.6,48.8,49.3,49.3,48.4,45.2,45.5,43.8,46.2,45.9,49.5,50.6,48.7,48.7,49.6,50.5,52.2,57,56.9,58,63.2,64.3,63.8,64.5,64.9,65.2,66.3,68.2,74,73.8,75.1,81.3,85.4,83.5,84.7,83.3,82.8,80.2,79.4
"30","22","  Other private services","B720RX1",69.1,70.1,72.1,73.4,75.5,77.7,78.7,82.7,84.5,88.3,90.8,92.1,93.5,97.4,98.3,100.3,108.7,110.6,113.7,115.9,113.1,114.8,116.1,119.9,120.9,122.8,121.9,126.1,130.5,131.4,131.5,134.7,136,138,139.3,145.7,151.9,152.9,151.7,161.5,159.8,154.1,158.5,167.8,174.8,176,175.2,191.2,195.8,200.6,211.1,213.8,209.1,215.3,212.2,211.4,209.2,208.8
"31","23","  Other","B980RX1",15.2,14.5,15.1,14.7,15.7,15.1,15.3,15.4,15.8,15.3,15.3,14.8,14.7,14.2,13.9,14.7,13.9,14.1,14.2,14.1,14.5,13.9,13.5,13.1,13.2,13.5,13.7,13.8,13.8,13.3,12.8,12.3,12.1,12.1,12.1,12.3,12.4,12.7,12.7,12.7,12.5,12.2,12.4,12.4,12.6,12.7,12.8,13.3,13.1,13.2,13.5,13.9,14.4,14.6,14.4,16.2,16.1,16.8
"32","24","Residual","A977RX1",-22.8,-20.7,-18.8,-15.8,-13.2,-14.7,-12.6,-14.6,-11.1,-8.6,-6.7,-6.4,-8.3,-8.4,-9.5,-8.9,-6.4,-4.1,-3.1,-2.7,1,3.1,5,5,3.1,0.4,-2,-2,-4,-3.4,-2.7,-3.2,-3.3,-1.8,-1.3,-0.5,-1,-1.1,-0.3,-0.1,-0.2,0.4,0.1,-0.4,0,-0.2,-0.3,-0.4,-1.3,-0.7,0,-0.4,0.9,1.6,0.2,1.8,5.6,7.1
"33","25","    Imports of goods and services","A021RX1",933.2,942.1,945.4,957.4,988.6,1010.7,1043.5,1064,1109.5,1146.7,1189,1214.7,1260.2,1289.1,1306.5,1348.7,1383.1,1427.2,1478.9,1514.4,1575.8,1623.9,1680.6,1679.3,1654.8,1605.5,1566.7,1548,1586.8,1640.4,1667.4,1697.4,1676.9,1700.9,1720.7,1784.4,1829.8,1903.1,1930.7,1979.7,1991,2012.9,2025.2,2082,2121.3,2144.9,2170.5,2168.1,2190.8,2188.1,2208.3,2188,2174.3,2146.5,2134.4,2038.9,1821,1748.2
"34","26","Imports of goods \1\","A255RX1",755.3,765.7,767.4,776,803.6,823.9,851.8,872.5,910,944.6,979,1001.1,1038.1,1062.4,1074.5,1114.1,1144.4,1184.6,1231,1263.9,1312.8,1354.2,1402,1402.4,1381.3,1326,1300.6,1288.9,1314.3,1370.2,1395.5,1413.5,1397.9,1434.5,1440.3,1491,1526.4,1592.9,1618.8,1660.7,1675,1694.9,1706.3,1755.7,1782.7,1804.7,1829.3,1818.6,1841.1,1836.5,1849.4,1831.6,1815.4,1794,1777.1,1682.6,1474.4,1411.8
"35","27","  Foods, feeds, and beverages","B647RX1",34.6,34,34.5,34.9,36.6,37.2,38.8,39.2,39.8,41.1,43.2,43,44.4,44.6,45,45.3,47.2,49.1,49.6,50.3,50.7,52,53.4,53.4,52.7,53.7,57,55.7,56,57.4,58.6,58.6,60.2,61.4,62.7,64.2,64.8,66.3,65.4,66.3,66,67.3,69.2,69.9,72,71.4,72.2,73.3,74,72.7,73.4,72.5,72.2,71.9,71.6,73,68.8,68.3
"36","28","  Industrial supplies and materials, except petroleum and products","A649RX1",152.3,153.7,147.7,148.1,152.6,156.1,161.4,166,166,170.8,173.8,178.1,185.9,192.2,192.9,193.8,191.5,197.1,202.4,210.8,213.6,213.6,215.9,212.9,214.6,204.1,204.6,203.1,205.4,210.2,214.6,219.8,210.1,213.7,219.8,219.9,228.7,247.7,259.6,261.9,264,263.1,261.6,275.5,277.6,277.9,282.8,271.3,266.1,269.9,271.5,258.4,252.9,247.3,252.2,234.3,195.4,175.2
"37","29","    Durable goods","A820RX1",74.4,73.3,68.6,69.5,72.9,75.3,77.8,80.1,79.5,81.5,82.5,86.2,91.1,95.2,96.3,97.9,96,97.3,98.1,104.5,106.9,105.8,104.7,104.6,103.8,98.2,97.9,97.5,102.6,102.8,104.8,107.9,105.2,103.2,104.2,109.9,113.7,124.2,132.4,137.9,136.4,136.1,130.8,140.7,151.6,148.7,151.1,143.4,139.3,137.2,133,127.6,127.8,123.2,123.1,117.1,94.8,82.1
"38","30","    Nondurable goods","B696RX1",78.2,80.9,79.7,79.2,80.2,81.2,84,86.3,86.9,89.9,91.9,92.3,95,97,96.5,95.7,95.3,99.9,104.8,106.5,106.6,108,111.5,108.5,111.1,106.2,107,106,102.6,107.6,110,112.2,105.2,110.6,115.8,110.2,115.1,123.7,127.2,123.6,127.7,127,130.7,134.6,125.9,128.8,131.1,127.6,126.7,133.2,139.9,132,125.9,124.9,130,117.9,101.2,93.8
"39","31","  Petroleum and products","B648RX1",168.7,161.3,170.7,171.8,177.1,180.7,183.7,187.8,188.4,186,188.6,196.5,200,200.7,204.4,206.7,208.8,205.1,205.7,198.8,213.7,211.6,216,222.3,233.7,222.1,212,221.3,210.4,215.3,214.8,227.7,218.4,237.3,239.8,230.7,247.7,241.2,243.3,255.4,250.6,249.1,249,258.8,244.1,247.1,259.8,237.5,238,246.3,244.2,237.6,236.7,231,232.5,238.3,228.2,208.8
"40","32","  Capital goods, except automotive","A650RX1",123.8,131.7,139.5,146.3,150.4,153.8,160.9,171.1,183,195.6,206.7,213,223,227.9,230.1,237.1,242.6,258.4,270.6,280.9,289.8,314.1,330,330.2,313.8,280.6,264.8,261,268.3,276.9,277.6,279.3,280.6,287.4,289.5,308.1,320.7,338.8,349.8,360.3,362.8,380.5,383.6,396,411.1,419.8,428.9,432.4,443,443.3,448.6,454.7,460.5,462.7,453.7,422.4,365.4,346.1
"41","33","    Civilian aircraft, engines, and parts","B932RX1",14.5,15,14,14.3,14.4,16.3,16.8,17.9,17.5,19.2,23.5,22.4,22.2,27.7,27.5,29.4,27,27.8,30.8,28.8,27.6,29.3,31,35,35.3,34.9,34.3,36.1,31.6,27.2,24.5,28.6,25.3,25.8,24.5,27.7,22.2,25.6,24.8,28.3,26,28.2,23.9,24.9,27.5,26.6,26.1,29.1,30.8,32,31.7,31.6,32.7,32.9,29.4,27.2,25.1,26.4
"42","34","    Computers, peripherals, and parts \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","    Other","B853RX1",101.8,107.7,113.3,116.6,119.7,120.5,126.6,135.5,143.7,152,157.5,163.9,169.9,168.2,169.7,169.7,172.2,182.2,190.3,200.6,211.8,229.1,238,238,225.5,195.3,181.4,174.4,178.5,190.6,193.4,191.3,193.8,198.5,199.9,209.8,224.2,233.8,240.7,244.3,248.4,261.3,264.5,272.5,279.3,285.9,291.2,290.9,290.9,294.3,300.2,301.4,302.7,302.5,302.1,286.1,239.7,218.3
"44","36","  Automotive vehicles, engines, and parts","B651RX1",138.6,134.7,127,124.5,130,137.3,140.7,134.6,146.2,146.5,147.7,146.1,151.2,152.8,150.4,170,178.2,182.8,191.2,194.5,205,202.3,204.1,200.1,195.7,197.5,199.1,194.6,200.5,210.6,215.8,215.3,211.7,217.9,211,223.4,225,232.7,232.3,232.4,232.1,234.7,240,250.9,256.8,255.9,250.1,259.8,253,249.9,261.9,257.8,246.3,238.8,223.1,191.1,124,119
"45","37","  Consumer goods, except automotive","A652RX1",153,153.7,154.2,150.7,157.8,160.1,167.7,173,177.2,185.6,192.5,199.1,206.5,213.8,217.2,218.6,227,232.9,245.3,255.8,266.1,280.3,287.3,295.6,292.5,288.4,285.3,281.6,292.2,312.5,324.6,328.6,334.3,335.8,342.7,357.4,362.3,383,380.5,396.4,408.5,412.7,409.3,415.7,430.4,437.1,447.2,463.1,476,467,462.1,475,472.2,474.6,472.4,440.2,409.3,411.4
"46","38","    Durable goods","B697RX1",75.4,75.4,75.4,74.5,78.4,79.7,83.9,84.7,87.3,91,94.2,98.2,102.9,106.8,108.5,110.8,112.8,119.7,125.8,130.7,139.6,144.5,147.5,153.1,148.8,143.9,143.5,143.3,150.7,163.2,167.2,166.8,166.2,168.5,176.7,187.3,189.4,202,202.8,214.4,219.7,220.8,227,228.6,236.8,235.5,242.4,254.6,259.2,253.2,256.8,266.8,259.1,261.8,262.2,238.2,216.2,220.6
"47","39","    Nondurable goods","B698RX1",78,78.7,79.2,76.4,79.7,80.5,84,88.8,90.3,95,98.9,101.4,104,107.3,109,108,114.6,113.3,119.6,125.3,126.4,135.9,139.9,142.6,143.9,144.8,142,138.5,141.6,149.4,157.5,162,168.5,167.6,166.1,170.2,172.9,181.1,177.7,181.9,188.8,191.9,182.3,187.1,193.6,201.6,204.9,208.5,216.7,213.8,205.3,208.3,213.1,212.8,210.2,201.9,192.9,190.7
"48","40","  Other","A653RX1",45.9,47.9,44.5,47.2,48.4,49.1,47.4,47.4,51,53.8,57.9,59.2,59.4,61.1,66.7,71.4,74.3,75.7,77.3,77,81.3,80.1,93.1,87.7,86.5,88.9,86.8,87.3,87.8,90.7,91.1,91,84.9,88.3,83.3,87.2,81.8,83.4,88.4,89.5,91.6,87.7,93.6,88.3,93.1,97.7,88.2,86,97.1,91.7,93.5,85.4,84.8,81.9,79.7,77.5,75.1,73.8
"49","41","Imports of services \1\","B656RX1",180.8,178.5,180.3,184,187,188.5,193.2,192.5,200.4,202.6,210.5,214,222.7,227.2,232.6,235,238.9,242.6,247.8,250.2,262.8,269.4,278.2,276.4,273,280.1,266.2,259,272.5,270,271.8,283.8,278.9,266.6,280.3,293.2,303.1,310.1,311.9,319,316,318,318.9,326.2,338.6,340.1,341.3,349.5,349.8,351.6,359,356.4,359,352.5,357.7,356.9,346.2,335.7
"50","42","  Direct defense expenditures","B752RX1",14.1,12.4,12.5,13.1,14.4,14.2,14.5,14.5,15.8,15.4,17.2,18.1,17.9,17,18.5,17.8,18.1,19.3,20.4,18.7,19,20.3,21.1,19.6,20.1,20.4,21.5,25.4,26.6,27,27.2,27.8,28.6,30.1,31.5,33.2,32.1,33.6,32.8,30.2,29.8,30.4,30,30.1,30.9,29.2,29.5,28.3,29.2,28.3,27.6,27.5,26.6,25.3,26.7,27.7,29.1,27.4
"51","43","  Travel","B768RX1",56.7,55.3,54,57.1,58.7,56.9,58,58.2,61.8,61.2,63.7,65,69.8,71.1,72,71.6,70.4,72,73,74.7,79.5,80.3,80.4,82.8,81,85.9,74.5,66.3,73.7,71.6,69.7,73.7,69.4,58.3,66.2,69.4,70,70.9,70.2,69.8,70.6,69.1,67.2,69,69.6,69.6,68.6,69.7,69.1,67.6,67.8,67.3,67.1,64,64.1,72,69.9,64.1
"52","44","  Passenger fares","B769RX1",19.6,20.6,21.3,21.6,21.6,21.9,22.6,22.3,23.3,24.4,24.8,23.3,24.2,26.1,26.9,26.9,26.8,26.7,27,27.8,28.6,29.7,30.2,28,25.8,27.1,25.7,20.9,20.9,20.5,19.6,22.5,20.6,19.8,22.3,23.2,24.6,26.6,26.2,25.5,25.2,25.9,27,26.6,26.1,26.5,26,25.6,24.3,25.5,26,25.5,26.5,25.5,25.1,24,22.6,22.3
"53","45","  Other transportation","B770RX1",41.1,40.3,40.6,39.1,38,40.4,40.6,39.7,41.3,42.7,42.4,44.9,45.6,45,45.3,47.3,46.6,45,45.9,46.4,48.7,50.8,52.9,51.9,51.1,49.4,45.8,47.4,46.9,50.3,50.4,52.2,53.9,51.8,50.5,51.2,56.4,56.8,58,60.4,64,61.9,59.6,62.3,62.4,64.4,67.4,68.6,66.8,68.8,69.9,69.5,70.2,67.4,65.7,62.4,57.7,54.6
"54","46","  Royalties and license fees","B908RX1",7.8,8.2,8.7,9.4,8.7,8.8,11.1,9.3,10.5,10.4,11.6,11,12.9,12.6,13.4,14.1,14.5,15,15.3,16,17.2,17.4,20.9,19.1,18.4,18,18.1,18.9,21.6,20.8,21.9,20.4,19.3,19.8,21,21.2,22.2,23.2,25.6,25.4,23.7,24.7,25.9,24.1,23.4,21.6,21.3,24.6,23.9,23.4,23.4,22.3,23.7,23.9,27.6,21.9,20.2,19.7
"55","47","  Other private services","B909RX1",36.2,36.8,38,38.3,39.8,40.7,40.7,42.3,42,42.8,44.7,45.9,46.5,49,49.8,50.8,55.2,57,58.3,58.7,61.7,62.7,64.2,66.3,67.7,70.2,70.8,70.9,73.6,71.5,74.2,78.3,78.3,77.8,79.6,85.5,87.9,88.9,88.7,97.2,92.3,95.9,99.1,103.9,116,118.5,118.2,122.4,126.2,128.1,134.2,134.2,134.9,137.1,139,137.9,135.2,135.7
"56","48","  Other","B910RX1",8.4,7.9,8,7.9,8.1,8.1,8.3,8.3,8.3,8.5,8.7,8.6,8.7,8.6,9.1,9,8.7,8.6,9.1,8.9,9.1,9.3,9.5,9.5,9.6,9.7,9.7,9.7,9.8,9.6,9.5,9.6,9.6,9.5,9.6,9.8,10.2,10.4,10.5,10.4,10.5,10.1,10.2,10.2,10.1,10.1,10.1,10.1,10.2,10.1,10.3,10.2,10.1,9.9,9.9,10.9,11,11
"57","49","Residual","A978RX1",-77.3,-66.2,-64.4,-60,-60.8,-61.9,-60.7,-58.8,-52.9,-46.2,-43.5,-45.7,-43,-40.8,-42.2,-37.1,-30.4,-20.6,-16.3,-8.6,-12.1,-5,-2.3,-5.4,-14.2,-15.3,-13,-19.9,-8.3,-6.1,-3.7,-9.3,-4.7,-9.4,-9.8,-0.9,-5,-1,-0.7,-0.9,-0.8,-0.1,0,0.8,-2.2,-1.8,0.4,-4.7,-7.1,-5.5,-7.6,-12.2,-12.5,-17.3,-11.2,5,7.1,6.9
