"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240"
"11","3","  Nonfarm \2\","A358RX1",1062.5,1088.8,1061,1115.3,1126.4,1124.9,1135.2,1132,1122.8,1115.9,1131.4,1118.8,1167.1,1208.8,1275.8,1289.7,1313.3,1320.9,1338.5,1341.5,1355.1,1348.1,1351.6,1413.7,1438.7,1445.7,1438.6,1410.5,1393.2,1392.4,1411.4,1444.8,1497.8,1520.1,1541.4,1553.8,1543.8,1553.6,1546.8,1571.1,1590.5,1581.5,1597.1,1569.3,1510.1,1516.5,1564.2,1613.7,1646.5,1701,1695.8,1693.2,1742.5,1720.4,1714.8,1676.7,1687.8,1732.2,1765.6,1805.6,1842.9,1861.9,1881.2,1882.2,1905.1,1935.6,1980.1,1996.5,2054.3,2076.4,2107,2106.3,2168.6,2203.8,2248.5,2313,2377.6,2385.8,2399.8,2409.6,2426,2419.6,2435.8,2455.1,2515.4,2563.2,2578.4,2589,2635.6,2638,2651.5,2631.3,2628.5,2634.2,2662.3,2618.9,2709,2727.2,2751.4,2757.3,2830.1,2907.6,2940.5,2995.6,3109.8,3145,3137.4,3133.6,3115.7,3116.2,3073,3051.6,2979.4,2998.9,3059.4,3112.3,3210,3241.5,3258.5,3286.1,3338.4,3418.7,3490.3,3476.9,3494.2,3668.4,3698.8,3765.7,3756.6,3761.3,3788,3790.8,3797,3688.7,3686.4,3772.3,3851,3802.1,3834.5,3771.1,3686.1,3707.9,3687.8,3686,3754.1,3884.9,3999.3,4092.9,4166.4,4248,4284.9,4318,4359.6,4398.7,4468.1,4510.4,4561.6,4585.1,4627.7,4650.7,4683.6,4745.1,4778.2,4872.4,4887.5,4974.2,5002.2,5087,5117.2,5149.9,5186.6,5195.5,5255.8,5263.1,5248.5,5184.1,5141.8,5183.3,5213.7,5240.1,5301,5357.8,5420.1,5501.7,5505.8,5538.3,5585.8,5674,5734.9,5824.4,5855.9,5950.2,5972.8,5983.8,6053.9,6110.4,6159.2,6273.6,6340.1,6428.8,6479,6593.9,6687.7,6748.2,6840.3,6889.9,6978.7,7112.3,7177.5,7243.3,7343.2,7492.8,7490.6,7626.9,7610.6,7652.5,7630.6,7653.6,7598,7620.4,7686.5,7712.9,7772.7,7775.5,7814.2,7903.8,8102.4,8157.9,8241.6,8335.3,8430.2,8510.7,8601.7,8694.8,8794.3,8827.6,8976.1
"12","4","  Farm","B359RX1",17.9,15.1,19.4,14.6,15.9,20.4,19.9,20.8,18.3,18.6,18.6,18.3,20.4,20.2,18.4,18.6,17.1,18.2,19.4,18.7,18.4,19.3,20.3,19.2,20.2,21.3,19.9,19.6,21.2,21.3,20.8,20.5,20.5,22.1,22.3,20.8,20.6,21.4,21.3,22.5,19.8,20.2,20.4,21.9,22.2,22.5,21,19.6,21.4,20.7,20.5,22.1,20.4,21.3,23.3,24.5,23.9,22.6,22.1,21.6,21.9,22.5,21.9,22.3,24.1,23,22.1,22,20.9,21.7,22.4,23.2,23.6,22.7,24.1,23.6,24,22.8,21.2,22.7,24.1,24.6,24.7,24.4,23.8,23.5,23.5,23.7,24.2,24.3,24.7,24.6,24.7,24.9,25.3,25.6,26.1,26.4,26.6,26.6,24.6,27,26.5,27.6,24.7,26.7,23.5,29.9,24.9,26.1,25.6,25.7,29.4,30.6,31.1,30.8,29.4,29,28.9,29.3,28.8,30.2,30.7,33.3,28.9,29.5,31.9,28.2,31.5,31.3,32.6,33.2,32.5,32.1,29.5,30.2,35.5,37.9,46.6,44.1,44,43.6,41.9,43,36.3,27.5,20.9,23,32.8,36.6,38.9,40.4,43.6,44.6,51.3,47.3,46,42.6,46.1,44.8,44.5,44.3,46.8,46.5,47.8,42.5,40.2,33.3,46.7,46,46.5,46.5,48.4,48,49.4,51.3,49.9,50,49.2,51,56.6,58.9,58.8,55.6,50.8,52.9,45.6,53.3,61.3,61.9,62.5,57.7,50.9,49.9,47.2,50.3,55.1,57.4,55.3,56.7,60.6,63.8,67.3,65.8,61.9,60.6,62,61.9,62.3,64.7,61.6,62.9,71.3,72.2,73.1,69.5,69.3,63.1,59.6,70.4,54.5,67.4,76.3,82.1,77.1,81.9,73.7,71.2,83.6,76,73.8,70.4,71.6,65.3,68.5,74,74.6
"13","5","Households and institutions","A193RX1",122.3,122.9,124.6,126,130,131.2,132.7,133.6,136.3,138.9,140.7,144.3,147.5,150.2,151.8,155.6,158.2,160.4,161.9,165.6,169.8,170.1,171.7,174.9,179.2,181.4,183.1,184.6,187.5,190.6,194.1,199.4,201.4,207,211.1,215.6,217.1,220.1,223.6,227.1,230.2,232.6,235.2,237.9,243.2,247,248.9,251.4,254.7,259.4,264,268.7,273.6,278.4,280.8,285.6,288.2,288.6,291.4,297.7,300.6,305.2,310.4,314.7,315.8,318.3,322.1,325.5,328.3,333.1,334.7,338.7,343.8,347.3,352.8,357.1,361.3,362.5,368.8,372.5,374.9,379,384,388.4,391.6,397.8,404,408.2,411.1,415.9,420.5,423.6,422.9,422.6,424.4,429.9,436.9,439.8,444.8,450.5,453.5,459.1,463.8,466.4,469.6,474.4,478.6,482.7,487.5,492,496.7,499.5,505.3,511.7,518,519.9,519.5,520.7,523.1,522.7,523.7,524.5,530.1,535.1,544.8,548.9,553.8,562.1,570,572.8,578.4,585.5,597.5,607.3,609.2,613.5,619.5,623.5,627.9,635.1,640.3,644.8,650.9,652.9,656.7,661.4,667.2,678.4,682,680.8,689.9,698.4,695.8,698.4,699.3,706.7,712.3,715.4,721,725.3,731.2,735,753.8,762.7,770.9,774.1,782.7,794.6,801.7,811,816,820.7,828.3,837.1,845.7,853.6,857.6,861.8,868.9,872.7,872.2,880.1,886.8,891.2,902,903.8,905.8,907.4,909.3,918.1,929.3,935.7,942,945.8,944,948.7,949.1,953.7,960.8,967.6,974.3,981.6,986.5,991.6,999.2,1007.6,1016.5,1018.4,1028.2,1036.2,1046.2,1058.8,1070.9,1075.7,1083.2,1093,1096.7,1102.5,1120,1120.7,1131.4,1141,1129.1,1122.1,1124.3,1119.5,1112.5,1149.1,1157.9,1166.9,1177.6,1185.4,1194.5,1199.9,1208.1,1212.1,1223.2
"14","6","  Households","B701RX1",73.3,74.3,75.1,75.8,76.5,77.2,78.1,79.2,80.4,81.9,83.5,85.4,87.6,89.5,91.4,93.2,94.9,96.6,98.3,100,101.8,103.4,105.1,106.7,108.4,110.1,111.7,113.3,114.6,116.6,118.8,121.3,124.5,127.1,129.6,131.9,133.8,135.8,137.8,139.7,141.4,143.4,145.3,147.4,149.6,151.7,153.7,155.7,157.5,160.3,162.9,165.7,167.6,170.1,172.5,175.4,177.5,177.6,179.5,183.7,185.7,188.1,191,194.3,195.2,196.5,198.9,200.3,202,205.2,206.7,208.9,210.7,213.3,216.9,220,220.9,221.5,225.4,228.2,229.8,232,234.2,236.3,236.7,238.3,240.1,242,244.9,248.1,250.5,252.7,252.5,253,255,258.5,261.9,264,267.8,272.1,274.7,276.9,278.4,280.8,282.8,285.5,289,292.7,296.7,298.9,300.8,303.1,304.9,307.3,309.2,310.5,311.3,313.3,314.4,314.3,312.7,313.6,317.9,320.5,330,332.1,336,342.5,347.3,347.1,350.4,356.6,366.3,375,373.6,376.6,380.8,383.4,385.8,389,390.4,391.1,393.3,392.6,394.4,396.1,399.1,408.1,409.3,406.7,415.4,422,421.5,423,422.1,426.1,427.5,426.9,430,430.5,433.4,433.5,445.1,449.3,452.5,453,457.7,465,467.2,472,473.2,473.5,476.9,481.1,485,490,493.4,495.8,500.6,501.2,497.1,502.9,505.5,505.1,510,507.6,506.4,507.6,513,521.1,530.2,534.3,535.3,535.8,531.7,534.5,535.2,538,542.9,547.3,551.1,554.2,555,555.9,556.9,562,567.9,568.3,579.1,586.1,594.2,603.5,608.9,610.9,617.8,625,626.2,629.1,642.9,641.2,642.1,645.3,628.8,620.8,623.6,619.8,612.8,647.6,654.5,662,671.1,678.3,683.8,686.5,691.5,698.4,709.9
"15","7","  Nonprofit institutions serving households \3\","B702RX1",49.9,48.9,50,50.9,55.9,56.2,56.8,56.2,58,59.3,58.8,61,61.8,62.2,61.1,63.6,64.4,64.5,63.6,66.2,69.3,66.5,66,67.8,71.2,71.4,70.9,70.3,72.2,73.2,74.4,77.9,74.9,78.6,80.3,83,81.5,82.4,84.2,86,87.3,87.4,87.7,88,91.8,93.7,93,93.2,94.8,96.9,98.8,100.7,104.5,107,106.5,108.4,108.5,108.9,109.6,111.4,112.2,114.7,117.1,117.6,117.7,119,120.5,122.9,123.9,125.3,125.1,127.1,131,131.7,133.3,134.2,138.4,139,141.4,142.1,142.8,144.8,147.9,150.4,153.6,159.2,164.4,167,166.4,167.9,170.2,170.9,170.4,169.5,169.1,171,174.7,175.5,176.5,177.8,178,181.6,184.9,185.1,186.2,188.4,188.9,189.2,189.8,192.2,195,195.6,199.7,203.8,208.4,208.9,207.5,206.7,208,207.7,210.5,210.3,211.6,213.9,214,215.9,216.9,218.6,221.6,224.7,227,227.9,230,231,234.4,235.7,237.5,238.8,240.9,244.9,248.8,252.7,256.7,259.4,261.5,264.6,267.3,269.4,271.9,273.4,273.6,275.4,273.4,274.4,276.2,279.6,283.9,287.7,290.3,294.2,297.3,301,308.1,312.9,318,320.7,324.6,329.1,334.2,338.7,342.6,347.1,351.3,356,360.7,363.6,364.1,366,368.3,371.5,375.1,377.2,381.3,386.2,392,396.3,399.6,399.8,396.4,397,399.1,401.4,406.8,410,412.4,414.3,413.9,415.8,417.9,420.2,423.3,427.4,431.6,435.8,442.6,445.8,448.8,450.3,449.1,450.2,452,455.3,462,464.8,465.4,468,470.5,473.5,477.1,479.5,489.4,495.7,500.2,501.2,500.6,499.5,499.4,501.7,503.7,505.3,507,507.9,511.4,514.2,517.4,514.9,515
"16","8","General government \4\","A765RX1",394.5,377.9,372.7,365,363.8,358,360.9,363.5,362.8,362.5,361,355,350.3,355.9,363.1,391.8,402.5,432,453.3,457.5,466.3,473,476.6,475.9,479.5,481.8,483.6,481.7,480.7,480.7,482.6,483.7,483.3,480.8,484.1,486.4,487.1,489.6,495.2,498.3,499.9,502.6,506.2,502.6,501.4,504.7,511,513.6,510.9,512.8,515.5,518.9,524.1,532.7,534.3,537.6,542.8,545.9,552.6,562.3,567.1,571.3,575,576.4,581,586.9,593.6,596.6,601.3,607.4,612.6,617.5,618.5,625.4,633.9,643.4,651.6,662.3,675.8,688.8,696.9,700.5,709.3,714,723.8,732,737.6,737.4,743.3,749.1,755,757.7,753.4,753.5,754.5,755.1,756,754.6,755,755.7,751.3,751,754.4,758.7,756.2,755.7,756.3,760.5,768.1,770.9,773.6,777.7,783,784.3,786,786.9,788.7,789.7,792.9,796.1,796.7,797.7,801.8,804.3,809.4,811.6,817.9,823.1,824.1,822.2,822.1,828.3,832.9,837.8,837.9,835.5,836.3,837.7,842.9,845.5,847.3,849.7,849.3,850.4,853.4,854.5,855.9,854.8,857.2,862.2,868.8,872.8,879.1,885.5,895.7,899.7,904,908.6,913.6,921.3,924.6,928.5,932.2,942.1,950,952.4,957.2,964.5,969.5,975.2,982.7,988,997.5,1001.7,1007.2,1009,1016.2,1015.1,1013,1012.9,1016.3,1017.2,1019.3,1017.9,1020.6,1020.2,1020.5,1018.1,1019.6,1020.7,1021.3,1018.2,1021.6,1023,1022.9,1014.9,1014.4,1025.2,1024.8,1024.3,1026.5,1028.6,1032.1,1032.8,1036.1,1039.4,1043,1045.5,1048.4,1048.8,1051.7,1056.8,1063,1073,1069.7,1072.7,1079,1087,1093.6,1097.6,1104.2,1108.9,1112.6,1116,1122.4,1126.1,1127.4,1129.1,1131.5,1132.7,1136.6,1142,1143.9,1144.6,1148,1150.9,1149
"17","9","  Federal","A766RX1",255.6,238.9,232.6,224.2,223,217.3,219,219.6,216.3,213.2,209.1,201.3,196.2,201.1,207.5,235.1,244.6,272.5,292.4,295.2,303,308.6,310.7,308.2,310,310.4,309.8,305.8,303,301.1,301,299.8,297.7,293.2,293.4,292.6,291.2,289.5,291.6,291.8,291.6,291.8,292,284.8,281.1,280.4,283,282.7,278.9,279.2,279.4,280.2,281.9,286.9,284.8,284.9,285.6,287.2,290.7,298.4,302.2,303.2,303.3,301.3,302.5,305.1,307,306.3,306.1,307.9,309.6,309.3,307.4,308,310.8,315.3,320.1,326,334.7,342.1,350.2,350.8,354,353.7,355.9,359.7,360.6,356.1,357.4,359.2,360.8,358.6,349.8,345.4,341.6,337.7,334.7,329.7,325.5,321.3,315.8,310.8,310.2,310.4,305.1,300.9,297.3,297.2,300,299.3,298.5,298.8,298.3,297.3,297.1,297.2,297.7,297.8,298,298.3,297.9,298.4,299.4,299.4,301.3,302.6,303.5,302.7,302.3,302.1,302.5,302.1,304,308.1,308.7,307.3,309.8,311,312.7,313.5,314.2,315.9,317.7,319.4,321.9,323.6,325.6,325.8,328.1,330.6,333,334.4,337.2,340.1,343,343.5,345.3,346.1,347.6,349,352.2,354,357.7,360.5,360.5,358.9,360.1,362.5,362.7,363.9,365.9,367.2,370.4,371.1,372.5,372.3,378.2,375.3,372,369.7,368.7,366.9,365.2,363.1,363.2,360.7,358.1,353.6,352.4,348.9,346.2,341.3,339,337.9,335.6,324.1,324.5,327.6,325.8,321.9,321,319.9,319,315.5,315.5,315.1,315.3,315,315,312.4,311.7,311.7,313.9,320.3,314.5,312.8,315.9,317.4,317.9,316.9,320.4,322.5,324.6,325.7,329.7,332.4,332.6,332.5,334.1,333.7,335,337,337.4,336.5,336.1,337.1,334.1
"18","10","  State and local","A767RX1",136.8,138.9,140.8,142.2,142.1,142.2,143.4,145.5,148.4,151.6,154.5,156.7,157.3,157.8,158.3,159,160.1,161.5,163,164.5,165.5,166.7,168.2,170,171.8,173.8,176.1,178.1,179.9,181.6,183.5,185.8,187.3,189.3,192.4,195.5,197.5,201.7,205.1,208.1,209.8,212.3,215.7,219.2,221.7,225.8,229.5,232.4,233.6,235.3,237.7,240.4,243.9,247.5,251.3,254.4,258.9,260.4,263.6,265.7,266.7,269.9,273.5,276.9,280.1,283.5,288.3,291.8,296.8,301.1,304.6,309.8,312.7,318.9,324.7,329.7,333.2,337.9,342.8,348.5,348.6,351.7,357.2,362.1,369.5,374,378.6,382.7,387.1,391.1,395.3,400,404.1,408.5,413.1,417.4,421.4,424.9,429.4,434.4,435.6,440.5,444.5,448.6,451.7,455.5,459.7,464.2,469,472.5,476.1,479.9,486,488.2,490.2,491,492.3,493.3,496.3,499.2,500.3,500.8,503.8,506.5,509.7,510.6,516,522.1,523.6,521.9,521.3,528.1,530.8,531.5,531,530.1,528.2,528.4,531.9,533.7,534.8,535.5,533.2,532.5,532.9,532.3,531.7,530.3,530.4,532.8,537,539.7,543.2,546.7,554,557.5,560.1,564,567.4,573.7,573.8,576,575.9,583,590.9,594.9,598.5,603.4,608.1,612.7,618.1,622.1,628.4,631.9,636,638,639.4,641.1,642.3,644.2,648.6,651.3,655,655.6,658.2,660.2,663.1,665.1,667.7,672.2,675.5,677.1,682.7,685.3,687.4,690.7,689.8,697.6,699,702.4,705.5,708.8,713,717.4,720.6,724.3,727.8,730.5,733.4,736.4,740.1,745.1,749.1,752.7,755.2,759.8,763.1,769.6,775.7,780.7,783.7,786.3,788,790.4,792.6,793.6,794.7,796.5,797.3,799,801.5,804.9,806.4,808.1,812,813.8,815
"19","11","Residual","A961RX1",-25.5,-36.2,-10.9,-32.1,-23.7,6.4,1.7,4.7,-11,-12.1,-9.2,-11.6,6.4,7.7,3.3,-10.3,-23.1,-31.1,-34.1,-41.7,-48.4,-46.6,-43.1,-41.8,-38,-34.6,-41.6,-45.1,-41.7,-41.9,-43,-42.3,-34.2,-26.4,-26,-32.3,-33.6,-31.9,-37,-32.7,-40.1,-42,-41.2,-38.1,-46.3,-47.2,-49.2,-49.3,-39.8,-37.6,-41.2,-39.7,-43.4,-48.4,-44.5,-48.1,-51,-50.9,-52,-54.6,-52.5,-51.9,-54.7,-54.6,-48.8,-52.1,-53.4,-54,-53.5,-52.8,-49.9,-51,-45.8,-48.2,-44.2,-44,-41.9,-49,-59,-59.5,-57.4,-59.2,-62,-63.8,-64.2,-66.3,-69.1,-68.5,-65.4,-67.7,-68.8,-71.8,-70,-68.4,-65.9,-69.3,-63.7,-61.8,-60.5,-61.6,-61.1,-52.3,-53.9,-49.4,-55,-46.9,-63.9,-33.5,-60.7,-57.3,-63.2,-65.8,-60.1,-57.5,-54.5,-52.9,-51.4,-51.3,-52.1,-50.3,-48.6,-40.9,-37.9,-35.2,-47.3,-37.9,-32.4,-42.4,-35.5,-36.1,-32.4,-34,-39.3,-50.5,-56.2,-50.1,-35.3,-35.5,-22.6,-32.9,-41.2,-41.8,-45.4,-43.1,-47.3,-56.7,-65.5,-59,-39.1,-30.2,-28.5,-27.5,-21.6,-19.7,-13,-15.8,-17,-20.4,-17.4,-19.5,-19.8,-18.9,-18.4,-17.8,-18.1,-20.7,-23.9,-31.7,-18,-19.7,-19.8,-21,-19.1,-20.9,-21.3,-22.4,-26,-25,-25.4,-23.6,-18.9,-17.1,-16.4,-16.6,-20.3,-18.5,-22.6,-16,-10.6,-9.8,-9.9,-10.4,-13.8,-14.7,-15.1,-12.3,-8.5,-6.9,-8.3,-6.7,-4.4,-2.2,0.1,-0.2,-1.6,-2.4,-1.6,-1.2,-0.9,-0.5,-0.6,-0.2,-0.2,0.1,0,0.1,0,-0.4,-0.1,0.9,0.7,1.5,0.1,0.1,0.8,-0.6,-4.7,-4.8,-2.3,-7.2,-9.7,-12.1,-13,-16.2,-17.5,-17.5,-21.1
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",92.3,92.9,93.8,94.9,96.2,97.6,99.1,100.7,102.3,104,105.7,107.5,109.3,111.2,113.2,115.2,117.2,119.4,121.6,123.9,126.5,128.7,130.8,132.8,134.4,136.3,138.3,140.4,142.7,144.8,146.9,149,151,153,155,157,158.8,161,163.3,165.7,168.5,171,173.5,175.9,178,180.7,183.5,186.5,190.1,193,196.8,200.3,203,205.5,208.4,212.2,214.8,217.1,220.2,224.5,226.9,231.2,234.4,238.8,240.3,242.6,245.7,248.7,250.8,253.5,256.5,260.7,263.7,266.8,270.7,274.3,276.5,278.9,282.6,285.9,289,292,295.8,299.1,301.2,302.5,305.5,309.3,313.1,317.1,320.6,323.8,325,326.9,330,333.9,337.3,341.2,345.7,351,355.2,358.5,361.5,365.3,367.8,371.1,374.6,378.3,383.9,388.7,393.2,397.1,399.7,401.7,403.9,405.7,405.1,407.1,409.2,411.7,416,416.4,418.4,422.6,433.2,435.3,437,441.8,449,450.1,454.3,462.3,472.2,482.8,483.7,489.1,495.2,499.1,501.6,508.1,511.9,511.7,516.7,518.3,519.1,522,527.9,535.7,536.1,534.4,544,557.4,558.8,560.2,566.5,572,572.9,574.5,576.1,576.3,582.9,581.8,593.4,596.9,601.2,602.1,607.1,614.6,615.9,620.9,621.8,622.5,627,632.6,638.2,645.1,650.4,654.4,661.1,662.8,659.5,666.4,669.5,669.3,672.5,669.6,667.9,669.5,676.5,686.1,697.5,703.1,706,707.5,703.1,706.4,706,708.8,714.3,719.3,723.5,726.9,727.4,728.1,728.5,733.6,740,739.7,753,761.8,771.5,782.4,787.1,789.1,796.6,804.4,804.7,807.5,824.4,823.7,823.2,824,801,787.7,789.6,781.3,767.4,807.9,814.2,821.9,832.6,842.4,847.1,849.4,853.4,859.5,871.5
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
