"","Table 5#6#6B# Real Change in Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"1","[Billions of chained (2000) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 27, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2009 11:22:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Change in private inventories","A014RX1",34.7,94.2,72.3,83.4,116.9,50.4,64.2,58.9,79.5,41.7,50.8,103.5,26.9,99.3,56.2,43.5,-7.8,-2.5,-29.9,-86.7,-10.2,2.6,28,29.5,24.3,-2.7,10.5,25,35,64.9,60.1,57.2,74.6,16.7,11,53.5,45.9,56.9,53.3,13.1,-15,-2.8,16,-8.1,-10.2,-50.6,-29.6,-19.9
"10","2","Farm","B018RX1",-9.1,6.8,8.2,5.7,5.7,-2.1,1.8,0.4,0.5,1.3,-11.5,-2.2,-14.5,6.1,-2.7,5.7,5.5,-1.3,1,-5.1,0.9,-9.4,-1.1,-0.2,4.8,0.4,-1.2,-2.4,4.4,12.9,4.8,1.3,-3.8,-0.5,4.5,0.7,1,-5.6,-5.6,-2.7,-3.9,-0.1,-2.5,10.5,6,2.4,2.2,3.6
"11","3","Mining, utilities, and construction","N541RX1",0.5,5.5,4.7,-0.8,6.8,7.3,5.2,9.6,2.9,0.8,-2.5,-3.4,3.8,-2.6,0.1,-8,8.2,13.5,10.5,10.2,0.7,-6.8,-3.8,-4.4,1.2,4.2,6,9.7,-5.9,-0.4,4.9,3.5,2.7,7.2,0.2,-1,-1.9,8.2,5.8,6.4,4,0.8,-2.3,-5,-9.4,-8,-8,-7.3
"12","4","Manufacturing","N150RX1",14.8,23.2,21.6,23.4,33.6,19.4,11.2,10.3,13.7,8.1,15.9,30,-2.7,20.1,3.6,10.6,-8.5,-23.8,-28.7,-24.3,-14.8,-11.4,3.4,-0.6,-2.2,-14.9,-16.7,-3.8,-0.7,6.1,-1.2,6,37.1,4.1,5.3,14.3,14.4,16.6,12.9,3.5,-7.2,-7.7,-2.2,2.9,13.7,-26,-25.6,6.3
"13","5","  Durable goods industries","N624RX1",10,16.4,15.1,13,29.2,19.5,12.7,10.3,8.7,-0.1,9.2,16.4,-5.3,14.8,3.3,16.1,-4.4,-16.2,-26.9,-25.3,-17.6,-11.5,-4.1,5.9,-4.3,-15.8,-13.9,8.2,-4.5,2.8,2.2,6,26.8,7.9,11.1,9.8,1.9,7.1,11,6.7,-0.5,-11.2,-2.2,13.8,3,-14.4,-5.7,38.7
"14","6","  Nondurable goods industries","N625RX1",4.8,6.7,6.4,10.5,3.9,-0.6,-1.8,-0.2,5,8.5,6.7,13.7,2.6,5.1,0.2,-5.4,-4.1,-7.6,-1.9,1,2.8,0,7.4,-6.5,2,0.5,-3,-11.5,3.6,3.2,-3.2,0.1,10.6,-3.3,-4.9,4.7,11.7,9.2,2.3,-2.7,-6.4,2.8,-0.2,-9.1,9.7,-11.3,-18,-27.2
"15","7","Wholesale trade","N658RX1",22.3,32.7,15.8,29.4,28.8,10.2,30.2,20.9,20,9.1,24,25.7,19.4,24.8,14.6,11.6,0.9,2.8,-18.2,-28.4,-15.4,0,12.5,8.3,-1.9,-6.2,2,9.5,8,12.5,28.4,23,27.4,15,2.3,18.9,11.9,19.5,27.6,0.5,-1.6,1.4,14.3,-1.5,-5.1,1,4.2,-3.3
"16","8","  Durable goods industries","N661RX1",15.3,27.2,7.2,15.5,24.5,4.6,20.3,17.3,13,10,11.5,18.8,12.7,23.1,5.9,6.2,0.1,-17.2,-21.3,-26.7,-16.4,-2.4,12.4,4.8,3.2,-5.1,-6.4,13.5,14.9,14.9,25.5,14.1,19.7,10.5,0.2,19.5,2.8,16.2,25.9,-3.7,3.8,-11.6,-1.7,3.5,5.6,2.3,19.7,-10.8
