"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",74.21,74.478,75.003,75.254,75.522,76.034,76.036,76.423,76.648,76.965,77.442,77.523,77.884,78.536,78.884,79.376,80.135,80.952,81.809,82.622,82.817,82.913,83.113,83.428,83.789,84.153,84.631,85.204,85.928,86.246,86.769,87.328,87.824,88.617,89.499,89.919,90.745,91.514,92.242,92.454,92.96,93.293,93.309,93.423,94.057,94.361,95.283,96.264,96.838,97.824,98.302,99.155,98.944,99.867,100.269,100.92,101.419,101.601,102.381,102.722,104.023,105.332,106.296,107.542,109.005,111.231,113.713,114.418,114.325,114.072,113.653,113.772,114.497,114.904,115.018,115.61,117.377
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.487,74.616,75.135,75.326,75.47,76.117,76.302,76.887,77.119,77.448,77.961,77.956,78.381,79.13,79.405,79.874,80.645,81.562,82.63,83.574,83.701,83.731,84,84.286,84.704,84.976,85.413,85.908,86.288,86.426,86.7,87.184,87.505,88.181,89.062,89.471,90.409,91.124,91.886,92.295,92.919,92.967,92.824,92.94,93.613,94.215,95.233,96.468,96.914,98.048,98.51,99.372,98.947,100.043,100.187,100.823,101.236,101.16,102.024,102.495,103.858,105.384,106.468,107.771,109.333,111.897,114.745,115.628,115.166,114.019,113.067,112.99,113.822,114.414,114.326,114.936,116.962
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",79.394,79.808,80.131,80.477,80.821,80.722,80.478,80.37,80.523,80.488,80.523,80.489,80.548,81.006,81.199,81.457,82.099,82.716,83.345,83.937,84.438,84.859,85.152,85.405,85.406,85.8,86.088,86.844,87.816,88.272,89.034,89.753,90.659,91.419,92.003,92.386,92.875,93.455,94.125,94.397,94.756,95.263,95.707,95.926,96.173,96.389,96.85,97.364,97.691,98.325,98.639,99.315,99.514,99.709,100.17,100.58,101.258,101.605,101.659,101.968,102.831,103.711,104.207,104.806,105.757,106.801,107.823,108.718,109.452,110.283,111.097,111.63,110.824,110.636,111.54,111.029,111.521
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",119.885,119.901,120.276,120.607,120.079,119.523,119.5,119.411,118.418,118.805,118.422,117.617,116.548,115.789,115.883,115.707,115.606,114.897,113.35,113.551,113.675,114.623,113.433,112.799,111.727,111.183,111.523,110.928,109.461,110.092,109.777,109.663,109.075,108.313,107.763,108.003,108.5,107.045,106.163,105.29,104.759,104.518,103.84,103.173,101.941,101.044,101.516,101.074,100.839,101.402,100.901,100.806,100.647,100.115,99.743,99.496,99.214,100.285,100.296,100.305,101.023,100.123,99.447,100.372,100.497,100.13,101.217,100.659,100.639,101.121,101.993,101.798,101.368,100.63,101.387,100.727,101.128
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",120.928,120.95,121.073,121.56,121.092,120.17,120.275,120.085,118.632,119.12,118.606,117.944,116.386,115.516,115.508,115.43,115.561,114.883,113.141,113.606,113.963,115.565,113.94,113.234,112.048,111.703,112.336,111.804,110.322,111.083,110.959,111.21,110.538,109.682,109.453,109.398,109.704,108.217,106.984,105.998,105.622,105.22,104.678,103.841,102.562,101.686,102.103,101.841,101.432,101.811,101.364,101.217,100.913,100.414,99.462,99.211,98.804,99.869,99.742,99.457,99.96,98.808,97.754,98.684,98.417,97.456,98.58,97.768,97.876,98.428,99.546,99.036,98.685,97.765,98.622,97.565,97.615
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",109.366,109.945,110.764,110.982,110.567,110.683,110.061,110.607,109.951,110.509,109.326,107.957,108.273,107.837,107.935,107.465,107.589,107.656,106.523,106.576,106.576,106.933,106.938,107.293,106.046,105.67,106.448,105.18,104.122,103.739,103.102,102.259,102.061,102.306,101.116,101.642,101.935,100.778,101.103,100.024,99.15,100.239,99.459,99.204,98.649,97.16,98.116,97.693,96.955,97.587,97.669,98.336,99.443,99.664,100.732,100.147,100.99,101.068,100.028,100.294,102.321,101.943,102.767,104.244,106.856,109.29,110.92,111.004,110.761,110.881,110.911,112.818,111.276,113.264,113.242,114.347,114.419
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",124.68,123.916,125.103,124.699,123.714,124.292,124.34,124.009,124.967,124.636,125.865,125.027,124.751,124.151,124.714,124.396,122.965,121.269,120.168,119.312,118.492,117.019,116.58,115.219,114.875,113.242,111.786,111.613,109.831,110.876,110.028,109.032,108.428,107.154,105.803,107.058,108.588,107.009,106.607,106.476,105.54,104.813,103.595,103.348,101.745,101.278,101.58,100.301,101.301,102.663,101.401,100.899,100.36,99.029,100.273,100.338,99.735,101.662,103.265,104.549,105.268,105.332,105.57,105.981,106.371,107.303,107.716,108.226,107.586,107.895,107.816,108.123,108.023,106.428,107.069,107.82,110.794
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",100.109,100.403,100.645,100.829,100.725,100.835,100.937,101.272,100.993,101.421,101.526,101.415,101.164,101.041,101.401,101.648,102.071,102.153,101.95,102.247,102.479,102.882,102.367,102.181,102.034,102.063,102.205,102.109,101.943,102.147,102.236,102.281,102.212,102.355,102.484,102.491,102.816,102.498,102.432,102.179,101.949,101.82,101.384,100.904,100.401,100.015,100.163,100.069,100.108,100.361,100.037,100.184,100.008,100.188,99.901,99.903,99.939,100.042,100.003,99.816,99.903,99.751,99.375,99.706,100.034,100.248,100.874,100.669,100.629,100.736,100.277,99.452,99.136,98.427,97.971,97.346,97.531
"32","24","S1 PN4521ZZMG     Department stores","T070243",108.248,108.544,108.739,108.927,108.705,108.691,108.877,109.202,108.743,109.224,109.222,109.015,108.522,108.151,108.471,108.639,108.97,108.857,108.314,108.533,108.784,109.31,108.545,108.206,107.871,107.771,107.861,107.54,106.959,107.223,107.193,107.148,106.858,106.736,106.618,106.512,106.748,105.983,105.594,105.165,104.711,104.426,103.816,103.188,102.257,101.635,101.672,101.254,101.071,101.169,100.58,100.544,100.404,100.319,99.756,99.522,99.385,99.601,99.354,99.024,98.947,98.44,97.814,98.034,98.047,97.768,98.128,97.605,97.505,97.542,97.115,96.089,95.605,94.755,94.279,93.357,93.234
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",89.546,89.855,90.211,90.398,90.529,90.9,90.838,91.212,91.275,91.621,91.945,92.013,92.213,92.553,93.006,93.415,94.027,94.469,94.871,95.322,95.526,95.728,95.63,95.699,95.864,96.102,96.325,96.563,97.009,97.129,97.386,97.559,97.785,98.278,98.722,98.872,99.307,99.489,99.77,99.697,99.683,99.701,99.427,99.081,98.955,98.773,99.016,99.185,99.397,99.769,99.647,99.932,99.731,100.1,100.004,100.166,100.314,100.341,100.436,100.339,100.529,100.599,100.38,100.781,101.298,101.804,102.586,102.564,102.557,102.7,102.222,101.503,101.274,100.635,100.188,99.706,100.042
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",73.951,74.636,75.358,75.874,76.088,75.539,74.934,75.614,75.504,75.447,76.96,77.334,77.213,77.324,77.298,77.11,78.634,80.204,79.586,80.748,81.292,79.826,79.949,80.072,78.248,77.514,77.554,77.235,76.929,79.583,81.447,82.846,85.844,86.858,87.718,88.224,87.74,88.85,87.251,83.764,82.795,85.651,86.314,87.384,91.058,87.134,88.99,89.384,91.877,92.824,93.797,96.873,96.653,97.056,102.769,103.521,103.174,104.908,106.351,102.226,104.26,108.079,109.019,113.199,116.972,120.983,125.217,107.765,102.098,104.236,109.439,111.91,114.503,111.601,112.292,115.602,120.48
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",71.748,72.65,73.064,73.68,74.226,74.359,74.959,75.235,75.613,76.198,76.577,76.985,76.906,76.824,77.291,77.836,78.355,78.706,79.129,79.415,79.752,80.162,80.101,80.323,80.831,81.628,82.199,82.812,83.485,84.457,85.423,86.24,86.793,87.352,88,88.634,89.672,90.583,91.435,92.123,92.834,93.588,94.113,94.654,95.067,95.218,95.866,96.207,96.813,97.594,97.963,98.513,98.841,99.467,100.321,101.371,102.152,102.966,103.582,103.431,103.617,103.942,104.728,105.523,106.311,106.417,106.602,107.037,107.914,108.909,109.542,110.196,110.945,111.352,111.671,112.258,113.128
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",54.196,54.773,55.719,56.35,56.525,55.151,53.67,54.683,54.105,53.518,56.165,56.77,56.364,56.476,55.896,55.204,57.351,60.093,58.748,60.386,61.407,58.302,58.944,59.278,55.214,53.278,53.245,52.572,51.736,56.939,60.685,63.389,69.014,71.293,72.825,73.194,71.921,74.632,70.435,62.502,60.674,67.001,68.573,71.16,79.359,70.722,75.731,76.791,82.179,83.782,86.001,92.867,92.357,92.676,106.818,108.15,107.259,111.505,115.498,104.829,109.448,118.793,120.16,128.837,136.199,143.354,153.316,107.911,94.155,99.409,113.94,119.619,124.923,116.46,119.112,127.662,139.965
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.741,107.23,107.309,107.742,107.578,107.423,107.697,108.363,108.135,108.639,108.986,108.741,108.894,108.724,108.704,108.716,109.402,109.571,109.216,109.35,109.304,108.593,108.732,108.551,108.22,107.947,107.511,107.008,106.493,106.325,105.395,104.577,104.615,104.81,104.683,104.645,104.263,104.331,104.36,103.867,103.433,103.123,102.622,102.288,102.023,101.37,101.485,101.285,101.241,101.209,100.572,100.561,100.196,100.058,100.035,99.711,99.398,99.459,98.985,98.696,98.423,97.763,97.066,96.971,97.396,97.305,97.506,96.41,96.269,96.89,96.758,95.812,95.885,95.291,94.032,93.559,93.178
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",116.668,117.142,117.064,117.547,117.206,116.835,117.055,117.929,117.509,118.233,118.527,118.219,118.299,117.879,117.983,117.616,118.244,118.512,117.79,117.812,117.637,117.091,116.9,116.538,115.915,114.993,114.269,113.35,112.498,112.088,111.227,110.036,109.599,109.627,109.135,108.899,108.146,107.829,107.471,106.706,106.069,105.387,104.41,103.605,103.178,102.407,102.521,102.234,102.081,101.725,100.917,100.749,100.35,100.045,100.014,99.59,99.239,99.316,98.748,98.264,97.752,96.756,95.68,95.402,95.75,95.509,95.376,93.721,93.251,93.607,93.206,91.928,92.074,91.354,89.866,89.419,88.907
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",88.207,88.719,89.072,89.418,89.552,89.761,90.125,90.423,90.529,90.65,91.079,90.945,91.218,91.458,91.243,91.871,92.637,92.641,92.886,93.202,93.37,92.404,93.084,93.198,93.341,94.156,94.213,94.417,94.488,94.745,93.711,93.556,94.443,94.938,95.495,95.833,96.16,96.966,97.741,97.787,97.762,98.199,98.666,99.327,99.42,99.025,99.143,99.131,99.327,100.006,99.749,100.102,99.819,100.084,100.086,100.011,99.796,99.811,99.585,99.831,100.214,100.555,101.025,101.498,102.172,102.561,103.8,104.425,105.335,106.805,107.545,107.666,107.497,107.374,107.024,106.466,106.632
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",89.571,90.233,90.563,90.757,91.175,91.545,91.451,91.952,92.46,92.895,93.36,93.977,94.62,95.078,95.783,96.146,96.62,97.089,97.211,97.573,97.982,98.394,98.025,98.037,98.314,98.518,98.658,98.795,99.368,99.669,99.542,99.483,99.908,100.472,100.252,100.132,100.231,100.32,100.273,99.735,99.329,99.768,99.674,99.334,99.194,98.287,98.216,97.977,98.41,98.934,99.106,99.659,99.562,99.819,100.221,100.397,100.477,100.855,100.886,100.392,101.194,101.672,101.925,102.67,103.66,104.6,106.195,104.799,104.989,107.41,108.122,108.441,108.822,108.221,108.52,108.539,109.165
"41","33","S3 PN4531ZZMG       Florists","T070333",94.042,96.722,95.688,93.776,94.515,93.851,91.903,93.388,92.643,92.67,94.41,95.802,95.932,96.095,97.192,96.511,94.363,95.364,93.951,93.078,93.401,94.151,90.252,89.866,94.147,93.625,92.84,91.42,92.397,93.116,89.811,90.012,91.92,96.631,95.662,95.157,97.411,97.487,97.516,97.784,97.678,97.886,97.329,97.698,97.201,96.784,97.26,97.594,99.333,100.152,99.796,100.347,98.469,99.185,100.884,101.296,100.884,101.206,100.298,100.544,100.313,99.932,99.469,98.506,98.008,97.663,97.554,96.647,95.416,95.044,93.604,94.162,93.634,92.3,92.274,91.599,91.679
