"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","  Nonfarm \2\","B358RA3",30.305,30.336,30.507,30.279,30.248,30.307,30.617,30.124,31.167,31.37,31.649,31.719,32.527,33.446,33.837,34.463,35.785,36.192,36.097,36.043,35.816,35.817,35.317,35.054,34.225,34.47,35.19,35.801,36.926,37.288,37.486,37.78,38.381,39.308,40.135,39.985,40.19,42.19,42.533,43.302,43.183,43.231,43.539,43.568,43.63,42.37,42.335,43.32,44.257,43.679,44.05,43.323,42.343,42.598,42.365,42.347,43.116,44.604,45.882,46.96,47.84,48.773,49.205,49.598,50.092,50.549,51.357,51.84,52.423,52.691,53.187,53.447,53.74,54.416,54.785,55.862,56.059,57.056,57.355,58.315,58.622,59.07,59.553,59.619,60.211,60.397,60.243,59.424,58.938,59.448,59.74,59.941,60.646,61.336,62.066,62.959,63.041,63.51,64.054,65.031,65.647,66.7,67.098,68.124,68.357,68.502,69.307,69.898,70.395,71.768,72.561,73.502,74.067,75.349,76.407,77.085,77.962,78.781,79.975,81.713,82.526,83.167,84.417,86.14,86.165,88.153,88.156,88.676,88.252,88.913,88.424,88.651,89.755,90.036,90.613,90.677,90.976,91.94,94.196,95.01,95.563,96.4,97.1,97.868,99.072,99.482,100.427,101.02,102.635,102.943,102.902,103.903,103.858,105.062,105.942,106.188,105.211,105.319,103.914,100.431,99.152,98.52,98.583,99.847,100.659,101.347,102.605,103.58,103.548,104.414,104.828,106.179,106.884,107.441,108.686,108.706
"12","4","  Farm","B359RA3",26.717,26.862,27.24,27.164,27.208,27.513,27.943,28.32,28.835,29.199,29.435,29.362,27.166,29.753,29.256,30.674,27.317,29.484,25.937,32.821,27.491,28.738,28.204,28.526,32.45,33.896,34.368,33.837,32.493,31.899,31.716,32.214,31.538,33.253,33.764,36.695,31.77,32.46,35.18,31.165,34.839,34.742,36.17,36.673,36.03,35.516,32.703,33.816,39.397,42.183,51.807,49.018,48.549,48.333,46.658,47.869,41.127,31.337,24.879,27.68,37.597,42.177,44.462,45.464,48.975,49.592,56.684,52.204,50.991,47.179,51.077,49.737,49.412,49.136,51.533,50.878,51.626,46.023,43.812,37.371,50.993,50.684,51.595,51.735,53.883,53.475,55.141,57.144,55.554,55.633,54.889,57.173,64,66.712,66.488,62.522,56.614,58.869,51.102,60.187,69.573,70.588,71.261,65.101,56.647,55.386,52.606,56.467,62.709,65.797,63.281,64.173,67.634,70.371,73.946,72.356,68.127,66.801,68.571,68.557,68.813,73.052,70.569,72.847,80.867,81.668,83.834,81.166,77.597,71.874,69.73,85.572,64.592,77.369,86.618,89.686,91.864,97.188,88.993,80.916,98.902,89.512,93.44,102.058,97.462,100.915,102.329,99.295,91.902,105.188,97.497,94.095,91.805,88.002,83.404,91.034,100.479,97.464,93.156,107.836,106.271,112.095,124.737,117.771,112.756,116.255,108.885,100.001,93.484,86.128,88.477,92.366,93.16,90.652,82.369,80.221
"13","5","Households and institutions","B193RA3",32.806,33.185,33.445,33.638,33.619,33.638,33.909,34.32,34.763,35.065,35.466,35.878,36.453,36.69,36.944,37.218,37.533,37.914,38.339,38.796,39.236,39.529,39.824,40.127,40.559,40.94,41.211,41.373,41.384,41.585,41.816,42.024,41.955,42.063,42.48,42.774,43.618,43.941,44.356,45.029,45.63,45.875,46.298,46.823,47.815,48.573,48.697,49.004,49.52,49.815,50.179,50.733,51.184,51.515,51.984,52.131,52.466,52.824,53.243,54.154,54.433,54.377,55.054,55.678,55.515,55.724,55.764,56.365,56.829,57.102,57.534,57.784,58.366,58.71,60.098,60.688,61.41,61.708,62.402,63.342,63.94,64.599,64.948,65.355,66.07,66.833,67.344,67.835,68.308,68.554,69.158,69.745,69.948,70.865,71.623,72.056,73.106,73.39,73.605,73.802,74.249,75.143,76.335,76.974,77.57,78.001,78.027,78.543,78.807,79.318,79.903,80.566,81.286,81.993,82.672,83.431,84.113,84.661,85.39,85.777,86.541,87.54,88.351,89.529,90.289,90.859,91.559,92.727,92.701,93.208,93.999,93.685,93.941,94.841,94.037,93.528,94.144,93.896,92.915,95.519,95.551,96.165,97.245,98.032,99.023,99.884,100.219,100.874,101.82,102.383,102.634,102.032,103.547,103.786,104.545,105.514,106.469,108.497,108.662,108.819,105.162,107.157,108.863,109.383,109.421,109.142,107.848,107.689,108.654,109.431,109.668,109.768,109.69,109.407,109.1,109.006
"14","6","  Households","B701RA3",32.525,32.959,33.269,33.558,33.556,33.614,33.885,34.365,34.781,35.073,35.569,36.123,36.499,36.795,37.012,37.337,37.61,37.981,38.451,38.932,39.483,39.765,40.038,40.363,40.573,40.908,41.137,41.28,41.351,41.647,41.919,42.096,41.746,41.851,42.453,42.831,44.094,44.397,44.934,45.824,46.448,46.432,46.864,47.664,48.95,50.116,49.927,50.276,50.837,51.194,51.531,51.926,52.117,52.202,52.487,52.389,52.617,52.842,53.225,54.434,54.574,54.243,55.371,56.246,56.171,56.359,56.25,56.782,56.935,56.868,57.297,57.344,57.742,57.72,59.24,59.805,60.268,60.294,60.882,61.829,62.153,62.763,62.918,62.987,63.441,64.163,64.523,65.017,65.49,65.731,66.506,66.992,66.893,68.006,68.754,68.916,69.803,69.704,69.693,70.084,71.041,72.425,74.103,74.841,75.181,75.419,75.103,75.71,76.028,76.582,77.285,78.009,78.694,79.313,79.798,80.376,80.584,81.035,81.836,82.208,83.617,84.995,86.24,87.736,88.606,89.101,89.719,90.784,90.927,91.45,92.646,91.965,91.809,92.677,90.989,90.042,91.066,90.793,89.176,93.194,93.218,94.045,95.855,97.106,98.66,99.881,100.104,101.356,103.037,104.207,104.781,103.515,104.304,104.698,106.185,107.866,108.524,111.177,110.912,111.212,109.655,108.609,108.941,109.149,110.395,110.851,108.988,108.465,109.546,110.06,109.723,109.467,108.918,108.343,107.639,107.148
"15","7","  Nonprofit institutions serving households \3\","B702RA3",33.192,33.455,33.616,33.627,33.58,33.529,33.798,34.081,34.571,34.889,35.12,35.28,36.201,36.335,36.652,36.838,37.222,37.618,37.965,38.38,38.638,38.945,39.276,39.541,40.326,40.78,41.116,41.308,41.225,41.272,41.437,41.691,42.067,42.181,42.302,42.466,42.635,42.992,43.222,43.568,44.126,44.763,45.169,45.27,45.81,45.953,46.546,46.789,47.236,47.432,47.835,48.625,49.471,50.177,50.927,51.454,51.953,52.517,52.988,53.434,53.924,54.289,54.274,54.514,54.219,54.459,54.726,55.427,56.365,57.16,57.594,58.154,59.014,59.918,61.094,61.72,62.832,63.545,64.396,65.323,66.332,67.063,67.706,68.628,69.742,70.564,71.303,71.787,72.255,72.509,72.854,73.589,74.238,74.863,75.636,76.463,77.75,78.602,79.152,79.061,78.748,78.912,79.382,79.872,80.845,81.559,82.093,82.471,82.655,83.1,83.508,84.078,84.846,85.683,86.648,87.676,89.072,89.766,90.379,90.785,90.577,91.011,91.178,91.89,92.488,93.169,93.986,95.301,95.029,95.511,95.706,95.932,96.79,97.736,98.207,98.328,98.353,98.135,98.048,98.674,98.715,99.033,99.121,99.282,99.512,99.887,100.373,100.228,100.195,99.963,99.793,100.059,102.523,102.558,102.366,102.408,103.749,104.964,105.688,105.659,99.38,105.172,108.656,109.588,108.078,106.876,106.292,106.583,107.405,108.509,109.467,110.014,110.533,110.619,110.816,111.227
"16","8","General government \4\","B765RA3",65.229,65.747,66.26,66.51,66.12,66.149,66.22,66.268,66.358,66.226,66.276,66.334,65.948,65.93,66.225,66.612,66.396,66.346,66.393,66.769,67.435,67.687,67.924,68.273,68.752,68.864,69.006,69.083,69.248,69.338,69.621,69.897,69.955,70.04,70.397,70.62,71.061,71.262,71.814,72.268,72.351,72.187,72.181,72.734,73.127,73.561,73.568,73.357,73.428,73.556,74.012,74.238,74.398,74.604,74.573,74.667,74.922,75.025,75.151,75.047,75.261,75.705,76.28,76.629,77.183,77.75,78.642,78.997,79.369,79.78,80.218,80.898,81.184,81.526,81.85,82.714,83.413,83.62,84.053,84.692,85.128,85.626,86.285,86.752,87.591,87.956,88.44,88.6,89.229,89.14,88.951,88.937,89.244,89.325,89.503,89.381,89.624,89.591,89.619,89.409,89.548,89.645,89.706,89.428,89.731,89.855,89.849,89.147,89.106,90.053,90.019,89.982,90.173,90.353,90.65,90.713,91.059,91.385,91.703,91.844,92.036,92.071,92.393,92.822,93.375,94.236,94.001,94.133,94.784,95.429,95.982,96.326,96.925,97.454,97.864,97.995,98.526,98.798,98.795,98.805,99.048,99.178,99.364,99.72,99.893,99.879,100.069,100.159,100.078,100.252,100.848,101.188,101.266,101.499,101.954,102.526,103.005,103.451,104.282,104.796,105.233,106.043,106.167,106.475,106.602,107.116,106.612,106.468,106.396,106.223,105.98,105.964,105.899,105.713,105.85,105.694
"17","9","  Federal","B766RA3",105.966,106.511,106.996,106.378,103.723,102.458,101.296,100.13,99.229,97.756,96.557,95.294,93.661,92.196,92.033,92.118,90.529,89.27,88.204,88.173,88.998,88.826,88.581,88.645,88.511,88.238,88.146,88.176,88.359,88.363,88.437,88.51,88.407,88.537,88.852,88.838,89.39,89.8,90.073,89.837,89.682,89.627,89.766,89.639,90.194,91.434,91.602,91.166,91.923,92.275,92.788,93.027,93.256,93.732,94.279,94.77,95.505,96.013,96.601,96.659,97.347,98.104,98.82,99.21,100.045,100.91,101.783,101.945,102.453,102.686,103.149,103.575,104.523,105.031,106.152,106.958,106.96,106.489,106.87,107.583,107.643,107.975,108.598,108.966,109.933,110.128,110.55,110.483,112.249,111.394,110.382,109.725,109.43,108.889,108.377,107.758,107.821,107.07,106.287,104.957,104.615,103.581,102.767,101.303,100.621,100.281,99.614,96.179,96.315,97.225,96.695,95.552,95.301,94.944,94.677,93.599,93.621,93.509,93.569,93.489,93.465,92.715,92.474,92.47,93.121,95.023,93.285,92.804,93.635,94.054,94.168,93.857,94.906,95.552,96.168,96.492,97.726,98.532,98.589,98.578,99.048,98.941,99.356,99.996,100.136,99.866,99.803,100.194,99.468,99.503,100.367,100.393,100.183,100.067,101.04,101.459,102.472,103.595,105.344,107.09,108.295,110.708,111.642,112.458,113.665,115.611,114.968,115.097,115.592,115.736,115.669,115.923,115.652,115.228,115.067,114.902
"18","10","  State and local","B767RA3",48.33,48.828,49.343,49.931,50.451,51.003,51.573,52.112,52.611,53.041,53.614,54.23,54.38,54.993,55.49,56.01,56.393,56.867,57.396,57.954,58.557,58.995,59.443,59.918,60.673,60.954,61.199,61.298,61.458,61.587,61.963,62.33,62.461,62.526,62.905,63.236,63.632,63.743,64.422,65.185,65.374,65.161,65.091,65.945,66.271,66.356,66.292,66.18,65.946,65.978,66.413,66.635,66.765,66.853,66.566,66.487,66.534,66.462,66.389,66.215,66.221,66.529,67.049,67.383,67.819,68.259,69.167,69.609,69.925,70.415,70.844,71.632,71.64,71.913,71.907,72.796,73.783,74.273,74.728,75.337,75.927,76.495,77.169,77.675,78.463,78.895,79.403,79.653,79.824,80.044,80.186,80.431,80.98,81.317,81.777,81.856,82.172,82.429,82.785,83.029,83.362,83.919,84.334,84.533,85.236,85.549,85.812,86.231,86.119,87.084,87.257,87.679,88.054,88.46,88.991,89.53,90.011,90.522,90.947,91.179,91.461,91.822,92.377,92.985,93.5,93.928,94.315,94.701,95.278,96.015,96.748,97.362,97.777,98.258,98.584,98.633,98.868,98.912,98.884,98.903,99.048,99.282,99.367,99.6,99.786,99.885,100.186,100.143,100.347,100.583,101.061,101.539,101.744,102.133,102.358,102.996,103.241,103.389,103.819,103.804,103.908,104.026,103.804,103.894,103.556,103.448,103.005,102.743,102.425,102.115,101.795,101.662,101.688,101.604,101.871,101.718
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",33.968,34.424,34.814,35.164,35.302,35.504,35.844,36.264,36.636,37.057,37.556,38.135,38.59,38.958,39.298,39.708,40.018,40.385,40.775,41.181,41.792,42.318,42.817,43.273,43.492,43.733,43.996,44.188,44.245,44.437,44.625,44.811,45.369,45.411,45.67,46.153,47.321,47.566,47.765,48.305,49.074,49.206,49.667,50.535,51.592,52.768,52.857,53.405,54.081,54.499,54.803,55.479,55.899,55.869,56.41,56.593,56.672,56.985,57.613,58.465,58.51,58.327,59.354,60.831,60.963,61.122,61.814,62.418,62.487,62.672,62.866,62.872,63.628,63.465,64.689,65.066,65.573,65.636,66.145,66.933,67.109,67.615,67.724,67.829,68.317,69.072,69.56,70.163,70.752,71.127,71.974,72.505,72.535,73.577,74.249,74.385,74.922,74.774,74.707,75.053,75.987,77.286,78.907,79.671,80.151,80.432,80.134,80.681,80.818,81.262,81.901,82.554,83.247,83.857,84.263,84.708,84.794,85.157,85.86,86.098,87.5,88.816,89.963,91.331,91.98,92.358,92.889,93.858,93.993,94.38,95.522,94.79,94.574,95.315,93.314,91.938,92.443,91.755,89.81,93.853,93.941,94.753,96.474,97.508,98.815,99.849,100.016,101.321,103.076,104.344,105.093,104.394,105.593,106.459,108.069,109.632,110.183,112.758,112.87,113.482,112.209,111.61,112.139,112.543,113.977,114.508,112.95,112.573,113.819,114.526,114.284,114.099,113.756,113.358,112.85,112.556
