"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"22","65","    Furniture and related product manufacturing","KS337F0",2643,2621,2613,2632,2652,2669,2712,2644,2602,2566,2562,2626,2555,2573,2611,2603,2679,2607,2609,2595,2585,2659,2696,2660,2603,2670,2652,2677,2668,2652,2651,2677,2761,2890,2771,2840,2967,2970,2990,2927,2948,2935,2926,2965,2996,2944,2976,2938,2926,2962,3022,3023,2893,2892,2858,2900,2960,2939,2879,2845,2843,2777,2699,2702,2708,2764,2822,2914,3034,2999,3089,3094,3117,3116,3045,3046,3004,2975,3041,2995,2888,2919,2889,2928,2922,2986,2934,2945,2940,2928,2904,2956,2978,3062,3005,3081,3066,3107,3075,3131,3143,3055,3050,3124,3189,3165,3169,3238,3192,3168,3245,3192,3140,3210,3207,3251,3231,3270,3283,3170,3129,3174,3170,3107,3104,3100,3018,3013,3034,3041,3026,3047,3012,2974,2956,2927,2868,2860,2862,2891,2904,2918,2858,2835,2771,2708,2637,2568,2509,2422,2414,2348,2324,2276,2231,2170,2201,2205,2196,2221,2306,2303,2289,2323,2319,2341,2365
"23","66","    Miscellaneous durable goods manufacturing","KS339F0",5592,5735,5761,5730,5593,5650,5373,5595,5622,5777,5792,5845,5965,6021,6040,6013,6072,5970,6133,6120,6117,5989,6098,5997,6018,6000,6036,6139,6250,6163,6213,6213,6224,6368,6470,6448,6592,6578,6717,6712,6823,6865,6944,7077,7097,7183,7154,7128,7296,7384,7348,7316,7325,7305,7261,7284,7335,7211,7128,7264,7278,7381,7197,7235,7152,7311,7336,7196,7374,7218,7229,7322,7276,7369,7458,7545,7541,7443,7224,7478,7932,7971,7733,8079,8044,7997,8051,7938,8075,8003,7925,8085,8012,7971,8032,8014,8044,7828,7982,7890,8002,8180,8388,8661,8676,8789,8939,8965,9033,8966,9007,9024,9026,9069,9178,9261,9364,9366,9373,9575,9502,9548,9565,9261,9550,9538,9557,9437,9497,9484,9556,9603,9573,9602,9566,9651,9593,9657,9678,9706,9728,9789,9868,10019,10012,9980,9996,9954,9929,9880,9749,9684,9590,9485,9410,9193,9217,9259,9166,9231,9222,9165,9237,9335,9398,9433,9427
"24","67","  Nondurable goods industries","KS30NF0",89276,89017,89817,90373,90486,91305,90915,91383,91460,91768,93162,92794,93020,93211,93308,93165,93735,93334,93579,93425,93359,93811,94479,93439,93874,93772,94242,94276,94987,95008,95540,96324,96846,97527,97990,97691,98136,98752,98139,98578,98814,99274,99813,99724,100137,100685,100484,100766,101546,100096,100087,99898,99347,98963,98316,98123,98043,98263,98108,98615,98289,96147,96473,96812,96456,97224,96855,96619,97603,98153,97822,98525,97229,98018,97850,98078,97768,98322,98291,98378,97835,97420,97340,97256,96615,96660,96687,96013,97456,97467,97913,98499,97991,97966,99227,98527,100500,100302,100073,100618,99391,100225,100533,99746,99381,100023,100010,100895,101860,102488,102888,102585,102716,102774,102765,102987,103367,103931,103599,103532,102880,102624,102600,103729,104387,104507,105459,104844,105825,105346,105549,105051,106025,106121,107142,106463,104122,107121,105578,105345,103545,104730,105644,101842,101405,100683,101101,100528,100357,99909,99643,100146,99253,101052,100810,99276,100716,100849,100715,101616,100746,99621,100825,100460,100934,101198,100995
"25","68","    Food manufacturing","KS311F0",19214,19259,19630,19810,19669,19984,19956,19958,19813,19835,20143,20180,20557,20449,20386,20270,20401,20310,20140,19951,20179,20272,20260,20230,20252,20209,20198,20238,20228,20172,20355,20224,20843,21281,21014,20867,21270,21515,21556,21508,21549,21517,21746,21666,21600,21625,21584,21855,22711,21521,21537,21579,21660,21579,21594,21587,21487,21333,21650,21860,21965,21749,21707,22295,22135,22391,22221,22131,22463,22565,22754,22479,22507,22534,22500,22138,22247,22127,22163,22118,22042,22011,21793,21787,21671,21462,21439,21122,21079,21237,21515,21657,21581,21344,21297,21282,21460,21338,21407,21799,21466,21616,21720,21737,21778,21457,21753,21800,22248,22300,22384,22342,22220,22189,21980,21653,21733,21646,21590,21734,21538,21285,21394,21508,21620,21541,21874,21935,21863,21871,21582,21636,21419,21335,21048,21179,21227,21170,21039,21067,21212,21382,21902,22118,22268,22294,22169,22187,22249,21823,22011,22178,21815,21888,21900,21718,21702,21731,21791,22044,22106,22011,21735,21769,21778,21727,21429
"26","69","    Beverage and tobacco product manufacturing","KS312F0",4008,3857,3737,3868,3815,3777,3786,3740,3741,3746,4059,3924,3927,3797,3822,3622,3759,3529,3600,3613,3626,3717,3973,3807,3774,3800,3716,3777,4018,3912,3857,3957,3836,3694,3939,4008,3902,4269,4233,4041,4028,4089,3967,3970,4059,4025,4106,4085,3977,3933,4251,4071,4053,4004,4062,4054,4079,4067,4068,4321,4105,3981,4062,4128,4169,4428,4218,4187,4304,4171,4097,4332,4328,4403,4360,4638,4569,4628,4577,4441,4354,4388,4511,4425,4409,4538,4490,4523,4467,4631,4731,4813,4664,4640,4781,4684,4823,4836,4761,4724,4601,4535,4627,4629,4543,4576,4558,4627,4638,4712,4688,4709,4710,4546,4637,4770,4743,4751,4638,4661,4770,4581,4614,4610,4612,4684,4696,4696,4692,4737,4721,4709,4779,4757,4733,4784,4770,4756,4693,4663,4643,4648,4716,4707,4665,4630,4687,4662,4651,4625,4651,4630,4626,4545,4518,4529,4461,4444,4351,4352,4346,4389,4357,4382,4387,4398,4394
"27","70","    Textile mills","KS313F0",2801,2742,2734,2763,2781,2790,2785,2807,2761,2735,2696,2718,2751,2785,2759,2778,2828,2812,2870,2843,2892,2931,2945,2958,2973,3010,3038,3080,3021,3061,3047,3056,3055,3006,3031,3072,3014,2968,2989,2983,2968,2950,2927,2895,2910,2919,2932,2872,2939,2875,2795,2845,2900,2862,2796,2823,2816,2788,2774,2737,2730,2702,2699,2638,2649,2604,2634,2656,2628,2654,2565,2609,2620,2601,2614,2603,2618,2660,2635,2601,2620,2532,2532,2501,2486,2459,2476,2445,2476,2454,2478,2472,2460,2479,2457,2433,2412,2440,2393,2443,2438,2436,2421,2355,2362,2344,2360,2421,2405,2378,2373,2358,2343,2372,2370,2377,2402,2337,2326,2353,2332,2321,2289,2267,2263,2274,2317,2364,2359,2319,2299,2315,2291,2278,2309,2234,2195,2115,2149,2146,2176,2153,2149,2141,2160,2146,2111,2123,2072,2031,2002,1946,1892,1916,1887,1862,1841,1836,1821,1802,1814,1826,1849,1845,1864,1863,1868
"28","71","    Textile product mills","KS314F0",1411,1390,1419,1447,1473,1520,1534,1552,1561,1578,1627,1593,1620,1625,1621,1590,1574,1548,1543,1550,1551,1536,1506,1485,1472,1485,1552,1589,1593,1596,1628,1631,1638,1659,1633,1666,1676,1714,1728,1735,1748,1771,1762,1742,1773,1796,1836,1848,1880,1905,1902,1913,1942,1980,1980,2025,2008,2022,2052,2053,2012,1911,1835,1838,1817,1762,1737,1688,1664,1606,1557,1520,1557,1581,1586,1564,1590,1616,1629,1645,1624,1618,1638,1658,1634,1618,1636,1655,1617,1616,1617,1609,1664,1643,1660,1619,1677,1696,1695,1668,1646,1624,1619,1649,1613,1653,1641,1728,1684,1698,1689,1690,1681,1748,1783,1798,1796,1806,1808,1801,1770,1750,1723,1712,1763,1751,1739,1731,1728,1727,1705,1706,1706,1690,1678,1657,1626,1609,1646,1612,1600,1577,1589,1589,1548,1488,1500,1471,1455,1421,1417,1422,1412,1416,1419,1426,1440,1448,1458,1461,1461,1488,1489,1492,1514,1514,1519
"29","72","    Apparel manufacturing","KS315F0",4017,3970,4009,4068,4127,4221,4268,4355,4347,4379,4306,4285,4315,4365,4416,4480,4400,4399,4428,4423,4500,4604,4600,4537,4571,4659,4797,4768,4873,4868,4908,5011,5028,4874,4834,4966,4958,4843,4787,4818,4657,4697,4732,4721,4657,4744,4909,4925,4994,4980,4777,4642,4650,4731,4614,4528,4362,4301,4206,4127,3977,3919,3831,3811,3745,3742,3703,3720,3867,3871,3830,3840,3895,4003,4083,4158,4194,4123,4149,4044,4052,3974,3935,3971,3913,3758,3778,3699,3694,3715,3771,3741,3736,3773,3802,3802,3858,3874,3882,3914,3911,3840,3805,3833,3848,3851,3816,3775,3762,3773,3752,3784,3742,3778,3819,3885,3632,3673,3787,3809,3797,3766,3741,3758,3763,3743,3787,3724,3724,3715,3714,3705,3707,3726,3696,3679,3666,3668,3676,3680,3632,3643,3614,3572,3515,3487,3464,3424,3400,3373,3351,3331,3326,3293,3291,3290,3299,3295,3288,3266,3269,3313,3341,3366,3389,3428,3427
"30","73","    Leather and allied product manufacturing","KS316F0",890,883,864,881,909,921,927,923,905,917,896,913,920,936,967,978,990,1013,1022,1004,980,990,1007,972,948,962,968,966,960,994,993,987,1014,1002,1034,999,996,995,995,1013,1008,976,996,1009,1002,1014,1003,944,921,925,929,988,926,878,872,874,876,907,888,851,850,711,677,658,676,700,701,767,743,789,779,765,784,768,764,759,764,761,740,727,730,728,717,727,709,705,706,708,696,684,687,673,680,682,699,713,714,723,735,752,748,759,755,750,759,767,760,757,755,738,747,738,757,764,773,798,815,819,838,853,852,858,850,855,850,856,851,847,835,860,855,836,839,840,865,1040,993,976,951,931,912,888,874,869,871,870,891,891,875,859,853,841,819,800,809,805,808,805,803,791,782,772,780,777,784,805,819
"31","74","    Paper manufacturing","KS322F0",6825,6802,6996,6922,6927,6916,6898,6968,7068,6995,7086,7145,7142,7131,7110,7093,7186,7230,7249,7313,7265,7330,7324,7190,7165,7136,7219,7183,7311,7335,7277,7274,7364,7393,7289,7319,7418,7370,7356,7444,7372,7395,7511,7540,7365,7358,7231,7187,7091,7108,7009,7014,6989,7047,6997,6966,7096,7187,7287,7378,7350,7339,7471,7458,7410,7582,7449,7471,7621,7633,7784,7771,7809,7722,7609,7666,7707,7714,7651,7693,7631,7547,7618,7529,7626,7664,7604,7441,7515,7404,7469,7603,7479,7616,7650,7616,7729,7728,7614,7649,7593,7616,7619,7515,7460,7557,7525,7559,7585,7565,7534,7577,7524,7442,7509,7486,7548,7519,7463,7495,7497,7448,7450,7502,7437,7404,7431,7394,7402,7274,7233,7392,7059,7157,7330,7298,7344,7332,7266,7251,7250,7334,7349,7153,7003,7032,7048,6950,6926,7006,6962,6993,6936,6841,6868,6749,6748,6755,6620,6656,6667,6592,6578,6577,6567,6575,6569
