"","Table 5#6#5BM1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132"
"21","11","E       Nondurable goods industries","C42WN0",19872,-684,-1116,-3300,492,14076,12372,9408,2040,16392,16824,3924,-3228,12960,828,-5544,13068,6996,4680,9588,12816,-2676,16584,-7212,-132,14760,3624,11304,-10908,-4512,18384,10956,1344,11424,6624,-552,16176,-1992,4572,1164,864,312,7920,7632,8820,8304,7848,-912,-13608,6072,9588,19944,22968,16020,-6912,13836,4884,-17388,9888,1920,6696,-8796,6192,-9060,7692,9840,7020,-10128,-576,-10368,-2400,21468,-1140,-12456,1248,-612,-5424,-1224,11412,840,11520,14868,-3540,-21384,-15996,8280,-10764,-14436,-3300,2964,31392,-5736,-12492,21480,11988,-2904,19476,-3936,5508,20280,-2724,-2196,-3168,8820,12780,-17832,-5820,22740,1788,17676,2268,1464,15432,11028,3864,23916,-6240,6456,18720,-19800,-5040,3720,-1332,25488,-1668,19080,28200,7200,13608
"22","12","E     Nonmerchant wholesale industries","C42N0",11844,3072,-3804,8892,4356,-900,-156,1896,-600,5856,1320,1512,456,4212,3828,-408,480,-384,-504,1836,3396,5940,7836,-2700,-912,1932,5076,4008,2016,3156,-1128,9120,-1092,2316,-1092,1248,3372,1716,-1260,5520,-4992,7860,6288,4272,-432,6864,1872,-612,6780,-768,-4920,3204,-3672,-1164,-6672,-1416,-9096,-3588,-5304,-324,-10548,-3240,5328,-732,-372,-3876,5916,-3420,3912,1272,-2760,2544,-5172,864,-7128,1212,-1476,2424,1080,4944,-6156,600,-2268,5556,6216,-3564,144,-5292,9132,4764,-6384,6300,7392,-8376,7272,-5424,13692,4620,5928,3960,-4920,540,4668,588,-10284,1704,4344,-9648,17292,6960,-11184,-4944,408,-348,3360,11520,12000,10752,11448,-5856,2736,3852,-2136,-7236,-2832,-2388,-2784,-8280,5256
"23","13","E       Durable goods industries","C42ND0",11064,3852,-5532,8436,4056,-2772,348,0,-1140,4848,-1200,1356,3084,3804,2424,-1548,336,-204,-456,1932,4164,4008,6780,-1368,-1392,3600,3156,4632,1008,3048,-2916,6432,-1476,960,-1620,1176,3000,504,-888,4836,-5472,6096,5316,4788,-1776,6504,2052,-1560,6084,-96,-5016,1956,-3168,-108,-4644,-1560,-7572,-3372,-4212,-1212,-9216,-1092,4260,528,1464,-4656,4356,-2580,2304,204,384,-1008,192,-1104,-6720,-336,-672,816,1572,2856,-5688,1200,-732,5376,7488,-3060,684,-3492,-1164,4824,-5892,4728,10788,-6840,2052,-1116,3876,6540,7560,624,696,-4056,2652,6468,-9600,1260,7380,-9804,14232,2208,-12912,-4500,-1908,1356,3780,11628,13392,10200,13920,-5796,9888,5892,-996,-7680,-3504,-1740,-5856,-5100,3180
"24","14","E       Nondurable goods industries","C42NN0",780,-780,1728,456,300,1872,-504,1896,540,1008,2520,156,-2628,408,1404,1140,144,-180,-48,-96,-768,1932,1056,-1332,480,-1668,1920,-624,1008,108,1788,2688,384,1356,528,72,372,1212,-372,684,480,1764,972,-516,1344,360,-180,948,696,-672,96,1248,-504,-1056,-2028,144,-1524,-216,-1092,888,-1332,-2148,1068,-1260,-1836,780,1560,-840,1608,1068,-3144,3552,-5364,1968,-408,1548,-804,1608,-492,2088,-468,-600,-1536,180,-1272,-504,-540,-1800,10296,-60,-492,1572,-3396,-1536,5220,-4308,9816,-1920,-1632,3336,-5616,4596,2016,-5880,-684,444,-3036,156,3060,4752,1728,-444,2316,-1704,-420,-108,-1392,552,-2472,-60,-7152,-2040,-1140,444,672,-648,3072,-3180,2076
"25","15","E Retail trade industries","C440",-7644,28308,-26400,46608,17664,348,33864,-9732,32604,22728,22008,14892,26088,37500,52860,47400,-16728,1944,15948,-4416,18360,2112,21540,1476,45276,18660,36300,12960,5436,18864,15720,10248,23352,39168,42420,59892,-11052,9024,26316,26196,47460,35448,27420,35640,6204,34044,18996,3696,-7620,-35676,-8088,16248,9948,-8388,1128,18672,-3768,-109380,-55560,52656,38640,16080,8220,10212,42420,32568,15180,-11328,52044,18276,53148,15156,20796,23760,26136,16704,-5628,17544,26220,-29460,61644,11004,29304,-7272,9852,23124,41076,54900,16524,15420,16236,37332,-2220,29544,17880,9204,14016,30180,-12540,-16308,-2544,-11088,-86316,28968,48324,37296,19632,21600,11820,-14808,53112,-44808,50208,20688,-8652,19068,-7272,-39972,-1656,41724,-36504,28428,-35676,16488,-12936,6996,42516,14592,-9840
"26","16","E   Motor vehicle dealers","C4410",-7356,8064,-12516,23712,-1896,-8412,19944,924,480,21132,17280,-1500,8424,15108,20796,33120,648,-34740,-5160,-15516,9528,2820,4008,-12672,26844,14064,21756,-2568,72,3768,11448,-540,12024,25668,17436,25284,4596,-5832,13824,27624,18492,26844,26580,11868,9564,11916,2328,-156,-14628,-35316,-13740,16116,11964,624,16548,-3168,7656,-117264,-33012,58212,32820,18684,13812,8088,24468,26928,-5088,-10248,27264,32844,47928,636,25824,11928,18108,17532,12504,16092,8580,-17856,33204,168,22236,-372,15492,10200,17184,35928,3492,4128,11688,16956,-6612,14160,-11160,-22704,-8628,20496,-14724,-19116,-17460,-24552,-75192,14556,47712,44964,8280,-1020,-2412,-8172,28812,-38364,29268,10104,-11100,-2400,-12336,-51408,-6360,24600,-32064,-204,-13176,14856,-30732,324,36984,15372,-12684
"27","17","E   Food and beverage stores","C4450",-504,384,924,-1212,1140,192,528,3864,1092,-2004,1476,-1740,3288,312,3060,3444,-252,2556,2556,-1236,-1308,60,3096,-1128,3936,468,804,-1704,3084,1224,1836,2868,3636,1692,984,3024,-348,648,324,180,1572,-6864,-912,792,2340,-156,-2064,2652,2508,2076,132,1596,-684,1248,-252,336,-1536,3540,1308,-1320,-1740,-204,-1836,168,480,408,-1644,2412,3408,-6420,2052,4884,-1764,1356,864,-1704,-1968,-1884,2364,-936,3012,-6756,-3300,-1764,1296,-1308,936,324,1884,600,1128,12,504,-264,1176,-1404,2124,-1140,-1116,-420,252,468,-1860,1716,-5100,3468,1524,12,1968,1260,1344,348,2232,840,-216,-12,408,408,-336,-1056,-1296,108,708,-4020,3156,3312,1692,3804,1008
"28","18","E   General merchandise stores","C4520",-7272,3192,-4488,7428,912,1164,-1824,-4152,2364,-3516,780,7452,3804,780,1188,756,-9612,10248,4872,12,3120,-1272,-1848,-1716,-648,1344,5604,4248,-264,-1200,1644,4116,1476,-1824,12396,5340,3840,3036,-4776,-1020,2736,4296,-4296,1116,96,5916,-420,2244,4992,1140,12648,-4620,4872,732,-9660,10644,-6588,-984,-7872,-6852,-4560,120,-5964,-1560,7272,-4188,10452,456,1380,516,10320,516,-2232,-2520,2244,10008,-10212,24,3840,-8688,11484,8496,-5148,2988,3168,4500,8280,2532,1860,6492,-2004,4428,1068,1644,12576,7728,2832,2676,13356,2640,2940,-696,-5676,9432,816,-7080,-48,4176,-5532,-6192,588,-11712,8988,1740,8580,6276,3192,8736,3084,4212,5712,5688,-4116,5172,2340,540,-4536,-4104,2964
"29","19","E   Other retail stores","C44Y0",7488,16668,-10320,16680,17508,7404,15216,-10368,28668,7116,2472,10680,10572,21300,27816,10080,-7512,23880,13680,12324,7020,504,16284,16992,15144,2784,8136,12984,2544,15072,792,3804,6216,13632,11604,26244,-19140,11172,16944,-588,24660,11172,6048,21864,-5796,16368,19152,-1044,-492,-3576,-7128,3156,-6204,-10992,-5508,10860,-3300,5328,-15984,2616,12120,-2520,2208,3516,10200,9420,11460,-3948,19992,-8664,-7152,9120,-1032,12996,4920,-9132,-5952,3312,11436,-1980,13944,9096,15516,-8124,-10104,9732,14676,16116,9288,4200,5424,15936,2820,14004,15288,25584,17688,8148,-10056,588,11724,13692,-3588,3264,4896,-4056,9876,18432,17796,-1704,22368,4920,9720,8004,-5916,15204,1464,2292,1956,13968,-8856,22836,-19092,480,12300,2820,8376,-480,-1128
"30","20","E Other industries","COTH0",8512,8512,8512,4508,4508,4508,3016,3016,3016,5280,5280,5280,2904,2904,2904,5136,5136,5136,5464,5464,5464,9280,9280,9280,7552,7552,7552,9092,9092,9092,6996,6996,6996,4824,4824,4824,12764,12764,12764,14180,14180,14180,17548,17548,17548,5092,5092,5092,2232,2232,2232,-544,-544,-544,-248,-248,-248,-728,-728,-728,-2972,-2972,-2972,1468,1468,1468,-1564,-1564,-1564,-2344,-2344,-2344,-1220,-1220,-1220,3952,3952,3952,1072,1072,1072,1396,1396,1396,5688,5688,5688,4748,4748,4748,6708,6708,6708,5876,5876,5876,-2256,-2256,-2256,-1968,-1968,-1968,-4192,-4192,-4192,-1396,-1396,-1396,3380,3380,3380,6360,6360,6360,5476,5476,5476,2196,2196,2196,2528,2528,2528,612,612,612,348,348,348
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","E=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","  monthly data are underlying detail to the published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
