"","Table 6#6B# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"26","19","        Fabricated metal products","J4419C0",8118,8555,9076,9689,10250,11082,12194,13095,14071,15026,16285,17940,19565,20802,21809,22797,24118,24891,25431
"27","20","        Machinery, except electrical","J4420C0",9025,9412,9910,10573,11240,12019,13173,14174,15292,16478,17977,19898,21736,23362,24649,26096,27589,28949,29974
"28","21","        Electric and electronic equipment","J4421C0",8056,8606,9113,9470,9882,10567,11857,12659,13548,14572,15771,17686,19441,21367,23267,24607,26437,27808,28694
"29","22","        Motor vehicles and equipment","J4422C0",9896,10198,11496,12674,13673,13960,15259,17471,19459,20458,21600,23748,25892,27172,29456,31987,34482,35157,35305
"30","23","        Other transportation equipment","J4423C0",9929,10550,10888,11447,12011,13026,14398,15335,16397,17703,19647,22212,24372,26912,28473,29856,31610,33098,33799
"31","24","        Instruments and related products","J4424C0",8424,8882,9491,9926,10444,11161,12228,13062,14082,14997,16310,18260,20228,22174,23739,24969,26415,28589,30111
"32","25","        Miscellaneous manufacturing industries","J4425C0",6620,7097,7355,7800,8080,8679,9407,10148,10678,11441,12507,13932,15072,16701,17802,18373,19436,20256,21029
"33","26","      Nondurable goods","J4426C0",7257,7691,8167,8636,9099,9925,10901,11710,12578,13559,14737,16328,17733,19319,20462,21506,22704,23705,24530
"34","27","        Food and kindred products","J4427C0",7403,7896,8408,8866,9365,10287,11220,12170,12972,13923,15100,16671,18024,19438,20329,21130,22060,22826,23562
"35","28","        Tobacco manufactures","B4428C0",6329,7063,7797,8230,8842,9519,10831,11986,12985,14552,16044,19076,21588,23848,26063,27274,29306,31241,35508
"36","29","        Textile mill products","J4429C0",5738,6035,6369,6853,7263,7758,8448,9105,9739,10527,11381,12421,13417,14124,15385,15973,16630,17545,18449
"37","30","        Apparel and other textile products","J4430C0",5143,5337,5606,5813,6112,6593,7118,7628,8046,8636,9296,10075,10869,11636,12243,12748,13343,13877,14208
"38","31","        Paper and allied products","J4431C0",8182,8637,9226,9947,10581,11461,12613,13847,14996,16300,17821,19727,21482,23148,24709,26437,27745,29217,30080
"39","32","        Printing and publishing","B4432C0",8558,8975,9597,10210,10658,11347,12176,13053,13809,14706,15633,17254,18584,20184,21293,22391,23424,24581,25588
"40","33","        Chemicals and allied products","J4433C0",9238,9871,10514,11244,11894,13069,14370,15496,16789,18219,19872,22105,24188,26451,28220,30098,32139,33749,35423
"41","34","        Petroleum and coal products","J4434C0",10269,10775,11505,12410,13152,14418,16594,18057,19631,21347,22947,26276,28011,31821,34234,36720,39819,41411,40325
"42","35","        Rubber and miscellaneous plastics products","J4435C0",7599,7956,8375,8799,9215,9909,10634,11284,12249,13172,14350,15838,17242,18570,19794,20710,21385,22137,22807
"43","36","        Leather and leather products","J4436C0",5438,5746,6098,6344,6500,6978,7527,7973,8426,8866,9705,10627,11487,12475,13282,13977,14167,14859,15457
"44","37","    Transportation and public utilities","A4437C0",8724,9336,10151,10973,11886,12698,13746,15226,16498,17966,19499,21336,23310,24871,26243,27047,28223,29060,30106
"45","38","      Transportation","J4438C0",8746,9396,10266,10991,11980,12677,13550,14944,16151,17505,19017,20786,22446,23491,24285,24735,25290,25783,26516
"46","39","        Railroad transportation","B4439C0",9317,10110,11360,11991,13775,14240,14987,17292,18784,20605,23025,25049,27143,29542,33200,34845,36621,39193,42000
"47","40","        Local and interurban passenger transit","J4440C0",6623,6996,7309,7496,7973,8645,9462,10121,10780,11482,12155,13371,14321,15100,14766,14735,14932,15158,15464
"48","41","        Trucking and warehousing \1\","B4441C0",8207,8672,9657,10548,11384,12054,12765,13991,15102,16319,17533,19067,20572,21257,21585,22089,22384,22794,23635
"49","42","        Water transportation","J4442C0",9615,10302,10594,11074,11979,12850,14136,15514,17065,19071,21086,23378,25019,25854,26749,27778,28542,29193,29701
"50","43","        Transportation by air \1\","J4443C0",10816,12027,12988,13988,14695,15702,17035,18501,20123,21797,23383,25656,27970,29477,31189,30978,32131,32225,32540
"51","44","        Pipelines, except natural gas","B4444C0",9722,10765,11412,11882,13125,14563,16765,17833,19444,21600,24450,26227,29500,33000,34143,35895,37316,39284,40179
"52","45","        Transportation services","J4445C0",7642,8232,8679,9274,9820,10664,11430,12146,12779,13413,14530,15953,17467,18528,18848,19739,20554,21194,22066
"53","46","      Communication","A4446C0",8282,8755,9526,10643,11489,12536,13887,15615,17060,18876,20492,22304,24705,26698,28872,29848,32003,33347,35145
"54","47","        Telephone and telegraph","J4447C0",10085,10712,10885,11575,12168,12779,13475,14705,15708,17417,18897,20121,21427,22550,23827,25509,27335,28721,29812
"55","48","        Radio and television","J4448C0",8044,8512,9350,10518,11397,12503,13948,15756,17279,19121,20759,22679,25283,27472,29897,30769,33043,34412,36368
"56","49","      Electric, gas, and sanitary services","J4449C0",9316,10028,10696,11420,12156,13031,14231,15653,16916,18292,19755,21790,24096,26365,28364,30412,32451,33975,35493
"57","50","    Wholesale trade","J4450C0",8685,9193,9671,10245,10897,11992,12930,13684,14584,15630,17012,18695,20176,21690,22591,23902,25039,26173,27355
"58","51","    Retail trade","J4451C0",5591,5914,6234,6607,6902,7381,7918,8439,8873,9335,10011,10844,11596,12368,12927,13300,13648,14209,14663
"59","52","    Finance, insurance, and real estate","J4452C0",7400,7823,8347,8861,9270,9853,10609,11386,12184,13319,14465,16028,17526,19042,20892,22244,24044,26117,28029
"60","53","      Banking","J4453C0",6839,7334,7720,8049,8444,9134,9833,10497,11060,11859,12812,14076,15449,17118,18428,19626,21095,22390,23720
"61","54","      Credit agencies other than banks","J4454C0",6787,7247,7751,8085,8581,9246,9748,10641,11405,12188,13239,14448,15517,16847,18230,19397,21030,22876,23999
"62","55","      Security and commodity brokers","J4455C0",12706,12221,14874,16431,16063,16570,19399,21823,23232,25219,27400,33027,34819,39814,48135,47482,52673,61277,65247
"63","56","      Insurance carriers","B4456C0",7694,8255,8669,9194,9756,10504,11379,12123,12898,13610,14876,16381,18007,19640,21159,22620,24262,25917,27537
"64","57","      Insurance agents, brokers, and service","J4457C0",7446,8022,8567,9153,9724,10341,11095,12017,13124,14319,15527,16882,17935,19404,20308,21494,23219,25101,27306
"65","58","      Real estate","J4458C0",6038,6590,7011,7603,8147,8502,8746,9368,10261,12127,13179,14235,15446,15532,16783,18509,19850,20970,22269
"66","59","      Holding and other investment offices","B4459C0",9617,10058,10600,11186,11548,11940,14341,13811,15188,19502,20667,23953,27065,27598,30501,32670,35303,37750,39967
"67","60","    Services","J4460C0",5885,6406,6840,7243,7710,8354,9010,9642,10296,11152,12128,13394,14661,16065,17050,17897,18720,19660,21003
"68","61","      Hotels and other lodging places","J4461C0",4630,4975,5206,5512,5751,6082,6458,6955,7437,8082,8919,9869,10888,11994,12706,13163,13614,14261,14755
"69","62","      Personal services","J4462C0",5254,5636,5892,6268,6585,7079,7459,7943,8322,9032,9651,10505,11013,11678,12298,12673,13056,13668,14043
"70","63","      Business services","J4463C0",7212,7630,7893,8145,8384,8937,9682,10256,10851,11949,13067,14436,15843,17032,18004,18754,19702,20507,21392
"71","64","      Auto repair, services, and parking","B4464C0",6127,6534,6847,7252,7697,8250,8851,9464,10014,10986,11873,12836,13773,14588,15083,15783,16340,17002,17703
"72","65","      Miscellaneous repair services","B4465C0",7126,7614,8262,8467,8985,9723,10403,11063,11681,12934,14065,15386,16588,17592,18118,19187,20093,20927,21776
"73","66","      Motion pictures","J4466C0",8318,8359,8441,8882,9172,10108,10614,11987,13209,16578,18454,19753,21897,21545,23412,25936,27587,28648,32998
"74","67","      Amusement and recreation services","J4467C0",6265,6766,7219,7252,7584,8107,8815,9181,9594,10353,11053,11980,12951,13970,14731,15274,16068,16959,18030
"75","68","      Health services","J4468C0",5845,6593,7043,7499,7980,8727,9624,10465,11248,12129,13192,14637,16123,17890,19055,19977,20830,21806,23959
"76","69","      Legal services","J4469C0",7134,8035,8768,9548,10466,11478,12378,13384,14397,14983,16332,18132,20213,24806,26887,28826,30751,33100,37068
"77","70","      Educational services","J4470C0",6395,7013,7642,8389,8654,8926,9099,9402,9675,9910,10526,11653,12627,13542,14461,15037,15829,16605,17368
"78","71","      Social services and membership organizations","A4471C0",5138,5449,5924,6088,6645,7130,7407,7701,8297,8858,9468,10290,11026,11876,12512,13210,13553,14376,14880
"79","72","        Social services","B4472C0",NA,NA,NA,NA,NA,NA,6974,7260,7499,7719,8174,8783,9444,10328,10731,11236,11773,12364,13060
"80","73","        Membership organizations","J4473C0",NA,NA,NA,NA,NA,NA,7616,7936,8751,9591,10373,11420,12248,13005,13887,14814,15097,16226,16568
"81","74","      Miscellaneous professional services","J4474C0",9978,10601,11163,11383,11978,12923,14302,15220,16187,17147,18468,20434,22297,25216,26464,27766,28870,29968,31792
"82","75","      Private households","B4475C0",3543,3847,4159,4478,4833,5260,5744,6479,6844,7543,7809,7946,8157,8439,8636,9504,9569,10132,10363
"83","76","  Government","A4476C0",7176,7980,8649,9395,9996,10589,11397,12155,12928,13743,14689,16052,17683,19018,20230,21405,22499,23428,24547
"84","77","    Federal","A4477C0",7101,8147,9014,10300,11006,11719,12591,13381,14222,15310,16250,17633,19610,21087,22051,23164,24294,25059,26039
"85","78","      General government","A4478C0",7018,8044,9000,10336,11009,11645,12454,13164,13986,15084,15979,17242,19099,20705,21489,22625,23700,24470,25305
"86","79","        Civilian","B4479C0",9694,10925,11774,12603,13471,14091,15213,16255,17491,18928,19927,21239,23050,24465,25327,26448,27366,28133,28984
"87","80","        Military \2\","B4480C0",5526,6319,7139,8603,9070,9594,10064,10420,10854,11570,12316,13498,15537,17384,18120,19232,20418,21225,22009
"88","81","      Government enterprises","B4481C0",7652,8774,9090,10106,10993,12095,13299,14517,15463,16489,17634,19639,22224,23089,25113,25998,27463,28238,30034
"89","82","    State and local","A4482C0",7235,7861,8415,8876,9454,10006,10806,11561,12314,13018,13979,15330,16786,18054,19375,20572,21664,22693,23882
"90","83","      General government","A4483C0",7211,7841,8389,8848,9411,9950,10745,11507,12251,12943,13919,15257,16695,17971,19261,20462,21532,22557,23772
"91","84","        Education","B4484C0",7504,8170,8676,9139,9623,10089,11007,11849,12539,13222,14408,15781,17136,18539,19479,20770,21846,22892,24333
"92","85","        Other","B4485C0",6879,7470,8064,8522,9173,9793,10455,11128,11933,12647,13416,14729,16244,17401,19037,20144,21204,22202,23194
"93","86","      Government enterprises","B4486C0",7624,8182,8827,9334,10159,10891,11745,12393,13301,14176,14857,16373,18093,19210,20971,22101,23487,24587,25423
"94","87","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
