"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",48051,46184,46894,46190,46011,45882,47279,47683,48093,50687,51531,52100,52458,51249,52174,54163,54399,55823,56730,56551,57669,58236,59336,60229,61116,62656,63876,66571,67651,67274,67781,71187,73415,71099,72158,73467,75438,77280,75522,76638,78326,80788,80118,80274,80595,83295,86266,87023,88104,90542,90996,92966,93592,96759,97780,101185,108435,106239,105381,104554,103947,104977
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",40689,39419,40305,39621,39569,39199,40445,40767,41085,43489,44731,45428,45581,44475,45025,46894,47255,48329,48907,48707,49602,50233,50902,51669,52589,54059,55611,57752,59026,58810,59201,62160,63781,62768,63334,64265,65992,67514,67018,68332,69867,71689,71265,71592,71830,74118,77034,78040,78861,81399,81651,83522,84379,87373,88380,91436,98525,95994,94967,93904,93124,94578
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",7386,6798,6627,6601,6467,6720,6865,6946,7041,7220,6799,6662,6877,6776,7159,7278,7151,7501,7831,7852,8079,8010,8453,8577,8539,8605,8270,8822,8627,8464,8581,9030,9645,8328,8821,9196,9439,9756,8522,8334,8490,9122,8881,8715,8796,9203,9271,9033,9291,9196,9397,9498,9277,9456,9473,9824,10018,10328,10482,10697,10856,10474
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",112218,112480,112589,112715,112303,111828,112088,112127,112892,113768,113409,113578,113583,112679,112403,112577,112975,112663,112716,112471,112920,112484,112942,112904,112707,113448,114533,114893,115089,116192,116741,118020,116423,118613,118295,118886,118949,119534,119716,120410,118992,117759,117496,118142,118752,118548,119714,118903,119908,119871,120438,121492,122608,122989,123696,124447,125112,126148,126855,129082,129245,129169
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",102356,102381,102306,102431,102140,101764,102054,102227,102874,103584,103214,103304,103489,102719,102303,102335,102559,102315,102441,102347,102615,102188,102418,102368,101982,102691,103696,104050,104308,105266,105944,107026,105267,107245,106723,107360,107223,107853,108045,108709,107409,106155,105962,106610,107278,106910,107699,106723,107680,107499,108043,109102,110133,110192,110759,111247,111469,112411,112845,114636,114883,114705
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",3339,3499,3576,3509,3504,3532,3516,3412,3403,3438,3410,3529,3466,3367,3427,3508,3495,3469,3406,3446,3504,3390,3539,3477,3519,3576,3564,3529,3552,3570,3475,3589,3663,3757,3778,3740,3881,3894,3965,3898,3784,3869,3935,3957,3938,4025,4167,4237,4335,4342,4324,4284,4353,4488,4505,4554,4790,4776,4913,5264,5031,4900
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",6517,6593,6695,6763,6648,6524,6510,6482,6607,6738,6778,6734,6618,6585,6666,6726,6917,6874,6864,6669,6794,6904,6980,7057,7206,7180,7272,7315,7229,7355,7321,7406,7493,7612,7794,7786,7846,7787,7706,7802,7799,7736,7599,7575,7536,7613,7849,7944,7893,8034,8075,8111,8123,8314,8438,8655,8866,8976,9115,9200,9351,9591
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",28025,28278,28710,28965,29059,29540,30035,29992,30524,30491,31039,32168,31796,32180,32437,32903,33524,34174,34499,34578,34582,34363,35633,36311,37348,38108,38074,39215,40688,41580,41896,42185,43054,44029,45019,44980,44584,44606,44315,45319,46459,46808,46464,48247,48211,49564,51154,51773,53489,52721,53380,54766,55963,57559,57237,59287,60244,60700,61932,62136,63536,64559
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",19757,20306,20782,20893,20936,21157,21217,21325,21663,21724,21961,22713,22658,22577,22883,23071,23441,23848,24164,24313,24323,24202,25303,25673,26364,26969,26899,27647,28747,29439,29519,29388,30247,31114,31750,31991,31765,31944,31815,32632,33267,33491,33338,34760,34802,35890,36940,37216,38710,38242,38959,40054,40965,42208,42274,43587,44094,44839,45751,46118,47728,48573
"29","21","S2 QN4482ZZMG     Shoe stores","T060210",4610,4405,4337,4408,4426,4474,4563,4608,4696,4622,4791,4954,4726,5016,4958,5036,5086,5239,5219,5181,5216,5175,5221,5293,5464,5415,5402,5606,5689,5763,5726,5707,5859,5742,5885,5857,5743,5925,5869,5867,6038,5996,5899,6028,5989,6095,6341,6330,6485,6332,6274,6327,6499,6647,6583,6933,6989,6956,7165,7187,7140,7101
"30","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",3707,3615,3637,3709,3742,3946,4280,4094,4198,4178,4318,4528,4440,4608,4619,4806,4998,5088,5120,5091,5052,4996,5121,5352,5528,5730,5777,5967,6255,6381,6651,7086,6947,7174,7385,7132,7077,6742,6636,6828,7157,7324,7233,7468,7431,7594,7885,8239,8311,8166,8175,8420,8535,8745,8430,8805,9195,8961,9069,8898,8780,9006
"31","23","S1 QN452ZZZMG   General merchandise stores","T060230",65346,65512,65979,68301,68524,69939,71516,72808,74008,74702,75972,78058,78343,79501,81143,80844,81080,83297,84735,85726,86094,86413,88472,89141,91182,92772,93517,95840,99391,100327,102257,104064,105029,106543,109054,110459,111059,112685,114561,117870,119162,120379,120356,123007,125139,127521,132273,132807,135949,136545,138785,141467,143727,146667,148926,152252,154544,156572,158398,160667,163530,165471
"32","24","S1 QN4521ZZMG     Department stores","T060240",44602,44944,45181,46340,46518,47426,48364,49022,50018,50204,50977,52055,52221,52695,53988,53387,53297,54659,55609,56211,56148,56243,57415,57795,57972,58297,58206,59294,60943,60770,61348,61248,61568,61847,62204,62709,61883,61363,61752,62111,61698,61358,60163,60545,60064,60838,62430,61477,61973,61425,62363,62736,62731,63113,62584,63564,63600,63313,63257,63558,63717,63653
"33","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",20360,20147,20386,21598,21638,22145,22793,23451,23625,24165,24665,25702,25823,26531,26855,27196,27541,28397,28881,29271,29722,29954,30846,31138,33063,34359,35221,36471,38390,39519,40886,42815,43461,44698,46850,47749,49163,51287,52759,55664,57331,58848,59968,62187,64714,66291,69398,70807,73378,74464,75749,77986,80166,82641,85300,87590,89756,91962,93765,95663,98258,100172
"34","26","S1 QN44EZZZMG   Other retail stores","T060260",121739,122278,123309,125738,126573,128796,130581,132744,135565,137774,140263,141418,142452,145198,147487,149799,150438,154221,156009,159513,160571,162807,164908,166023,169986,174118,177718,181441,186747,186615,187819,193530,195308,195377,197632,201260,199852,199584,200095,204341,209110,209688,211876,213593,212191,214604,218690,222330,224158,223879,226248,229562,234448,234862,236005,241256,249252,248662,249314,255229,259910,260328
"35","27","S1 QN446ZZZMG     Health and personal care stores","T060270",27408,27162,26870,27131,27272,27360,27432,27731,27562,27898,28382,28593,28879,29302,29371,29827,30069,30818,31248,31964,32425,32671,33518,33896,34576,35068,35991,36640,37224,37650,37768,39081,39208,39914,40451,41068,41052,41268,41113,41680,42397,42933,42976,42895,43197,43770,44884,45332,44471,44441,44519,44567,45359,45490,45774,45900,46656,47068,47734,48828,49184,49818
"36","28","S1 QN447ZZZMG     Gasoline stations","T060280",52680,52638,52732,53198,53277,54593,55705,55547,56900,57577,57286,57840,58543,59436,60097,60320,60430,60472,60723,60814,61086,62088,62047,61621,63652,65235,65071,66437,68568,65118,64561,65792,64356,62230,62242,64035,63408,63191,63747,66109,67307,65075,65905,65958,64267,63949,62811,64263,65687,64672,64248,65979,67555,65992,64938,66311,67800,65383,63819,65978,67355,64157
"37","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",12059,12089,12193,12535,12596,13029,12836,13232,13724,13945,14311,14479,14674,14790,15201,15302,15436,15405,15812,16196,15902,16048,16150,16727,16884,17393,17544,17834,18580,18954,19308,19683,19978,20785,20812,20181,20898,20932,21156,21765,21725,21561,21726,22308,21760,22357,23050,22977,23505,23219,23981,23817,24505,24684,24646,25256,26960,26834,27008,26742,27294,28292
"38","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",8137,8140,8114,8311,8255,8665,8647,8862,9241,9243,9430,9549,9591,9728,9898,10128,10194,10013,10419,10753,10361,10557,10632,10894,11073,11592,11605,11809,12423,12668,12973,13197,13639,14084,14323,13835,14246,14391,14541,15171,15032,14976,15185,15806,15325,15719,16207,16360,16663,16447,17079,17021,17585,17922,17787,18376,20096,19985,20343,20252,20870,21875
"39","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",3908,3937,4077,4225,4353,4363,4176,4362,4470,4704,4888,4937,5098,5071,5323,5178,5249,5412,5403,5446,5559,5501,5527,5853,5824,5804,5947,6032,6161,6290,6337,6488,6339,6702,6489,6346,6651,6542,6615,6600,6696,6589,6550,6526,6452,6654,6859,6645,6867,6795,6933,6830,6959,6815,6905,6936,6953,6936,6763,6592,6539,6548
"40","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",14600,14584,14936,16518,16566,16530,16816,17451,17742,18376,19493,19558,19436,20123,20386,20446,20116,22160,22338,22818,23731,23156,23997,24495,25188,25115,26305,26830,27122,27068,27006,28886,29349,28322,28356,28318,27903,28071,27862,27687,28258,28646,28990,28537,28338,28879,29678,29849,29716,30431,30496,30846,31226,31929,32779,33380,35422,35787,36128,36942,36616,38208
"41","33","S3 QN4531ZZMG       Florists","T060330",1551,1508,1595,2076,1817,1657,1685,1711,1746,1790,1753,1725,1698,1774,1713,1697,1835,1884,1881,1973,1950,1939,2026,2058,1981,1985,2110,2142,2160,2138,2187,2186,2202,2127,2248,2256,2153,2138,2082,1985,2121,2074,1988,1910,1922,1837,1851,1869,1723,1810,1819,1742,1731,1804,1809,1894,1834,1770,1654,1647,1617,1501
"42","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",5207,5194,5438,5765,5826,6021,6005,6112,6507,6672,6957,6968,6681,7006,7254,7449,6791,7373,7865,8038,8366,8118,8224,8373,8823,8952,9462,9760,10176,10194,10231,10819,11160,11278,11326,11373,11247,11282,11281,11231,11633,11616,11947,12039,11783,12308,12702,12747,13170,13351,13495,13387,13772,14431,14812,15076,15721,16153,17022,17639,17752,18337
"43","35","S4 QN4533ZZMG       Used merchandise stores","T060350",1321,1393,1409,1412,1401,1603,1549,1524,1567,1417,1501,1616,1594,1718,1715,1663,1655,2089,1816,1838,2106,1841,2054,2244,2251,2213,2392,2482,2422,2464,2428,2664,2673,2725,2763,2649,2652,2666,2695,2663,2799,2730,2724,2575,2841,2714,2803,2820,2734,2891,3056,3029,2966,3020,3141,3285,3513,3645,3527,3647,3746,3798
"44","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",6491,6450,6425,7230,7518,7180,7549,8120,7879,8510,9330,9284,9548,9683,9747,9656,9936,10915,10844,11038,11364,11342,11790,11905,12200,12015,12377,12471,12378,12283,12172,13226,13318,12190,12017,12038,11854,11988,11815,11820,11730,12233,12357,12064,11844,12098,12413,12500,12256,12533,12323,12830,12932,12924,13279,13401,14587,14541,14414,14580,14166,15200
"45","37","S1 QN454ZZZMG     Nonstore retailers","T060370",18243,18892,19495,19257,19681,20152,20744,21458,22272,22595,23129,23319,23379,23986,24755,26026,26459,27219,27660,29220,29012,30384,30651,30596,31152,32758,33910,34820,36424,38237,39434,40265,42450,44118,45770,47636,46569,46096,46200,47160,49590,51606,52473,54254,55056,56220,59248,60976,62004,62635,65108,66377,67835,69592,71529,74535,77338,80088,82464,84299,87392,90445
"46","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",6004,6689,7287,7157,7515,7493,7783,8548,8739,9034,9092,9359,9497,9942,10600,11133,11517,12016,12579,13281,13820,14800,15281,15769,16742,17505,18445,19280,20576,21766,23043,24210,26164,27528,28664,30051,29236,30069,30182,31318,33448,34453,35567,37138,38268,39930,42460,43740,45844,47048,48666,50638,52332,54970,57915,61085,65177,67236,70180,72903,74168,78308
"47","39","S4 QN4542ZZMG       Vending machine operators","T060390",2267,2070,2138,2208,2082,2113,2096,2034,2125,2125,2065,2010,1982,2020,1897,2014,1912,2078,2234,2260,2305,2152,2037,2142,2132,2239,2214,2306,2324,2372,2376,2327,2502,2572,2481,2391,2261,2245,2325,2422,2435,2334,2277,2207,2187,2156,2225,2282,2248,2293,2285,2246,2276,2221,2114,2145,2162,2082,2097,2010,1969,2039
"48","40","S4 QN4543ZZMG       Direct selling establishments","T060400",11892,11855,11632,11459,11574,12182,12510,12306,12965,12923,13579,13466,13359,13418,13526,14218,14305,14365,13956,14846,13831,14308,14102,13288,12695,13487,13659,13558,13756,14310,14123,13750,13777,14012,14629,15203,15053,13847,13755,13521,13870,14980,14863,15214,15008,14741,15289,15713,15071,14682,15533,15243,15210,14924,14678,14946,14623,15426,15456,15343,16727,16551
"49","41","S1 QN722ZZZMG Food services and drinking places","T060410",65455,63289,63554,65823,65997,67080,68065,67891,67762,69106,69761,69916,69412,70134,70507,70257,70356,70845,71128,72084,73013,73098,74190,73432,74592,75508,75766,76993,76661,77260,77165,79100,80934,81044,81006,80586,82189,81551,81429,81440,82952,83111,82819,82788,83379,84985,86492,87267,87982,87931,88497,89441,89604,90962,91153,92547,94769,94486,95150,96633,95928,96761
"50","42","S4 QN7221ZZMG   Full-service restaurants","T060420",28505,27049,26934,28079,27894,28518,29140,29147,29533,30021,30153,30131,29756,30105,30340,29888,29979,30455,30993,31710,32614,32464,33264,32877,33154,33324,33232,33789,33676,34116,34007,34557,35387,35309,35165,35135,35223,35087,35328,35326,36108,36033,35737,36058,35923,36792,37360,37419,37839,37547,37959,38270,38218,38593,38593,39445,40190,40387,40830,42117,41950,41975
"51","43","S4 QN7222ZZMG   Limited-service eating places","T060430",27072,27076,27573,28453,28901,29280,29584,29541,29077,29862,30383,30734,30705,30697,30816,30989,31061,31148,30833,30875,30809,31204,31175,30868,31640,32322,32652,33083,32856,32846,32893,33860,34414,34740,34784,34780,35981,35513,35400,35529,35999,36221,36345,36009,36700,37353,37870,38758,39073,39371,39563,39980,40232,40927,41017,41460,42911,42504,42861,42895,42514,42934
"52","44","S4 QN7223ZZMG   Special food Services","T060440",5582,5213,5144,5329,5301,5344,5391,5443,5394,5493,5575,5402,5266,5577,5467,5443,5447,5424,5463,5636,5817,5608,5841,5824,5888,5952,5943,6176,6162,6287,6358,6612,6883,6744,6948,6710,6981,7010,6598,6377,6679,6680,6621,6668,6611,6562,6926,6793,6792,6811,6794,7001,6948,7169,7228,7367,7472,7436,7340,7452,7256,7531
"53","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",4333,3968,3913,3971,3905,3944,3956,3760,3762,3729,3644,3641,3678,3750,3882,3932,3864,3813,3837,3863,3776,3823,3912,3866,3912,3910,3938,3945,3968,4010,3907,4070,4251,4249,4110,3961,4006,3943,4103,4208,4166,4177,4117,4055,4146,4279,4336,4300,4280,4206,4184,4195,4210,4277,4319,4283,4206,4171,4132,4182,4219,4330
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",452028,450137,453424,460270,462114,467531,474973,479041,485300,494197,500843,508051,508993,512313,518518,524330,526854,536874,542338,547936,552465,556386,566071,570019,580333,590593,599303,612443,625014,629897,636456,652334,660423,663763,670810,676916,680730,684484,686121,698732,709680,713922,714630,722866,725237,738323,757474,764828,775423,779010,788067,800685,812936,824325,831827,849728,874697,876120,881705,895044,903861,909492
"56","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",387383,387418,390412,395168,396829,401209,407667,411823,418099,425667,431637,438594,439980,442604,448393,454358,456759,466217,471360,476021,479649,483448,492037,496669,505816,515144,523575,535481,548362,552642,559287,573225,579495,582718,589798,596333,598522,602943,604710,617397,626826,630930,631963,640323,642072,653550,671268,677861,687795,691482,700030,711771,724018,734039,741449,758045,780895,782674,787593,799458,809310,814071
"57","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores\1\","T060480",126924,127842,129269,132519,133872,136965,139538,141512,144598,146809,150177,154927,154867,157155,160440,162182,162722,167549,170711,172844,173853,175125,180000,183238,188196,191760,194982,200536,207929,211833,216491,221015,225468,229701,233863,234267,236429,238768,241875,249196,254208,256414,256700,263387,264856,272884,283892,287128,294450,295920,302415,307828,314806,322174,327481,335954,345090,349612,355713,360516,367466,372972
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
