"","Table 6#17B# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"29","22","      Other transportation equipment","B3022C0B",251,211,399,427,583,767,816,793,817,906,669,428,268,364,673,791,981,1239,1288,1174,1408,619,290,450,790,916,1004,997,845,757,652,-280,-2004,-5649,1955,2880,4024,3526,4517,6546
"30","23","      Instruments and related products","B3023C0B",203,171,301,410,405,432,457,494,541,515,495,669,617,622,742,795,866,1154,1462,1430,1615,1700,1241,1194,1407,1552,1429,1609,2031,2268,2710,2614,2779,2968,1547,1470,2217,1102,653,1412
"31","24","      Miscellaneous manufacturing industries","B3024C0B",564,260,439,406,318,300,294,379,389,357,324,402,322,353,412,410,430,507,529,535,577,558,392,490,710,880,739,1004,1148,1253,1309,1438,1118,1451,1037,315,1529,1274,980,1543
"32","25","    Nondurable goods","E564RC0B",9850,7397,10873,11303,9182,9931,9469,11847,12226,11169,10044,12779,12209,11913,12195,13129,14497,16736,18779,17927,19710,18982,17840,18962,20404,27060,34403,34557,41917,43298,48373,60024,66290,71894,59093,54661,51212,50820,24570,48119
"33","26","      Food and kindred products","B3026C0B",1603,1557,1872,1657,1603,1740,1701,1981,1926,1873,2097,2373,2333,2381,2388,2716,2787,3023,3435,3198,3422,3445,3607,3778,3573,4654,5423,7340,7325,7459,7670,7276,8324,8027,7205,7402,6956,8073,7304,11660
"34","27","      Tobacco manufactures","B3027C0B",238,258,287,297,286,343,329,391,411,443,522,573,595,651,642,674,646,644,677,718,765,809,917,1002,952,843,910,1180,1385,1542,1929,2057,2115,2003,2194,2766,3623,2740,2553,1099
"35","28","      Textile mill products","B3028C0B",1503,662,1216,974,518,526,335,605,613,505,434,763,667,593,705,731,902,1132,1096,933,1166,1037,902,946,1071,1317,937,736,1255,1451,1880,1694,1440,1331,915,1724,1233,1225,2129,2203
"36","29","      Apparel and other textile products","B3029C0B",304,180,310,180,195,179,180,244,246,205,224,307,300,354,421,426,528,628,754,775,891,801,746,846,1088,1170,927,1271,1439,1754,1665,1560,1853,1919,1976,2628,1695,1554,1920,1858
"37","30","      Paper and allied products","B3030C0B",800,562,1010,1359,968,966,940,1159,1365,1073,925,1159,1042,1012,998,1009,1102,1273,1518,1296,1467,1565,1227,1129,1614,2543,3279,2381,3079,3050,3423,4533,3355,3146,2774,2940,4106,3505,4102,6336
"38","31","      Printing and publishing","B3031C0B",595,544,594,636,643,657,640,825,864,868,757,962,952,916,995,1094,1388,1638,1885,1721,1895,2033,1804,2014,2281,2595,2704,3101,3692,4575,5222,5229,5043,5169,5156,6263,7270,8023,8362,8564
"39","32","      Chemicals and allied products","B3032C0B",1552,1530,2589,2786,2154,2210,2211,2921,2867,2860,2462,3418,3166,3168,3214,3630,4049,4678,5021,4382,5116,4748,4229,4505,5324,6702,7691,7099,8659,8354,8635,8988,7379,8824,5081,6699,7825,6071,6374,14705
"40","33","      Petroleum and coal products","B3033C0B",2882,1852,2388,2775,2305,2809,2705,3098,3325,2795,2080,2529,2580,2223,2171,2166,2342,2874,3388,3891,3725,3408,3724,3678,3257,5817,11323,10154,13410,13085,15760,26583,35045,39171,31785,21627,15793,16828,-10296,-1174
"41","34","      Rubber and miscellaneous plastics products","B3034C0B",234,156,442,522,380,383,302,463,460,401,418,528,436,478,503,506,558,614,748,731,950,898,488,825,1012,1199,997,963,1153,1609,1628,1513,966,1541,1291,1990,2229,2439,1892,2311
"42","35","      Leather and leather products","B3035C0B",139,96,165,117,130,118,126,160,149,146,125,167,138,137,158,177,195,232,257,282,313,238,196,239,232,220,212,332,520,419,561,591,770,763,716,622,482,362,230,557
"43","36","  Transportation and public utilities","E567RC0B",3263,2915,4296,4764,4980,5076,4704,5834,6071,5883,5950,7141,7507,7896,8481,9491,10212,11123,12075,10960,10989,10929,8894,9067,9720,10048,10570,11325,16662,19963,22934,20941,22554,24236,23391,29671,40485,34159,34078,43499
"44","37","    Transportation","C512RC0B",1665,1134,2015,1981,1855,1662,987,1528,1491,1179,881,1160,884,955,1039,1397,1602,2137,2281,1353,1009,711,-56,808,1601,1594,2838,1293,3222,3867,4380,4354,3583,2244,-275,3127,6098,1826,1481,4475
"45","38","      Railroad transportation","B3038C0B",1155,647,1283,1150,1165,1000,382,761,747,616,347,449,317,362,289,480,423,532,654,37,55,56,-363,-184,11,36,726,-96,347,478,305,1095,1680,261,-321,427,2047,840,334,1230
"46","39","      Local and interurban passenger transit","B3039C0B",80,46,56,82,79,65,44,60,57,57,65,106,93,91,92,94,110,148,124,109,112,83,26,-3,63,28,51,54,89,93,111,175,211,163,155,238,263,144,61,35
"47","40","      Trucking and warehousing","B3040C0B",179,167,260,206,195,212,192,244,194,212,194,292,203,292,362,337,383,548,533,414,607,575,508,863,1090,995,981,910,1361,1506,1731,1438,1201,1651,1026,2237,2124,2064,2839,1821
"48","41","      Water transportation","B3041C0B",135,138,148,234,136,117,65,139,188,95,64,78,83,96,93,139,180,159,207,160,179,74,28,-8,23,59,407,238,249,253,190,308,267,70,-455,-432,-542,-813,-622,4
"49","42","      Transportation by air","B3042C0B",2,24,87,117,92,98,121,135,94,-12,14,13,-49,-111,-1,116,282,515,506,348,-126,-269,-492,-125,118,202,250,-308,533,883,1179,-20,-985,-1291,-2108,-816,944,-1482,-1824,242
"50","43","      Pipelines, except natural gas","B3043C0B",64,68,127,130,126,114,120,113,131,133,136,163,156,148,139,175,155,159,156,154,121,132,167,178,203,198,298,363,416,416,589,974,912,1083,1245,1198,886,985,693,889
"51","44","      Transportation services","B3044C0B",50,44,54,62,62,56,63,76,80,78,61,59,81,77,65,56,69,76,101,131,61,60,70,87,93,76,125,132,227,238,275,384,297,307,183,275,376,88,0,254
"52","45","    Communication","C513RC0B",439,466,737,964,1069,1238,1337,1725,1857,2006,2334,2796,3001,3200,3576,3901,4035,4302,4803,4798,5127,5440,4797,4116,3903,4388,4287,4181,5783,6688,8692,7808,8000,8741,8665,10152,13076,14441,17937,19846
"53","46","      Telephone and telegraph","B3046C0B",393,432,682,879,978,1146,1238,1563,1684,1839,2158,2574,2743,2987,3271,3568,3759,3959,4423,4529,4852,5104,4514,3828,3414,3890,3740,3599,4714,5323,7126,6310,6715,7596,7697,9259,11559,13683,18474,19825
"54","47","      Radio and television","B3047C0B",46,34,55,85,91,92,99,162,173,167,176,222,258,213,305,333,276,343,380,269,275,336,283,288,489,498,547,582,1069,1365,1566,1498,1285,1145,968,893,1517,758,-537,21
"55","48","    Electric, gas, and sanitary services","C514RC0B",1159,1315,1544,1819,2056,2176,2380,2581,2723,2698,2735,3185,3622,3741,3866,4193,4575,4684,4991,4809,4853,4778,4153,4143,4216,4066,3445,5851,7657,9408,9862,8779,10971,13251,15001,16392,21311,17892,14660,19178
"56","49","  Wholesale trade","C510RC0B",2477,1592,2965,2818,2019,1851,1659,2426,2677,2497,2247,2836,2456,2555,2810,2874,3442,4077,4380,4238,5074,5556,5464,5933,8624,13425,18145,15564,15573,17752,21308,26789,26054,26017,20903,24641,29942,22148,22230,21498
"57","50","  Retail trade","C511RC0B",3498,2526,3558,2859,2615,2396,2350,2967,2909,2775,2656,3308,2787,2969,3423,3651,4560,5111,5149,6039,6991,7237,6877,8057,8374,9502,8851,11240,13011,15481,17915,17317,14865,14340,15656,21399,23250,23748,24923,25885
"58","51","  Finance, insurance, and real estate","A3051C0B",3394,3968,4062,4436,5093,5594,5943,6158,6389,6693,7252,8459,9239,9072,9402,9144,9659,10307,11830,12302,14145,14767,16200,18683,19966,21167,20255,20449,25912,34010,41855,42415,34403,27825,23452,34877,32695,43349,54746,59076
"59","52","    Banking","A3052C0B",1593,1667,1796,2159,2343,2538,2528,2799,3330,3672,3605,4167,4828,4377,4420,4746,5102,5565,6221,6516,7853,9623,10520,9940,10079,11685,13558,13954,14803,15115,17785,20873,20679,22370,24516,29614,31368,40643,45052,47373
"60","53","      Federal Reserve banks","B3053C0B",228,235,190,294,346,394,322,296,468,625,595,734,942,773,863,954,1135,1342,1685,1953,2502,3075,3526,3312,3344,4476,5681,5610,5872,6109,7643,9429,11796,14392,15245,14582,16421,16340,15508,15698
"61","54","      Commercial and mutual banks","B3054C0B",1365,1432,1606,1865,1997,2144,2206,2503,2862,3047,3010,3433,3886,3604,3557,3792,3967,4223,4536,4563,5351,6548,6994,6628,6735,7209,7877,8344,8931,9006,10142,11444,8883,7978,9271,15032,14947,24303,29544,31675
"62","55","    Credit agencies other than banks","B3055C0B",376,472,633,701,925,913,1008,1146,1270,1355,1453,1562,1670,1889,1970,1897,1881,1955,1743,1743,1925,1852,1784,2661,3241,3739,3253,3218,4574,6128,7606,5812,-369,-7440,-9008,-621,171,2242,3862,8395
"63","56","    Security and commodity brokers","B3056C0B",6,18,24,9,20,30,63,36,27,34,46,92,88,150,56,94,121,188,252,424,652,94,-164,297,218,177,92,480,17,-83,381,164,897,-20,-324,575,-1025,151,380,1158
"64","57","    Insurance carriers","B3057C0B",702,1102,777,742,995,1242,1401,1244,856,707,1168,1546,1569,1659,1665,1278,1213,1313,2208,2286,2200,1984,3008,4556,5486,4782,2934,2395,5388,9929,12039,11834,10630,9889,7213,2905,85,-3616,-800,91
"65","58","    Insurance agents, brokers, and service","B3058C0B",69,59,63,66,74,75,78,73,99,99,107,136,144,121,149,171,214,213,269,246,313,289,419,477,447,491,472,560,660,1225,1278,1280,1184,1072,908,664,761,1284,1948,2970
"66","59","    Real estate","B3059C0B",648,668,754,711,680,751,833,828,713,695,802,856,812,751,813,854,913,1015,1103,1122,1361,1191,845,1086,884,680,134,273,993,2136,2429,2308,790,-634,-1821,-163,-1259,-2169,-2141,-1096
"67","60","    Holding and other investment offices","B3060C0B",-7,-18,15,48,56,45,32,32,94,131,71,100,128,125,329,104,215,58,34,-35,-159,-266,-212,-334,-389,-387,-188,-431,-523,-440,337,144,592,2588,1968,1903,2594,4814,6445,185
"68","61","  Services","A3061C0B",633,578,565,635,636,604,616,686,787,815,738,938,924,894,913,1127,1363,1678,2043,2295,2353,2144,1990,2226,2913,3744,3535,4456,5795,7929,9380,10358,10872,12279,11631,12625,12327,12592,13649,14776
"69","62","    Hotels and other lodging places","B3062C0B",124,107,102,103,106,87,84,74,85,79,43,52,16,-4,-15,-19,-21,46,100,195,247,245,124,57,182,119,-47,57,231,417,811,1007,857,692,410,451,38,-200,-562,-640
"70","63","    Personal services","B3063C0B",73,73,67,73,72,75,76,85,105,115,119,131,133,124,120,159,207,247,259,280,319,285,248,250,293,321,411,410,461,498,574,634,651,717,775,707,805,636,615,878
"71","64","    Business services","B3064C0B",135,136,161,190,184,196,187,234,289,355,342,392,402,409,405,484,525,648,818,836,738,647,542,682,908,1290,884,1331,1631,2616,2842,2916,2691,3095,3228,2919,4189,3691,4621,4686
"72","65","    Auto repair, services, and parking","B3065C0B",23,17,25,29,32,32,23,32,33,17,37,69,57,66,81,81,98,114,120,114,161,180,118,140,173,232,210,236,385,477,419,405,382,450,435,492,222,-18,282,68
"73","66","    Miscellaneous repair services","B3066C0B",36,10,8,11,7,3,-11,2,13,9,-8,-1,15,22,26,22,46,52,60,48,55,74,65,57,80,84,153,153,170,214,264,228,288,359,234,242,394,310,424,504
"74","67","    Motion pictures","B3067C0B",140,129,112,104,95,81,138,126,93,54,23,50,72,55,49,71,146,169,199,182,225,77,174,101,134,177,256,321,446,536,832,841,662,604,664,413,-64,87,86,-691
"75","68","    Amusement and recreation services","B3068C0B",62,45,24,38,51,44,35,33,39,49,53,90,69,70,63,64,99,91,140,126,153,184,198,249,172,267,331,375,478,588,669,702,702,705,407,112,-599,-199,-226,-526
"76","69","    Other services","A3069C0B",63,61,66,87,89,86,84,100,130,137,129,155,160,152,184,265,263,311,347,514,455,452,521,690,971,1254,1337,1573,1993,2583,2969,3625,4639,5657,5478,7289,7342,8285,8409,10497
"77","70","      Health services","B3070C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,79,79,79,172,206,213,341,439,583,743,896,1126,1262,1571,1844,2212,2897,3559,3656,4915,4966,5462,5399,6384
"78","71","      Legal services","B3071C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,13,1,5,2,8,35,51,49,74,78,107,125,166,211,316,334,456,690,931,947,1055,1435,1714
"79","72","      Educational services","B3072C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,28,18,35,25,25,5,-38,-14,-5,45,23,89,82,117,168,110,229,132,133,152,201,185,85,334
"80","73","      Other \1\","B3073C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,153,201,232,312,222,226,183,214,344,392,340,251,524,729,746,987,1179,1510,999,1291,1228,1583,1490,2065
"81","74","Rest of the world \2\","B394RC0B",1261,1125,1269,1744,1888,1798,1962,2354,2821,3092,2523,2718,3137,3316,3772,4081,4469,4706,4528,4775,5636,6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32718,35475,36982,38413,39750,48032
"82","75","  Receipts from the rest of the world","B3075C0B",1652,1554,1767,2249,2345,2288,2442,2890,3356,3630,3078,3382,3790,4045,4494,4885,5379,5782,5656,5990,6996,8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36725,41603,46736,47445,49322,59320
"83","76","  Less: Payments to the rest of the world","B3076C0B",391,429,498,505,457,490,480,536,535,538,555,664,653,729,722,804,910,1076,1128,1215,1360,1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4007,6128,9754,9032,9572,11288
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services, membership organizations, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87"," 2. Consists of receipts by all U.S. residents, including both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","corporations and persons, of dividends from their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","foreign affiliates, their share of reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","incorporated foreign affiliates, and earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","foreign affiliates (line 75), net of corresponding payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","(line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
