"","Table 4#2# Real Exports and Imports of Goods and Services and Re","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"1","[Billions of chained (1996) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2003   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2003 11:59:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","Exports of goods and services","A020RX",383.6,399.3,416.7,432.2,456.1,468.8,477.3,491.8,510.5,530.8,530.8,545.5,565.8,577.6,572.8,586.5,584.5,613.3,616.9,638.3,643.9,647.1,650.8,662.2,661.4,674.4,660.8,694.3,696.7,725.1,742.4,767.1,780.6,788.9,821.9,841.4,846.1,860.1,867,923.5,940.3,979.2,1004.2,1002.1,1003.4,993.1,987.6,1025.6,1007.5,1018.1,1044.1,1075.6,1095.8,1133.9,1165.5,1153.7,1135.8,1098.8,1048,1021.8,1030.6,1065.5,1077.7,1061.6,1058.1,1054.9
"10","2","  Goods \1\","A253RX",252.1,262.8,278.6,292.1,309.9,318.5,323.4,338.4,348.7,366.8,362.9,374.5,388.3,396,389.3,399.2,405.2,421.5,421.8,435.8,441.5,445.9,449.3,462.4,454.5,464.9,451.4,482.7,478,500,516.8,538,549.8,556.5,576.7,592,599.2,605.5,617.2,651.7,672.8,705.8,726.8,727.1,726.7,710.6,711.5,742.8,725.4,733.7,756.8,784.2,797.1,827.4,865,849.2,836,800.1,760,744.6,738.1,765.8,773.5,750.3,753.9,750.1
"11","3","    Durable","A332RX",141.9,149.5,156.8,170.6,181.4,190.3,192,204,211.1,223.4,222.2,228.4,239.5,246.6,241.5,244.5,246.3,264.3,263.8,272,275,278.2,279.5,290.5,286.9,295.9,287.9,310,310.7,327,335.3,348.9,360.9,368.9,385.1,397.2,403,413.3,423.9,446.6,468.4,496.9,515.3,512.7,516.8,503.1,505.8,529.3,519.1,523.6,543.3,564.2,577.7,606.4,629.7,617.5,605.6,572,538.1,517.3,512.3,536.3,546.6,521.5,520.3,520.5
