"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2007 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2007 2:41:32 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","    Gross domestic product","A191RD3",11.975,11.536,10.338,9.122,8.876,9.37,9.558,9.665,10.083,9.79,9.695,9.808,10.465,11.279,11.886,12.166,12.49,13.986,15.506,16.382,16.352,16.531,17.718,18.022,18.243,18.417,18.743,19.393,20.038,20.498,20.751,21.041,21.278,21.569,21.798,22.131,22.535,23.176,23.893,24.913,26.149,27.534,28.911,30.166,31.849,34.725,38.002,40.196,42.752,45.757,49.548,54.043,59.119,62.726,65.207,67.655,69.713,71.25,73.196,75.694,78.556,81.59,84.444,86.385,88.381,90.259,92.106,93.852,95.414,96.472,97.868,100,102.399,104.187,106.404,109.462,113,116.567
"9","2","Personal consumption expenditures","A002RD3",11.7,11.203,9.998,8.809,8.492,8.884,9.096,9.185,9.52,9.305,9.217,9.293,9.864,11.082,12.093,12.78,13.291,14.247,15.703,16.599,16.474,16.675,17.805,18.169,18.416,18.585,18.677,19.059,19.639,20.118,20.432,20.767,20.985,21.231,21.479,21.787,22.104,22.663,23.238,24.152,25.255,26.448,27.573,28.527,30.081,33.191,35.955,37.948,40.409,43.248,47.059,52.078,56.72,59.858,62.436,64.796,66.936,68.569,70.947,73.756,76.973,80.497,83.418,85.824,87.805,89.654,91.576,93.547,95.124,95.979,97.575,100,102.094,103.542,105.597,108.391,111.587,114.675
"10","3","  Durable goods","A003RD3",25.78,24.249,21.705,19.231,18.654,19.665,19.555,19.678,20.485,20.545,20.337,20.526,22.004,25.642,27.91,31.266,32.957,34.312,37.247,39.132,39.61,39.83,42.472,42.875,42.533,41.595,41.438,42.453,44.082,44.92,45.66,45.446,45.55,45.756,45.915,46.142,45.721,45.517,46.229,47.749,49.067,50.148,51.976,52.53,53.301,56.675,61.844,65.277,68.13,72.038,76.83,83.277,88.878,92.358,94.18,95.551,96.621,97.685,100.465,101.922,103.718,104.56,106.08,106.755,107.84,109.978,110.672,109.507,107.068,104.152,101.625,100,98.113,95.767,92.366,90.695,90.018,88.856
