"","Table 1#1#6D# Real Gross Domestic Product, Chained (1987) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"21","14","Net exports of goods and services","A019DX1",-60.7,-61.7,-42.4,7.7,3.7,-15.8,-60.5,-119.5,-137.5,-151.9,-145,-106.7,-81.5,-58.9,-24,-26.5,-60.1,-86.7,-79.7,-89.4,-113.6
"22","15","  Exports","A020DX1",223.3,246.8,271.3,300.5,304.2,280.9,273.7,296,305,328.4,363.8,422,470.5,512.9,546.9,584.5,603.6,656.2,722.7,782.7,876
"23","16","    Goods","A253DX1",162.1,180.2,201.5,225.5,223.1,202.9,197.1,212.7,220.5,231.8,257.5,306.1,342.5,371.4,397,426.7,440.6,483.5,540,587.7,672.2
"24","17","    Services","A646DX1",61,66.1,68.1,72.3,80,77.8,76.5,83.4,84.3,96.6,106.2,115.8,127.7,141.2,149.7,157.7,163,173.3,184.2,197.1,208.8
"25","18","  Imports","A021DX1",283.9,308.5,313.6,292.8,300.5,296.7,334.2,415.5,442.5,480.3,508.7,528.7,552,571.7,570.9,610.9,663.7,742.9,802.4,872.1,989.6
"26","19","    Goods","A255DX1",235,256,260.4,241.1,246.1,239.9,272.5,338.4,359.5,396.4,414.8,431.6,450.2,463.3,465.4,509.2,560.2,635,692.2,757.1,866.2
"27","20","    Services","B656DX1",48.3,51.7,52.5,51.3,54.2,57.1,61.7,77.2,83.1,84,93.9,97.1,101.8,108.5,105.7,102.8,105.6,111.2,114.6,120.6,131
"28","21","Government consumption expenditures and gross investment","A822DX1",731.2,752.8,766.8,781.8,788.9,802.7,832.1,860,919.9,975.8,999.4,1011.9,1039.5,1072.4,1084.1,1089.2,1080.6,1080.5,1086.7,1097.7,1118.3
"29","22","  Federal","A823DX1",296.1,303.5,310.8,325.6,341.1,354.3,377.8,389.4,420,443.8,459.5,452,459,468.3,467.4,458.9,440.9,424,412.7,407.9,403.9
"30","23","    National defense","A824DX1",207.7,209.4,215.8,225.2,239.5,257.6,276,289.5,314,334.2,350,348.3,346.6,346.5,342.7,325.7,308.5,293.4,282.4,278.6,270.8
"31","24","    Nondefense","A825DX1",88.7,94.2,95.2,100.6,101.9,97,102,100.1,106,109.6,109.6,103.7,112.4,121.6,124.4,132.6,131.8,129.9,129.4,128.3,131.9
"32","25","  State and local","A829DX1",437.6,451.9,458.5,458.2,449,449.2,454.4,470.8,500,532.2,539.9,559.9,580.3,603.9,616.4,629.7,638.9,655.5,672.9,688.6,713.1
"33","26","Residual","A960DX1",-10.2,-1,7,10.5,14.5,2,-5.4,2.8,0.9,0.7,0,3.3,4.9,7,11.2,9.1,6.6,-3,-8.9,-19.1,-43.4
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Chained (1987) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","index rebased with the reference year 1987 equal to 100 and of the 1987 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
