"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","3","  Durable goods","WKSMD0",142305,144559,147195,149559,150502,152031,154361,155381,158166,159466,161038,164046,162989,162226,164022,162624,162424,160844,159608,157502,157891,158564,161447,163228,166678,170640,176270,181462,183843,186373,189993,194716,194924,193011,189197,186111,185924,187932,190353,194321,194943,195319,197410,198657,200705,204660,207891,211611,215633,219532,221470,225091,227188,227836,224691,225091,227255,226475,228878,226973,223119,221956,219571,214080,207003,207855,208254,211833,216234,223686,231293,234445,233235,233100,231743,228539,227265,226513,224646,223248,222749,223836,225466,228569,230656,233011,235368,240936,245420,248702,250518,251325,253646,254868,256510,256257,253851,250080,248710,246760,243950,242030,241522,238715,238946,240521,242248,242502,244547,247296,248915,251697,254876,257233,260161,262701,266717,267282,270571,272483,274831,279196,283246,287984
"12","4","    Lumber and wood products","WKS240",8017,8323,8034,8019,7846,7691,7621,7809,7706,8424,9052,9231,9230,9482,10081,10284,10239,10293,10434,9915,10232,10302,9825,9827,9487,9568,9488,9890,9594,10242,10979,10625,10140,10016,10128,9783,10051,10332,10596,10761,11029,10713,10449,10693,10753,10770,10553,10820,11047,11179,10933,11312,11393,11037,11247,11422,11276,11571,11499,10891,10209,10134,10122,9962,10354,10517,10761,10855,11201,11105,11347,11493,11198,11389,11410,11560,12087,11758,11828,11849,12007,11981,11556,11499,11789,11804,11538,11741,11262,11496,11548,11110,11121,11290,11860,11440,11092,10699,10732,10569,10566,10713,10374,10231,10502,10446,10773,10979,11337,11465,11221,11159,11009,10888,11381,11646,11664,11812,11816,11574,11510,11548,12041,12120
"13","5","    Furniture and fixtures","WKS250",3457,3453,3427,3583,3613,3656,3707,3650,3760,3918,4102,4129,4206,4216,4287,4399,4392,4583,4580,4538,4690,4789,4910,5012,5189,5326,5355,5414,5510,5497,5513,5464,5228,4882,4768,4917,5098,5233,5132,5311,5250,5435,5482,5487,5558,5661,5891,5860,6027,5997,5966,6010,6064,6047,5976,5928,5952,6020,6107,6135,6025,6028,5860,5755,5634,5818,6044,6245,6431,6532,6777,6887,6997,6964,7000,6912,6873,6882,6687,7015,7023,7170,7250,7365,7748,7641,7706,7496,7571,7588,7621,7499,7494,7641,7475,7541,7253,7021,7035,7164,7042,7190,7188,7179,7338,7407,7472,7355,7585,7477,7532,7632,7717,7749,7651,7633,7366,7447,7536,7590,7511,7631,7614,7680
"14","6","    Stone, clay, and glass products","WKS320",6469,6556,6414,6293,5892,5706,5809,6428,6971,7065,6916,6647,6890,6841,7054,6958,6957,7011,6913,6885,6820,6952,7135,7162,7188,7425,7539,7809,8055,8498,8811,8847,9031,8776,8626,8804,8391,8638,8790,9063,8723,8903,9013,9036,9418,9371,9631,9755,9775,9996,9817,9916,10175,10152,9724,9857,9982,9865,10185,9799,9603,9371,9271,9128,9077,9098,9160,9370,9467,9820,10138,10256,10421,10557,10410,10231,10128,10225,10114,10248,10384,10331,10288,10314,10211,10231,10447,10523,10650,10762,10794,10672,10589,10626,10799,11014,10871,10767,10616,10682,10561,10701,10757,10660,10589,10444,10326,10266,10283,9943,10035,10284,10483,10951,11159,10863,10937,10858,10937,11188,11316,11476,11352,11405
"15","7","    Primary metals","WKS330",26491,27770,27821,27888,27679,26817,26854,27009,26826,27156,27486,27396,27363,28299,28856,29746,30926,29702,29518,29425,30383,30919,31524,31064,30013,29462,29422,29231,28851,28788,29880,32055,35209,36766,36104,36258,36952,37191,38008,38723,39008,39044,38882,38081,36598,37299,37778,38128,36729,37398,37781,38365,37907,38741,36972,37070,38711,38088,39494,40090,39560,37390,36240,34372,32594,32413,31838,32039,32464,33448,33930,32766,31288,30448,29841,28879,28210,27959,26592,26958,25804,25622,26075,26609,27258,26944,27612,28107,28786,29558,29325,29068,28778,28904,29292,29130,29390,29016,28724,28445,28097,28081,28206,27710,27734,27862,28245,28459,28155,28100,28023,28410,28435,28623,28326,28048,28569,28529,28979,29378,29005,29196,29512,29990
"16","8","    Fabricated metals","WKS340",22507,22507,22700,23264,23599,25024,25237,25795,25406,25486,24673,24964,24603,23803,24301,23955,24166,25356,24928,23763,23422,23341,23631,24273,25351,26154,26786,27429,28027,29029,29433,31023,31095,30508,30023,29472,29255,29356,29924,30827,30637,30907,31699,31724,32387,32765,33034,33190,33769,34099,33945,33920,34007,33161,32423,32917,32402,31965,32278,31774,31161,31015,30725,28672,28098,28454,28953,29136,29571,30159,30409,30808,30459,29925,29848,30526,30283,30738,30614,30473,30783,30408,30635,30644,30671,30748,31414,31495,31953,31657,32156,31540,31912,31279,31263,31020,30911,30105,30004,30060,30165,30344,30700,30080,30182,29880,30314,29928,29754,30044,30674,31074,31780,32183,31956,31571,32109,31857,32585,33032,33458,33869,33971,34486
"17","9","    Industrial machinery","WKS350",17310,17535,17595,17808,17561,17749,17959,18139,18876,19293,19904,20404,20782,20988,21321,21566,21345,21168,20882,20561,20224,20296,20895,21662,23104,24589,25879,27032,27915,28761,29842,30889,31082,30302,29699,28336,28049,28024,28229,28701,28777,28720,28711,29524,30198,31052,31672,32810,33721,34526,35267,36053,36797,37633,37708,37615,37717,37530,38154,38256,37838,37764,36843,35375,34153,33947,33629,33565,33667,34592,35528,36009,35931,35825,35268,34446,34113,33511,33370,33116,32943,33325,33140,33834,34381,35050,35833,36422,36940,37446,37665,37819,37886,37922,37712,37568,37746,37272,37129,36691,36404,36535,37394,37481,36972,37971,39017,40097,41522,42526,43657,44552,46810,48091,49503,51547,53195,52987,53518,53213,53825,55238,55866,57091
"18","10","    Electronic machinery","WKS360",9129,9203,9394,9657,9752,9933,10027,10120,10500,10845,10970,11049,11030,11005,11199,11130,10750,10589,10377,10329,10348,10419,10744,10858,11607,12369,13218,13948,14458,14597,14581,14416,13833,13327,12773,12510,12553,12977,13351,13933,14327,14806,15085,15488,16006,16707,17167,17331,18010,18453,18924,19772,20180,20139,20008,19960,20338,20759,21133,20877,20452,20360,20197,19965,19443,19794,19922,20815,21121,21791,22717,23191,23163,23134,22649,21924,21623,21732,21624,21160,21289,21426,21472,21763,21576,21500,21596,22000,22129,22141,22512,22904,23025,22939,22986,22696,22372,22215,22110,22071,22313,22468,22673,22697,23007,23378,23570,23882,24553,25349,26192,27102,28210,28749,29928,30459,30574,31148,31441,31727,32671,33980,35359,36026
"19","11","    Transportation equipment","WKS370",52934,53910,56664,57990,59853,60831,62784,61868,62630,61326,61579,64404,61906,59885,59547,57013,56649,54775,54466,53779,53989,53526,54670,54735,54670,54886,57267,58315,57992,56973,56650,57204,55956,55960,54753,54098,53650,54225,54106,54629,54285,53465,54802,54530,55092,56041,56852,58185,60679,62133,63015,63971,64206,63535,62640,62522,63123,62527,61627,59963,58451,59468,60092,61370,58367,58367,58254,59975,62682,65851,69618,71064,70189,70685,71133,70082,70506,70061,69063,67647,67740,67863,69324,70590,71979,74677,74561,77012,79290,81270,82172,84753,85880,87756,89046,90534,89178,87217,86134,84005,81151,77682,75235,73244,73299,73329,72819,71445,70951,71711,70258,69944,68244,66902,66142,65211,65927,65858,66150,67518,68060,67942,68114,68913
"20","12","      Motor vehicles","WKS3710",14215,13207,14230,14117,14563,14663,15632,14970,15075,14691,14771,15045,14511,13496,13958,14297,14044,14649,14226,14098,14383,14155,14877,15013,14958,15754,16829,17123,16565,15719,15803,16273,15186,15063,14409,14146,14680,15560,15886,17167,17369,18042,18519,18545,18485,18711,19187,19191,20888,20295,20013,18619,17523,16351,15428,15388,15067,14525,14239,13284,12793,12646,12299,11794,11794,12202,12609,13552,14027,14327,14786,14963,14701,14841,14949,14669,14375,14123,13682,13936,13970,13962,14042,14288,14147,14245,14058,14293,14611,14629,14703,14217,13986,14334,14354,15042,14897,14529,14537,14714,14672,14757,15324,14694,14934,15123,15285,15611,15702,16196,16456,16969,17040,17086,16759,17118,17604,16932,17075,17082,17454,17435,17785,17437
"21","13","      Other","WKS37X0",38206,40241,41934,43385,44787,45665,46603,46383,47039,46135,46304,48858,46909,45957,45123,42201,42104,39548,39696,39137,39035,38815,39182,39098,39091,38433,39669,40410,40705,40612,40193,40232,40205,40352,39863,39492,38405,37978,37474,36535,35945,34313,35142,34831,35483,36203,36484,37864,38454,40660,41907,44560,46099,46779,46930,46847,47841,47856,47256,46648,45667,46881,47909,49772,46715,46277,45725,46466,48707,51613,54957,56236,55629,55983,56323,55554,56308,56129,55591,53868,53926,54060,55464,56488,58062,60713,60797,63042,65019,67024,67862,71026,72431,73968,75263,76030,74800,73195,72080,69723,66864,63253,60170,58812,58616,58449,57762,56027,55431,55685,53945,53094,51303,49898,49471,48163,48382,49007,49154,50528,50677,50551,50360,51538
"22","14","    Instruments","WKS380",7498,7521,7599,7632,7616,7584,7611,7746,7912,7982,7960,7934,8092,8192,8170,8008,8006,7993,8044,8139,8200,8173,8295,8337,8391,8482,8634,8898,9135,9434,9566,9679,9489,9361,9371,9359,9339,9441,9565,9770,9756,9779,9978,10062,10247,10344,10492,10605,10844,10984,10970,10961,11194,11221,11176,11301,11366,11404,11388,11388,11285,11328,11338,11114,10788,10968,11217,11501,11888,12546,12992,13426,13854,14198,14427,14548,14497,14709,14911,14943,14785,15069,15384,15583,15349,15127,15205,16216,16964,17248,17227,16705,17303,17294,17361,17159,16845,17044,17142,17420,17328,17345,17418,17362,17312,17133,16995,16722,16514,16681,16676,16772,17036,17532,18061,18878,19384,19540,20101,19946,19964,20502,21182,21723
"23","15","    Other manufacturing","WKS390",4121,4090,4144,4236,4200,4285,4408,4608,4883,4972,5244,5156,5257,5364,5466,5583,5708,5982,6036,6054,5919,6409,6260,6382,6600,6323,6291,6755,6873,6835,7123,7292,6834,6589,6234,6261,6356,6501,6716,6763,7055,7140,7125,7149,7053,7076,7231,7343,7291,7120,6871,6658,6618,6850,6627,6439,6524,6392,6504,6655,6912,7094,7076,6544,6403,6373,6428,6458,6581,6884,7172,7408,7595,7463,7466,7388,7165,7079,7228,7493,7668,7812,7684,7590,7592,7660,7724,7944,7854,7832,7844,7795,8071,8044,8110,7979,7818,7592,7702,7901,7997,8154,8086,7926,7949,8298,8218,8452,8439,8035,8172,7986,7597,7594,7331,7374,7462,7485,7718,7748,7696,7641,7652,7843
"24","16","  Nondurable goods","WKSMN0",106763,107749,108761,109851,110383,112534,114929,116443,117246,117929,119973,119677,120035,121806,121209,121730,122404,123484,123670,124990,125125,126503,127461,126312,127263,127822,125289,126949,128914,133128,134062,137078,136450,133825,134482,138471,140343,143021,145362,145962,146178,148784,151405,151533,150507,151331,152054,153237,152068,151621,152277,151814,155709,156757,153662,152304,154111,155023,155294,155806,156381,152467,152938,152512,150289,151124,154505,155007,158002,162588,165268,162621,161205,161014,159971,162335,161675,163222,162008,164813,165526,165446,166687,168796,170515,172033,172440,174345,174565,177661,179656,179010,181264,182156,183847,184083,185641,185096,185385,187914,188429,188796,191845,192478,193042,194185,193636,192184,192915,193368,194623,195827,198519,200352,200656,199784,200261,198555,198944,200520,202609,205009,206771,209611
"25","17","    Food and kindred products","WKS200",26026,26155,26413,27143,27053,27418,28561,28419,27933,28459,28937,28231,28624,28838,27984,28395,28296,28809,28963,29446,29234,30141,30272,29065,29012,29134,27828,29145,30028,31369,30248,29794,29527,29117,29893,32046,32403,33325,34262,34201,34398,35131,35746,34195,33659,33756,33975,34320,34602,35128,34951,34944,35420,35196,34770,34358,34785,35033,35229,34883,34024,33198,34065,34457,34008,33169,33674,33355,33787,33828,33688,33608,33685,33762,34074,34196,33863,33888,33654,33998,34381,35099,35177,35114,35108,35673,34863,35909,35804,36316,37153,37542,37586,37875,38981,39023,39152,38879,39333,39748,40003,40397,41031,40932,40840,41276,40392,40122,40042,40604,41389,41230,41790,41750,42040,42224,42194,41582,42060,42703,42851,43434,43865,44417
"26","18","    Tobacco products","WKS210",7807,7835,7920,7922,7848,7898,7549,7530,7443,7400,7436,7184,6932,6837,6743,6561,6585,6542,6381,6547,6580,6605,6852,7116,6850,7020,7015,7086,7364,7440,7567,8085,8121,8271,8231,8557,8835,8761,8867,8591,8515,8497,8529,8428,8188,8121,7871,8135,7998,8016,7876,7386,7381,7411,7551,7356,7518,7181,7553,7873,8342,9023,8966,8982,8477,9013,9077,8625,8206,8061,8291,8178,8018,7712,7623,7626,7594,7273,7154,7406,7429,7678,7414,7224,7266,7196,7187,7116,6934,7172,7326,7436,7660,7569,7614,7648,7852,7946,7959,7918,7983,7903,8091,8168,8286,8444,8311,7795,7627,7587,7254,7190,7038,7001,7437,7282,7218,7112,7225,7449,7434,7584,7551,7520
"27","19","    Textile mill products","WKS220",6542,6634,6739,6714,6996,7133,7190,7359,7405,7420,7493,7470,7471,7562,7646,7723,7869,7858,7908,7834,7870,7940,7791,7795,7931,7816,7511,7370,7507,7608,7861,7923,7491,7260,7295,7381,7464,7553,7583,7576,7839,8101,8155,8254,8220,8214,8363,8144,8131,7930,7862,7894,8091,7989,7676,7827,7884,7783,7638,7548,7263,6940,6810,6707,6831,7205,7569,7819,7992,8133,8151,7900,7778,7554,7666,7777,7757,7957,7780,7846,8220,8197,8310,8298,8263,8374,8217,8414,8194,8353,8390,8337,8443,8374,8458,8336,8163,8103,8287,8283,8372,8528,8719,8638,8743,8876,8970,9219,9526,9494,9445,9526,9529,9541,9464,9401,9257,9178,9253,9366,9316,9419,9458,9434
"28","20","    Apparel products","WKS230",5889,5793,6028,5858,5846,6202,6163,6408,6578,6454,6554,6668,6323,6718,6955,6882,7176,7198,7152,7155,7265,7258,7460,7693,8185,8022,7842,7721,7212,7015,7156,7376,6901,6757,6923,7253,7817,8323,8166,7888,7722,7819,7892,8245,8201,8321,8565,8671,8927,8543,8484,8129,8251,8374,8241,8127,8156,8149,8076,8502,8410,8224,8113,8004,7787,7969,8365,8711,9280,9738,9816,9732,9447,9662,9659,9903,10097,9960,9921,9789,9947,9783,9844,10139,10304,10684,10504,10202,9722,9610,9868,9856,10047,9909,9866,9647,9243,9246,9317,9897,10127,10133,10101,10242,10695,11007,11249,11196,11114,11292,11467,11642,12172,12028,11796,11511,11107,10611,10339,10082,10368,10696,10831,10796
"29","21","    Paper and allied products","WKS260",7016,7066,7007,6904,7025,7188,7113,7085,6941,6862,7017,7216,7584,7873,7972,8211,8121,8151,8211,8332,8297,8227,8366,8268,8291,8461,8374,8674,8823,9468,10003,10672,10771,10262,10236,10110,10218,10498,10582,10624,10701,10811,11015,11063,11056,11272,11345,11238,11176,11362,11238,11538,11939,12322,12155,11971,12175,12090,12276,12429,12687,12620,12679,12513,12399,12558,12633,12902,13097,13549,14009,14181,14440,14221,14101,14326,14364,14521,14650,14645,15110,15109,15101,15167,14920,14967,15262,15570,15328,15769,16172,16176,16274,16447,16366,16448,16882,16756,16667,17229,17393,17380,17552,17404,17468,17295,17305,17308,17320,17496,17370,17056,17235,17700,17775,17870,18293,18187,18270,18029,18519,18077,18331,18692
"30","22","    Printing and publishing","WKS270",6789,7082,6997,7090,6872,6928,7266,7568,7850,7803,8205,7977,7927,7746,7620,7391,7416,7437,7489,7455,7651,7504,7625,7653,7730,8094,8249,8451,8463,8480,8549,8763,9015,8785,8750,8769,8414,8601,8890,9160,9181,9026,9062,9312,9416,9657,9420,9481,9689,9800,9904,9928,10041,10067,9949,9779,9874,9975,10129,10068,10031,10047,9872,9821,9577,9747,9869,10266,10465,10911,11312,11353,11542,11462,11541,11490,11368,11438,11459,11594,11831,11843,11836,12078,12179,12538,12805,12807,12873,13048,13004,12988,13049,13157,13213,13236,13611,13288,12924,12958,12807,12659,13059,12878,12703,12778,12745,12505,12451,12375,12491,12735,13396,13517,13326,12959,12843,12947,12539,12933,13012,13282,13233,13570
"31","23","    Chemical and allied products","WKS280",22060,22258,22467,22828,23020,23175,23945,24505,25542,26087,26581,26855,26714,27592,27985,28174,28357,28693,28605,28924,28898,29230,29365,29339,29205,29269,28979,28890,29571,30164,30648,32629,32687,32468,31790,31999,32375,32811,33772,33956,33442,33992,35046,35680,35927,36262,36668,36941,35905,35477,35807,35845,37423,37797,36345,36634,36866,37536,37686,37939,37829,36934,36269,35341,34878,35110,35955,36646,37556,39560,41010,39940,39334,40160,40505,40014,39878,40487,40117,41285,40333,39790,40417,41346,42297,41945,42664,43474,44549,45532,46099,45522,45616,46383,46878,47485,48302,48160,48092,48664,48925,48879,49861,50456,50559,50514,50849,50434,50739,50550,50385,50817,50667,52010,52778,52558,52942,53038,53364,53904,54290,55045,55673,56808
"32","24","    Petroleum products","WKS290",13371,14060,14487,14825,15104,15497,16105,15852,15384,14861,14886,15788,16534,16856,16067,16020,15907,16254,16800,16849,16237,15885,15907,15250,14789,14361,14086,13606,14118,16663,18029,18249,19577,18566,18547,19012,19250,19079,19195,19681,19788,20839,21343,21591,20701,20113,19905,20406,19163,18920,19918,20598,21591,22471,22484,21646,22010,22526,21671,21628,23434,21014,22093,22760,22653,21985,22707,21622,22251,22975,23152,22034,21407,20956,18579,20867,19865,22083,21508,22882,22151,21477,22274,23449,24658,24719,24478,23978,24143,25247,24321,23657,25947,25203,24463,24316,24860,25563,25822,25793,25535,25267,25499,25345,25437,25241,24729,24541,25026,24577,24937,25948,26324,26269,25408,25666,25955,25489,25277,24974,25837,26118,26698,27173
"33","25","    Rubber and plastic products","WKS300",6756,6817,6667,6791,6783,7113,7236,7547,7600,7723,8065,8093,8343,8267,8316,8341,8372,8476,8370,8697,8871,9086,9274,9394,9564,9843,10142,10223,10454,10586,10572,10700,10570,10459,10517,10581,10665,10712,10766,11232,11555,11725,11995,12129,12194,12367,12543,12744,12786,12885,12982,12596,12644,12145,11702,11914,12129,12180,12422,12206,11888,11752,11461,11402,11144,11521,11760,11984,12335,12967,13045,12797,12760,12843,13068,13148,13383,13234,13070,13276,13340,13360,13624,13664,13733,14039,14335,14516,15028,15001,15205,15040,15043,15291,15745,15932,15923,16030,16036,16161,15827,15988,16245,16649,16515,16796,16898,16949,17194,17189,17735,17957,18431,18490,18324,18384,18742,18714,18908,19135,19341,19606,19624,19802
