"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"11","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",124105,125345,127576,129220,130925,135667,139039,142567,148511,149863,150168,153856,149385,153104,157181,157745,162999,163641,164382,166268,169640,166679,174073,175113,175717,185351,179184,189782,195503,200675,206398,207606,217120,209000,210332,205510,208823,212685,208812,234113,217737,217996,226746,222187,223502,227056,236199,236858,238643,235835,242604,246035,241653,245791,245092,233225,245238,239599,240912,246503,251142,251754,248968,249043,243377,231510,215914,196364,193828
"12","4","S4 QN4411ZZMG     Automobile dealers","T060040",106336,107352,109442,110122,111698,115886,118784,122558,127965,128552,128599,131093,127586,130910,134330,134955,140054,140252,140639,141996,145157,142197,148934,149760,149692,158784,152160,162379,167604,172129,177574,177830,186093,179074,180009,175285,179352,182336,178939,204159,186814,187183,195679,191455,192370,194832,202496,202648,203878,201192,207493,210209,205330,209002,209215,196992,207860,203456,204986,209744,214714,214771,211484,211698,206648,194418,179051,160661,158617
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",5119,4995,5163,5759,5956,6099,6094,5970,5840,6589,6512,7621,6828,7010,7444,7092,7076,7352,7680,7938,8064,7999,8343,8497,8760,9051,9400,9562,9679,10089,10104,10527,11773,10849,10854,10939,10887,11448,11053,11253,11779,11446,11657,11512,11946,12718,13753,14146,14549,14383,14852,15158,15460,15962,15453,15054,16032,15465,15282,16193,16025,16397,16909,16777,16676,16364,16246,14642,14345
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",12596,12917,12928,13251,13215,13636,14104,14021,14678,14700,15015,15122,14938,15158,15391,15669,15836,16007,16042,16317,16401,16466,16781,16846,17253,17509,17624,17837,18217,18456,18718,19248,19256,19078,19467,19282,18582,18897,18811,18755,19132,19354,19436,19237,19205,19510,19967,20061,20195,20206,20265,20653,20766,20760,20417,20937,21194,20563,20567,20538,20508,20646,20552,20556,20035,20322,19869,19803,19614
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",17892,18277,18461,18652,19392,19958,20626,20905,21379,22361,23179,24409,24521,24852,25553,26577,26781,28080,28577,29050,29573,30685,31962,33024,34251,34832,36541,38003,39213,40838,42817,44267,46246,47070,47658,47264,48636,49248,50567,53072,55436,56282,56462,58052,58118,61570,65358,67769,69299,71379,74380,76032,78150,80315,83529,85692,89825,91794,93967,95548,98193,98945,101705,103807,103297,106114,103872,100708,101421
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",15084,15101,15095,15078,15534,15702,15733,15840,15887,16510,16968,17462,17122,17112,17312,17698,17543,18205,18401,18611,18828,19026,19534,20029,20282,20195,20348,21053,21361,21856,22691,23412,23976,24410,24462,23725,24234,24118,24172,24590,25336,25309,25083,25575,25420,26569,27373,28101,28546,28901,29970,30127,30352,30945,31840,32296,33227,33366,33660,33336,34318,34347,34499,34190,33498,33555,31911,30403,29649
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",8803,8810,8815,8774,8987,9187,9169,9211,9146,9351,9634,9894,9659,9664,9870,10040,9948,10325,10337,10471,10695,10737,11073,11426,11571,11475,11510,11781,11974,12090,12592,12908,13219,13643,13648,13153,13414,13447,13552,13876,14188,14150,13850,14027,13856,14357,14757,15152,15301,15565,16062,16304,16380,16658,17255,17370,17533,17392,17718,17580,18095,18069,18073,18007,17950,17762,16806,16000,15775
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",6280,6291,6280,6304,6547,6516,6565,6629,6739,7159,7334,7568,7464,7448,7441,7658,7594,7880,8066,8141,8133,8290,8461,8602,8711,8720,8838,9272,9387,9766,10099,10504,10757,10767,10814,10571,10819,10671,10621,10718,11149,11160,11230,11542,11557,12201,12606,12939,13235,13325,13897,13812,13961,14275,14575,14914,15679,15960,15927,15741,16207,16262,16411,16167,15529,15777,15092,14390,13859
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",5102,5350,5476,5612,5900,6207,6652,6794,7103,7483,7830,8451,8706,8950,9354,9900,10142,10743,11007,11244,11515,12281,12982,13517,14370,14937,16328,17073,17934,19024,20153,20881,22273,22661,23191,23543,24402,25168,26518,28754,30475,31464,31961,33145,33417,35898,39298,41161,42384,44429,46528,48380,50742,52565,55257,57336,61233,63673,66133,69013,70805,71829,75531,79297,80058,84161,84541,83245,86202
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",48051,46184,46894,46190,46011,45882,47279,47683,48093,50687,51531,52100,52458,51249,52174,54163,54399,55823,56730,56551,57669,58236,59336,60229,61116,62656,63876,66571,67651,67274,67781,71187,73415,71099,72158,73467,75438,77280,75522,76638,78326,80788,80118,80274,80595,83295,86266,87023,88104,90542,90996,92966,93943,97015,97261,99867,105449,101754,99636,99611,99522,99671,98813,97339,94776,96347,94310,89042,86740
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",40689,39419,40305,39621,39569,39199,40445,40767,41085,43489,44731,45428,45581,44475,45025,46894,47255,48329,48907,48707,49602,50233,50902,51669,52589,54059,55611,57752,59026,58810,59201,62160,63781,62768,63334,64265,65992,67514,67018,68332,69867,71689,71265,71592,71830,74118,77034,78040,78861,81399,81651,83522,84689,87594,87983,90561,96167,92384,90272,90190,89779,90285,88806,86688,84386,86018,83191,77977,75525
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",7386,6798,6627,6601,6467,6720,6865,6946,7041,7220,6799,6662,6877,6776,7159,7278,7151,7501,7831,7852,8079,8010,8453,8577,8539,8605,8270,8822,8627,8464,8581,9030,9645,8328,8821,9196,9439,9756,8522,8334,8490,9122,8881,8715,8796,9203,9271,9033,9291,9196,9397,9498,9317,9488,9351,9393,9399,9465,9447,9501,9802,9475,10036,10603,10340,10313,10934,10788,10868
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",112218,112480,112589,112715,112303,111828,112088,112127,112892,113768,113409,113578,113583,112679,112403,112577,112975,112663,112716,112471,112920,112484,112942,112904,112707,113448,114533,114893,115089,116192,116741,118020,116423,118613,118295,118886,118949,119534,119716,120410,118992,117759,117496,118142,118752,118548,119714,118903,119908,119871,120438,121492,122738,122786,123309,123596,123715,124810,125130,126835,126864,126706,127180,127853,127953,127975,126838,124039,124651
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",102356,102381,102306,102431,102140,101764,102054,102227,102874,103584,103214,103304,103489,102719,102303,102335,102559,102315,102441,102347,102615,102188,102418,102368,101982,102691,103696,104050,104308,105266,105944,107026,105267,107245,106723,107360,107223,107853,108045,108709,107409,106155,105962,106610,107278,106910,107699,106723,107680,107499,108043,109102,110298,110151,110638,110760,110549,111656,111795,113216,113171,112961,113331,114040,114487,114211,112912,110425,110878
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",3339,3499,3576,3509,3504,3532,3516,3412,3403,3438,3410,3529,3466,3367,3427,3508,3495,3469,3406,3446,3504,3390,3539,3477,3519,3576,3564,3529,3552,3570,3475,3589,3663,3757,3778,3740,3881,3894,3965,3898,3784,3869,3935,3957,3938,4025,4167,4237,4335,4342,4324,4284,4344,4468,4420,4366,4464,4435,4511,4649,4570,4461,4452,4472,4031,4196,4187,4000,4129
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",6517,6593,6695,6763,6648,6524,6510,6482,6607,6738,6778,6734,6618,6585,6666,6726,6917,6874,6864,6669,6794,6904,6980,7057,7206,7180,7272,7315,7229,7355,7321,7406,7493,7612,7794,7786,7846,7787,7706,7802,7799,7736,7599,7575,7536,7613,7849,7944,7893,8034,8075,8111,8096,8171,8254,8476,8714,8730,8837,8984,9140,9306,9422,9363,9459,9600,9786,9668,9694
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",28025,28278,28710,28965,29059,29540,30035,29992,30524,30491,31039,32168,31796,32180,32437,32903,33524,34174,34499,34578,34582,34363,35633,36311,37348,38108,38074,39215,40688,41580,41896,42185,43054,44029,45019,44980,44584,44606,44315,45319,46459,46808,46464,48247,48211,49564,51154,51773,53489,52721,53380,54766,55779,57348,56923,59041,60170,60349,61471,61916,63336,63734,64551,63821,64428,65497,63676,59550,61388
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",19757,20306,20782,20893,20936,21157,21217,21325,21663,21724,21961,22713,22658,22577,22883,23071,23441,23848,24164,24313,24323,24202,25303,25673,26364,26969,26899,27647,28747,29439,29519,29388,30247,31114,31750,31991,31765,31944,31815,32632,33267,33491,33338,34760,34802,35890,36940,37216,38710,38242,38959,40054,40856,42065,42054,43449,44145,44638,45563,46120,47759,48062,48677,48276,48929,50083,48417,45926,47328
"29","21","S2 QN4482ZZMG     Shoe stores","T060210",4610,4405,4337,4408,4426,4474,4563,4608,4696,4622,4791,4954,4726,5016,4958,5036,5086,5239,5219,5181,5216,5175,5221,5293,5464,5415,5402,5606,5689,5763,5726,5707,5859,5742,5885,5857,5743,5925,5869,5867,6038,5996,5899,6028,5989,6095,6341,6330,6485,6332,6274,6327,6427,6631,6552,6883,6870,6833,7052,7081,7010,6906,7045,6943,6968,7100,7009,6690,6744
"30","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",3707,3615,3637,3709,3742,3946,4280,4094,4198,4178,4318,4528,4440,4608,4619,4806,4998,5088,5120,5091,5052,4996,5121,5352,5528,5730,5777,5967,6255,6381,6651,7086,6947,7174,7385,7132,7077,6742,6636,6828,7157,7324,7233,7468,7431,7594,7885,8239,8311,8166,8175,8420,8536,8693,8367,8749,9197,8936,8918,8793,8700,8902,8969,8757,8711,8553,8443,7241,7618
"31","23","S1 QN452ZZZMG   General merchandise stores","T060230",65346,65512,65979,68301,68524,69939,71516,72808,74008,74702,75972,78058,78343,79501,81143,80844,81080,83297,84735,85726,86094,86413,88472,89141,91182,92772,93517,95840,99391,100327,102257,104064,105029,106543,109054,110459,111059,112685,114561,117870,119162,120379,120356,123007,125139,127521,132273,132807,135949,136545,138785,141467,143672,146978,149079,152454,155000,157002,158612,161017,164117,165334,168905,169776,171834,176026,175242,173544,176171
"32","24","S1 QN4521ZZMG     Department stores","T060240",44602,44944,45181,46340,46518,47426,48364,49022,50018,50204,50977,52055,52221,52695,53988,53387,53297,54659,55609,56211,56148,56243,57415,57795,57972,58297,58206,59294,60943,60770,61348,61248,61568,61847,62204,62709,61883,61363,61752,62111,61698,61358,60163,60545,60064,60838,62430,61477,61973,61425,62363,62736,62676,63247,62668,63661,63976,63638,63465,63841,64454,63812,64562,63976,63288,63941,62301,61166,60388
"33","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",20360,20147,20386,21598,21638,22145,22793,23451,23625,24165,24665,25702,25823,26531,26855,27196,27541,28397,28881,29271,29722,29954,30846,31138,33063,34359,35221,36471,38390,39519,40886,42815,43461,44698,46850,47749,49163,51287,52759,55664,57331,58848,59968,62187,64714,66291,69398,70807,73378,74464,75749,77986,80165,82815,85370,87694,89847,92076,93779,95738,98143,99890,102615,103972,106549,109944,110659,110057,113228
"34","26","S1 QN44EZZZMG   Other retail stores","T060260",121739,122278,123309,125738,126573,128796,130581,132744,135565,137774,140263,141418,142452,145198,147487,149799,150438,154221,156009,159513,160571,162807,164908,166023,169986,174118,177718,181441,186747,186615,187819,193530,195308,195377,197632,201260,199852,199584,200095,204341,209110,209688,211876,213593,212191,214604,218690,222330,224158,223879,226248,229562,232788,236341,236210,241270,249450,253400,252507,257476,261998,266455,268027,270650,271526,276698,271230,262456,261880
"35","27","S1 QN446ZZZMG     Health and personal care stores","T060270",27408,27162,26870,27131,27272,27360,27432,27731,27562,27898,28382,28593,28879,29302,29371,29827,30069,30818,31248,31964,32425,32671,33518,33896,34576,35068,35991,36640,37224,37650,37768,39081,39208,39914,40451,41068,41052,41268,41113,41680,42397,42933,42976,42895,43197,43770,44884,45332,44471,44441,44519,44567,45364,45581,45786,46138,46777,47239,47775,49073,49363,49879,50266,49874,50265,50839,51230,51579,51318
"36","28","S1 QN447ZZZMG     Gasoline stations","T060280",52680,52638,52732,53198,53277,54593,55705,55547,56900,57577,57286,57840,58543,59436,60097,60320,60430,60472,60723,60814,61086,62088,62047,61621,63652,65235,65071,66437,68568,65118,64561,65792,64356,62230,62242,64035,63408,63191,63747,66109,67307,65075,65905,65958,64267,63949,62811,64263,65687,64672,64248,65979,66273,67505,65731,66166,67777,68869,66683,67503,67752,68379,67231,68694,68951,70055,66728,61964,60570
"37","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",12059,12089,12193,12535,12596,13029,12836,13232,13724,13945,14311,14479,14674,14790,15201,15302,15436,15405,15812,16196,15902,16048,16150,16727,16884,17393,17544,17834,18580,18954,19308,19683,19978,20785,20812,20181,20898,20932,21156,21765,21725,21561,21726,22308,21760,22357,23050,22977,23505,23219,23981,23817,24150,24256,24065,24919,26124,25806,25847,25819,26435,27304,27927,27909,28203,28546,28286,27304,27981
"38","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",8137,8140,8114,8311,8255,8665,8647,8862,9241,9243,9430,9549,9591,9728,9898,10128,10194,10013,10419,10753,10361,10557,10632,10894,11073,11592,11605,11809,12423,12668,12973,13197,13639,14084,14323,13835,14246,14391,14541,15171,15032,14976,15185,15806,15325,15719,16207,16360,16663,16447,17079,17021,17285,17525,17376,18116,19309,18944,19339,19380,19975,20806,21113,21208,21426,21733,21488,20780,21241
"39","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",3908,3937,4077,4225,4353,4363,4176,4362,4470,4704,4888,4937,5098,5071,5323,5178,5249,5412,5403,5446,5559,5501,5527,5853,5824,5804,5947,6032,6161,6290,6337,6488,6339,6702,6489,6346,6651,6542,6615,6600,6696,6589,6550,6526,6452,6654,6859,6645,6867,6795,6933,6830,6901,6778,6735,6857,6891,6929,6594,6528,6558,6609,6919,6811,6889,6928,6910,6634,6850
"40","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",14600,14584,14936,16518,16566,16530,16816,17451,17742,18376,19493,19558,19436,20123,20386,20446,20116,22160,22338,22818,23731,23156,23997,24495,25188,25115,26305,26830,27122,27068,27006,28886,29349,28322,28356,28318,27903,28071,27862,27687,28258,28646,28990,28537,28338,28879,29678,29849,29716,30431,30496,30846,30948,31305,31876,32561,34712,34733,34750,35674,35590,36794,37570,37086,37107,37450,37658,36068,35647
"41","33","S3 QN4531ZZMG       Florists","T060330",1551,1508,1595,2076,1817,1657,1685,1711,1746,1790,1753,1725,1698,1774,1713,1697,1835,1884,1881,1973,1950,1939,2026,2058,1981,1985,2110,2142,2160,2138,2187,2186,2202,2127,2248,2256,2153,2138,2082,1985,2121,2074,1988,1910,1922,1837,1851,1869,1723,1810,1819,1742,1719,1810,1833,1952,1935,1904,1796,1815,1772,1638,1657,1613,1605,1535,1613,1455,1441
"42","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",5207,5194,5438,5765,5826,6021,6005,6112,6507,6672,6957,6968,6681,7006,7254,7449,6791,7373,7865,8038,8366,8118,8224,8373,8823,8952,9462,9760,10176,10194,10231,10819,11160,11278,11326,11373,11247,11282,11281,11231,11633,11616,11947,12039,11783,12308,12702,12747,13170,13351,13495,13387,13551,14139,14347,14581,15107,15335,15999,16611,16842,17100,17485,17338,17196,17425,17189,16550,16857
"43","35","S4 QN4533ZZMG       Used merchandise stores","T060350",1321,1393,1409,1412,1401,1603,1549,1524,1567,1417,1501,1616,1594,1718,1715,1663,1655,2089,1816,1838,2106,1841,2054,2244,2251,2213,2392,2482,2422,2464,2428,2664,2673,2725,2763,2649,2652,2666,2695,2663,2799,2730,2724,2575,2841,2714,2803,2820,2734,2891,3056,3029,2979,2972,3084,3213,3563,3688,3577,3670,3872,3839,3975,4099,4104,4406,4410,4180,4233
"44","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",6491,6450,6425,7230,7518,7180,7549,8120,7879,8510,9330,9284,9548,9683,9747,9656,9936,10915,10844,11038,11364,11342,11790,11905,12200,12015,12377,12471,12378,12283,12172,13226,13318,12190,12017,12038,11854,11988,11815,11820,11730,12233,12357,12064,11844,12098,12413,12500,12256,12533,12323,12830,12858,12629,12858,13054,14281,14057,13786,14048,13693,14716,14983,14623,14744,14721,14968,14405,13838
"45","37","S1 QN454ZZZMG     Nonstore retailers","T060370",18243,18892,19495,19257,19681,20152,20744,21458,22272,22595,23129,23319,23379,23986,24755,26026,26459,27219,27660,29220,29012,30384,30651,30596,31152,32758,33910,34820,36424,38237,39434,40265,42450,44118,45770,47636,46569,46096,46200,47160,49590,51606,52473,54254,55056,56220,59248,60976,62004,62635,65108,66377,68353,70092,72108,75856,79316,82295,84389,86773,91570,93566,96057,97928,97689,101241,100407,100295,102312
"46","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",6004,6689,7287,7157,7515,7493,7783,8548,8739,9034,9092,9359,9497,9942,10600,11133,11517,12016,12579,13281,13820,14800,15281,15769,16742,17505,18445,19280,20576,21766,23043,24210,26164,27528,28664,30051,29236,30069,30182,31318,33448,34453,35567,37138,38268,39930,42460,43740,45844,47048,48666,50638,52918,55534,58685,62952,68456,70723,73384,76669,80302,83007,86586,89251,89719,94546,95442,96203,98149
"47","39","S4 QN4542ZZMG       Vending machine operators","T060390",2267,2070,2138,2208,2082,2113,2096,2034,2125,2125,2065,2010,1982,2020,1897,2014,1912,2078,2234,2260,2305,2152,2037,2142,2132,2239,2214,2306,2324,2372,2376,2327,2502,2572,2481,2391,2261,2245,2325,2422,2435,2334,2277,2207,2187,2156,2225,2282,2248,2293,2285,2246,2288,2233,2132,2217,2280,2209,2230,2163,2153,2165,2214,2193,2165,2239,2141,2127,2140
"48","40","S4 QN4543ZZMG       Direct selling establishments","T060400",11892,11855,11632,11459,11574,12182,12510,12306,12965,12923,13579,13466,13359,13418,13526,14218,14305,14365,13956,14846,13831,14308,14102,13288,12695,13487,13659,13558,13756,14310,14123,13750,13777,14012,14629,15203,15053,13847,13755,13521,13870,14980,14863,15214,15008,14741,15289,15713,15071,14682,15533,15243,15208,14919,14598,14717,14047,14879,14864,14799,16029,15944,15733,15664,15362,15316,14642,14309,14621
"49","41","S1 QN722ZZZMG Food services and drinking places","T060410",65455,63289,63554,65823,65997,67080,68065,67891,67762,69106,69761,69916,69412,70134,70507,70257,70356,70845,71128,72084,73013,73098,74190,73432,74592,75508,75766,76993,76661,77260,77165,79100,80934,81044,81006,80586,82189,81551,81429,81440,82952,83111,82819,82788,83379,84985,86492,87267,87982,87931,88497,89441,89772,91155,91165,92050,94191,93575,93858,95230,94967,95388,95646,95640,95000,95725,95078,93531,93714
"50","42","S4 QN7221ZZMG   Full-service restaurants","T060420",28505,27049,26934,28079,27894,28518,29140,29147,29533,30021,30153,30131,29756,30105,30340,29888,29979,30455,30993,31710,32614,32464,33264,32877,33154,33324,33232,33789,33676,34116,34007,34557,35387,35309,35165,35135,35223,35087,35328,35326,36108,36033,35737,36058,35923,36792,37360,37419,37839,37547,37959,38270,38334,38707,38600,39112,39625,39450,39740,40855,40719,40619,40234,40661,40609,41138,40613,40272,40739
"51","43","S4 QN7222ZZMG   Limited-service eating places","T060430",27072,27076,27573,28453,28901,29280,29584,29541,29077,29862,30383,30734,30705,30697,30816,30989,31061,31148,30833,30875,30809,31204,31175,30868,31640,32322,32652,33083,32856,32846,32893,33860,34414,34740,34784,34780,35981,35513,35400,35529,35999,36221,36345,36009,36700,37353,37870,38758,39073,39371,39563,39980,40280,40977,40939,41172,42498,42034,42099,42120,41869,42277,42446,42157,41659,41553,40929,40385,40188
"52","44","S4 QN7223ZZMG   Special food Services","T060440",5582,5213,5144,5329,5301,5344,5391,5443,5394,5493,5575,5402,5266,5577,5467,5443,5447,5424,5463,5636,5817,5608,5841,5824,5888,5952,5943,6176,6162,6287,6358,6612,6883,6744,6948,6710,6981,7010,6598,6377,6679,6680,6621,6668,6611,6562,6926,6793,6792,6811,6794,7001,6961,7196,7276,7374,7599,7546,7473,7612,7683,7681,7985,7878,7820,7908,8234,7702,7615
"53","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",4333,3968,3913,3971,3905,3944,3956,3760,3762,3729,3644,3641,3678,3750,3882,3932,3864,3813,3837,3863,3776,3823,3912,3866,3912,3910,3938,3945,3968,4010,3907,4070,4251,4249,4110,3961,4006,3943,4103,4208,4166,4177,4117,4055,4146,4279,4336,4300,4280,4206,4184,4195,4200,4279,4353,4396,4474,4547,4549,4643,4696,4807,4975,4937,4907,5115,5288,5155,5161
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",452028,450137,453424,460270,462114,467531,474973,479041,485300,494197,500843,508051,508993,512313,518518,524330,526854,536874,542338,547936,552465,556386,566071,570019,580333,590593,599303,612443,625014,629897,636456,652334,660423,663763,670810,676916,680730,684484,686121,698732,709680,713922,714630,722866,725237,738323,757474,764828,775423,779010,788067,800685,811266,825775,830244,846035,869120,873195,874544,886828,896975,904095,911263,914689,914409,928677,915030,888264,890569
"56","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",387383,387418,390412,395168,396829,401209,407667,411823,418099,425667,431637,438594,439980,442604,448393,454358,456759,466217,471360,476021,479649,483448,492037,496669,505816,515144,523575,535481,548362,552642,559287,573225,579495,582718,589798,596333,598522,602943,604710,617397,626826,630930,631963,640323,642072,653550,671268,677861,687795,691482,700030,711771,722128,735296,739828,754863,775887,780748,781793,792713,803380,810149,817171,820682,821175,834907,821715,796141,798284
