"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"19","11","    Food and beverage establishments","W037RG3",88.024,88.217,88.759,89.254,91.128,92.208,93.378,94.414,95.124,95.908,96.606,97.351,98.722,99.595,100.459,101.395,102.208,103.012,104.41,105.459,106.049,106.917,107.418,108.658,109.957,109.615,109.802,111.141,113.216,115.686,118.551,121.521,124.213,126.98,130.19,132.844,135.329,137.4,138.966,141.61,143.685,144.84,146.328,147.637,147.947,147.905,147.996,147.211,145.889
"20","12","    Warehouses","W038RG3",88.144,88.18,88.762,89.314,90.969,92.087,93.311,94.403,95.155,95.963,96.667,97.395,98.665,99.521,100.395,101.365,102.249,103.109,104.544,105.608,106.17,107.018,107.509,108.744,110.041,109.666,109.809,111.08,113.216,115.686,118.551,121.521,123.101,125.044,128.849,130.549,132.574,134.557,137.229,141.155,142.694,142.775,145.001,147.47,147.632,148.644,151.195,156.781,158.643
"21","13","    Other commercial\2\","W039RG3",87.95,88.227,88.955,89.628,91.121,92.212,93.401,94.46,95.202,96.003,96.696,97.418,98.698,99.549,100.406,101.347,102.191,103.019,104.423,105.47,106.014,106.865,107.358,108.585,109.92,109.58,109.738,110.992,113.21,115.747,118.64,121.588,124.155,126.859,130,132.621,135.144,137.25,138.835,141.433,143.428,144.567,146.029,147.304,148.639,149.699,152.309,157.835,159.614
"22","14","  Manufacturing","B307RG3",87.909,88.485,89.44,90.301,91.128,92.114,93.261,94.338,95.302,96.136,96.85,97.568,98.774,99.581,100.382,101.255,102.118,102.926,104.284,105.258,105.726,106.46,106.803,107.841,108.862,108.173,107.988,108.882,110.706,112.725,115.067,117.444,119.491,121.637,124.236,126.334,128.308,130.012,131.369,133.886,136.013,137.232,138.727,140.011,141.573,142.078,145.475,151.902,154.106
"23","15","  Power and communication","W003RG3",94.625,95.465,95.873,96.08,96.45,96.472,96.624,96.752,96.383,96.439,97.11,97.774,98.679,99.752,100.328,101.241,101.859,102.497,103.473,103.742,104.269,104.766,105.735,106.127,106.665,107.235,108.024,109.001,110.705,114.556,117.664,120.53,121.938,123.989,125.868,129.1,132.609,135.652,138.315,140.932,141.26,142.368,143.898,145.296,146.941,149.897,154.762,158.251,157.746
"24","16","    Power","W028RG3",91.622,92.513,93.205,93.915,94.334,94.486,94.638,94.834,95.112,95.559,96.24,97.415,98.556,99.664,100.452,101.327,101.908,102.571,103.135,103.694,104.302,105.128,106.039,106.929,107.181,107.594,108.179,109.105,111.037,115.509,119.223,122.763,125.729,127.764,128.638,130.473,132.433,134.899,137.272,139.157,140.322,141.883,143.515,145.061,147.325,151.227,156.181,159.712,159.346
"25","17","      Electric","B571RG3",92.062,92.973,93.702,94.401,95.001,95.052,95.193,95.416,95.403,95.611,96.172,97.243,98.488,99.556,100.369,101.354,101.933,102.619,103.282,104.05,105.059,105.803,106.562,107.305,107.219,107.665,108.449,109.728,111.157,113.186,115.349,118.059,119.727,121.245,122.198,123.78,126.002,128.777,131.545,134.174,136.674,138.997,141.425,143.49,144.866,146.547,150.214,154.34,156.174
"26","18","      Other power","W029RG3",90.76,91.597,92.208,92.951,93.107,93.397,93.546,93.675,94.325,95.193,96.137,97.605,98.512,99.817,100.582,101.089,101.313,101.867,102.182,102.168,101.88,103.269,104.72,105.976,106.85,107.234,107.446,107.804,111.278,122.458,130.5,136.653,143.679,147.292,147.933,150.541,151.876,153.277,154.312,153.862,151.108,150.555,150.023,150.185,154.931,166.041,175.579,176.925,169.431
"27","19","    Communication","B314RG3",98.958,99.713,99.717,99.19,99.451,99.235,99.378,99.377,98.009,97.56,98.211,98.301,98.86,99.862,100.108,101.086,101.746,102.389,104.037,103.898,104.299,104.201,105.23,104.79,105.792,106.681,107.89,108.909,109.83,112.279,114.278,115.993,115.156,117.332,120.748,126.101,131.891,135.782,138.846,142.618,141.623,141.971,143.316,144.432,144.831,145.696,150.31,153.673,152.719
"28","20","  Mining exploration, shafts, and wells","B318RG3",85.062,87.717,89.424,92.116,98.662,102.564,101.273,99.782,98.675,96.506,95.333,96.607,96.301,96.962,101.158,105.58,113.05,122.193,127.663,126.55,133.502,142.785,150.036,154.353,156.015,155.855,158.965,160.266,162.072,162.492,167.518,177.118,190.762,198.9,213.915,236.092,252.575,267.657,268.516,270.457,270.397,266.584,259.684,263.966,265.221,269.548,277.09,280.525,268.975
"29","21","    Petroleum and natural gas","B319RG3",84.791,87.596,89.353,92.156,99.031,103.114,101.718,100.116,98.954,96.618,95.309,96.549,96.022,96.604,100.915,105.477,113.397,122.965,128.654,127.492,134.608,144.428,152.147,156.666,158.422,158.292,161.569,162.89,164.671,164.96,170.088,180.067,194.839,203.524,219.396,242.845,259.639,275.296,275.892,277.761,278.07,274.09,266.719,271.28,272.6,277.21,285.226,288.936,276.657
"30","22","    Mining","B320RG3",87.44,88.061,89.092,90.06,90.635,91.351,92.324,93.338,94.324,95.281,96.145,97.033,98.457,99.456,100.448,101.502,102.838,103.912,105.299,106.049,105.777,106.036,106.224,107.443,109.218,109.155,109.439,110.69,112.827,115.013,117.458,119.863,121.847,124.196,127.289,130.183,133.284,135.716,137.36,139.764,141.28,142.01,143.198,144.342,144.646,144.604,144.693,143.925,142.633
"31","23","  Other structures","W004RG3",88.415,89.053,89.924,90.846,91.298,91.997,92.898,93.82,94.706,95.581,96.387,97.239,98.57,99.509,100.409,101.512,102.662,103.606,104.901,105.75,105.752,106.162,106.425,107.528,108.966,108.903,109.171,110.324,112.18,114.119,116.338,118.476,120.187,122.204,124.837,127.189,129.57,131.622,133.175,135.494,137.113,138,139.323,140.532,140.978,141.296,142.169,143.036,142.867
"32","24","    Religious","C309RG3",87.358,87.958,88.975,89.94,90.474,91.207,92.21,93.26,94.343,95.334,96.223,97.125,98.532,99.513,100.476,101.496,102.778,103.82,105.203,105.975,105.776,106.076,106.27,107.471,109.192,109.133,109.46,110.772,112.876,115.016,117.435,119.834,121.835,124.195,127.295,130.19,133.287,135.716,137.358,139.762,141.279,142.01,143.199,144.342,144.646,144.605,144.693,143.926,142.633
"33","25","    Educational and vocational","W044RG3",87.282,87.955,89.022,90.011,90.841,91.753,92.841,93.885,94.756,95.642,96.435,97.255,98.726,99.593,100.383,101.177,102.071,102.906,104.287,105.279,105.761,106.532,106.945,108.1,109.342,108.873,108.876,109.948,111.86,113.934,116.319,118.72,120.822,122.987,125.576,127.616,129.492,131.299,132.971,136.032,138.94,140.767,142.693,144.213,144.585,145.671,149.656,157.586,161.49
"34","26","    Lodging","W045RG3",87.623,88.035,88.931,89.83,90.379,91.121,92.15,93.242,94.325,95.348,96.258,97.168,98.563,99.543,100.51,101.535,102.826,103.876,105.26,106.027,105.812,106.106,106.299,107.501,109.248,109.182,109.461,110.71,112.821,115.012,117.461,119.866,121.849,124.196,127.289,130.182,133.283,135.716,137.36,139.764,141.28,142.01,143.198,144.342,144.646,144.604,144.693,143.925,142.633
"35","27","    Amusement and recreation","W046RG3",87.754,88.569,89.528,90.638,90.487,91.167,92.155,93.225,94.307,95.342,96.27,97.198,98.617,99.604,100.562,101.577,102.813,103.826,105.192,105.962,105.783,106.092,106.287,107.478,109.172,109.097,109.414,110.729,112.824,115.013,117.46,119.865,121.848,124.196,127.289,130.182,133.283,135.716,137.36,139.764,141.28,142.01,143.198,144.342,144.646,144.604,144.693,143.925,142.633
"36","28","    Transportation","W047RG3",92.219,92.477,92.859,93.21,93.953,94.604,95.182,95.756,96.317,96.628,97.152,97.784,98.798,99.563,100.397,101.242,102.456,103.672,105.087,106.048,106.048,106.348,106.669,107.581,108.624,109.189,109.7,110.602,111.926,112.666,113.484,113.969,114.424,115.104,116.35,117.646,118.343,119.058,120.054,121.349,121.87,121.942,123.267,124.582,125.639,126.48,127.366,127.997,128.091
"37","29","      Air","W048RG3",87.529,88.492,89.569,90.739,90.65,91.298,92.244,93.255,94.263,95.227,96.103,97.011,98.326,99.309,100.314,101.428,102.884,104.016,105.398,106.151,105.851,106.082,106.236,107.43,109.167,109.144,109.491,110.83,112.828,115.013,117.458,119.863,121.847,124.196,127.289,130.183,133.284,135.716,137.359,139.764,141.28,142.01,143.198,144.342,144.646,144.605,144.693,143.926,142.633
"38","30","      Land\3\","W049RG3",93.401,93.506,93.747,93.942,94.856,95.509,96.008,96.488,96.946,97.086,97.496,98.025,98.901,99.59,100.375,101.134,102.305,103.595,105.04,106.079,106.129,106.437,106.801,107.635,108.523,109.23,109.774,110.584,111.739,112.201,112.721,112.889,113.128,113.581,114.592,115.704,116.141,116.654,117.569,118.752,119.164,119.164,120.478,121.795,122.92,123.832,124.786,125.532,125.71
"39","31","    Farm","B316RG3",87.377,87.976,88.993,89.959,90.52,91.257,92.257,93.304,94.311,95.296,96.177,97.077,98.449,99.434,100.412,101.44,102.801,103.898,105.303,106.066,105.789,106.04,106.215,107.424,109.125,109.081,109.445,110.825,112.829,115.013,117.457,119.861,121.847,124.196,127.29,130.183,133.284,135.716,137.359,139.764,141.28,142.01,143.198,144.342,144.646,144.605,144.693,143.926,142.633
"40","32","    Other\4\","W050RG3",90.212,91.619,92.448,93.567,92.93,92.991,93.488,94.005,94.618,95.252,95.944,97.06,98.274,99.606,100.552,101.568,102.423,103.01,103.512,104.244,104.922,105.508,106.079,106.576,107.114,107.617,108.31,109.239,110.134,112.365,115.652,119.084,121.008,123.419,125.943,127.994,129.305,132.417,134.822,137.759,140.271,142.551,144.857,146.964,149.035,150.831,153.645,156.297,157.251
"41","33","    Brokers' commissions on sale of structures","B321RG3",95.045,96.385,96.574,96.576,97.815,98.592,98.623,98.188,97.631,98.068,98.227,98.355,98.545,98.737,98.96,103.847,104.078,103.808,105.522,105.396,105.518,105.703,105.796,106.232,106.296,106.327,106.325,106.323,106.323,106.851,107.256,107.256,107.256,107.256,107.753,107.256,106.883,106.883,106.883,106.883,106.883,106.883,106.883,106.883,106.883,106.883,106.883,106.883,107.131
"42","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","Residential","B012RG3",88.734,89.187,89.979,90.667,90.924,91.565,92.484,93.369,94.312,95.368,96.19,96.96,98.665,99.624,100.424,101.286,102.665,103.956,105.732,106.483,106.252,106.84,107.262,109.121,111.653,111.741,112.485,114.639,117.388,119.921,122.449,124.324,125.893,127.994,131.4,133.908,136.024,137.295,137.709,139.037,139.815,139.345,139.441,139.431,138.512,137.276,136.061,132.669,131.002
"44","36","  Permanent site","B943RG3",87.594,87.888,89.034,89.938,90.239,90.887,91.939,93.02,94.131,95.213,96.061,96.873,98.799,99.672,100.353,101.176,102.56,103.699,105.88,107.049,106.64,107.174,107.481,109.717,112.846,112.549,113.116,115.643,118.963,121.82,124.404,126.406,127.934,130.34,133.948,136.588,139.142,140.541,140.807,142.86,143.737,142.818,142.795,142.608,140.827,138.467,136.207,132.964,132.474
"45","37","    Single-family structures","B944RG3",88.162,88.41,89.5,90.277,90.293,90.758,91.713,92.783,94.015,95.199,96.122,96.957,98.802,99.671,100.373,101.226,102.717,103.938,106.166,107.34,106.858,107.339,107.625,109.878,113.05,112.825,113.49,116.139,119.582,122.528,125.172,127.198,128.74,131.144,134.717,137.27,139.725,140.965,141.044,142.888,143.489,142.39,142.246,141.997,140.224,137.874,135.624,132.394,131.907
"46","38","    Multifamily structures","B292RG3",83.256,83.874,85.422,87.224,89.529,91.581,93.462,94.681,94.866,95.195,95.509,96.214,98.912,99.855,100.381,100.912,101.316,101.731,103.476,104.574,104.766,105.674,106.097,108.121,110.734,109.772,109.487,110.926,113.226,115.302,117.373,119.172,120.377,122.866,126.952,130.651,134.87,137.878,139.669,143.063,145.124,145.133,145.726,145.839,144.018,141.605,139.293,135.977,135.476
"47","39","  Other structures","A863RG3",90.399,91.078,91.37,91.755,91.946,92.577,93.3,93.894,94.584,95.601,96.388,97.095,98.458,99.553,100.534,101.455,102.824,104.35,105.504,105.623,105.661,106.332,106.929,108.221,109.838,110.515,111.53,113.108,114.953,116.977,119.425,121.097,122.725,124.336,127.419,129.717,131.09,132.161,132.83,133.106,133.777,133.911,134.167,134.368,134.364,134.22,133.968,130.502,128.004
"48","40","    Manufactured homes","B945RG3",93.718,94.313,94.618,94.822,94.893,95.35,95.833,96.404,96.964,98.142,98.738,99.185,99.376,99.918,100.347,100.608,100.562,101.228,102.155,102.868,102.717,103.384,103.549,103.502,103.436,104.604,105.441,107.327,107.381,112.848,117.619,120.761,122.352,124.171,125.163,126.3,127.002,129.317,130.681,130.805,130.226,130.743,131.177,131.218,132.092,134.427,138.115,140.199,139.278
"49","41","    Dormitories","B295RG3",88.137,88.408,89.515,90.303,90.288,90.722,91.656,92.714,93.912,95.09,96.02,96.879,98.805,99.716,100.446,101.32,102.76,103.944,106.15,107.315,106.831,107.317,107.615,109.888,113.063,112.864,113.576,116.321,119.582,122.528,125.172,127.198,128.74,131.144,134.717,137.27,139.725,140.965,141.044,142.888,143.489,142.39,142.246,141.997,140.224,137.874,135.624,132.394,131.907
"50","42","    Improvements","B946RG3",90.036,90.775,91.106,91.44,91.59,92.198,92.888,93.607,94.524,95.554,96.445,97.103,98.705,99.668,100.418,101.21,102.331,103.479,104.829,105.416,105.229,105.678,106.043,107.459,109.565,109.766,110.452,112.369,115.004,117.641,120.492,121.468,122.99,124.729,127.69,130.168,132.283,134.025,134.712,135.679,136.634,136.819,137.102,137.907,137.938,138.805,139.416,135.34,133.429
"51","43","    Brokers' commissions on sale of structures","B758RG3",90.122,90.682,90.916,91.481,91.781,92.501,93.372,93.765,94.101,95.065,95.728,96.599,97.798,99.268,100.797,102.087,104.149,106.544,107.381,106.541,107.051,108.126,109.196,110.442,111.372,112.8,114.363,115.38,116.094,116.897,118.591,121.207,123.021,124.448,127.897,130.067,130.394,130.334,130.929,130.037,130.275,130.275,130.453,129.383,129.234,126.581,124.052,121.615,117.478
"52","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures\5\","W040RG3",88.276,88.876,89.788,90.625,91.36,92.165,93.022,93.892,94.753,95.609,96.365,97.148,98.656,99.54,100.41,101.394,102.771,104.132,105.951,106.749,106.986,107.858,108.505,110.248,112.478,112.367,112.988,114.923,117.613,120.223,122.991,125.355,127.576,130.128,133.968,137.536,140.795,143.268,144.158,146.18,147.237,147.043,147.187,148.083,148.062,148.255,149.27,149.275,147.99
"55","46","    Nonresidential structures","A771RG3",87.993,88.795,89.761,90.759,92.091,93.111,93.886,94.645,95.283,95.863,96.5,97.323,98.481,99.371,100.467,101.681,103.187,104.838,106.535,107.08,108.087,109.485,110.648,112.03,113.344,113.288,113.946,115.119,117.037,119.211,122.138,125.681,129.283,132.459,137.125,142.656,147.474,151.726,153.446,155.959,157.291,157.581,157.799,159.549,160.603,161.927,164.739,167.712,166.286
"56","47","    Residential structures","A756RG3",88.528,88.966,89.835,90.541,90.789,91.417,92.344,93.303,94.337,95.408,96.257,97.013,98.79,99.675,100.368,101.167,102.442,103.572,105.49,106.483,106.141,106.653,106.974,108.932,111.716,111.586,112.192,114.542,117.626,120.458,123.137,124.887,126.413,128.636,132.039,134.612,137.03,138.524,138.911,140.619,141.488,140.929,141.009,141.173,140.117,139.124,138.138,134.576,133.397
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
