"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"17","9","    Nonresidential","A008CX1",77.4,79.5,80.5,80.2,80.4,82.9,85.2,87.6,89.5,91.6,94.5,96.5,102.7,106.5,110.3,114.8,119.6,121.6,123.2,123.2,121.2,120.9,120.7,123.1,126.7,125.2,126.9,130.4,133.7,135.2,138.2,137.5
"18","10","      Structures","B009CX1",31.1,32.2,33.1,32.3,31.2,32.6,32.9,33.5,34.4,35.6,36.7,37,38.9,41.6,42.1,44,45.1,44.2,45.2,43.6,44.1,42.8,43.3,43.4,44.2,43.8,43.5,44.4,45.1,45.5,47.6,47.3
"19","11","      Equipment","Y033CX1",36.7,37.7,37.8,37.9,38.6,39.4,41.1,42.7,43.7,44.6,46.2,47.6,51.2,52.1,54.9,57,60.2,62.3,62.6,63.5,61,61.6,60.8,62.7,65.1,63.5,65.1,67.3,69.8,70.5,71.4,70.8
"20","12","      Intellectual property products","Y001CX1",10.5,10.6,10.7,11,11.3,11.7,11.9,12.1,12,12.2,12.4,12.6,13.2,13.6,14.1,14.6,15.1,15.5,15.9,16.3,16.6,16.7,17,17.3,17.6,18.1,18.4,18.7,18.8,19.2,19.3,19.5
"21","13","    Residential","A011CX1",41.7,43,43,42.9,44.4,47.6,48.5,50,53.1,50.5,49.6,48.8,49,49.4,49.7,48.7,49.9,46,44.5,39.8,38.7,43.2,45.5,48.1,48.3,49.5,50.5,51.2,52.9,52.4,52,48.4
"22","14","  Change in private inventories","A014CX1",11.1,7,8.2,4.9,9.5,6.3,7.5,5.5,5.8,5.6,6.7,6.4,14.7,10.6,11.9,9.6,16.8,16.1,14.3,19.7,18.5,8.1,10.9,10.6,9.7,17,9.3,7.7,12.9,10.8,12.5,6.8
"23","15","Net exports of goods and services","A019CX1",3.9,6.8,4.1,2.8,4.5,8.2,5,7.2,9.8,9.8,8.5,8.8,5.1,8.6,5.6,7,5,6.1,1.6,2.7,2.9,2.8,0.9,-0.3,-1.8,-1.6,-1.8,-2,-3.3,-2.5,-3.2,-0.4
"24","16","  Exports","A020CX1",37,40.5,38.3,37.5,38.3,42.8,40.5,42.6,45.2,45.9,45.6,46.9,41.9,49.7,46.9,50.3,49.4,51.5,49.6,51.2,52.2,51.7,50.5,51.9,53.4,54.5,57.7,57,50.2,61.4,59.9,62
"25","17","    Goods","A253CX1",27,28.8,28.9,27.4,27.5,30.3,30.8,32.3,33.8,33.8,34.7,35.4,30.3,36,34.9,37.9,37.5,36.9,37.1,37.9,37.8,37.7,37,37.7,39,39.6,42.3,41.4,35.8,45.3,44.1,45.6
"26","18","    Services","A646CX1",9.9,11.8,9.3,10.1,10.9,12.6,9.6,10.1,11.3,12.1,10.7,11.4,11.6,13.7,11.9,12.3,11.7,14.7,12.4,13.3,14.5,14.1,13.4,14.2,14.4,14.9,15.3,15.6,14.5,16.1,15.8,16.3
"27","19","  Imports","A021CX1",33.1,33.8,34.2,34.6,33.8,34.6,35.5,35.4,35.3,36.1,37.1,38.1,36.7,41.1,41.2,43.3,44.4,45.5,48,48.6,49.3,48.9,49.6,52.2,55.3,56.1,59.5,59,53.4,64,63.1,62.4
"28","20","    Goods","A255CX1",22,22.6,23,23,22.7,23.5,24.1,24,23.8,24.7,25.6,26.4,25.2,29.2,29.5,30.9,31.7,32.2,34.3,34.7,34.8,33.8,34.1,37.2,40.2,41.2,44,43.3,37.7,47.8,46.8,45.6
"29","21","    Services","B656CX1",11.1,11.1,11.1,11.6,11.1,11.1,11.4,11.3,11.5,11.4,11.5,11.6,11.5,11.8,11.8,12.3,12.6,13.2,13.7,13.8,14.5,15.1,15.5,14.9,15,14.9,15.4,15.7,15.6,16.2,16.3,16.8
"30","22","Government consumption expenditures and gross investment","A822CX1",224.8,225.9,231.1,232.7,229.5,229.7,239.9,237.5,238.3,240.4,240.7,240.6,240.4,243.3,251.3,256.1,260.9,265.8,273.1,277.8,289.4,288.3,291.5,293.8,299,300.6,301.5,301.8,302.5,301.6,302.3,298.3
"31","23","  Federal","A823CX1",134.3,134.8,138.8,139.5,134.7,134.1,141.7,138.1,137.4,137.3,136.6,135.4,134.2,134.5,139.5,142.6,146,150,155.9,157.6,167.8,166,168.7,168.9,171.8,170.9,169.9,169.1,168.6,166.5,166.8,163.1
"32","24","    National defense","A824CX1",113.1,112,113.9,113.9,109.8,109.1,113.5,110.5,108.8,107.4,107.2,105.7,103.9,103.4,106.6,109.6,113.4,115.9,122.8,126,133.1,133.3,136.4,135.2,138.2,138.1,135.7,134.6,133.5,131,131,128.5
"33","25","    Nondefense","A825CX1",22,23.6,25.7,26.2,25.6,25.6,28.8,28.2,29.1,30.3,29.8,30.1,30.8,31.4,33.2,33.4,33,34.6,33.6,32.3,35.3,33.3,33,34.3,34.3,33.5,34.8,35.1,35.7,36.1,36.4,35.1
"34","26","  State and local","A829CX1",90.6,91.2,92.3,93.3,95,95.8,98.3,99.7,101.2,103.4,104.5,105.7,106.6,109.3,112.4,114,115.4,116.3,117.6,120.6,122.1,122.7,123.2,125.4,127.7,130.1,132,133.1,134.3,135.5,135.8,135.6
"35","27","Residual","A960CX1",-7.6,-8,-8.5,-8.3,-6.7,-6.7,-7.6,-7.5,-6.5,-6.1,-5.2,-5.2,-4.1,-3.9,-3.8,-3.5,-2.6,-3.5,-3.5,-3.6,-5.3,-4.7,-5.1,-6.2,-4.8,-4.5,-3.8,-4.5,-3.8,-2.9,-3.3,-2.8
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","index rebased with the reference year 1972 equal to 100 and of the 1972 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
