"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"29","21","        Other","A412RC1",22.1,20.9,22.6,20.5,18.6,21.3,17.2,18.7,16.7,15.2,15.5,13.5,17.8,15.5,15.1,13.6,14.5,19.1,17.5,14.6,15.7,15.7,17.3,18.6,17.1,18.8,15.9,17.2,18,18.4,20,22.7,23,24.2,25.6,27.5,27.6,31.1,28.7,34,33.4,37.9,39.6,36.9,32.2,32.5,37.2,40.6,40.8,44.4,41.3,40.4,42.3,37.5,29.2,22.1
"30","22","      Nondurable goods","A401RC1",28.6,43.8,60.1,69.3,72.9,65.2,70.3,79.2,69.5,66.7,66.2,58.7,68.2,79.7,70,81.2,81.5,67.2,68.5,62.7,61.8,64.1,65.5,62.7,60.5,66,58.8,70.2,69.4,72.8,81.2,86.4,88.5,98.9,108.3,109,108.5,107.5,109,112.1,114.1,114.6,117.9,120.3,106.4,101,103,86,116.1,117.9,110.4,102.1,114,121.7,117.1,107.1
"31","23","        Food and kindred products","A402RC1",7.9,10.7,12.6,12.6,10.4,8.5,8.3,10.1,12.4,9.4,10.6,10.1,9.4,13.4,14.6,15.9,17.5,17.9,20,16.2,16.4,19.2,19.2,16.9,17,15.1,15.8,15.5,18.3,18.3,20.4,22.2,25,28,28.7,28.5,23.6,19.6,21.1,25.4,24.6,24.9,23.6,26.9,22.9,24.2,25.2,12.9,27.9,28.2,26.6,27.4,27.2,25,28.2,20.3
"32","24","        Chemicals and allied products","A403RC1",12.9,15.9,20.1,21.3,22.6,20,19.3,26.6,22.1,24.5,22,19.1,20.8,23.4,21.8,18,17.9,20.1,22.6,23.7,21,19.6,20.2,20.7,21.5,19.5,18.5,23.5,23.9,26.3,27.8,31.8,30.4,34.3,36,34.7,34.3,34.1,31.6,30.2,35.3,37.6,40.7,40.7,37.4,31.3,35,38.4,41.1,41.1,32,24.9,31.6,28.8,24.7,25.2
"33","25","        Petroleum and coal products","A404RC1",-13.2,-3.7,2.3,9.2,11.1,8.8,15.3,16.2,5.9,6.7,8.7,5.4,13.7,18,8,26.7,25.9,6,-1.3,-0.5,-0.5,-0.8,-0.9,-2.3,-3.8,3.5,2.4,5.4,-1.4,-3.3,3.2,3.3,1.8,6,10.6,8.3,10.2,14.6,16.2,18.2,17.1,16.1,17.7,17.3,10.9,9.5,7.6,0.8,2.6,6.4,9.9,5.1,16,33.8,34,33.2
"34","26","        Other","A405RC1",20.9,20.9,25.1,26.3,28.9,27.8,27.4,26.2,29.1,26.1,24.9,24.1,24.3,25,25.7,20.5,20.3,23.2,27.2,23.3,25,26,27,27.4,25.8,27.9,22.2,25.8,28.7,31.4,29.8,29,31.4,30.6,33,37.4,40.5,39.2,40.1,38.3,37,36.1,36,35.4,35.1,36,35.3,33.8,44.6,42.3,41.9,44.7,39.3,34.1,30.2,28.5
"35","27","    Transportation and public utilities","A416RC1",40,46,40.8,41.2,43.8,44.8,48.1,50.7,43.8,43.2,40.3,40.4,41.6,47.1,46.6,38.8,51.8,55.9,54.8,55.6,59.5,57.3,54.9,58.9,65.8,69.1,70.9,74.7,74.6,82.7,85.9,92.4,87.2,87.5,92.5,88.8,89.4,93.8,89.6,92.2,81,82.6,80.3,80.1,71.6,74.9,80,63.8,55.6,44.8,44.9,51.9,37.7,32.2,33.1,32.3
"36","28","      Transportation","A417RC1",1.1,1.9,0.6,1,3.3,3.9,5.2,3.2,-2.3,-1.6,-2.4,-5,-4.2,-1.8,-6.2,-11.1,0.2,-0.1,-3.3,-2.6,0.5,-5,-5.4,-2.8,0.8,2.7,4,5.2,3.9,5.9,7.6,10.7,8.3,9,8.5,7.8,7,10.2,11.2,7.3,9.2,9.2,10.4,9.5,9.5,9.8,11.8,7.3,3.5,2.5,0.5,4.8,3.9,9.2,6.1,1.8
"37","29","      Communications","A418RC1",21.2,22.2,22.3,22.3,20.8,21.4,22.8,24.1,21.9,20.5,19,24.2,23.3,25.5,26.9,26.9,27.2,29.3,30.6,29.4,33.5,33.5,33.1,34.1,35.7,39.4,38.8,39.2,40.1,41.6,40.3,43.4,39.9,38.2,41.2,38.4,38.9,40.4,41.1,44.2,31.1,32.1,30.4,29.3,26.7,28.2,29.1,18.1,13.1,6.9,4.2,6.6,-0.5,-4.2,-0.5,7.5
"38","30","      Electric, gas, and sanitary services","A419RC1",17.6,22,17.9,17.9,19.6,19.5,20.1,23.4,24.2,24.3,23.7,21.2,22.5,23.5,25.9,23,24.4,26.7,27.5,28.8,25.5,28.9,27.3,27.5,29.4,27.1,28.2,30.2,30.5,35.2,38,38.3,38.9,40.2,42.7,42.5,43.5,43.2,37.3,40.6,40.6,41.3,39.5,41.3,35.4,36.9,39.1,38.3,39,35.4,40.1,40.5,34.3,27.2,27.5,23
"39","31","    Wholesale trade","A414RC1",21.5,16.8,19.4,17.8,19,19.5,18.1,24.9,20.2,22.4,24.4,20.9,20.3,20.4,17.5,19.4,24.4,22.7,22.9,19.2,19.1,23.9,27.6,30.5,23.5,28.8,26.4,27.3,28.8,35.3,30.6,31.1,25,23,31.4,32.4,39.2,34.4,38.4,47.4,44.3,48.2,52.7,47.1,50.4,56.6,55.1,40.5,53.6,48.1,42,43.4,42.8,55.5,54.8,48.3
"40","32","    Retail trade","A415RC1",24.2,21.9,23.8,23.4,21.5,18.7,18.7,20.4,19.6,18,22.7,23.2,22.2,21.2,16,21.9,27,28,24.8,27.8,29.7,28.6,21.5,32.4,32.8,37.9,43.8,44.3,43,46.1,47.2,48.9,43,42.4,44,46.2,50.5,52.3,53.8,51.5,67.3,59.3,65.2,61.7,66.5,70.8,73.9,77.9,80,79.8,66.7,63.7,76.9,69.8,68.8,60.2
"41","33","    Other","A420RC1",17.1,21.7,22.5,19.7,23.4,23.9,21.2,21.4,19.4,20,21,21.8,18.9,21.3,22.4,22.7,22,23.4,25.1,26.7,29,31.8,32.1,40.8,41,40.9,46.3,55.2,56.8,57.8,63.4,66.9,68.5,70.1,75.7,78.3,85.9,87.1,89.5,91.3,99.4,97.9,101.8,102.1,89.1,83.5,84.9,87.7,93.1,103.7,100,93.5,78.9,79.9,71.7,71.1
"42","34","Rest of the world","B394RC1",41.3,48.5,47.8,54.5,52.7,57.7,57.2,60.4,64,64,66.6,74,73.4,75.1,70.9,84.9,84.2,74.7,70,77,78.5,75.6,71.3,67,82.8,73,80.1,71.9,75.1,77.3,79.3,80.2,88.8,96.7,87,99.3,100.7,97.9,98.7,110.7,103.3,113,109.5,104.4,108.6,106,96.1,100.3,114.4,117.1,119,137.5,131.6,139,145,169.1
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
