"","Table 6#12A# Nonfarm Proprietors' Income by Industry Group","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:08:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","1","    Nonfarm proprietors' income","B046RC0A",8949,6950,5290,3427,4003,4914,5655,6895,7330,6781,7679,8650,11663,14483,17187,18333,19358,23373,21867,23226
"9","2","Agricultural services, forestry, and fisheries","B1800C0A",66,65,60,48,44,44,52,51,66,60,61,66,75,98,110,132,149,172,194,246
"10","3","Mining","B1801C0A",66,35,-15,10,5,32,40,62,86,59,70,69,98,127,167,164,130,165,271,399
"11","4","Contract construction","B1802C0A",1128,866,606,234,193,310,379,617,584,607,642,688,951,1242,1118,990,1090,1725,2123,2651
"12","5","Manufacturing","A1803C0A",589,314,147,48,227,268,323,426,386,286,420,528,994,1448,1888,2208,2371,2310,1670,1469
"13","6","  Durable goods","B1804C0A",201,99,36,5,47,72,98,142,161,97,148,236,448,620,785,929,929,900,768,692
"14","7","  Nondurable goods","B1805C0A",388,215,111,43,180,196,225,284,225,189,272,292,546,828,1103,1279,1442,1410,902,777
"15","8","Transportation and public utilities","A1806C0A",228,219,190,162,155,174,197,219,238,235,255,290,367,428,492,484,455,511,582,627
"16","9","  Transportation","B1807C0A",219,210,183,159,154,171,194,215,231,228,248,283,357,416,477,465,432,487,556,601
"17","10","  Communication","B1808C0A",3,3,2,1,0,1,1,2,3,3,3,3,4,5,6,7,8,7,8,8
"18","11","  Electric, gas, and sanitary services","B1809C0A",6,6,5,2,1,2,2,2,4,4,4,4,6,7,9,12,15,17,18,18
"19","12","Wholesale trade","B1810C0A",420,303,217,119,192,269,327,431,453,447,506,602,894,1189,1472,1641,1746,2333,1823,1672
"20","13","Retail trade and automobile services","B1811C0A",2589,1781,1221,602,1093,1563,1864,2321,2559,2303,2790,3315,4820,5982,7326,7593,7957,9775,8692,8788
"21","14","Finance, insurance, and real estate","B1812C0A",849,530,364,287,371,307,363,418,427,388,424,446,496,542,656,739,922,1060,998,1205
"22","15","Services","A1813C0A",3014,2837,2500,1917,1723,1947,2110,2350,2531,2396,2511,2646,2968,3427,3958,4382,4538,5322,5514,6169
"23","16","  Health services","B1821C0A",1148,1078,928,698,636,716,768,868,894,865,905,951,1018,1166,1247,1497,1529,1890,2131,2488
"24","17","  Legal services","B1822C0A",572,558,575,471,448,489,507,526,550,532,554,579,615,647,669,719,763,773,828,949
"25","18","  Other","B1825C0A",1294,1201,997,748,639,742,835,956,1087,999,1052,1116,1335,1614,2042,2166,2246,2659,2555,2732
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
