"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 26, 2003     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:06:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    National income without capital consumption adjustment","A422RC",3622.4,3712.8,3805.1,3901,3981.9,4067.4,4147.6,4251.5,4317.2,4343.7,4377.4,4429.2,4545.1,4640.1,4676.2,4700.8,4715,4748.9,4784.8,4827.5,4944.5,5005.2,5013.9,5109.1,5168.6,5246.6,5278.7,5377.7,5432.7,5532.7,5615.3,5725,5782.2,5840.4,5925.7,5989.2,6068,6174.7,6249.3,6333.4,6440.8,6538.1,6656,6763.6,6849.8,6959.3,7080.2,7163.4,7301.4,7358,7434,7604.6,7822.8,7925.9,8027.2,8058.7,8078.7,8106.6,8055.7,7972.8,8073.8,8158,8196.8,8270.6,8364.9
"10","2","Domestic industries","A423RC",3611.1,3698.3,3791.3,3885.8,3961,4048.8,4131.6,4233.3,4299.1,4326.3,4357.5,4403.2,4520.4,4614.3,4655,4656.6,4682.2,4727.3,4766.7,4801.5,4919.4,4980.7,4992.4,5086.5,5138.2,5222.7,5249.1,5364.1,5412,5516,5600.2,5710,5760.8,5815.1,5914.5,5965.8,6041.2,6157,6237.8,6317.1,6433.1,6526.1,6649.3,6761.8,6843.1,6956.3,7094.6,7172.5,7281.4,7333.8,7416.9,7575,7801.8,7900.2,8009.5,8029.5,8068.8,8075.5,8044.2,7937.6,8071.9,8178.1,8207.7,8279.8,8375.1
"11","3","  Private industries","A736RC",3062.6,3142.1,3229.3,3317.4,3374.5,3456.1,3531.6,3626.2,3680.1,3697.1,3717.2,3753.9,3851.6,3935.6,3968.9,3959.9,3966.2,4008.4,4043.5,4072.5,4173.6,4228.6,4236.9,4328.1,4366.5,4448.7,4470,4578.9,4616.6,4712.8,4794.8,4902.3,4943.7,4993.6,5088.5,5133.7,5198.8,5310.2,5386.1,5459.6,5560.4,5647,5763.2,5869.1,5941.3,6046,6175,6244,6341,6386,6459.3,6607.8,6809.9,6893.1,6998.1,7010.8,7026.3,7019.6,6974.4,6857.4,6970.6,7067,7086.4,7149.6,7225
"12","4","    Agriculture, forestry, and fishing","B424RC",75.8,78.4,79.3,82.2,84.8,78.9,80.1,69.1,87.6,84.2,83.3,87,90,89.2,89.3,87.5,84.4,84.6,80.6,84.6,88.7,91.5,92,90.5,90.2,96.4,84.1,96.8,101.7,95.2,89.6,88.2,85,83.9,85.5,93,97.5,103.8,105.8,100.3,100.3,100.9,102.6,102.6,98.5,100.4,102.4,108.2,111.4,112.7,110.1,111,107.4,111.8,110.6,108.8,109.5,110.7,113.8,110.6,116.8,102.8,108,110.6,114.5
"13","5","    Mining","B734RC",22.1,27.8,30.6,33.9,34.8,36.3,36.3,36.4,35.4,35.4,36.9,37.1,38.7,41.1,42.2,41,41.3,41.2,40,38.1,39.9,39.4,39.1,40.4,40.9,39.7,40.3,41.2,43.4,42.9,44.6,44.7,43.1,45.8,47,46.7,49.3,50,52,51.7,56.6,58.1,58.4,59.6,56.5,55.4,53,52.1,48.7,48.7,48.1,48.8,56.6,61.2,65.8,67.9,75.2,73.7,68.4,60.8,58.2,57.5,57.5,63.2,66.6
"14","6","    Construction","B735RC",198.8,202.3,203.4,207,211.7,218.1,221.4,224.2,225.3,224.9,226.4,231.6,234.7,233.6,230.4,223.4,216.8,213.4,215,213.2,212.9,216,214.3,219,221,225,229.9,237.1,242.6,251.1,256.1,261.4,261.4,263.8,269.7,272,279.7,287.3,294.6,299.8,304.1,306.5,309.5,317,330.1,343.2,356.1,368.8,381.8,385.7,388.5,401.7,417.3,420.4,423.7,430,435.2,441.5,444.1,435,439.3,440.6,442.5,445.6,449.4
"15","7","    Manufacturing","A426RC",707.9,726.3,755.8,769,793.8,809.9,827.2,858,859.9,854.1,852.8,847,869.8,892.1,880.7,873.3,859.8,859.9,869.6,866.4,869.4,885.2,892,897.4,900.2,926.8,926.2,963.2,978.2,990.6,1013.5,1041.8,1047.2,1052.8,1067.6,1066.3,1053.9,1072.9,1079.2,1089.4,1091.2,1107.6,1133.4,1145.1,1131.9,1137.2,1153.7,1158.6,1165.4,1173.2,1186.1,1197.3,1264.8,1259.3,1261.2,1217.3,1162.6,1157.7,1133.3,1075.3,1092.9,1126.8,1131.3,1137.8,1154.3
"16","8","      Durable goods","B428RC",435,436,445.7,445.3,460.2,478.9,485.3,500.4,505.5,497.8,493.5,492.4,500.2,506,502.5,483.4,472.7,485.9,490.3,489.7,490.2,499,501.8,507.8,511.1,529.4,534.7,557.7,569.7,573.9,583.2,602.6,606.3,602.8,609.3,608.9,600,615.5,618.4,622.1,623.8,635.6,656.7,659.2,655.6,661.7,672.6,694,674.9,679.1,693.2,704.7,746,733.6,736.1,701.2,673.6,656.4,634.9,597,610.3,634.2,634.5,634.6,638.1
"17","9","      Nondurable goods","B427RC",272.9,290.3,310.1,323.8,333.6,331,341.9,357.6,354.5,356.3,359.3,354.6,369.6,386.1,378.2,389.8,387.1,374,379.4,376.7,379.2,386.2,390.2,389.6,389.1,397.4,391.6,405.5,408.5,416.8,430.3,439.2,440.9,449.9,458.3,457.4,454,457.4,460.8,467.3,467.3,472,476.8,485.9,476.3,475.5,481.1,464.6,490.6,494.1,492.9,492.6,518.8,525.7,525,516.2,489.1,501.4,498.3,478.3,482.6,492.6,496.8,503.2,516.3
"18","10","    Transportation and public utilities","A737RC",277.7,289.2,287.3,290.7,291.3,297.8,308.2,316.9,311.6,313.6,312.3,317.6,322.7,333.4,335.6,330.4,343.8,351.8,354,354.8,362.3,362.9,365.5,373.8,384.4,390.2,394.6,399.7,408.5,420.8,426.2,437.1,434.1,435.9,445.7,447,451.6,462.5,463.6,468.6,463.3,470.8,475.9,484.6,482.9,491.9,507,501.9,502.2,499,512.9,531.5,521.4,527.2,535.3,538.3,545.2,542.6,535.8,496.1,508.5,514.3,512.2,522.3,523
"19","11","      Transportation","B429RC",119.8,123.2,123.6,127,126.9,131.5,135.8,136.6,133.3,134.2,133.9,133.4,135.4,142.7,139.9,136.7,146.5,147.4,145.1,145.4,152.9,149.8,152.4,156.5,160.6,162.3,163.9,166,169.1,175.2,178.7,183.3,182.9,183.6,183.6,185.6,187.8,194.9,199.9,196.2,201,203.4,209.6,215,218.2,222.1,229.1,229.2,229.2,231.2,234,241.7,238.3,247.8,245.1,243.7,240.6,241.3,238.5,226,231,233.8,237.7,242.2,239.2
"20","12","      Communications","B430RC",78.2,81.2,81.9,80.7,80.7,82.3,86.7,89.9,85.4,85,83.5,91.7,92.6,94,95.2,95.1,96.8,100.2,102.5,101,104.2,104,104.7,108,110,116.1,117.4,119.1,123,125.7,125.5,130.6,127.4,126.1,132.6,131.6,132.1,135.3,136.7,140.4,130.6,135.8,136.8,138.8,139.4,142.4,147.6,142,141.8,140,143.5,151,143.8,144.8,151.5,157.5,153.5,152.6,150.5,137.1,139.8,135.9,134.7,136.9,136.7
"21","13","      Electric, gas, and sanitary services","B431RC",79.8,84.8,81.7,83,83.8,84.1,85.7,90.5,92.9,94.4,94.8,92.5,94.6,96.7,100.5,98.7,100.5,104.2,106.3,108.4,105.2,109.1,108.4,109.3,113.8,111.9,113.3,114.6,116.4,119.9,122,123.2,123.8,126.2,129.5,129.8,131.7,132.3,127,132.1,131.7,131.7,129.6,130.9,125.3,127.5,130.3,130.7,131.2,127.7,135.3,138.8,139.3,134.7,138.7,137.1,151.1,148.7,146.8,132.9,137.6,144.6,139.8,143.2,147.1
"22","14","    Wholesale trade","B433RC",213.3,212.7,218.3,219.2,229.6,236.8,240.3,252.1,251.5,255.5,260.1,259.8,263.3,266.6,266.2,267.9,269.9,271.3,272.9,271.9,277.6,283.3,287.5,291.1,282.6,292.2,291.7,295.4,302.8,315.1,314.9,323.2,320.9,321.8,333.4,336.6,345.7,346.9,355.8,370.4,372,376.4,386.7,392,407.4,416.3,429.5,428.7,440.2,440.2,438.4,458.9,470.4,483.4,490.8,479.7,463,457.9,459.8,452.7,457.4,463.9,464.9,477.1,471.2
"23","15","    Retail trade","B434RC",322.7,326.9,334.3,336.4,342.5,349.2,353.3,361.9,368.8,369.7,376.6,380.7,385,386.2,382.7,387.1,389.5,395.8,395.7,402.3,409.4,412.8,409.4,423.5,420.2,427.5,436,440.3,445.3,456.7,464.6,476.3,474.2,479.4,485,488.4,497.7,506.7,513.6,520.9,540.1,543.4,556.5,567.3,574.6,580.7,589.5,597.4,611.7,618.8,616.4,630.4,654.4,654.4,664.7,662.7,683.8,683,691.8,686.1,695.2,705.5,707.7,702.9,706.6
"24","16","    Finance, insurance, and real estate","B435RC",567.5,587.8,611,632.6,633.5,641.8,652.4,678.5,694.6,697.3,687.1,687.3,713.3,732.4,753.6,754.6,770.1,783.7,794.4,797.2,843.5,841.7,823.9,856.8,880.1,892.6,895.5,920.4,889.2,923.5,950.7,967.5,987,1004.9,1028,1033.9,1055.9,1085.3,1101.3,1109.7,1156.6,1183.5,1210.6,1237.7,1263.6,1300.8,1329.4,1344,1355.8,1354,1388.1,1419.4,1471.3,1502.8,1540.3,1571.6,1595.7,1567.8,1542.1,1578.9,1613.2,1649,1639.7,1641.2,1662.4
"25","17","    Services","B437RC",676.9,690.8,709.4,746.3,752.5,787.2,812.3,829.2,845.4,862.4,881.7,905.8,934.1,961,988.1,994.8,990.6,1006.7,1021.2,1043.8,1069.9,1095.8,1113.2,1135.7,1146.9,1158.2,1171.7,1184.9,1204.9,1216.9,1234.3,1262.1,1290.8,1305.3,1326.5,1349.9,1367.5,1394.8,1420.2,1448.7,1476.2,1499.7,1529.6,1563.1,1595.6,1620,1654.5,1684.1,1723.8,1753.7,1770.7,1808.8,1846.5,1872.6,1905.7,1934.3,1956,1984.8,1985.4,1961.8,1989.1,2006.6,2022.6,2048.9,2077
