"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Line",NA,NA,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1","    Personal consumption expenditures","A002RC1",4371.5,4385,4381.5,4422.5,4450.9,4466.7,4493.8,4504.3,4534,4554.8,4575.9,4593.9,4608.5,4655.7,4667.5,4690.3,4688.3,4729.9,4745.4,4789.2,4801.2,4836.2,4846.5,4860.9,4869.3,4867.4,4900.5,4904.2,4946.1,4989.8,4982.7,5018,5032.5,5024.5,5065.8,5108.8,5098,5145.2,5185.1,5219.6,5234.8,5241.6,5263.6,5287.5,5308.2,5340.1,5365.5,5392.7,5419.9,5453.9,5472.6,5473.4,5474.4,5506.1,5565,5596.7,5607.6,5639.2,5666.1,5694,5698.7,5736.6,5764.8,5788.9,5842.9,5870.8,5887.4,5928.8,5956.3,5995.2,6018.5,6064.8,6067.4,6099.7,6138,6202.5,6245.1,6264.1,6297.3,6338.6,6375.7,6396.7,6433.2,6531.3,6538,6618.5,6685.3,6664.2,6688,6712.1,6745.8,6766.7,6839.3,6846.2,6860.2,6908.5,6938.2,6969.2,6960.1,6978.5,7029.1,7045,7064.1,7098.6,7012.7,7222,7177.2,7165.9,7196.5,7242,7252.3,7330.2,7296.2,7342.6,7396.4,7411,7382.3,7414.3,7443.6,7501.3,7522.1,7532.8,7589.5,7597.2,7619.2,7668.8,7723.3,7820.9,7803.7,7812.3,7868.5,7885.3,7975.3,7998.3,8056.7,8079.9,8180.2,8144.7,8213,8227,8295.3,8353.3,8389,8437.7,8444.6,8489.5,8508.6,8592.9,8569.8,8669.6,8763.5,8774.5,8835.2,8877.6,8878.9,8924.6,8990.5,9035.3,9053.1,9123,9165.3,9197.4,9276.9,9290.8,9283.3,9317.2,9330.6,9423.1,9478.7,9535.2,9560.6,9614,9665.1,9693.3,9731,9766.3,9799.7,9817.1,9919.6,9941.4,9984.6,9982.7,10039.7,10073.5,10144.2,10196.4,10187.1,10170.9,10132.4,10029.8,9973.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2","Durable goods","B003RC1",512.9,499.4,496.9,518,527.1,523.8,533.7,526.8,535.2,544,549.4,553.5,555.1,568.4,568.6,582.2,564.2,575.6,577.5,587,588.8,604.3,609.9,605.1,598.4,588.8,602.9,588.8,600.7,618.7,606.7,621.5,627.2,614.6,626.5,644.5,622.4,639.4,646.5,655.5,656,645.3,649,657.9,659.8,665.2,668.9,664.9,680.4,679.2,688.6,674.9,667.4,679.1,692.8,710,697.3,701.7,717.6,722.7,708.8,713.2,713.8,728.7,749,741.6,738.8,754.6,771.3,788.8,786.3,807.4,774.9,788.8,791.9,805.4,819.5,830.6,828.8,833.5,836,826.1,828.2,848,866,886.8,877.9,854.1,858.6,849.8,848.6,855.9,879.5,864.8,858.4,859.6,859.8,883.8,872.6,852.2,862,880,867.4,882.3,845.6,975.5,932.3,890.8,909.3,924.1,912.3,939.7,899.7,917.3,944.9,959.1,916.4,905.2,912.4,946.9,924.9,897.5,912,933.3,935.7,943,954.1,984.3,954.9,950.1,966.6,955.7,959.6,968.3,980.8,972.1,997.6,954.8,985.5,972.9,1002.4,996.9,997.1,1018.2,1001.5,1005.2,1013,1044,1002.6,1053.4,1092.5,1026.8,996.9,984.7,1005.9,1022.8,1051,1039.9,1048.6,1054.5,1042.8,1049.9,1061.2,1048.6,1053.5,1050.8,1053.8,1070,1073.2,1075.6,1081,1077.6,1098.3,1080.1,1075.1,1091,1092.6,1090.3,1084.8,1074,1072.5,1075.4,1065.3,1063.2,1065.5,1049.1,1016.6,1033.7,998.4,955.6,955.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3","Nondurable goods","B004RC1",1363.6,1364.2,1358.3,1368.9,1379.3,1374.5,1380.6,1381.9,1390.4,1391.8,1399.1,1399.8,1392.7,1411.6,1420,1421.4,1420.1,1433.5,1440.1,1454.1,1455.2,1463.3,1461.5,1472.7,1477.1,1460.1,1468.7,1473.3,1483.5,1488.5,1488.8,1486.3,1497.4,1488.6,1498.2,1510.3,1506.9,1518.4,1535.1,1549.3,1551.6,1556.1,1558.5,1560.3,1565,1581.4,1587.8,1596,1595.8,1607.2,1612.9,1603.4,1597.5,1608.7,1621.4,1629.1,1635.1,1634.5,1642,1640,1649,1650.2,1656.9,1662,1669,1683,1686.3,1694.3,1692.9,1707.6,1721.3,1730.2,1739.7,1750.2,1755.8,1783.2,1796.1,1788.3,1793.1,1813.2,1831.3,1844.5,1854.5,1907.9,1863,1883.7,1936,1933.3,1935.2,1946.4,1960.9,1954.5,1982.1,1985.2,1985.9,2000.4,2008.8,2005.2,1986.1,2008,2027.2,2014.6,2025.7,2028,2018.9,2033.7,2019.7,2029.2,2037.6,2044,2053.1,2083.8,2067.1,2085.8,2085.6,2084.1,2085.5,2100.9,2111.4,2116.9,2135.2,2156.9,2184.9,2154.7,2139.7,2171.9,2188,2230.2,2232.3,2220.7,2235.7,2232.2,2272.5,2267.8,2312.3,2298.4,2342.8,2341.9,2347.3,2347.6,2365.7,2407.9,2410.6,2409.5,2419.2,2447.2,2431,2478.2,2458.2,2473.2,2501.2,2553.9,2609.2,2634.3,2584,2580,2636.2,2629.2,2622.5,2670.8,2684.6,2689.1,2726.6,2744.7,2707.7,2686.9,2683.1,2741.3,2743.8,2751,2789.5,2791.7,2826,2835.5,2854.6,2829.8,2855.3,2860.8,2924.1,2933.8,2946.9,2935.1,2970.2,2990.4,3025.4,3063,3068.4,3042.4,3022.9,2939.2,2875.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","4","Services","B005RC1",2494.9,2521.4,2526.2,2535.5,2544.4,2568.4,2579.4,2595.5,2608.4,2618.9,2627.4,2640.6,2660.7,2675.7,2678.9,2686.7,2704,2720.8,2727.8,2748.1,2757.3,2768.6,2775.1,2783,2793.8,2818.6,2828.9,2842.1,2861.8,2882.6,2887.1,2910.2,2907.9,2921.3,2941.2,2954,2968.6,2987.4,3003.5,3014.8,3027.2,3040.2,3056.2,3069.3,3083.5,3093.5,3108.7,3131.8,3143.6,3167.5,3171.1,3195.1,3209.4,3218.3,3250.7,3257.6,3275.2,3303,3306.5,3331.3,3340.8,3373.2,3394.2,3398.2,3424.9,3446.2,3462.3,3479.9,3492,3498.8,3510.8,3527.1,3552.9,3560.7,3590.4,3613.8,3629.6,3645.3,3675.5,3691.8,3708.5,3726.1,3750.5,3775.4,3809.1,3847.9,3871.3,3876.8,3894.1,3915.8,3936.3,3956.3,3977.7,3996.3,4015.9,4048.6,4069.5,4080.1,4101.4,4118.3,4139.9,4150.4,4171,4188.3,4148.1,4212.9,4225.3,4245.9,4249.7,4273.9,4286.9,4306.7,4329.5,4339.5,4365.9,4367.7,4380.4,4408.3,4419.8,4437.5,4462,4478.3,4492.7,4509.1,4543.9,4553.9,4581.2,4606.4,4616.5,4641.5,4666.2,4697.4,4743.1,4762.1,4763.5,4809.4,4839.8,4848.1,4880.3,4906.4,4927.2,4948.4,4981.4,5010,5024,5037.2,5064.6,5070.7,5109,5143,5169.8,5193.8,5229,5258.7,5289,5321.9,5303.3,5366.2,5381.9,5397.7,5437.9,5458.4,5489.1,5497.4,5522,5579.5,5593.7,5611.8,5661.7,5708.6,5690.1,5744.6,5740.8,5777.8,5801.2,5845.5,5851.8,5866,5910.7,5933.7,5965.3,5972.2,6004.2,6019.9,6053.3,6084.2,6102,6094.8,6111.2,6135,6142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
