"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 28, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/27/2006 8:44:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Gross domestic product","B191RG3",11.943,11.48,10.334,9.15,8.91,9.351,9.534,9.644,9.998,9.81,9.688,9.771,10.405,11.255,11.885,12.165,12.478,13.934,15.488,16.372,16.364,16.493,17.626,18.009,18.24,18.434,18.709,19.36,20.039,20.512,20.754,21.044,21.281,21.572,21.801,22.134,22.538,23.18,23.897,24.916,26.153,27.538,28.916,30.171,31.854,34.721,38.007,40.202,42.758,45.762,49.553,54.062,59.128,62.738,65.214,67.664,69.724,71.269,73.204,75.706,78.569,81.614,84.457,86.402,88.39,90.265,92.115,93.859,95.415,96.475,97.868,100,102.402,104.193,106.409,109.429,112.744
"9","2","Personal consumption expenditures","B002RG3",11.7,11.203,9.997,8.808,8.492,8.884,9.097,9.185,9.52,9.305,9.217,9.293,9.864,11.082,12.094,12.78,13.291,14.247,15.702,16.599,16.474,16.675,17.805,18.169,18.416,18.585,18.676,19.059,19.639,20.117,20.432,20.767,20.985,21.232,21.479,21.786,22.103,22.662,23.237,24.151,25.255,26.448,27.574,28.528,30.081,33.191,35.955,37.948,40.41,43.248,47.059,52.078,56.72,59.859,62.436,64.795,66.936,68.569,70.947,73.755,76.972,80.498,83.419,85.824,87.804,89.654,91.577,93.547,95.124,95.978,97.575,100,102.094,103.542,105.597,108.373,111.493
"10","3","  Durable goods","B003RG3",25.781,24.249,21.706,19.232,18.656,19.668,19.557,19.68,20.484,20.547,20.338,20.527,22.002,25.646,27.907,31.267,32.954,34.312,37.244,39.134,39.608,39.828,42.471,42.874,42.531,41.596,41.439,42.453,44.082,44.921,45.662,45.444,45.551,45.755,45.915,46.142,45.721,45.517,46.228,47.749,49.067,50.148,51.975,52.531,53.301,56.676,61.844,65.278,68.129,72.038,76.83,83.277,88.879,92.358,94.181,95.55,96.62,97.685,100.465,101.921,103.717,104.561,106.08,106.756,107.84,109.978,110.672,109.507,107.068,104.152,101.626,100,98.114,95.766,92.366,90.845,90.198
