"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","  Equals: Net fixed investment","A560RC1",6.2,2.5,-0.8,-3.3,-3.4,-2.4,-1.2,0.6,1.9,-0.2,1.3,3.1,4.8,-1.6,-3.4,-1.9,1.3,12.8,19.5,23.6,19.1,26.3,25.1,23.8,26.3,26.3,33,33.7,32.4,25.5,33.7,34.1,32.6,38,42.3,48.9,57.1,61.2,57.2,64.7,72.8,68.7,80.4,100.8,119.2,107.6,86,109.3,152.9,200.2,230.4,203.3,219.3,175.7,200.5,282.8,301.6,300.9,293.3,306,317.7,286,217.9,248.6,306.1,372.6,408.3,466.1,527.9,605.5,673.5,730.8,648.6,540.9,577.4,702.8,831.5,875.8,799.5,634.6
"17","10","    Nonresidential","A008RC1",11,8.6,5.3,2.9,2.5,3.3,4.3,5.8,7.5,5.5,6.1,7.7,9.7,6.3,5.4,7.4,10.6,17.3,23.5,26.8,24.9,27.8,31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1640.2,1693.6
"18","11","    Less: Consumption of fixed capital","A753RC1",7.2,7,6.5,5.7,5.4,5.5,5.5,5.6,6.2,6.3,6.3,6.5,7.2,8.2,8.2,8.4,8.6,9.6,12.7,15,16.4,17.6,20.2,21.4,22.6,23.6,24.8,27.7,30.3,32.2,33.4,33.6,34.4,35.5,37,38.9,41.8,45.6,49.9,54.8,60.4,66.6,72.9,79.3,88.5,103.7,123.3,135.9,152.6,173,199.6,231,266.4,295.6,306.3,320.7,342.6,364.1,384.2,411.5,438.7,465,486.8,498.1,518.9,547.3,583.8,616.6,655.9,700.3,756.3,825,878.4,911.7,939.8,983.6,1051.1,1129.3,1196.5,1264.5
"19","12","    Equals: Net nonresidential","A593RC1",3.8,1.7,-1.2,-2.9,-2.8,-2.1,-1.2,0.2,1.3,-0.8,-0.2,1.2,2.5,-1.9,-2.7,-1,2,7.7,10.8,11.8,8.5,10.1,11.6,10.5,12.5,11.1,14.2,16.9,17.2,10.4,13.1,15.7,14.4,17.6,19,24.1,33,39.7,36.4,38.7,44.2,42.4,41.2,49.5,64.8,65.7,50.4,56.5,76.2,107.6,134.3,131.4,153.6,130.9,110.9,168.9,183.6,155.8,139.9,152.3,169,157.4,111.4,114,147.6,184.1,226.3,258.8,312.7,360.8,398.6,443.7,349.5,213.7,195.8,239.5,296.2,376,443.7,429.1
"20","13","      Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,535.4,609.5
"21","14","      Less: Consumption of fixed capital","B188RC1",2.6,2.5,2.3,2,2,2,2.1,2.1,2.4,2.4,2.3,2.4,2.6,2.9,3.1,3.1,3.3,3.7,4.5,5.2,5.3,5.4,6.2,6.6,6.9,7,7.4,8.3,8.9,9.1,9.4,9.7,9.9,10.2,10.5,11,11.6,12.5,13.4,14.5,16,17.5,19.4,21.4,24.6,29.1,33.7,36.2,40.4,45.8,52.9,59.9,71.7,81.2,81.1,83.8,88.6,91.8,93.2,99.8,105.7,111.3,115.6,116.1,120.1,124.9,131.5,136.5,144.6,154.7,161.4,170.9,184.8,196.8,205.5,220.4,248.9,282.8,301.7,324.8
"22","15","      Equals: Net structures","A594RC1",2.9,2,0.3,-0.6,-0.9,-0.8,-0.7,-0.2,0.3,-0.2,-0.1,0.2,0.7,-0.7,-1.3,-0.8,0.1,3.7,3.6,4.4,3.9,4.6,5.8,5.7,6.7,6.9,7.8,9.9,10,8.5,8.7,9.9,9.9,10.6,10.7,12.8,16.7,18.8,18.1,19,21.7,22.8,23.3,25.8,30.4,32.1,27.7,29.8,34.1,47.8,64.8,76.3,95.6,96.4,73.3,93.6,106,84.7,81.1,83,88,91.6,68,56.5,57.1,61.9,75.8,88.1,105.6,120.4,122.5,147.3,144.9,86,76.3,86.2,102.9,150.9,233.6,284.7
"23","16","      Equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1104.8,1084.1
"24","17","      Less: Consumption of fixed capital","B189RC1",4.6,4.5,4.2,3.7,3.4,3.4,3.4,3.4,3.8,4,3.9,4.1,4.6,5.3,5.1,5.3,5.4,6,8.2,9.8,11.2,12.2,14,14.9,15.7,16.6,17.5,19.4,21.3,23.1,24,24,24.5,25.3,26.4,27.9,30.1,33.1,36.6,40.2,44.5,49.1,53.5,57.9,63.9,74.6,89.6,99.7,112.1,127.2,146.7,171.1,194.7,214.4,225.2,236.9,254,272.2,291,311.7,333.1,353.8,371.2,382.1,398.9,422.4,452.3,480.1,511.3,545.6,594.9,654.2,693.6,715,734.3,763.1,802.2,846.5,894.7,939.7
"25","18","      Equals: Net equipment and software","A747RC1",0.9,-0.3,-1.5,-2.2,-1.9,-1.3,-0.6,0.4,1,-0.6,-0.1,1,1.8,-1.2,-1.4,-0.3,1.9,4,7.1,7.4,4.6,5.6,5.9,4.8,5.8,4.2,6.4,7,7.2,1.8,4.4,5.8,4.6,7,8.4,11.3,16.3,20.9,18.3,19.6,22.5,19.6,17.9,23.8,34.4,33.6,22.8,26.7,42,59.7,69.5,55.2,58,34.5,37.6,75.3,77.6,71.1,58.9,69.3,81,65.8,43.4,57.5,90.6,122.2,150.5,170.7,207.1,240.4,276,296.4,204.5,127.7,119.5,153.2,193.3,225.1,210.1,144.4
"26","19","    Residential","A011RC1",4,2.4,1.8,0.8,0.6,0.9,1.3,1.7,2.1,2.1,3,3.5,4.1,2.2,1.4,1.4,1.7,7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,302.1,302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,629,477.2
"27","20","    Less: Consumption of fixed capital","A754RC1",1.6,1.6,1.4,1.1,1.1,1.2,1.2,1.3,1.5,1.5,1.5,1.6,1.8,2,2.1,2.3,2.4,2.7,3.4,3.9,4.1,4.4,5,5.3,5.6,5.8,6.2,6.7,7,7.2,7.6,7.9,8.3,8.6,8.9,9.4,10.1,10.8,11.6,12.7,14.1,15.1,16.6,18.4,21,24.1,27.1,29.6,33.6,39,44.9,51.3,56.9,60.8,63.2,66.7,70.2,75,80.3,85.7,90.9,95.4,98.7,101.8,107.5,113.6,120.9,126.8,133.8,141.3,150.9,161.8,173.2,182.3,196.1,217.3,239.7,262.1,273.1,271.7
"28","21","    Equals: Net residential","A748RC1",2.4,0.8,0.4,-0.4,-0.5,-0.3,0.1,0.4,0.6,0.6,1.5,1.9,2.3,0.3,-0.7,-0.9,-0.7,5.1,8.7,11.8,10.6,16.1,13.4,13.3,13.8,15.2,18.8,16.9,15.2,15.1,20.5,18.3,18.1,20.4,23.2,24.9,24.1,21.4,20.7,26.1,28.6,26.3,39.2,51.2,54.4,41.9,35.6,52.8,76.7,92.6,96.1,71.9,65.7,44.8,89.6,113.9,118,145.1,153.4,153.6,148.6,128.6,106.5,134.6,158.5,188.5,182,207.3,215.2,244.7,274.9,287.2,299.2,327.2,381.5,463.3,535.3,499.8,355.9,205.5
"29","22","  Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,19.4,-34.8
"30","23","Gross government investment \1\","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3
"31","24","Less: Consumption of fixed capital","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9
"32","25","Equals: Net government investment","A889RC1",1.9,2.2,2.1,1.3,1,1.6,1.7,2.9,2.5,2.8,3.1,2.8,8.8,25,32.8,27.8,14,-7.3,-6,-2.6,1,1.9,9,12.8,13.6,11.4,9.2,10.1,10.8,12.6,14.8,13.3,15.8,16.8,16.2,16.6,16.7,19.8,21.6,20.6,18.6,17,13.5,13.2,15.5,20.4,23.2,23.8,21.9,27.6,34,38.5,36.8,35.2,41.3,52.5,66.1,73.8,77.7,72.2,75.8,85,81.4,78.7,67.8,62.7,67.8,75.1,78.3,83.9,100.2,106.8,117.4,132.5,137.7,140.5,141.5,155.8,171.1,185.4
"33","26","          Federal","A890RC1",0,0.1,0.1,0.2,0.4,0.7,0.9,0.9,0.9,0.8,0.7,1.2,7.7,24.9,33.5,28.5,14.6,-7.3,-7,-4.5,-2.2,-1.8,4.6,8.2,8.5,5.1,2.3,2.4,2.1,3.1,5.2,3.8,5.4,6,4,3.3,2.1,3.6,3.8,1.3,-0.4,-1.2,-4.8,-4.6,-3.4,-1.6,-0.2,1.2,1.7,2.6,4.7,6.3,8.1,9.9,15.7,19.8,26.4,28.9,30.7,20.8,19.7,20.8,16.2,14.2,5.9,-2.2,-3.1,-1.5,-9.1,-6.4,-3.4,-7.7,-7.1,1,5.4,8.4,10,14.1,15.3,28.4
"34","27","            National defense","B891RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,0.1,0.1,0.1,0.6,6.7,24.3,33,28.4,14.4,-7.2,-7.2,-5,-3,-2.8,3.7,7.3,7.8,4.6,2.1,2,1.5,2.2,4.3,2.6,3.8,4,1.6,0.3,-1.2,0.3,1.5,-0.5,-1.8,-2.5,-6.3,-6.3,-5.2,-3.6,-2.7,-1.8,-1.7,-2.1,0.1,0.8,2.7,5.6,10.2,13.9,20.1,22.8,23.4,15.4,13.7,13.7,8.1,4.4,-3.9,-8,-9.9,-9.6,-15,-13.9,-11.8,-11.5,-9.5,-3.5,1.1,4.8,5.5,7.8,9.8,21
"35","28","            Nondefense","B892RC1",0.1,0.2,0.2,0.3,0.5,0.7,1,0.8,0.7,0.7,0.6,0.6,1,0.6,0.5,0,0.2,-0.1,0.2,0.4,0.8,1,0.9,0.9,0.7,0.5,0.2,0.4,0.6,0.9,0.9,1.2,1.6,2,2.4,3,3.3,3.3,2.4,1.8,1.4,1.3,1.5,1.7,1.8,2.1,2.5,2.9,3.3,4.7,4.6,5.5,5.5,4.3,5.5,5.9,6.3,6.1,7.2,5.3,5.9,7.1,8.1,9.8,9.8,5.8,6.9,8.1,5.9,7.5,8.4,3.8,2.5,4.4,4.3,3.6,4.5,6.3,5.4,7.4
"36","29","          State and local","A893RC1",1.9,2.2,1.9,1.1,0.6,0.9,0.8,2,1.6,2,2.3,1.7,1,0.1,-0.6,-0.7,-0.6,0.1,1,1.9,3.2,3.7,4.4,4.6,5.1,6.3,7,7.7,8.7,9.5,9.7,9.5,10.4,10.9,12.2,13.2,14.6,16.2,17.8,19.3,19,18.2,18.3,17.8,18.9,22,23.4,22.6,20.2,25,29.3,32.2,28.7,25.3,25.5,32.6,39.7,45,47,51.5,56.2,64.2,65.2,64.5,61.9,64.9,70.8,76.5,87.4,90.3,103.6,114.5,124.5,131.5,132.3,132,131.4,141.6,155.8,157
"37","30","  Structures","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6,160.2,175.8,189.6,205.8,221.6,229.4,236.4,246.5,267.5,298.8,315.5
"38","31","  Less: Consumption of fixed capital","A894RC1",0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.3,1.7,2,2,2,2.3,2.7,3,3,2.9,3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.7,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2,11.4,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.5,40.3,41.2,42.7,45,47.6,49.9,52.1,54.8,56.8,58.4,61.2,64.2,68.2,71.5,75.8,79.5,83.9,89.5,94.6,99.4,104,112.4,125.5,137.7,152,163.5
"39","32","  Equals: Net structures","A895RC1",1.8,2.2,2.1,1.3,1,1.4,1.5,2.8,2.3,2.6,2.9,2.6,5,10.5,5,1.3,0.5,-0.6,0.3,1.6,3.3,4.1,6.1,7.4,7.8,8.2,7.9,8.8,9.9,11.3,11.5,11.1,12.3,12.6,13.5,14.3,15.6,17.3,18,19.4,18.8,17.7,18.5,17.7,18.8,21.2,23.1,22.6,20.8,26.3,29.6,32.8,29.7,25.5,25.4,31.3,38.4,44,47.9,49.1,49.8,57.8,60.2,61.3,59.9,60.5,66.6,72.9,79.7,80.7,91.9,100.1,111.2,122.3,125.4,124.1,121,129.8,146.8,152
"40","33","            Federal","A896RC1",0,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.8,0.7,0.6,1,3.9,10.3,5.6,1.9,1.1,-0.7,-0.6,-0.1,0.3,0.5,1.8,3,2.9,2.1,1.2,1.3,1.6,2.1,2.1,2,2.3,2.1,1.9,1.7,1.7,1.8,1,0.7,0.6,0.3,1,0.9,1.1,0.8,1.1,1.2,1.5,2.5,1.8,2.6,2.6,2,2.6,2.8,4,4.9,6.3,3.5,2,2.5,1.8,3.3,3.8,2.8,3.7,3.2,0.6,0.7,-0.3,-3.4,-4.1,-2.1,-0.8,-3.2,-5.3,-4.6,-1.9,0.4
"41","34","              National defense","B897RC1",0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.5,3.4,10,5.3,1.9,1.1,-0.4,-0.7,-0.5,-0.5,-0.4,1,2.2,2.2,1.6,0.9,0.8,0.9,1.2,1.1,0.8,0.9,0.5,0.1,-0.3,-0.4,-0.3,-0.5,-0.5,-0.4,-0.7,-0.4,-0.6,-0.7,-1.1,-1.2,-1.5,-1.5,-1.5,-2,-1.7,-2,-1.3,-0.5,-0.6,0.5,0.9,1.5,1,-0.3,-0.8,-2.4,-2,-2.2,-2,-1.4,-2,-2.3,-2.8,-3.5,-3.8,-4.1,-3.8,-2.5,-3.2,-3.8,-4,-2.3,-0.1
