"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","  Wage and salary accruals","A4102C1",119.7,121.5,123.4,127.8,131.3,133.1,138,139.4,136.9,134.6,133.8,133.4,137,142.8,150.7,158.2,165.5,170.8,173.8,176.2,181.2,182.4,185.7,193.3,196.9,200.1,200.3,198.7,196.5,196,196.4,200.4,204.2,210.4,214.7,219.5,223.4,227.6,230,235.5,238.3,239.7,241.9,240.2,237.5,237,242.6,248.5,254.1,260.6,261,264,270.9,273.6,274.1,273.5,273.9,277.8,282.4,288.5,293.4,298.8,301.3,304.3,308,312.4,316.9,322.3,328.3,334.9,341.5,346.7,352.8,358.9,366.2,377.1,385.7,395.9,406.1,413.5,418.8,423.6,432,441.6,454.2,465.9,478.3,489.4,499,511.4,526.4,536.4,545.1,549,555.7,556.3,570.1,580.2,588.7,599,618,630.5,642.4,664.3,683.4,700.1,716.2,735.4,748.2,765.3,783.1,792.5,792,800.4,821.3,845.8,871.3,889.4,908.5,930,950.1,981,1007.6,1038.2,1064.3,1106.1,1137.2,1175.1,1208.4,1234.1,1268.3,1302.8,1335,1351.1,1376.7,1431.3,1469.2,1496.4,1528.9,1551.7,1567.4,1581.1,1596.3,1606,1623.2,1655.3,1692,1740.3,1785.4,1828.4,1866.9,1899.7,1934,1963.5,1996.3,2037.3,2065.5,2083.7,2113.4,2153.9,2195.3,2231.6,2271.8,2331.8,2368.1,2423.1,2463.4,2508,2543.1,2564.5,2592.9,2636.9,2689,2738.1,2771,2775.9,2778.3,2803.9,2829.3,2857.4,2906.4,2945.8,2979,3011.8,3037.7,3070.7,3103.6,3133.5,3190.1,3233.4,3266.7,3319.6,3381,3415.7,3458.7,3498.5,3533.3,3598.2,3654.3,3710.6,3778.3,3836.7,3904.9,3992.2,4079.6,4149.7,4220.8,4291.9,4380.6,4423.1,4484.8,4593.2,4759.7,4786.7,4878.8,4904.3,4993.2,4966.6,4937.6,4932.2,4969,5008.8,5011.7,5022,5066.8,5129.1,5190.2,5255.1,5281.8,5369.9,5474.9,5540.8,5590.5,5658,5764.9,5836.2,5965.4,6025.1,6082,6234.5,6325.4,6379.3,6419.7,6514.6,6540.3,6546.5,6574.9,6531,6335,6320.2,6256.2,6274.3
"12","4","    Disbursements","W269RC1",119.7,121.5,123.4,127.8,131.2,133,138.2,139.4,136.8,134.9,133.8,133.4,137,142.8,150.7,158.1,165.3,170.9,173,176.8,181,182.3,186,193.3,197,200.2,200.4,198.8,196.5,196,196.4,200.4,204.1,209.9,215.3,219.5,223.4,227.6,230,235.5,238.3,239.7,241.9,240.2,236.8,236.3,243.9,248.5,254.1,260.6,261,264,270.9,273.6,274.1,273.5,273.9,277.8,282.4,288.5,293.4,298.8,301.3,304.3,308,312.4,316.9,322.3,328.3,334.9,341.3,346.9,352.8,358.9,366.2,377.1,385.7,395.9,406.1,413.5,418.8,423.6,432,441.6,454.2,465.9,478.3,489.4,499,511.4,526.4,536.4,542.6,551.2,556.1,556.3,570.1,580.1,588.1,597.5,619.4,630.9,642.6,662.2,683.3,700.4,716.2,735.4,748.2,765.9,784.6,792.5,791.9,800.3,821.2,845.7,871.2,889.3,908.4,929.9,950,980.9,1007.5,1038.1,1064.2,1106,1136.7,1174.7,1208.3,1235,1268.4,1302.6,1335.1,1351.1,1376.2,1431.8,1469.2,1496.4,1528.6,1551.7,1567.5,1581.1,1596.2,1606,1623.3,1656.5,1692.4,1740.3,1785.2,1828.2,1867,1899.2,1933.9,1964.5,1996.3,2037.3,2065.5,2083.7,2113.4,2153.9,2195.3,2231.6,2271.5,2332,2368.1,2423.1,2463.4,2508,2543.1,2564.5,2592.9,2636.9,2689,2738.1,2770.9,2775.8,2778.1,2804.3,2829.3,2857.4,2906.4,2945.8,2979,3074.8,2965.6,3068.8,3101.6,3183.6,3133.7,3228.7,3262,3315,3364.6,3399.4,3442.3,3482.2,3529.7,3594.6,3650.6,3707,3781.3,3839.6,3907.9,3995.2,4080.3,4150.4,4221.5,4292.6,4375.4,4417.9,4479.6,4588,4759.7,4786.7,4878.8,4904.3,4993.2,4966.6,4937.6,4932.2,4969,5008.8,5011.7,5022,5055.4,5115.4,5165.2,5245.1,5285.4,5391.3,5499.9,5550.8,5590.5,5658,5764.9,5816.2,5985.4,6025.1,6082,6209.5,6350.4,6379.3,6419.7,6514.6,6540.3,6546.5,6574.9,6551,6315,6320.2,6256.2,6274.3
"13","5","      To persons","W270RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062.7,2081,2110.8,2151.3,2192.7,2229.1,2269.4,2329.9,2366.2,2421.2,2461.7,2506.1,2541,2562.3,2590.6,2634.2,2685.7,2734.7,2767.5,2772,2774.5,2800.3,2825.2,2852.9,2901.7,2941,2974.3,3070,2960.7,3063.7,3096.5,3178.2,3128,3222.7,3256.1,3308.9,3358.4,3393.1,3436.1,3475.8,3523.6,3588.3,3644.3,3700.3,3774.8,3833,3901.1,3988.2,4073.5,4143.5,4214.4,4285.2,4367.6,4410,4471.6,4579.9,4752.2,4779.2,4871.5,4896.6,4985.1,4958.6,4929.5,4924,4960.7,5000.2,5003.5,5013.6,5046.8,5107.2,5156.7,5236.4,5276.6,5382.4,5491,5541.4,5581.4,5648.8,5755.4,5806.8,5976,6015.7,6072.6,6199.8,6340.6,6369.2,6409.6,6504.2,6529.9,6536.2,6564.6,6540.5,6304.8,6310.2,6246.2,NA
"14","6","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,2.6,2.7,2.6,2.5,2.2,2.1,1.9,1.9,1.7,1.9,2.1,2.2,2.3,2.6,3.3,3.4,3.5,3.8,3.6,3.9,4.1,4.5,4.7,4.8,4.7,4.9,4.8,5.1,5.1,5.5,5.8,6,6,6.1,6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,7.8,7.9,8,8.1,7.5,7.5,7.4,7.7,8,8,8.1,8.2,8.4,8.5,8.2,8.4,8.6,8.3,8.5,8.7,8.7,8.9,8.9,9.4,9.1,9.2,9.5,9.4,9.4,9.4,9.4,9.8,9.7,10.1,10.1,10.4,10.4,10.3,10.3,10.5,10.2,10,10,NA
"15","7","    Wage accruals less disbursements","A062RC1",0,0,0,0,0.1,0.1,-0.2,0.1,0.1,-0.3,0,0,0,0,0,0.1,0.2,-0.1,0.8,-0.6,0.1,0.1,-0.3,0,0,-0.1,-0.1,-0.1,0,0,0,0,0.1,0.5,-0.6,0,0,0,0,0,0,0,0,0,0.6,0.6,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-2.1,-0.4,0,0,0.2,0.6,1.5,-1.4,-0.4,-0.2,2.1,0,-0.3,0,0,0,-0.6,-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.1,-0.9,-0.1,0.2,-0.2,0,0.5,-0.5,0,0,0.3,0,-0.1,0,0,0,0,-1.3,-0.4,0,0.2,0.2,0,0.6,0.1,-1,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.4,0,0,0,0,0,-63,72.1,1.9,1.9,-50.2,56.4,4.7,4.7,4.7,16.4,16.4,16.4,16.4,3.6,3.6,3.6,3.6,-2.9,-2.9,-2.9,-2.9,-0.7,-0.7,-0.7,-0.7,5.2,5.2,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,11.4,13.6,25,10,-3.5,-21.5,-25,-10,0,0,0,20,-20,0,0,25,-25,0,0,0,0,0,0,-20,20,0,0,0
"16","8","  Supplements to wages and salaries","A038RC1",7.5,7.2,6.6,6.5,6.5,6.4,6.4,6.4,7.1,7.2,7.1,7,7.5,7.8,8.2,8.6,9.4,9.7,9.9,10.2,10.3,10.4,10.6,10.8,11.1,11.3,11.2,11.3,11.7,11.7,11.9,12.2,12.9,13.3,13.9,14.1,14.8,15.1,15.8,16.2,17.1,17.4,17.8,18.1,17.9,17.9,18.3,18.8,20.5,21.1,21.4,21.6,23.3,23.5,23.7,23.8,24.2,24.6,24.9,25.4,27.2,27.6,28,28.4,29.5,30,30.6,31.3,31.8,32.5,33.3,34,34.5,35.2,36.1,37.2,40.9,41.9,42.8,43.7,44.4,45.4,46.6,48.1,50.3,51.7,53.1,54.4,56.8,58.4,60.1,61.8,63.5,65.1,66.4,67.6,71.4,73.4,75.3,77.3,83.2,85.3,87.3,89.7,98.3,100.7,103.7,107.1,112.5,116.1,120,123.3,127.6,131.4,136.4,141.9,151.1,156.8,162.4,168.1,177,183.5,189.4,195.6,205.5,212,217.7,224.3,235.1,241.2,248.1,255.5,264.1,270.3,276.9,285.3,299.8,305.7,311.3,316.4,324.6,330.2,334.8,338.9,349.7,355.4,360.6,366.4,390.8,397.5,404.1,409.7,419.9,426,431.8,439.1,446.4,451.5,457.4,465.9,470.8,476.1,482.1,488.5,501.9,510.1,518.3,527.2,536.5,544.5,552.8,559.3,572.2,581.5,589.8,596.7,609,618.2,628.8,639.4,657.7,669.9,680.5,686.5,697.6,709.8,719.5,729.3,740.7,749.3,753.7,756.5,758.5,759.7,761.8,763.1,766.1,770.1,773.2,776.1,780.5,785.6,794.8,807.1,823.2,836.8,849.2,860.1,870.9,880,892.5,911.6,937,949.5,971.5,986.6,1005.8,1018.5,1033.3,1050.8,1074.9,1098.4,1122.6,1158.3,1194.9,1222.9,1241,1253.2,1263.9,1272.8,1287.4,1306.8,1336.9,1351.9,1370.1,1377.4,1394.8,1401.3,1408.7,1422.6,1438.6,1447.5,1457.1,1472.1,1484.5,1493.5,1501.4,1506.8,1498,1502.8,1502.3,1506.7
"17","9","Taxes on production and imports","W056RC1",17.7,17.7,18,19,19,19.7,20,20.3,20.4,20.8,21.3,21.2,21.6,22.5,24.4,23.4,25.1,24.1,24.5,25.3,26.1,26.9,27.3,28.1,28.7,29.2,29.3,29.2,28.7,28.8,28.7,29.3,30.2,31.2,31.9,32.5,33,33.6,34.6,35.7,36.1,36.6,37,36.7,36.8,37.3,37.8,38.9,39.8,40.3,41.7,42.4,43.7,44.3,44.9,45.3,45.8,46.5,47.3,48.4,49.4,49.9,50.9,51.3,52,52.9,53.9,54.7,55.7,56.7,57.9,58.8,60.2,60.3,60.5,61.8,61.4,62.8,63.7,64.9,65.6,66.8,68.7,70.6,73.4,75.4,77.7,79.1,80.6,82.9,85.2,86.7,88.5,90.5,92.5,94.1,97.7,98.9,101.7,103.7,104.6,106.8,108.9,111.5,114.6,116.2,118.4,119.7,120.8,124.1,127.1,127.7,128.8,133,138.2,141.1,141.7,144.9,147.7,151.3,154.8,158,161.5,164.3,166.9,173.1,169.7,173.9,176.4,178.5,180.9,184.6,189.5,196.9,204.3,210.6,230.8,235.5,237.5,238.8,237.4,238.3,241.8,246.3,250.7,261.2,267.5,273.7,281.6,287.7,292.2,297.5,301,305.7,311.9,313.9,317.5,319.5,326.2,330.4,336,344.4,352.4,357.4,365.1,372.6,377.6,382.5,391.1,397.4,403.8,403.2,419.4,419.5,426.9,434.2,444.3,451.6,461.2,471.3,476.2,481.1,485.9,490.3,489.8,497.9,505,519.8,531.9,544.2,550.2,554.7,554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745.2,756.9,772.1,777,787.9,799.5,813,826.9,843.5,855.7,867.9,886.5,905.6,925.1,939.6,950.3,971.5,983.3,991.6,1000.7,1015.3,1025.2,1032.2,1042.3,1042.5,1050.8,1058.5,1037.3,1018.8,1019.6,1023.1,1031
"18","10","Less: Subsidies \1\","A107RC1",0.3,0.2,0.2,0.1,0.2,0.1,0.4,0.6,0.3,0.2,0.3,0.2,0.4,0.6,0.5,0.8,0.9,0.8,0.6,0.7,0.5,0.4,0.4,0.3,0.3,0.1,0.3,-0.2,-0.3,0.3,-0.1,-0.3,-0.2,-0.1,-0.4,-0.2,-0.1,0.2,0.5,0.8,0.9,0.8,0.6,0.5,0.6,0.8,1,1.2,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.6,3.9,4.1,4.2,4,3.9,3.7,3.7,4,4.2,4.2,4.2,4.3,4.5,4.7,4.7,4.7,4.8,4.7,4.8,4.8,4.8,4.5,4.6,6.1,6.2,7.2,7.1,5.9,5.7,4.7,4.6,3.6,2.9,3.2,3.6,4.2,4.3,4.6,4.9,5.1,4.8,5.1,5.5,5.8,5.9,6.4,10.3,8.7,8.4,8.3,10.4,8.4,8.8,8.1,8.9,9.2,9.6,10.1,10.3,10.6,10.7,11.1,13.5,14,13.6,13,19.4,19.9,21.6,22.2,21.5,21.2,21,20.9,21.2,21.1,21,21.3,22,23.1,24.2,25.5,26.8,28.3,30.4,31.3,31.1,30.4,29.8,29.2,28.6,28,27.4,27.1,27.3,27.1,26.9,26.9,27,27.1,27.2,27.5,28.1,28.6,29.2,30.4,32.2,35.5,37.6,37.7,36,33.6,32.4,31.9,32.2,34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,44.9,57.1,47,47.3,44.8,43.6,44.9,52.2,56.9,61,62.1,63.7,55.6,51.4,49.8,48.7,49.2,58.3,56,55.4,53.1,52.9,52.9,55.2,55.5,54.9,67.7,60.3
"19","11","Net operating surplus","W271RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.9,133.7,128.4,129.7,133.7,130.7,130.3,128.7,129.3,134.7,138.4,144.6,147.8,147.7,149.7,152.6,153.7,157.7,160.3,163.6,168.4,170,172.6,173.9,183.8,187.6,190.7,196.7,204.7,202.1,201.5,204.5,203.6,203.5,206.6,209.5,212.6,218.2,220.5,223,226.5,226.6,226.6,222.2,214.1,218,223.3,221.8,234.8,240.6,245.4,252.5,260.1,264.1,278.5,298.7,302.6,305.6,309.1,323.6,312.6,309.7,314.9,319.1,324.2,339,365.9,375,390.1,388.6,393.7,396.9,407.6,436.8,458.4,473.2,467.2,511.1,521.7,535.1,540.1,542.3,544.9,558.3,556.7,523.2,548,614.4,628.3,633.9,684.9,664.5,650.4,674.3,674.4,677.5,708.9,739.4,771.2,805,865.5,906.7,925.8,944.6,966.1,966.4,978.2,973.2,994.2,994.9,996.7,997.9,1019.2,1060.5,1104.8,1128,1155.4,1177.2,1211.5,1251.7,1277.2,1269.8,1275.6,1259.6,1280.8,1316.4,1304.4,1292.7,1309.2,1316.6,1321.6,1321.8,1368.9,1394.2,1391.6,1446.5,1439.9,1483.9,1472.5,1550.3,1570.7,1610.4,1669.6,1717,1719.6,1739.7,1797.6,1824.4,1884,1946.3,1971.9,2033.8,2082.6,2103.7,2170.6,2182,2166,2205.7,2263.2,2274.5,2314.9,2331,2344.8,2379.8,2428.6,2463.6,2459.4,2428,2475.4,2513.1,2505.2,2425.5,2507.2,2523.5,2505.6,2550.1,2557.7,2597.5,2636.6,2710,2826.2,2904.1,2959.7,3015.2,3136.6,3186.3,3240.6,3380.3,3481.4,3532,3598.6,3546.9,3459.9,3551.3,3490.9,3477.6,3476.3,3497.6,3538.3,3307,3312.7,3337.9,3424.3,NA
"20","12","  Private enterprises","W260RC1",66.3,65.4,67.1,70.2,75,81.2,81.4,81.8,76.1,73.3,74.3,71.5,76.8,81.4,88.5,92.8,94.8,95.5,96.6,99,95.3,94.8,96.6,99,100.7,99.5,98.4,91.5,95.4,96.5,99.1,102.8,109.4,112,113,114.1,112.6,113.2,113.5,115.4,117.3,117.2,118,114.4,111.9,113.4,117.5,123.4,126,132.7,127.4,128.7,132.7,129.7,129.4,127.8,128.5,134,137.6,143.6,146.8,146.8,148.8,151.6,152.5,156.4,158.9,162.1,167.1,168.6,171.4,172.4,182.4,186.1,189.4,195.5,203.5,201,200.7,203.5,202.6,202.4,205.6,208.7,211.4,217,219.3,221.9,225.5,225.7,225.5,221,213.6,218.3,223.4,222.1,235.3,240.6,245.7,252.6,260.1,263.7,278,297.7,302.5,305.9,309.6,324.5,313.3,309.9,316,320.9,327,342,369.5,378.6,391.7,390.4,395.5,398.8,409.9,439.3,461.4,476.2,470.2,513.6,523.3,536.8,542.2,544.9,548.1,562,560.8,527.8,553.5,620.6,634.9,638.9,691.5,668.8,654.6,678.5,679.6,681.8,712.6,742.6,774.7,807.3,867.6,908.6,927.9,946.1,966.7,965.5,977.2,972.2,993.2,993.9,995.9,997.1,1018.7,1060.3,1104.9,1128,1156.1,1173.9,1208,1247.6,1272.7,1264.8,1270.5,1254.5,1277.9,1314.9,1303.2,1292,1305.9,1310.7,1315.4,1314.5,1361.2,1386,1382.6,1438.3,1432.3,1474.6,1463.7,1541.3,1561,1600.6,1660,1707.6,1706.4,1726.7,1784.6,1811.1,1870.1,1932.3,1957.3,2018.9,2068.6,2089,2156.6,2168.2,2153.1,2192.2,2249.4,2261.5,2299.8,2316.3,2330.6,2367.5,2416.1,2452.6,2451.7,2422.6,2471.1,2510.1,2497.3,2424.5,2502.9,2519.2,2496.5,2542.5,2548.3,2589.6,2630.2,2705.8,2822.5,2902.2,2959.4,3016,3138.4,3189.4,3245.1,3384.9,3483.9,3535.9,3603.2,3552.9,3468.3,3558.2,3495.8,3483.6,3481.9,3503.9,3545.2,3315.9,3323.4,3346.7,3430.6,NA
"21","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",2.2,2.4,2.5,2.5,2.4,2.5,2.5,2.5,2.6,2.7,2.8,2.9,3.1,3,3.1,3.2,3.4,3.4,3.6,3.7,3.8,3.9,4,4.1,4.4,4.5,4.7,4.8,5,5.3,5.5,5.8,5.9,6,6.1,6.2,6.4,6.6,6.9,7.3,7.6,7.8,8.1,8.4,8.9,9.3,9.6,9.7,8.6,9.6,9.7,10,10.2,10.2,10.5,10.9,11.3,11.8,12.3,13,12.8,13.6,14.2,14.6,14.2,14.4,14.9,15.3,16,16.6,17.3,17.8,18.4,18.8,19.4,19.7,20.5,21.3,22.3,23.3,24.2,24.9,25.2,25.5,26,26.5,26.6,27.5,30.5,32.4,34.5,35.5,36.9,38.9,41.2,42.4,43.2,44,44.6,44.8,45.9,47.5,49.9,52.3,53.1,55.2,59.3,62.4,66.5,70.8,74.1,79.4,83.2,82.4,83.5,83.7,82.7,85.1,85.8,87.2,88.8,97,103.9,109.6,111.6,114.7,116.8,121.8,128.6,136,143.6,157.8,173.5,177.8,180.5,200.2,200.5,218.7,245.6,250.9,261.8,270.8,267.3,268.1,273.5,273,287,298.9,300.6,320.4,340.3,347.2,352.1,352.4,346.2,360.6,381.3,389.1,389.7,388.5,387.7,390.3,397.2,407.4,405.8,407.1,421,438.4,465.9,474.5,479.5,476.2,479.9,485.3,484.9,484.2,472.9,466.6,462.2,446.4,441.1,431.9,423.3,418.4,423.3,409.9,398.2,396.7,393.9,403.5,419.4,431.7,424.2,416.2,414.3,415.3,412.4,430.2,443.3,463.1,473.3,479.4,490.3,506,537.4,559.7,573,570.8,555.1,560.5,571.8,592.1,627.6,643.2,652.7,646.4,655.7,663.9,658.7,649.5,631.3,613.1,598,595.9,603.4,599.3,592.9,586.4,564.4,565.7,566.5,580.6,630.4,658.7,697.3,729.4,768.8,827.7,844.1,879.6,902,939.2,980.9,1034.3,1024.7,1039.9,1035.2,1072.5,1034.8,986,954.3,NA
"22","14","    Business current transfer payments (net)","B029RC1",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.2,1.1,1,1,1,1,1.2,1.3,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2.1,2.2,2.2,2.3,2.3,2.6,2.6,2.7,2.8,2.9,2.9,3.3,3.4,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.4,4.6,4.9,5,5,5,4.8,4.6,4.4,4.3,4.3,4.3,4.3,4.4,4.7,4.8,5,5.2,5.7,6.1,5.9,6.1,6.6,6.9,7.3,7.7,8.7,9.5,9.7,9.8,9.9,9.8,9.4,8.9,8.5,8.2,8.4,8.7,9.8,10.5,11.2,11.8,12.8,13.2,13.6,13.7,13.9,14.1,14.5,16.5,17.2,17.4,18.2,18.8,20,20.6,20.8,21,21.2,21.8,22.8,24.6,27.7,29.8,31.3,32.4,33.4,39.3,33.9,34.2,43,35.4,34.1,34.8,34.8,35.1,33.2,33.1,31.9,32.5,34,36,38.2,38.6,40,39.9,40.2,39.9,39.8,40.5,40.8,39.7,39.5,39.7,39.6,39.3,39.8,44,41.2,40.4,39.8,40.5,41.9,40.9,42.4,42.4,44.7,45.7,46.8,46.2,48.1,49.2,49.9,67.8,48.4,48.6,54.5,53.7,60.3,61.4,63.8,75.3,66.3,67.2,69.1,73.2,80.8,84.6,88.9,93.5,99.9,102.8,102.6,99.8,90.3,84.2,79.4,75.6,77.3,75.8,75.8,75.7,77.8,80,79,89.9,96.5,99.6,95.2,92.3,82.8,79.3,83.6,86.1,97.8,99,105,107,114.8,112.6,116,131.8,137.9,145.4,124.8,128.1
"23","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",36.6,32.3,33.8,35.2,36,40.4,40.9,39.6,35.4,34.8,34.2,34.2,35.6,36.3,38.7,39.4,42,42.4,42.6,43.5,41.8,43.1,44.8,42.6,43,42.3,41.5,41.3,42.6,42,42.3,42.2,43.4,44.5,44.7,44.5,44.9,45.5,46.2,46.9,46.9,47.8,48.7,47.9,50.3,50.4,50.1,50,50.2,50.4,50.2,50.6,50,50.8,50.9,51.1,52.4,52.6,53.3,54.5,55.3,55.1,55.1,55.7,56,55.9,56.4,57.8,58.1,59,59.6,60.7,62.2,63.4,64.2,65.9,69.4,67.5,67.7,68.4,69.1,68.9,71,70.4,72.1,73.4,75.3,76,76.3,77.6,78.2,78,77.6,77.1,79.2,79.9,81.1,83.7,85.3,88.6,88.7,92.2,96.5,106.7,105.9,111.7,114.4,122.5,116.2,109.3,113.3,115.1,113.5,115.5,122.5,126.9,127.6,130,133.8,137.5,140.5,141.9,143.6,158,158.4,168.1,171.3,172.2,179.2,179.3,182.5,183.5,168.5,162.2,175.8,187.3,190.1,177.9,184.2,174.2,167.6,173,174.4,184.2,188,188.2,188.4,198,224.2,234.9,237.1,236,248.2,244.6,244.6,246.9,249.5,257.2,271.5,272.1,282.7,289.7,297.2,307.4,327.5,333.8,343,335.1,357,348.4,347.8,353.2,360.6,364.3,369.2,366.6,357.8,365.2,367.7,378.4,396.4,410.4,420.9,431.9,435.8,450.1,447,465.5,476.7,481.8,485.8,496.1,500.4,506.3,520,537.4,560.2,586.5,588.6,599.4,619.6,619.4,632.8,641.1,663.6,677,692.9,716.6,729.6,738.9,750.6,768.1,783.7,819.4,826.7,840.1,867.4,871.6,878.1,865.8,880.5,884.2,893.3,903.2,889.6,919.1,945.8,968.1,1002.1,1029.8,1040.1,1063.1,1046.8,1054,1082.6,1095.8,1126.9,1133.2,1131.2,1140.6,1094.2,1096,1093.2,1102.1,1115.2,1111.9,1114.4,1083.6,1037.8,1028,1037.9,1061.6
