"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 26, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2010 8:55:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,"2009"
"8","1","    Gross saving","A929RC1",19.3,15,8.3,3.3,3.3,6.4,9.6,11.5,16.2,11.7,13.6,18.5,29.9,39.8,44.9,39.9,29.8,38.4,46.6,58,45.6,60.6,75.1,74.2,75.1,73.4,88,99.4,99.6,90.8,106.1,111.3,114.3,124.9,133.2,143.4,158.5,168.7,170.6,182,198.4,192.8,209.2,237.3,292.2,301.8,296.9,342,396.7,476.3,533.2,542.7,646.1,621.5,602.4,753.4,738.4,709.3,782.3,901.5,924.1,917.6,951.3,932.3,958.4,1094.7,1219,1344.4,1525.7,1654.4,1708,1800.1,1695.7,1560.9,1552.8,1724.2,1903.4,2174.4,2040.2,1824.1,"....."
"9","2","Net saving","W201RC1",9.7,5.6,-0.5,-4.4,-4.1,-1.4,1.8,3.4,7.2,2.5,4.3,8.8,18.8,26.1,28.4,20.4,8.7,15.3,19.9,29.6,16.4,30.7,41.3,37.9,36.5,32.8,45.2,52.3,48.8,37.5,50.7,54.7,56.1,64.3,69.8,77,87.7,92.3,87.6,91.6,99.3,84.5,91.5,110.1,151.4,138.1,106.5,133.8,164.9,214.9,234.3,198.6,252.7,187.9,151.3,279,232.9,170.8,211.2,290.5,272.7,226.4,227,187.9,180.4,275.5,349.6,431.8,561.9,633.9,613.6,615.8,439.4,255.9,198.7,291.4,362,513.7,280.2,-23,"....."
"10","3","  Net private saving","W202RC1",7.1,4,0.7,-3.7,-3.6,-0.4,2.6,4.3,5,1.9,4.4,7.1,14.7,33.3,41,45.6,36,18.8,13.2,24.7,20.6,23.8,29,31.2,31.2,31.2,36,40.4,41.3,40.1,43.6,43.3,49.3,56.7,58.8,69.7,78,82.3,89.9,86.6,82.7,92.9,113.7,119.4,147.5,143.3,174.6,180.1,197.9,225.2,235.3,246.5,301.9,325.4,322.6,426.5,389.2,344.7,348.5,411.7,386.5,396.7,451.2,491.8,461.6,487.7,546.6,557.1,585.7,553.4,473,389.4,414.9,562.8,613.9,679.2,619.1,666.5,495,659.8,"....."
