"","Table 1#2C# Real Gross Domestic Product, Chained (1972) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"13","  Services","5","B005CX1C",213.9,217.2,219.1,221.9,223,225.5,230,233.2,236.7,240.2,243.5,246.9,249.2,252.8,256.2,260.6,263.1,266.3,268.6,272.3,275.7,279,283,285.3,288.5,293.6,297.5,301.3,304.3,307.5,310.4,314.6,317.7,319.6,323.6,325.8,328.7,332,334.9,340.1,345.5,349.3,353.7,360.7,364.2,368.2,370.6,372.7,373.1,376.2,377.7,380.9,383.5,388.5,391.1,396,401.7,404.8,409.7,416.5,420.1,422.5,428.9,433.6,439.8,446.1,449,451.1,456.9,460.2,461.4,465.4,467,463.7,468.9,474.8,471.7,476.2,477,477.5,478.9,480.7,484,491.3
"14","Gross private domestic investment","6","A006CX1C",117.5,116.4,118.5,114.5,120.6,122.6,126.7,128.1,133.4,132.8,136,137,151,150.8,156.1,156.8,169.8,166.9,165.4,166.6,162.5,154.8,158.7,161.9,165.9,172.7,167.2,169.1,180,178.6,182.4,173,167.4,168,170.7,161,181.9,187.4,189.8,183.7,196.4,208.3,211.9,213.9,227.5,236.3,228.4,235.2,221.4,220.7,207.8,209.1,172.3,166.9,181.6,186.1,204.6,214,214.5,216.4,227.7,242.8,256.4,251,255.1,271.3,278.6,285.3,285.2,285.1,279.9,274.4,272.1,247.5,229.3,253.2,277.7,265.1,280.6,271,242.7,241.5,238.4,218.3
"15","  Fixed investment","7","A007CX1C",107.1,110.3,111.2,110.8,112,117.1,120.2,124,128.8,128.4,130.5,131.3,137.3,141.2,145,148.3,153.9,151.8,151.7,147.1,143.6,147.4,148.8,153.4,157.1,156.2,158.5,162.5,167.5,168.3,171.1,166.8,166.1,162.5,165.3,165.5,169.3,176.2,179.5,184.2,192.5,195.9,198.1,207.4,216.2,217.9,217.3,215,210,206.9,203.3,191.7,180.1,177.5,181.9,185.4,193,196.3,198.3,208.5,216.1,228.2,230.9,235.2,236.9,253.4,260,265.2,267.6,265.8,270.8,268.1,265,241.2,243.8,254,255.9,256.9,256.9,256.1,248.6,239.6,232.4,233.3
"16","    Nonresidential","8","A008CX1C",67,69,69.9,69.5,69.3,71.5,73.7,76.1,78,80,82.7,84.3,90,93.4,96.9,101.1,105.6,107.1,108.4,108,105.7,105.4,104.9,107,110.4,108.4,109.9,113.2,116.4,117.7,120.9,120.2,119.4,118.8,119.4,115,116.1,117.7,118.1,120.5,124.6,126.6,128.7,135.4,141.8,147.5,149.9,151,150.9,150.5,148.8,144.6,135.8,132.2,133.4,134.7,137.1,138.7,141.8,144.6,150.2,154.7,157.6,163,164.3,177.5,183.2,188.8,193.3,193,199.3,199.8,202.2,191.8,193.4,197.5,200.6,204.4,209.4,214.6,209.8,201.9,195.1,191.3
"17","      Structures","9","B009CX1C",31.1,32.3,33.1,32.3,31.2,32.6,32.9,33.5,34.4,35.6,36.8,37,38.9,41.6,42.1,44,45.1,44.2,45.2,43.6,44.1,42.8,43.3,43.4,44.2,43.8,43.5,44.4,45.1,45.5,47.6,47.3,46.9,46.5,46.6,46.1,46,45.9,45.7,45.6,46.8,47,47.1,47.8,49.4,50.9,52.1,51.6,51.4,51.2,48.9,48.3,45.9,44.1,44.4,44.5,45.7,45.5,46,46.1,46,47.7,48.4,48.8,48.2,52.5,55.3,57.3,57.3,58.3,61.3,63.3,64.5,62.9,63.4,65.3,65.1,67.6,69.2,74.5,72.1,69.7,65.9,64.6
"18","      Equipment and software","10","B010CX1C",36.9,37.8,38,38.3,38.9,39.8,41.6,43.3,44.4,45.3,46.8,48.1,51.8,52.8,55.7,57.9,61.2,63.3,63.7,64.7,62.2,62.9,62,64,66.4,64.9,66.5,68.8,71.3,72.2,73.4,73,72.6,72.5,72.8,69.1,70.2,71.9,72.5,75,77.8,79.6,81.6,87.6,92.4,96.6,97.9,99.5,99.7,99.5,100.2,96.5,90.1,88.3,89.2,90.5,91.7,93.5,96.1,98.9,104.9,107.6,109.9,115.1,117,126,128.7,132.2,137.1,135.5,138.7,136.8,138,128.7,129.8,131.9,135.5,136.6,139.9,138.7,136.5,131,128.5,126
"19","    Residential","11","A011CX1C",40.8,42,42,41.9,43.5,46.6,47.4,48.9,51.9,49.3,48.5,47.6,47.7,48.1,48.3,47.3,48.3,44.5,43,38.5,37.3,41.6,43.7,46.2,46.5,47.7,48.5,49.1,50.9,50.4,49.9,46.3,46.4,43.3,45.6,50.4,53.1,58.5,61.3,63.7,68,69.3,69.5,71.9,74.4,70.6,67.6,64.4,59.6,57,55.2,47.9,44.9,45.9,49.1,51.3,56.5,58.1,57.2,64.4,66.4,74,73.8,72.8,73.2,76.6,77.7,77.5,75.7,74.3,73.4,70.5,65.5,52.9,53.9,59.6,58.5,56.3,51.8,46.6,43.9,42.5,42,46
"20","  Change in private inventories","12","A014CX1C",10.8,6.8,7.9,4.6,9.3,6.4,7.4,5.2,5.4,5.2,6.3,6.3,14.6,10.7,12.1,9.5,16.4,15.5,14.1,19.8,19.5,8.6,11,9.8,9.6,17.3,9.4,7.3,13.2,10.9,11.7,6.4,1.3,5.4,5.1,-5.1,13.6,12.3,11.3,-0.3,3.7,12.6,13.8,6.2,9.7,17.5,9.3,18.3,9,12.5,3.6,13.3,-5.9,-9.4,-0.1,0.8,10.7,16.8,15.8,6.8,10.5,13.5,24.3,14.5,16.5,16,16.9,18.5,14.8,16,6.2,3.1,3.3,2.7,-17.5,-4.6,18.8,6.3,21,12.2,-8.6,-0.9,3.4,-18
"21","Net exports of goods and services","13","A019CX1C",1.3,2.9,2.4,0.7,1.6,4,3.5,5.4,7.6,6.5,6.8,6.7,2.7,4.6,3.6,4.7,2.9,1.5,-0.7,-0.5,-0.4,-0.7,-1.8,-3.3,-5.2,-5.2,-5.4,-6.1,-6.1,-6.5,-6.4,-4.6,-3.1,-2.4,-2.3,-2.4,-2.2,-7.1,-5.2,-7.5,-10.2,-8.5,-7.1,-6.2,-3.3,2.4,5.2,8,13.4,13.3,10.1,13.2,20.6,22.4,18.7,19.7,14.9,12.5,11.8,10.2,4.7,6.4,8.5,3.9,0.1,9.9,9.7,12.6,13,12.6,18.1,22.9,26.6,36.2,42.4,37,35.5,36,34.3,32.7,30.1,32.5,22.7,21.2
"22","  Exports","14","A020CX1C",34.4,36.7,36.6,35.3,35.4,38.7,39,40.7,43,42.6,43.9,44.8,39.4,45.7,44.8,48,47.3,47,47.3,48.1,48.8,48.3,47.8,49,50.1,51,54.1,52.9,47.4,57.5,56.8,57.8,59.2,61.1,61,61.9,61.4,61.3,64.7,57.6,64.5,63.5,66.3,70.6,77,80.4,81.1,84.4,87.3,91,86.5,88.8,88.7,85,86.5,91.1,90.8,91.7,94.2,95.3,93.9,96.4,97.2,93.9,96.1,106.2,107.3,111.6,111.6,111.8,115.7,122.6,126.5,128.8,128.3,127.6,129.9,130.6,127.8,128.8,123.6,124.4,118.8,113.6
"23","    Goods","15","A253CX1C",27,28.8,28.9,27.4,27.4,30.3,30.8,32.3,33.7,33.7,34.6,35.3,30.1,35.8,34.7,37.6,37.2,36.5,36.6,37.4,37.3,37.2,36.7,37.3,38.5,39.1,41.8,40.8,35.3,44.7,43.6,45,45.9,47,47.1,47.7,46.9,46.8,50.1,43.4,50.4,49.2,52.1,55.5,60.6,63.6,63.5,67.1,68.3,71.1,67.2,68.3,68,64.8,66.1,69.6,68.8,69.7,71.1,71.7,70.3,72.1,72.8,69.8,70.8,80.6,81.1,84.4,84.5,85.1,89,95.8,98.8,100.6,98.8,98.4,99.3,99.1,96.2,97.8,92,93.1,88.4,83.4
"24","    Services","16","A646CX1C",7.3,7.9,7.7,8,8,8.3,8.1,8.4,9.2,8.9,9.2,9.4,9.3,9.8,10.2,10.3,10.1,10.5,10.7,10.7,11.6,11.1,11.2,11.7,11.6,11.9,12.3,12.2,12.1,12.7,13.2,12.7,13.2,14.1,13.9,14.1,14.5,14.5,14.6,14.3,14.1,14.3,14.3,15.1,16.5,16.8,17.6,17.1,19,19.9,19.5,20.8,21,20.7,20.8,22,22.6,22.5,23.9,24.4,24.5,25.2,25.2,25.1,26.5,26.4,27,28,28,27.5,27.2,27,27.8,28.5,30,29.7,31.3,32.3,32.7,32,32.7,32.5,31.6,31.3
"25","  Imports","17","A021CX1C",33.1,33.8,34.2,34.6,33.8,34.6,35.5,35.4,35.4,36.2,37.1,38.1,36.8,41.1,41.3,43.3,44.4,45.5,48.1,48.6,49.3,49,49.6,52.2,55.3,56.1,59.5,59,53.4,64,63.2,62.5,62.3,63.5,63.3,64.3,63.6,68.4,69.9,65.1,74.6,72,73.5,76.8,80.3,78,75.9,76.4,73.8,77.8,76.4,75.6,68,62.6,67.8,71.4,75.9,79.2,82.4,85.1,89.2,90,88.7,90,96,96.3,97.6,98.9,98.6,99.2,97.7,99.8,99.9,92.6,85.9,90.6,94.4,94.6,93.5,96.2,93.5,91.9,96.2,92.4
"26","    Goods","18","A255CX1C",22,22.6,23,23,22.7,23.5,24.1,24,23.8,24.7,25.6,26.4,25.2,29.2,29.5,30.9,31.7,32.2,34.3,34.7,34.7,33.8,34.1,37.3,40.2,41.2,44,43.3,37.7,47.8,46.8,45.6,45.7,46.1,45.9,47.2,47,51.5,53.3,48.6,57.1,54.4,56.8,59.4,62.5,60.9,60,60.4,57.5,60.9,59.8,58.8,51.9,47.5,52.4,55.4,59.3,62.3,65,67.4,71,71.5,70.7,71.7,76.7,77,77.9,78.9,78.7,79.2,77.9,79.9,80,73.6,67.5,71.3,74.3,74.3,73.6,76,73.2,71.1,75.2,71.3
"27","    Services","19","B656CX1C",11.1,11.1,11.1,11.6,11.1,11.1,11.4,11.3,11.5,11.5,11.5,11.7,11.5,11.9,11.8,12.3,12.6,13.3,13.7,13.9,14.5,15.1,15.5,14.9,15.1,14.9,15.5,15.7,15.7,16.2,16.3,16.8,16.5,17.4,17.4,17.1,16.6,16.8,16.5,16.5,17.5,17.5,16.7,17.4,17.8,17.1,15.9,16,16.4,16.9,16.5,17,16.5,15.6,15.6,16.2,16.6,16.8,17.2,17.6,17.8,18.1,17.7,18,18.9,18.9,19.3,19.6,19.5,19.5,19.4,19.4,19.3,18.8,18.6,19.3,20.2,20.3,19.9,20.1,20.5,21.3,21.2,21.8
"28","Government consumption expenditures and gross investment","20","A822CX1C",213.5,216,218.7,219.7,218.4,219.7,226.1,224.1,225.3,228.2,226.2,226.1,226,230.7,236.3,241.3,245.7,253.2,256.8,262.2,273.2,272,273.6,276,280.9,282.2,282.9,283.5,282.5,282.2,281.7,278.4,276.4,273.7,274.8,274.5,271.2,270.2,269.2,268.5,271.8,272.2,267.9,268.4,270,269.1,265.3,268.2,271.6,273.9,272.8,273.8,277.7,277,278,280.2,281.2,278.5,277.2,277.1,279,282,282.2,281.8,282.4,289.9,292.3,295.1,292.4,295.3,295.9,298.4,302.8,303.7,299.8,299.3,303.3,304.1,303.4,305.5,305.1,306.9,309,314.1
"29","  Federal","21","A823CX1C",124.9,126.7,128.3,128.3,125.2,125.7,129.5,126.2,125.9,126.5,123.4,122.3,121.1,123.1,125.7,129.1,132.1,138.8,141.1,143.4,153.2,151.3,152.4,152.6,155.2,154.2,153.1,152.7,150.8,149.5,148.7,145.7,142.2,138.7,136.6,135.4,131.3,129.3,127.9,125.3,128.1,129,123.5,121.9,122.8,121.6,116.2,117.3,118.8,119.2,118.4,119.4,118.9,119.3,118.6,119,117.7,117.6,117.3,117.6,118.2,120.1,120.5,119.8,120.2,123,123.5,124.6,124.7,126,125.9,126.5,130.1,133.4,131.8,132.1,134.8,138.9,138.8,139.6,139.8,141.2,143.5,147.6
"30","    National defense","22","A824CX1C",104.5,104.7,104.2,103.7,101.6,102.1,102.7,100.3,99.1,98.7,96.3,94.9,93.3,94.5,95.4,98.9,102.6,107.9,111.5,115.4,122.3,122.6,124.5,123.7,126.7,126.7,124.5,124,121.6,120.1,119,117.5,113.8,109.6,107.8,106.7,102.9,99.1,96.3,95.1,96.2,96.5,91.3,89.9,90.4,89.5,84,85.6,85.5,87.3,84.1,84.2,84.4,84.6,84,83.9,82.5,82.6,82.5,82.2,82.8,84,83.8,81.8,82.3,83.9,84.2,84.6,84.9,86.3,86.2,87.1,89.2,89.4,89.7,90.7,92.4,95.2,96,97.2,98.4,101.3,103.3,106.1
"31","    Nondefense","23","A825CX1C",20.7,22.3,24.4,24.9,24,23.9,27.1,26.2,27,28,27.4,27.6,28,28.8,30.4,30.4,29.8,31.1,29.9,28.3,31.2,29,28.4,29.3,29,27.9,29,29.1,29.5,29.8,30,28.5,28.7,29.4,29,29,28.5,30.3,31.5,30.3,32,32.5,32.2,32,32.3,32.1,32.2,31.7,33.4,31.9,34.4,35.3,34.5,34.8,34.7,35.2,35.3,35.1,34.9,35.5,35.5,36.2,36.9,38.2,38.1,39.2,39.4,40.2,40,39.8,39.9,39.5,41,44.3,42.3,41.5,42.6,43.8,42.8,42.5,41.4,39.7,40,41.3
"32","  State and local","24","A829CX1C",89.3,89.9,91.1,92.1,93.8,94.7,97.2,98.6,100,102.3,103.5,104.6,105.6,108.2,111.3,112.9,114.3,115.2,116.5,119.5,120.9,121.6,122.1,124.2,126.5,128.9,130.6,131.6,132.4,133.4,133.6,133.3,134.6,135.4,138.5,139.3,140,141,141.3,143.1,143.7,143.2,144.4,146.5,147.2,147.5,149,150.8,152.8,154.6,154.3,154.3,158.7,157.5,159.3,161,163.3,160.7,159.7,159.3,160.7,161.7,161.5,161.8,162,166.8,168.7,170.3,167.6,169.2,169.8,171.7,172.5,170.3,167.9,167.2,168.5,165.3,164.7,166,165.4,165.8,165.7,166.7
"33","Residual","25","A960CX1C",-7.8,-8.4,-8.7,-8.7,-7.5,-7.5,-7.8,-7.5,-6.4,-6.1,-5.2,-5.1,-3.8,-4.2,-4,-3.5,-2.6,-3.3,-3.5,-3.2,-5.6,-5.6,-6.2,-6.3,-5.2,-5,-4,-4.2,-3.9,-3,-2.7,-2.2,-1.8,-1.3,-0.9,-1.1,-1.9,-1.9,-1.2,-0.5,0,-0.3,-0.1,0.3,1.3,0.6,2,2.4,4.3,2.3,0.7,5.3,2.2,4.5,3.3,2.6,1.8,1.1,-0.9,-1,-3.6,-2.9,-1.9,-3.7,-5.1,-2.8,-2.4,-2.1,-1.5,-0.6,0.2,1.4,2,7.1,9.8,8.4,6,4.5,5.3,5,3.6,5.3,1.3,3.2
"34","  Note.  Chained (1972) dollar series are calculated as the product of the chain-type quantity index and the 1972 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","  Percent changes from preceding period for selected items in this table are shown in table 8.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","contributions to the percent change in real gross domestic product are shown in table 8.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","  Chain-type quantity indexes for the series in this table are shown in table 7.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
