"","Table 6#2A# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"39","        Printing and publishing","32","B4032C0A",1243,1248,1071,843,722,813,872,958,1076,1026,1037,1044,1119,1134,1225,1353,1526,1983,2347,2607
"40","        Chemicals and allied products","33","B4033C0A",671,629,536,420,428,502,532,584,701,653,702,849,1150,1731,2118,2172,2210,2076,2396,2617
"41","        Petroleum and coal products","34","B4034C0A",248,248,200,166,156,181,204,219,265,272,280,326,388,477,576,705,773,823,979,1117
"42","        Rubber products","35","B4035C0A",283,224,169,133,142,178,184,213,243,194,236,258,351,414,575,670,662,781,869,850
"43","        Leather and leather products","36","B4036C0A",494,420,366,293,305,354,369,381,423,377,405,401,530,607,648,674,727,906,979,1010
"44","    Transportation and public utilities","37","A4037C0A",6362,5904,5059,3953,3627,3936,4192,4703,5287,4929,5220,5523,6326,7499,8980,10154,10797,12176,13316,14497
"45","      Transportation","38","A4038C0A",4813,4332,3622,2736,2537,2766,2961,3357,3762,3380,3644,3866,4520,5596,6956,7988,8387,9103,9750,10375
"46","        Railroad transportation","39","B4039C0A",3303,2926,2407,1752,1628,1782,1894,2154,2377,2100,2240,2373,2803,3532,4264,4713,4758,5135,5439,5817
"47","        Local and interurban passenger transit","40","B4040C0A",661,621,541,435,373,389,405,435,471,450,455,441,472,609,785,880,958,1210,1279,1249
"48","        Trucking and warehousing","41","B4041C0A",333,322,295,263,258,286,327,366,426,416,465,524,643,771,883,964,1052,1261,1467,1677
"49","        Water transportation","42","B4042C0A",215,195,168,137,144,154,162,198,238,180,224,240,274,314,487,760,902,701,632,668
"50","        Transportation by air","43","B4043C0A",5,9,13,14,14,14,17,22,28,31,36,45,57,80,118,135,160,249,288,310
"51","        Pipelines, except natural gas","44","B4044C0A",48,42,38,29,29,34,36,40,49,46,44,46,51,58,69,82,87,93,111,132
"52","        Transportation services","45","B4045C0A",248,217,160,106,91,107,120,142,173,157,180,197,220,232,350,454,470,454,534,522
"53","      Communication","46","A4046C0A",766,769,695,589,520,554,569,621,713,733,750,782,878,966,1093,1188,1349,1766,1991,2306
"54","        Telephone and telegraph","47","B4047C0A",756,754,674,565,499,529,542,587,668,684,695,720,807,890,1006,1083,1227,1619,1819,2098
"55","        Radio and television broadcasting","48","B4048C0A",10,15,21,24,21,25,27,34,45,49,55,62,71,76,87,105,122,147,172,208
"56","      Electric, gas, and sanitary services","49","B4049C0A",783,803,742,628,570,616,662,725,812,816,826,875,928,937,931,978,1061,1307,1575,1816
"57","        Utilities: electric and gas","50","B4093C0A",751,771,712,602,547,591,636,697,785,790,798,845,897,904,898,942,1021,1261,1523,NA
"58","        Local utilities and public services, n.e.c.","51","B4094C0A",32,32,30,26,23,25,26,28,27,26,28,30,31,33,33,36,40,46,52,NA
"59","    Wholesale trade","52","B4050C0A",3396,3219,2756,2151,1894,2191,2381,2596,2983,2999,3140,3357,3934,4181,4365,4754,5306,6905,8238,9147
"60","    Retail trade and automobile services","53","B4051C0A",5977,5546,4877,3804,3436,3967,4301,4744,5458,5340,5588,6016,6838,7166,7922,8670,9858,13315,15402,16910
"61","    Finance, insurance, and real estate","54","A4052C0A",2983,2802,2522,2141,1935,2027,2106,2307,2517,2453,2515,2592,2744,2855,3001,3149,3416,4294,4701,5260
"62","      Banking","55","B4053C0A",782,737,668,581,498,515,522,540,572,584,598,620,651,707,761,823,896,1078,1215,1331
"63","      Security and commodity brokers, and services","56","B4055C0A",407,320,267,235,245,234,206,251,259,196,179,169,157,130,153,165,226,284,235,243
"64","      Credit agencies (other than banks) and holding and other investment companies","57","B4054C0A",256,246,222,198,178,184,200,232,255,233,231,244,270,269,250,241,245,311,358,416
"65","      Insurance carriers","58","B4056C0A",821,828,777,647,578,603,645,689,757,768,796,819,870,909,940,967,1031,1295,1476,1669
"66","      Insurance agents, brokers, and service","59","B4057C0A",239,231,209,186,165,179,189,205,223,227,231,230,244,265,282,296,321,427,463,528
"67","      Real estate","60","B4058C0A",478,440,379,294,271,312,344,390,451,445,480,510,552,575,615,657,697,899,954,1073
"68","    Services","61","A4060C0A",5538,5277,4609,3758,3368,3688,3904,4310,4786,4646,4840,5149,5587,6392,7197,8116,8931,10500,11815,12682
"69","      Hotels and other lodging places","62","B4061C0A",427,409,343,258,219,272,289,318,363,368,376,402,430,459,541,631,695,835,905,948
"70","      Personal services","63","B4062C0A",755,730,646,526,459,500,529,584,652,634,638,712,799,925,1078,1182,1311,1634,1753,1822
"71","      Commercial and trade schools and employment agencies","64","B4095C0A",34,33,27,19,16,18,22,26,31,29,28,28,46,91,133,102,59,69,92,-4
"72","      Business services","65","B4063C0A",359,371,311,262,243,294,326,392,414,412,433,443,491,507,554,652,752,962,1105,1270
"73","      Miscellaneous repair services","66","B4065C0A",108,106,98,83,73,76,81,84,91,95,97,94,125,148,214,243,245,310,361,369
"74","      Motion pictures","67","B4066C0A",310,313,307,241,227,253,282,317,360,346,353,353,386,425,477,531,573,703,719,683
"75","      Amusement and recreation services","68","B4067C0A",323,299,256,191,161,176,180,205,239,216,230,246,270,281,291,337,384,524,566,611
"76","      Health services","69","B4068C0A",398,406,386,346,317,324,349,388,433,468,478,513,558,641,743,844,931,1135,1412,1532
"77","      Legal services","70","B4069C0A",124,131,132,126,118,116,121,126,135,138,142,144,151,150,149,159,169,184,209,228
"78","      Educational services, n.e.c.","71","B4070C0A",296,307,311,303,281,279,284,295,312,330,337,348,362,389,433,465,494,579,728,896
"79","      Membership organizations","72","A4071C0A",605,612,589,531,487,492,489,507,509,519,521,565,606,682,785,883,952,1166,1280,1464
"80","      Miscellaneous professional services","73","B4074C0A",81,75,55,36,34,37,40,51,57,65,75,80,123,214,199,197,221,275,334,495
"81","      Private households","74","B701RC0A",1718,1485,1148,836,733,851,912,1017,1190,1026,1132,1221,1240,1480,1600,1890,2145,2124,2351,2364
"82","  Government","75","A4076C0A",5121,5346,5457,5182,5357,6306,6762,8150,7816,8571,8573,8815,10552,16381,27091,33780,36947,24281,19608,20393
"83","    Federal","76","B4077C0A",1488,1529,1534,1456,1680,2269,2420,4274,3732,4250,4183,4288,5887,11612,22092,28502,31217,17680,11770,11232
"84","      General government","77","B568RC0A",907,945,952,912,1195,1729,1806,3612,3057,3552,3464,3542,5079,10694,20953,27314,29969,16188,10305,9556
"85","      Government enterprises","78","A4081C0A",581,584,582,544,485,540,614,662,675,698,719,746,808,918,1139,1188,1248,1490,1465,1676
"86","    State and local","79","B4082C0A",3633,3817,3923,3726,3677,4037,4342,3876,4084,4321,4390,4527,4665,4769,4999,5278,5730,6601,7838,9161
"87","      General government","80","B251RC0A",3456,3630,3737,3565,3531,3884,4178,3696,3889,4121,4185,4289,4388,4473,4663,4938,5370,6195,7338,8521
"88","      Government enterprises","81","B4086C0A",177,187,186,161,146,153,164,180,195,200,205,238,277,296,336,340,360,406,500,640
"89","Rest of the world","82","A4087C0A",1,1,1,1,1,1,1,1,1,1,2,3,6,10,-16,-51,-64,-40,69,86
"90","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","  Households and institutions","83","A193RC0A",2863,2652,2278,1871,1677,1802,1882,2044,2272,2152,2276,2435,2533,2918,3240,3719,4117,4492,5140,5603
"92","  Nonfarm business","84","C4091C0A",42595,38466,31896,24074,22554,26239,28738,32732,37767,34234,37239,40878,51578,65580,78729,83149,81582,90265,104496,115320
"93"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94"," 1. Included in anthracite mining (line 9).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95"," 2. Included in lumber and basic timber products (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96"," 3. Included with iron and steel and their products, including ordnance (line 19).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97"," 4. Included with educational services, n.e.c. (line 71).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
