"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"11","  Private industries","3","A736RC1B",198.9,206.2,209.9,210.7,202.4,197.2,196.8,193.4,202.4,213,227.4,238.4,246.1,250.2,252.7,257,256.9,256.5,261.1,270.9,275.9,277.6,276.4,268.4,269.7,269.5,272.2,280,289.9,297.1,301.9,308.1,309.9,315.4,318.3,325.5,330,331,333.7,328.7,321.6,322.1,331.6,343.9,353.4,365.6,360.5,364,374.6,373.4,372.2,369.5,369.6,378,385.6,396.9,401.8,407.2,411.7,416.4,420.2,427.4,433.9,441,450.1,457.7,466,472.3,486.9,496.5,505.8,522.1,539.3,546.1,554,563,566.1,569.1,579,589.5,604.6,620.9,633.3,647.1,659.6,671.1,682,687.6,686.6,694.7,705.3,703.3,730.4,745,756.8,773.4,798.1,815.8,839.7,876.3,908.4,927.9,950.8,982.2,985.8,1000.9,1025.5,1039.2,1042.3,1064.6,1115.5,1149,1194.7,1214.1,1240.4,1265.1,1308,1364.1,1413,1452.4,1485.8,1577.5,1621.8,1673.7,1720.2,1753.3,1793.1,1841,1888.3,1861.6,1905.1,2009.2,2072.6,2086.3,2169,2162.3,2157.4,2193,2200.9,2200.4,2227.8,2290.1,2356.8,2443.1,2546.8,2613.2,2665.3,2698.1,2744.5,2766.8,2815.4,2853.1,2894.2,2914.8,2943.7,2981.9,3062.6,3142.1,3229.3,3317.4
"12","    Agriculture, forestry, and fishing","4","B424RC1B",20.2,23.3,23.4,22.1,18,17.3,16.7,17.1,17.5,17.5,18.5,19.8,20.8,21,21.2,21.8,20,20.6,21.9,18.8,18.6,18.2,17.6,17.8,18.7,17.1,17.5,16.9,17,16.8,16.3,15.9,15.8,16.3,17.1,16.9,15.9,16.5,17.2,17.3,19.3,19.2,18.7,18.5,17.7,16.7,16.1,16.9,16.4,17.5,18.1,18.8,18.6,17.9,18.5,19.2,19,18.8,18.9,19.4,19.1,18.7,19,19.4,18,17.7,18.1,19.6,19.9,21,21.5,22.3,24.1,22.1,22.2,22.6,22.1,21.1,22,21.7,22.1,21.9,22.8,23.3,23,24.5,25.2,26.5,26.1,25.1,25.9,25.4,26.2,26.7,26.8,28.4,27.9,30.4,33.3,37.2,38.2,44.2,47.6,56.2,48,39.6,41.5,44.6,41.1,42.4,46.7,47.6,44.1,42.7,42,42.2,43.1,40.8,40.7,47.1,47.6,51.8,52.6,52.4,58.2,57.5,59.3,59.3,52.5,43.5,52.8,60.2,61.1,62.2,68.1,62.8,60.9,60.6,60.3,62.9,61.7,56.3,48.6,52.3,68.5,70.7,70.2,71.5,71.6,68.8,67,68.5,67.6,68,73.5,73.7,75.8,78.4,79.3,82.2
"13","    Mining","5","B734RC1B",5.2,5.2,5.7,5.6,5.3,4.8,4.2,3.9,4.3,5.3,5.7,5.8,5.7,5.7,5.8,5.8,5.9,5.2,5.3,5.6,5.5,5.5,5.6,5.4,5.3,5.2,5.2,5.4,5.6,5.8,5.9,6.3,6.5,6.7,6.5,6.6,6.6,6.7,6.6,6.3,6,5.5,5.7,5.8,5.7,5.7,5.2,5.3,5.5,5.7,5.7,5.7,5.5,5.5,5.7,5.8,5.6,5.5,5.3,5.4,5.6,5.9,6,5.9,6,6.1,5.9,6.1,6.1,6,6.1,6.1,6.2,6.1,6.4,6.3,6.4,6.4,6.5,6.5,6.8,7.3,7.3,7,7.1,7.2,7.4,7.5,7.7,8.1,8.5,9,8.8,8.5,8.5,7.8,9.3,9,9.2,9.7,10.6,10.3,11.4,12.6,14,16.4,18.4,18.1,20.9,20.5,20.6,21.5,22.1,20.8,21.1,22.2,23.2,26,26.2,25.2,21.4,28.8,28.7,31.2,29.5,31.9,34.7,36.4,40.2,44.2,46.9,51.7,49.9,46.7,54.5,55.8,54.1,53.6,48.6,44.6,41.4,39.3,39.8,40.7,42.9,45.7,44.6,42.2,41.4,39.1,40.1,39.9,36.5,30.7,26.5,20.1,22.1,27.8,30.6,33.9
"14","    Construction","6","B735RC1B",10.1,10.9,11.5,11.5,11.2,10.8,10.7,10.8,11.2,11.9,12.8,13.5,14.1,14.7,14.9,15.1,15.6,15.6,16,16.3,16.5,16.2,16.2,16.6,16.5,16.5,16.3,16.5,17,17.7,17.9,17.9,18.6,19.6,20.1,20.3,20.4,20.6,20.5,20.5,19.8,19.7,20,20.6,21.3,21.9,22,22.1,22.1,22.3,22.5,22.4,22.8,23,23.4,24,24.2,24.9,25.3,25.7,25.8,26.5,27.1,27.5,28.2,29,29.6,30.4,31.1,31.7,32.2,33.6,34.3,35.1,35.4,35.4,35.9,36.1,37.1,37.7,38.4,39.7,40.4,41.9,43.4,45,45.8,45.3,46.3,46.3,47.5,48.8,49.2,51.5,52.5,54,55.8,56.6,57.6,59.4,63.2,64.3,66,66.7,69.7,69.6,69.2,69.7,69.1,67.7,69.6,72.1,76.5,79.2,80.9,82.7,84.1,87.8,89.6,92.1,94.7,103.9,108.6,111.1,112.4,116.7,120.3,122.3,123.5,117.8,118.3,123.8,124.6,121.3,120.3,118.9,117.7,119.5,118.9,120.6,122.8,124.4,129.9,135.8,143.6,152.5,155.9,160,166.4,168.8,173.6,178.5,185.2,190.3,193.9,197.6,198.8,202.3,203.4,207
"15","    Manufacturing","7","A426RC1B",67.1,68,69.4,70.7,67.6,64.1,65.7,62.2,66.4,72.6,80.2,86.5,88.4,91,91.1,91.5,91.8,89.7,90.5,98.9,103.1,103.4,102,94,94.4,94.2,93.3,97.7,103.2,107.2,109.3,113,112.2,112.8,111.8,117,119.4,117.8,116.9,112.2,104.8,103.5,108.9,115.6,122.2,129.6,123.8,123.1,131.4,126.5,124.2,119.8,117.8,123.8,127.3,132.2,134.2,135.7,136.9,139.3,139.9,143.7,145.8,148.1,151.4,153.6,156.9,157.8,167.3,169.5,172.7,178.6,186.6,189.8,191.6,194.7,193.1,192.1,194.2,199.5,204.4,210.9,213.1,219.2,221.6,221.9,224.6,223,216.7,220,218.4,208.6,223.9,226.8,226.2,232.5,242.9,248.9,254.8,266.4,280.3,284.4,286.5,293.3,294.6,299.4,309.6,305.7,293.8,307.5,330.4,340.1,360.3,363.9,369.1,373,389.1,411.7,427.2,438.9,438.4,470.1,480.4,497.9,511,514.8,520.9,526.9,542.1,517.3,524.5,562.4,580.5,592.9,612.4,590.5,581.9,584.7,583.8,556.7,563.4,581.7,608.9,637.9,664.4,671.9,673.8,679.8,680.1,680.9,699.4,704.8,688.6,682.5,675.5,700.5,707.9,726.3,755.8,769
"16","      Durable goods","8","B428RC1B",35,34.9,36.2,37.4,36.3,33.9,35,32,35.5,40.3,46,50.1,50.9,52.3,51.8,53,53.9,52.2,52.2,59.3,62.4,62.4,61.3,55,54.9,54.8,53.8,56.8,60.9,63.5,64.9,66.7,65.9,66.4,65.6,70.2,72.6,71.1,70.3,66.4,60.3,59.1,62.2,67.3,71.9,78,71.6,71.2,78.6,74.3,71.8,68.8,66.7,71.1,73.8,77.8,79.6,80.3,81.6,83,83.6,86.5,87.3,89.2,91.3,92.6,95.1,94.9,102.6,104.1,106.3,110.1,115.7,117.1,118.6,120.4,118.6,118.5,119.1,121.9,125.4,129.4,129.7,135.1,137.2,136,137.3,136,129.4,131.8,129.7,120.2,133.2,134.7,133.1,138.3,146.4,151.8,154.8,163.9,173.8,176.2,177.8,179.6,178.5,179.1,184.2,184.5,174.4,178.6,191.9,195.8,209.9,214.7,218,221,232.6,245.3,254.9,265.2,265.4,286,291.7,303.8,311.1,311.2,309.3,309.6,315.8,296.5,303.5,331.6,338.9,347,345.3,334.6,328.2,332.6,325.9,302.5,316.4,327.7,346.9,369.2,394.3,395.6,404.4,408,405.1,405.2,408.5,413.7,412.5,408.6,407.7,420.3,435.8,436.8,446.5,446
"17","      Nondurable goods","9","B427RC1B",32.1,33.1,33.3,33.3,31.3,30.2,30.6,30.3,30.9,32.3,34.1,36.4,37.5,38.7,39.3,38.5,37.8,37.5,38.3,39.7,40.6,41,40.6,39,39.5,39.4,39.4,41,42.3,43.8,44.4,46.3,46.3,46.3,46.2,46.7,46.8,46.7,46.6,45.9,44.6,44.4,46.8,48.3,50.2,51.6,52.2,51.9,52.7,52.2,52.3,51.1,51.1,52.7,53.5,54.4,54.6,55.4,55.3,56.3,56.3,57.2,58.5,58.9,60.1,61,61.8,62.9,64.7,65.4,66.4,68.5,70.9,72.8,73,74.2,74.5,73.7,75.1,77.6,79,81.5,83.4,84.1,84.4,85.9,87.3,86.9,87.3,88.2,88.7,88.4,90.7,92.1,93.1,94.2,96.5,97.1,100,102.5,106.5,108.2,108.8,113.7,116.1,120.3,125.4,121.3,119.4,128.9,138.4,144.4,150.4,149.2,151.1,152,156.5,166.4,172.3,173.7,173,184,188.7,194.1,199.9,203.7,211.6,217.3,226.3,220.8,221,230.8,241.6,246,267.1,256,253.6,252.1,257.9,254.2,247,254,262,268.7,270,276.3,269.4,271.8,275,275.7,290.9,291.2,276.1,273.9,267.8,280.1,272.1,289.5,309.3,323
"18","    Transportation and public utilities","10","A737RC1B",18.5,18.9,18.8,19.1,18.9,19.1,18.8,18.3,19.2,20,21.5,22.3,22.7,23.4,23.6,24.4,25.1,24.3,24.8,25.9,26,26.6,26.5,26.1,25.5,25.7,26,26.4,27.1,28,28.5,29.1,29.7,30.2,30.2,30.7,31.3,31.5,31.9,31.5,30.8,30.9,31.7,32.7,33.8,34.6,34,34.8,35.7,36,35.9,36.1,35.8,36.5,37.1,38.2,38.4,38.7,39.2,39.3,40,40.9,41.5,42.1,43.2,43.6,44,44.6,45.5,46.6,47.3,48.7,49.6,50.8,51.2,52,51.8,52.1,52.8,53.7,54.9,56,57.6,58.8,59.7,61.2,61.5,62,63.1,63.2,65.4,65.5,68.3,70.5,70.8,71.1,74.3,76.2,77.8,81.1,82.2,83.8,86.8,88.2,89.2,92,94.4,95.5,96,97.4,104.3,108.1,111.3,115.6,119.4,120.8,124.4,128.7,133.4,136.2,139.2,147.4,151,156.5,157,157.8,160.3,166.7,171.4,172,179.7,189.9,187.4,192.4,205.7,209.1,213.4,215.6,211.6,209.2,212.4,224.2,224.1,234.6,243.2,248.7,255.3,252.5,251.9,253.7,257.4,258.3,264.2,268.1,269.7,269.8,277.7,289.2,287.3,290.7
"19","      Transportation","11","B429RC1B",12.7,12.9,12.8,12.9,12.4,12.3,12,11.6,12.2,12.8,14.1,14.7,14.7,15.1,15,15.5,15.9,15.2,15.4,16.1,16.1,16.4,16.1,15.6,14.9,14.7,14.8,15,15.6,16.1,16.5,16.7,17.1,17.4,17,17.6,17.8,17.8,18,17.4,16.5,16.4,16.9,17.6,18.2,18.7,17.8,18.2,18.8,18.7,18.3,18.3,18,18.4,18.9,19.4,19.5,19.5,19.5,19.8,19.8,20.6,20.7,21.1,21.6,21.7,22,22.1,22.7,23.6,24,24.6,25,25.6,25.4,26.1,25.7,25.6,26.1,26.4,27.2,27.8,28.3,28.8,29,30.1,30.1,30.5,30.7,30.3,32.1,31.6,33.1,34.6,35,35,37.1,37.3,38.3,40.3,41.5,42,43.1,44.5,46.5,48,48.8,47.3,45.8,45.1,49.4,51.6,53.9,55.4,57.9,57.1,59.8,62.3,64.3,65.3,64.6,71.9,73,75.9,76.8,77.2,78.4,82.5,83.4,80.8,82.6,87.4,87.5,87.4,89.7,88.9,87.3,88,85.1,85.5,85.2,91.8,96.2,100.1,104.4,107,108.2,106.7,105.8,106.9,107.8,108.7,111.4,114.7,117,118.9,119.8,123.3,123.7,127
"20","      Communication","12","B430RC1B",2.8,2.9,2.8,2.9,2.9,3.1,3.1,3.1,3.2,3.3,3.5,3.5,3.7,3.8,4,4.1,4.2,4.1,4.3,4.5,4.6,4.8,4.8,4.9,4.9,5,5.2,5.3,5.4,5.6,5.8,5.9,6,6.1,6.3,6.3,6.6,6.7,6.7,6.8,6.8,7,7.1,7.2,7.6,7.8,7.9,8,8.1,8.3,8.5,8.5,8.6,8.6,8.7,9,9.2,9.3,9.5,9.6,9.8,9.9,10.2,10.3,10.5,10.8,10.7,11,11.3,11.3,11.7,12.2,12.5,12.8,13.2,13.2,13.3,13.4,13.6,13.8,14.1,14.2,15,15.5,16,16.4,16.4,16.6,17.1,17.7,18.1,18.4,18.7,19,18.4,18.8,20,20.4,20.9,21.4,21.8,22.6,23.7,23.7,24.1,24.8,25.1,26.3,25.6,26.7,27.8,28.3,29.3,30.3,31.4,32.3,32.5,34.2,34.3,36.4,38.2,39.5,40.9,41.1,41.6,43.3,44.4,45.2,46.5,46.7,50,52.5,52.9,53.8,57.6,59.2,60.6,61.8,62,61.4,64.1,65.2,59.2,64.2,66.6,68.3,66.6,66.6,68,70,72,72.8,75.7,75.6,75.9,75.2,78.2,81.2,81.9,80.7
"21","      Electric, gas, and sanitary services","13","B431RC1B",3.1,3.2,3.2,3.4,3.5,3.7,3.8,3.7,3.8,3.9,3.9,4.1,4.4,4.5,4.7,4.9,5,5,5.1,5.3,5.4,5.4,5.6,5.6,5.8,6,6.1,6.2,6.1,6.3,6.3,6.5,6.6,6.7,6.8,6.8,7,7.1,7.2,7.3,7.4,7.5,7.6,7.8,7.9,8.1,8.3,8.5,8.8,9,9.1,9.3,9.2,9.5,9.5,9.8,9.8,9.9,10.1,10,10.5,10.4,10.6,10.7,11.1,11.2,11.3,11.5,11.5,11.7,11.6,11.9,12.2,12.4,12.7,12.7,12.8,13.1,13,13.5,13.6,14,14.3,14.4,14.7,14.8,15.1,14.9,15.3,15.1,15.2,15.5,16.5,17,17.4,17.3,17.3,18.5,18.5,19.4,18.9,19.2,20,20,18.6,19.2,20.6,21.8,24.6,25.7,27.1,28.2,28.1,29.9,30.1,31.3,32.1,32.2,34.8,34.5,36.4,36,37.2,39.4,38.7,37.3,37.5,39.1,41.5,44.5,47.2,50,47,51.2,58.4,61,65.5,65.7,64.5,62.3,63.1,67.2,68.7,70.3,72.3,73.5,80.5,79.2,78.1,76.7,77.5,76.9,77,77.8,76.8,75.7,79.7,84.8,81.7,82.9
"22","    Wholesale trade","14","B433RC1B",13.5,13.8,13.9,13.9,13.7,13.2,13,12.7,13.3,13.6,14.9,15.4,16.2,16.5,16.5,16.8,16.7,16.6,16.8,16.9,17,17.3,17.1,16.7,16.8,16.8,17,17.9,18.4,19,19.6,19.9,19.9,20.6,21.3,21.4,21.8,21.8,22,21.9,21.5,21.7,22.8,23.6,23.6,24.4,24.5,24.2,24.9,24.9,25,25,24.9,25.3,25.9,26.6,26.9,27.1,27.5,27.5,27.7,28.2,28.7,29.2,29.9,30.4,30.8,30.8,31.7,32.6,32.4,33.5,35,35.2,35.7,36.4,37.1,37.4,37.9,38.5,39.1,40.8,42.2,42.8,43.6,44.5,45.3,46.7,46.9,47.2,48,48.8,49.7,50.2,52,53.3,55.3,56.8,59.1,60.8,63.7,62.9,65.3,70.8,72.4,77.9,76.1,81.4,82.3,81.3,83.6,86.4,89.5,89.2,90.6,91.7,93.6,100.6,105.8,100.7,106.2,111.7,117.4,121.8,125.3,131,135.2,139.1,141.5,140.3,141.6,149.8,154.6,156.6,159,168.3,163.1,163.7,161.8,160.7,159.3,164.6,168.8,173.4,185.4,188,196.1,199.7,198.9,197.8,199.6,197.5,201.2,203.7,213,209.5,212.7,212.1,217.7,218.6
