"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 27, 2006  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2006 11:09:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Exports of goods and services","B020RA3",11.757,12.681,13.294,14.723,14.973,16.096,19.131,20.643,20.512,21.408,21.923,24.234,26.637,29.506,29.868,27.586,26.875,29.068,29.951,32.259,35.742,41.469,46.233,50.394,53.736,57.439,59.291,64.447,70.982,76.93,86.082,88.164,91.969,100,94.565,92.43,94.064,101.97,108.85
"9","2","Exports of goods \1\","B253RA3",10.638,11.481,12.082,13.46,13.408,14.849,18.259,19.709,19.252,20.165,20.429,22.712,25.396,28.422,28.114,25.573,24.838,26.801,27.79,29.217,32.456,38.572,43.172,46.81,50.042,53.785,55.534,60.937,68.07,74.086,84.717,86.614,89.907,100,93.871,90.143,91.763,99.899,106.963
"10","3","  Foods, feeds, and beverages","B638RA3",26.358,25.938,25.398,30.647,29.84,35.219,45.598,40.863,43.227,49.052,49.009,60.549,64.23,72.407,73.925,69.455,66.394,64.602,55.906,57.676,61.734,67.835,70.746,73.197,74.646,84.497,83.958,83.986,93.146,91.66,91.837,90.925,94.439,100,102.864,100.775,102.559,95.952,103.299
