"","Table 6#3D# Wage and Salary Accruals by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2008 11:52:33 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Wage and salary accruals","A034RC0",4182719,4471400,4829240,4942776,4980897,5127686,5379508,5672859,6025691
"9","2","Domestic industries","A4102C0",4187282,4476613,4833832,4947939,4986338,5133390,5385656,5679266,6032229
"10","3","  Private industries","A4103C0",3490020,3747305,4059131,4132071,4120406,4228986,4442540,4698350,5011593
"11","4","    Agriculture, forestry, fishing, and hunting","N4104C0",27614,29085,30533,31756,32046,31589,33952,34897,35960
"12","5","      Farms \1\","N4105C0",15882,16167,16971,17920,17913,17045,18876,19099,19554
"13","6","      Forestry, fishing, and related activities","N4106C0",11731,12918,13563,13837,14133,14544,15076,15798,16406
"14","7","    Mining","N4107C0",28741,27745,29777,32095,30771,31344,34883,40594,48338
"15","8","      Oil and gas extraction","N4108C0",10022,10129,11009,11569,11424,11618,13187,14843,17778
"16","9","      Mining, except oil and gas","N4109C0",10972,10842,10674,10870,10467,10304,10995,11989,13031
"17","10","      Support activities for mining","N4110C0",7747,6773,8094,9656,8880,9421,10701,13763,17529
"18","11","    Utilities","N4111C0",33838,35052,38102,39563,39991,39112,40703,41624,43030
"19","12","    Construction","N4112C0",210911,234801,256898,271710,272470,279074,290476,319066,351491
"20","13","    Manufacturing","N4113C0",674310,697649,749334,708758,675460,668860,686924,704121,730965
"21","14","      Durable goods","N4114C0",443143,462858,503564,469519,441025,434330,450081,464631,487916
"22","15","        Wood products","N4115C0",16919,17832,18408,17650,17573,17479,18827,19830,19990
"23","16","        Nonmetallic mineral products","N4116C0",18602,19599,21186,20974,20666,20493,21267,22227,23327
"24","17","        Primary metals","N4117C0",26677,27096,27962,25643,23208,22630,23693,24183,25281
"25","18","        Fabricated metal products","N4118C0",60245,61360,65509,62803,59782,58784,61580,64637,68717
"26","19","        Machinery","N4119C0",62997,62811,66549,62040,56984,55613,58041,60825,64353
"27","20","        Computer and electronic products","N4120C0",98102,106880,129408,113215,98128,94418,96759,101138,107127
"28","21","        Electrical equipment, appliance, and components","N4121C0",21050,22199,24287,22388,20646,20028,20656,20668,21622
"29","22","        Motor vehicles, bodies and trailers, and parts","N4122C0",57396,61653,63816,58394,58720,59947,60436,59261,59789
"30","23","        Other transportation equipment","N4123C0",39139,38992,38735,39376,38984,38424,40577,42959,47127
"31","24","        Furniture and related products","N4124C0",17059,18161,19683,18848,18271,17942,18537,18876,19320
"32","25","        Miscellaneous manufacturing","N4125C0",24957,26274,28021,28188,28063,28572,29706,30027,31264
"33","26","      Nondurable goods","N4126C0",231166,234791,245771,239239,234435,234530,236843,239490,243049
"34","27","        Food and beverage and tobacco products","N4127C0",53307,54788,58651,59611,60437,61424,62024,62948,64631
"35","28","        Textile mills and textile product mills","N4129C0",16737,16527,16947,15386,14527,13597,13236,12559,11965
