"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"12","4","    Wood product manufacturing","KS3210",8776,8777,9270,9320,9202,9387,9733,9851,9924,10008,10066,10523,10637,10729,10606,10706,10428,10789,10682,10154,10441,10470,10639,10479,10727,10369,10090,10340,10822,10909,11286,11098,12017,11806,11691,11880,11751,12122,12136,11843,11683,11590,11303,11167,10303,10191,10200,9724,9062,8472,8242,7920,8240,8456,8511,8457,8611,8547,8708,8951,8814,8959,9090
"13","5","    Nonmetallic mineral product manufacturing","KS3270",11287,11447,11323,11375,11421,11345,11359,11325,11169,11154,11444,11606,11454,11553,11589,11777,11649,11550,11451,11220,11015,11156,11199,11393,11683,11809,11610,11240,11337,11357,11353,11557,11613,11635,11590,11666,11687,11805,12070,12135,12206,12260,12342,12474,12488,12371,12219,12126,11751,11258,10759,10329,10277,10163,10215,10222,10247,10394,10432,10657,10656,10631,10692
"14","6","    Primary metal manufacturing","KS3310",26278,26390,26679,27151,27206,27920,28875,28968,28612,28903,28920,29410,29155,29051,28949,28661,27955,26914,26433,25927,25019,25193,25495,25800,25796,24771,23926,23540,23912,24221,25156,26271,27594,27723,27516,27834,27940,27932,28903,29031,29212,29117,28786,29071,28918,28678,28904,28058,26137,23827,22731,22010,22316,23098,22929,23335,23640,23930,24011,24349,24146,23653,24141
"15","7","    Fabricated metal product manufacturing","KS3320",35747,36265,36331,37009,37164,37991,37981,38076,38169,38059,38433,38953,38938,39687,39758,39934,39680,39541,39315,38513,38245,38367,38275,38143,39466,38336,37255,37373,37309,37266,37353,37302,38266,38879,39116,39590,40084,40174,40602,41148,41500,41374,41224,41875,41703,40801,40837,41532,41156,39479,38154,37459,37602,37446,37696,37976,38059,38385,38360,38876,38823,39023,39671
"16","8","    Machinery manufacturing","KS3330",39794,40595,40383,41229,41989,41763,42672,42475,42481,42037,42017,42647,42799,43764,44516,45547,45183,43744,42369,40782,40549,39773,39544,40050,39106,38607,37828,37953,37625,37860,37717,37869,38538,39085,39937,40472,40937,41378,42215,42972,42955,43098,43771,43733,44253,42912,42969,44156,43722,42496,40866,39962,39463,39648,40779,41758,42944,44271,45458,46281,48088,49354,50732
"17","9","    Computer and electronic product manufacturing","KS3340",38533,40309,42512,43741,45530,45605,44488,44132,46200,46677,46886,47694,48407,51417,52882,57131,56914,56304,53150,50525,49890,48922,48187,47282,47770,47873,47806,49018,48974,50182,50495,51178,51590,51943,53103,54313,54519,54807,54960,54790,55605,55697,55645,56269,57080,56851,57437,58081,57338,56999,57022,57905,57189,58342,59180,59285,60203,60621,60518,60322,61093,61248,61893
"18","10","    Electrical equipment, appliance, and component manufacturing","KS3350",14761,15239,15412,15418,15672,15515,15724,15884,15668,15773,15896,15845,15842,15982,16600,16772,16670,16127,15753,15653,15520,15476,15405,15211,15130,14965,14641,14683,14384,14464,14585,14316,14409,14356,14397,14334,14548,14503,14603,14979,15042,14909,14938,15644,15669,15605,15475,15522,15020,14507,14122,13806,13620,13772,14117,14018,13935,13947,13747,13722,13985,14081,14260
"19","11","    Transportation equipment manufacturing","KS3360",75625,75434,75693,76363,80709,84055,85677,88471,87790,86216,87798,87778,86109,82985,80546,77542,75183,75497,76208,75698,73671,73143,72667,74465,73501,73488,72781,72264,71451,71153,70263,70767,73280,72892,73572,75105,75713,77507,78113,78989,80553,82463,84160,86800,86846,85117,82897,84505,84584,83977,82306,83313,85929,87052,88980,91684,95492,98293,101140,104716,105816,107888,111240
"20","12","      Motor vehicle and parts manufacturing","KS3MV0",25039,24991,25447,24978,25737,25542,25018,25696,26133,25932,26188,27392,26986,27323,27415,27122,25866,25834,25095,24361,23990,24938,25635,25552,25576,25705,25815,26119,26315,26304,26532,26297,27197,27247,26553,27059,27195,27448,27204,27698,27541,27428,27276,26776,26360,25293,24184,23389,22879,21353,21050,21494,22560,22531,22783,23142,23715,24425,25520,26303,26193,26312,27046
"21","13","      Other transportation equipment manufacturing","KS3OT0",50473,50330,50124,51282,54872,58444,60614,62719,61599,60227,61551,60328,59062,55607,53089,50383,49277,49619,51069,51290,49635,48175,47012,48878,47895,47754,46945,46136,45138,44849,43738,44471,46086,45650,47019,48047,48518,50059,50915,51294,53018,55048,56903,60065,60523,59876,58774,61195,61784,62686,61318,61886,63441,64592,66264,68606,71841,73936,75688,78486,79701,81659,84279
"22","14","    Furniture and related product manufacturing","KS3370",7863,8014,7989,8069,8077,8161,8170,8189,8238,8249,8280,8556,8691,8778,8926,8858,9139,8770,8608,8379,8336,8429,8785,8820,8803,8655,8331,8406,8306,8488,8597,8694,8713,8756,8884,9029,9105,9067,9141,9067,8959,8994,8915,8930,8705,8509,8428,8242,8042,7659,7475,7380,7295,7427,7438,7398,7400,7327,7345,7322,7243,7382,7432
"23","15","    Miscellaneous durable goods manufacturing","KS3390",15655,15539,15547,15892,16212,16236,16490,16367,16538,16587,16891,17089,17372,17599,18131,18148,18385,18486,18258,18020,17809,17995,18103,17985,18231,18396,18528,18903,18838,18625,18548,18754,18749,19123,19735,20168,20098,20150,20732,21011,20980,20984,21085,21292,21325,21443,21514,22004,22287,22262,22079,22011,22308,22669,23098,23445,23849,23646,23716,23776,23472,23596,23826
"24","16","  Nondurable goods manufacturing industries","KS30N0",199352,201643,203444,206205,206824,206345,205511,205152,207124,209907,211213,214546,213997,215271,215761,215206,213580,211681,211267,210511,207385,208277,211027,211341,211030,211058,210201,208266,208581,208679,208676,210171,213677,212773,212415,214632,217312,220118,220781,219995,219185,222808,224253,224369,230541,230062,223702,214265,212228,210844,209517,211148,211848,207279,209316,213349,212519,212020,209166,212483,212581,209186,211392
"25","17","    Food manufacturing","KS3110",37861,38307,38450,38840,38895,38714,38449,38448,38761,38966,39486,39997,40733,40515,40533,40497,39857,39740,39697,39999,39686,40742,40794,40881,41211,40697,40164,39923,39319,38590,39220,38980,39205,39759,40200,40362,41005,40966,40414,40585,39601,40868,40934,39941,39477,39631,39074,40320,41002,40923,40965,41579,41095,41261,41605,41034,39376,39098,38364,38968,39240,39206,38192
"26","18","    Beverage and tobacco product manufacturing","KS3120",12717,12997,13255,13378,13614,13242,12993,13342,13138,13261,12726,13142,13170,13254,13227,13110,13217,13333,13525,13740,13581,13753,13803,13799,13476,13673,13668,13574,13397,13465,13840,13477,13462,13488,13517,13861,13764,13652,13736,13859,13767,13767,13499,13448,13382,13200,13177,13095,13550,13772,14065,14184,13920,14004,13761,13772,13848,13835,13885,14023,14188,14416,14555
"27","19","    Textile mills","KS3130",6827,6824,6822,6795,6836,6826,6869,6872,6957,7000,7018,7053,6842,6780,6682,6600,6416,6437,6366,6159,6066,5905,5900,5857,5877,5971,5872,5715,5707,5652,5666,5642,5593,5624,5542,5589,5584,5509,5558,5438,5316,5339,5343,5285,5202,4967,5015,4952,4811,4623,4388,4338,4327,4310,4362,4418,4432,4513,4531,4532,4504,4451,4460
"28","20","    Textile product mills","KS3140",3524,3645,3703,3725,3726,3639,3598,3510,3635,3744,3770,3838,3934,4063,4170,4260,4302,4429,4420,4443,4064,3883,3724,3427,3536,3539,3517,3559,3546,3525,3585,3545,3657,3620,3586,3735,3704,3732,3785,3757,3655,3697,3664,3664,3649,3558,3601,3570,3250,3061,3021,3020,3045,3124,3209,3255,3261,3271,3289,3359,3326,3308,3300
"29","21","    Apparel manufacturing","KS3150",8625,8925,9049,8983,9055,8966,8990,8974,9218,9453,9618,9617,9458,9220,9165,9291,8975,8631,7999,7548,7225,7151,7176,7211,7444,7474,7295,7207,6973,6914,6959,6937,6987,6910,6918,6800,6791,6705,6565,6792,6706,6684,6637,6606,6533,6505,6449,6377,6266,6186,6068,6035,5993,6003,6029,6014,6026,6060,6117,6200,6209,6244,6317
"30","22","    Leather and allied product manufacturing","KS3160",1816,1920,1905,1925,1948,1989,1978,1937,1907,1947,1957,1937,1906,1902,1906,1823,1827,1771,1746,1646,1492,1456,1455,1485,1467,1462,1425,1429,1400,1375,1366,1420,1444,1446,1465,1475,1442,1488,1556,1598,1586,1583,1574,1563,1542,1700,1624,1571,1618,1570,1539,1507,1458,1425,1426,1437,1443,1446,1448,1455,1455,1483,1490
"31","23","    Paper manufacturing","KS3220",17630,17162,17419,17773,17606,17651,17558,17247,17538,17787,18303,18278,18249,18194,18003,17637,17326,17306,17407,17601,17786,18153,18390,18761,18330,18474,18296,18019,17900,17995,18092,18149,18198,18201,18034,18125,18201,18065,18143,18094,18077,18056,18043,18182,18031,18036,17832,17588,17242,17028,16984,16466,16304,16517,16387,16419,16314,16069,16048,15837,15931,15961,15716
"32","24","    Printing and related support activities","KS3230",6934,7067,6964,7176,6858,6775,6927,6581,6811,6994,7008,7270,7260,6984,6970,6920,6977,6819,6683,6617,6728,7065,6846,6981,6861,6593,6615,6640,6578,6617,6729,6683,6683,6702,6691,6664,6621,6730,6791,6769,6821,6927,7008,7234,7215,6872,6529,6508,6171,6025,6076,5979,5936,6017,5852,6026,5977,5788,5700,5633,5620,5663,5531
"33","25","    Petroleum and coal product manufacturing","KS3240",25978,26261,26843,27323,27041,27009,26310,25939,25997,25528,26163,26169,26015,26857,26323,26116,26778,27066,27107,27445,26398,27077,27185,26385,26591,27049,27343,26344,27327,27753,26829,27318,28769,27202,27721,28307,28608,30652,30198,29317,29504,30231,31405,32419,38272,40033,37568,30301,29583,31458,30667,33445,33748,29220,31097,33811,34905,34370,32624,35152,35092,33335,36091
"34","26","    Chemical manufacturing","KS3250",57706,58512,59177,60394,61123,61194,61079,61283,61706,63117,62903,64611,64211,65207,66376,66453,65928,64932,65011,64392,63820,63570,65507,65092,64672,64377,64874,64716,65597,66139,65129,66800,67983,68249,67614,68239,69524,69829,71088,71123,71212,72398,72667,72204,71360,69377,68455,67558,67009,65227,65158,64072,65068,65006,64830,65815,65448,65959,66153,65621,65150,63972,64059
"35","27","    Plastics and rubber product manufacturing","KS3260",19346,19619,19626,19786,19923,20237,20285,20481,20730,20926,21311,21559,21127,21503,21487,21563,21374,20782,20980,20799,20128,19306,20056,21044,21204,21530,21080,20857,20888,20874,21209,21222,21827,21617,21157,21477,22089,22565,22807,22616,22852,23028,23033,23066,23072,22824,22679,21678,20927,20569,20292,19962,20307,20309,20492,20831,20811,21095,20945,20919,21139,20893,20985
"36","28","Merchant wholesale industries","KS42W0",257130,265249,269334,276005,283291,286842,293879,297304,302779,303992,308945,315302,318826,324023,326451,331405,330574,329892,325755,322639,321691,322225,323218,323238,322273,320703,320213,323280,326607,329921,335960,341700,348349,351441,352127,356029,360064,366016,369739,370772,371499,372931,376826,376559,373604,377362,380509,379323,367581,351106,336710,337907,339060,341211,351407,355062,356625,362065,361762,368913,373925,378068,383633
"37","29","  Durable goods merchant wholesale industries","KS42WD0",151118,157071,158981,162534,168081,170289,175308,177913,181622,183835,186251,190863,193121,198000,199269,201732,200755,195826,191606,187586,186196,186657,188649,187359,188614,188044,186420,188276,191932,196053,201869,205394,209636,212720,212919,216366,218499,223204,226234,226566,228522,227520,227057,227629,229216,231361,236510,234029,220638,207314,196676,192535,194647,195412,199913,204039,206825,212734,216105,219408,224556,229319,233778
"38","30","    Motor vehicles, parts, and supplies wholesalers","KS42110",20836,21843,22291,22049,23130,22192,22823,22829,23352,24018,25073,25609,26456,27197,26416,26894,26420,25788,25807,25733,25864,26867,27850,28197,28368,29153,28242,29098,29302,28934,30465,30289,30436,32572,32298,33123,34305,35010,34504,34090,35133,35205,35300,35056,35012,36663,37865,38746,33821,31065,29693,29661,30621,30066,30687,31644,33386,35117,36475,37154,37310,38518,38064
"39","31","    Furniture and home furnishings wholesalers","KS42120",5145,5352,5453,5494,5460,5708,5777,5832,5967,6072,6087,6212,6270,6567,6595,6811,6869,6573,6534,6355,6265,6426,6577,6577,6633,6717,6627,6800,6902,6852,6916,6935,6999,6894,7064,7176,7048,7304,7359,7413,7516,7467,7439,7278,7336,7073,6803,6632,6025,5465,5111,4926,4840,5072,5310,5357,5259,5219,5097,5143,5109,5044,5151
"40","32","    Lumber and other construction materials wholesalers","KS42130",6057,6262,6399,6630,6542,6537,6344,6466,6496,6637,6681,6911,7042,7218,7131,7427,7337,6838,7183,7362,7380,7428,7677,7833,8268,8442,8586,9287,9766,10436,11026,11381,12416,12006,11570,12073,12088,12506,12767,12404,12342,11682,11553,11512,10886,11314,11218,10391,9526,8476,8223,8142,8459,8591,8247,8444,8672,8463,8539,8434,8758,9077,9284
"41","33","    Professional and commercial equipment wholesalers","KS42140",11464,12722,13444,13880,14944,14922,15268,15523,16437,16830,17028,17984,17807,17851,18526,18651,18322,17964,17496,17534,17465,18107,18551,18713,19031,18641,18997,19300,19756,20414,20878,21492,21638,22342,22405,23120,23935,24645,25915,26751,27152,27707,28184,28426,29074,29549,30218,29601,28164,26788,26202,27365,27733,28786,28855,29694,29612,30492,31335,31609,32042,32691,33045
"42","34","      Computers and software wholesalers","KS42430",3462,4030,4387,4577,5073,5131,5280,5686,6045,6393,6474,6953,6698,6650,7069,6926,6941,6609,6537,6630,6710,7005,7201,7212,7625,7749,7774,8287,8496,9049,9090,9495,9897,10137,10478,10674,11234,11410,12201,12610,12659,13175,13881,13734,14331,14644,15367,15116,14267,14098,14101,16105,16471,17442,17657,18158,17422,18755,19705,19417,19713,20516,20883
"43","35","      Other professional and commercial equipment wholesalers","KS424X0",10318,10642,10737,10917,11224,10982,11133,10407,10951,10702,10811,11149,11450,11616,11704,12163,11689,11809,11330,11226,11021,11357,11603,11780,11589,10985,11351,11049,11295,11352,11800,11994,11721,12193,11927,12443,12716,13231,13742,14173,14497,14595,14488,14805,14943,15133,15216,14864,14207,13177,12692,12429,12510,12785,12717,13095,13438,13393,13534,13892,14067,14145,14223
"44","36","    Metal and mineral (except petroleum) wholesalers","KS42150",18466,18840,18856,18970,19485,19656,20323,20666,20356,20938,20675,20739,21449,21697,21479,20969,20488,20280,19893,19528,19347,19267,19713,19157,18900,18650,18299,18607,19946,19987,20728,22016,22516,22383,22068,21699,21977,22966,24067,24000,23818,23212,22495,22347,22886,23642,23709,23668,22952,20558,18704,17694,18093,17488,17778,18746,18825,19394,19341,20119,20868,20880,21735
"45","37","    Electrical goods wholesalers","KS42160",18966,18929,18879,19006,19526,20176,20599,20908,21223,21658,22522,23887,24380,25478,26446,27403,27596,26619,24945,23221,22667,22431,22856,22245,22289,22300,22054,21648,22393,23175,23423,23810,24399,24661,24804,25033,25433,25938,26888,27251,27552,28143,28128,29099,29222,29869,30856,30030,27242,25177,24479,24905,25760,26717,28117,28594,28532,29423,30293,30981,30997,31008,31032
"46","38","    Hardware and plumbing and heating equipment wholesalers","KS42170",10467,10779,10841,10809,11149,11424,11407,11708,11786,11797,11748,11875,11976,12531,12583,12845,12588,12348,12385,12009,11926,11970,12064,11963,12395,12029,11797,11933,12024,12312,12674,12763,12954,12983,12844,13110,13315,13375,13484,13636,13753,14003,14026,13942,13338,13011,13162,12405,12078,11553,10589,10333,10183,10108,10548,10695,11159,11555,11516,11812,11889,12230,12277
"47","39","    Machinery, equipment, and supplies wholesalers","KS42180",45893,48203,47392,49473,50754,52334,54371,55705,56656,56889,57117,57773,57620,58648,59063,58922,59371,58924,57591,56322,55903,54629,54028,53287,52898,51948,51431,51039,51774,53171,53940,55033,56071,56685,57609,58422,58113,59699,60301,60360,60472,60160,60325,60935,61876,60546,62591,62404,61523,59112,56109,53422,52712,53650,54977,55743,57031,58161,59542,59925,62464,64969,67827
"48","40","    Miscellaneous durable goods wholesalers","KS42190",17587,17106,17707,18524,18816,19373,20660,20599,21129,20622,20622,20625,21083,21844,21664,22204,22153,20928,20331,20090,19939,19839,19545,19451,19799,20091,20244,20449,20095,20783,21835,21695,22239,22212,22263,22630,22382,21880,21093,20906,21142,20535,20421,19979,20429,20591,21229,21234,19957,19630,18400,17632,17931,17160,17584,17399,16814,17470,17081,17222,17773,17745,17859
"49","41","  Nondurable goods merchant wholesale industries","KS42WN0",106392,108325,110607,113810,115315,116643,118503,119219,120908,119654,122280,123906,125154,125263,126445,128984,129183,133807,134049,135152,135670,135732,134652,136019,133735,132726,133905,135118,134767,133931,134098,136299,138701,138697,139182,139656,141561,142826,143536,144234,143060,145362,149493,148719,144651,146174,144634,145632,146734,143256,139299,144135,143323,144647,150135,149983,149117,149214,146302,149928,150271,150159,151538
"50","42","    Paper and paper products wholesalers","KS42210",7992,7985,8425,8587,8757,8669,8530,8614,8575,8453,8455,8413,8541,8391,8428,8675,8460,8342,8107,8004,7679,7808,7544,7624,7468,7586,7423,7597,7671,7913,8018,8090,7838,8146,8245,8400,8263,8220,8187,8078,7839,8009,8113,8141,8098,8003,7970,7963,7581,7578,7530,7545,7355,7475,7327,7532,7385,7501,7256,7526,7310,7659,7521
"51","43","    Drugs and druggists' sundries wholesalers","KS42220",15861,16273,17212,17414,17825,17585,17769,18676,19188,20572,21295,22502,23943,25016,25944,27629,28282,31308,33733,35470,36305,36574,36024,36971,37184,36573,36891,37110,37228,36514,36597,36763,36415,35531,34709,34613,35115,35790,35894,35365,34570,35484,35158,34902,34480,33824,34341,34325,34430,33529,33377,33937,33902,34461,34688,34769,35245,35464,35959,36110,36497,36293,36497
"52","44","    Apparel, piece goods, and notions wholesalers","KS42230",11796,12121,12100,12806,12822,13016,12983,13088,13047,12292,12023,12430,12347,12224,12459,12546,13145,13312,12801,12517,12407,12376,13085,12738,12675,12681,12008,11760,11570,11182,11800,11812,12150,12387,12341,12431,12780,12989,13433,13789,13875,14148,14403,14371,15221,14913,14948,15355,14812,13907,12920,12347,12540,12956,14529,14717,14951,15673,15718,16170,15857,15767,15346
"53","45","    Grocery and related products wholesalers","KS42240",19057,19305,19167,20089,19711,20216,20002,19865,20277,19776,20557,21224,20919,20591,21044,21123,20482,20201,19523,19326,19605,21173,20819,20763,20677,19690,19869,19461,19466,19343,19038,19204,19575,19581,20229,20780,21041,21522,21956,22555,23271,23979,23590,23633,23614,24087,24658,24518,23944,23928,23805,23478,23420,24625,24649,24901,25662,26184,27017,27041,27499,28030,27900
"54","46","    Farm product raw material wholesalers","KS42250",10970,11164,11310,11825,12035,12459,13514,13081,13235,13532,14550,14170,14454,14407,14397,14575,14356,14721,14633,14729,14456,13591,13128,13536,12884,13321,14038,15270,15748,14863,13813,13771,15900,16246,16228,15908,16514,17168,16531,17850,16116,16348,19488,18920,17826,18264,16700,16784,17216,17059,15681,18833,18129,17946,20129,20279,18543,17155,15539,16093,16441,16384,16494
"55","47","    Chemical and allied products wholesalers","KS42260",6306,6434,6267,6413,6457,6609,6845,7077,7343,7388,7291,7419,7424,7293,6948,7044,7024,7265,7308,7470,7658,7704,7762,7917,7601,7517,7293,7514,7189,7434,7423,7318,7403,7421,7263,7315,7242,7249,7048,6908,7371,7456,7492,7633,7491,7205,7440,7549,7425,7126,6867,6546,6497,6712,6960,6971,6931,7063,7083,7414,7392,7323,7783
"56","48","    Petroleum and petroleum products wholesalers","KS42270",11593,11735,11586,11729,12171,13244,14623,13586,13329,11753,11307,10799,10469,10519,10181,10109,10802,11592,11671,13324,13461,12274,12239,12220,10676,11908,11942,11540,11302,11391,12360,12839,13027,12177,12833,12801,13088,12699,13010,12104,12047,12488,12215,11952,9607,10167,10177,10723,13461,12616,12401,14105,13956,13760,14050,12938,12977,13098,12342,12525,12397,12527,13367
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5390,5772,5964,6160,6444,6190,6255,6361,7071,6755,6661,6683,6732,6612,6667,6821,6661,6789,6728,6546,6819,6736,6824,7009,6992,6929,7014,7156,7024,7327,7098,7451,7457,7492,7745,7847,7989,8072,8307,8511,8732,8879,9203,9275,9326,9469,9686,9785,9746,9629,9208,8892,8897,8919,9174,9275,9433,9564,9511,9697,9913,10266,10699
"58","50","    Miscellaneous nondurable goods wholesalers","KS42290",18355,18429,19412,19352,19883,19964,20012,20249,19999,19470,20144,19896,19751,19651,19566,19527,19233,19751,19140,18249,17896,17569,17362,17336,17242,16529,17308,17189,16802,17512,17877,19039,18918,19649,19535,19549,19508,19187,19272,19013,19718,19056,19260,19662,20142,20549,19968,19654,19526,18929,18727,18460,18885,18276,18737,18924,19621,20417,20281,21509,20965,20022,19735
"59","51","Retail trade industries","KS440",336607,342365,346473,349502,357009,357422,359543,364658,374718,378200,380151,390491,392469,401771,407218,411140,405298,407268,410280,400491,405408,411757,415990,424208,430515,432558,436862,441525,449457,456848,459937,465196,468880,466088,464715,469814,472738,474794,478275,480574,478478,480857,484224,484802,476515,471827,467774,458320,444485,430541,415401,411524,414489,420845,427701,426603,426755,424418,423154,422315,427583,434930,439741
"60","52","  Motor vehicle and parts dealers","KS4410",98891,100642,102039,103938,106563,104931,103784,105879,112226,112163,112630,118215,118598,124564,128531,129949,123406,125965,128341,121029,125921,130520,131119,138202,142450,145400,147308,151123,154845,158261,158750,158750,159564,154818,152945,155962,156267,156324,156595,155595,153370,154099,158652,158434,155198,152945,149106,146265,135755,126278,115463,113689,116151,120631,125937,123468,122024,119401,118201,116955,121979,127460,132614
"61","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",15382,15482,15598,15769,16230,16204,16528,16841,17101,17581,17913,18332,18829,19432,19326,20075,20216,19708,19504,19758,20359,20468,21275,21519,21867,22519,22830,23341,24345,25036,25684,26605,26709,27781,27530,27863,28493,28727,28692,28949,29489,29405,29765,30197,28898,28492,28938,26558,25916,25340,25145,24821,25287,26325,26923,27566,27561,27544,26908,27070,27123,27412,26916
"62","54","  Building material and garden equipment and supplies dealers","KS4440",36694,37197,37722,37890,38500,38679,39529,40080,40757,41151,41407,42284,42412,42977,43566,43576,43618,43761,43749,43593,44225,44287,44633,45236,45623,45463,46436,46357,46942,47770,47707,48770,49149,49265,49990,51028,50975,50869,51438,51002,50173,51293,50188,50291,49439,48953,48553,46972,46445,45465,45039,44686,44483,44411,44237,44547,44756,44232,44257,43769,44198,44449,45031
"63","55","  Food and beverage stores","KS4450",32361,32492,32892,32672,32958,33479,33440,33774,34304,34745,35335,35536,35514,34977,35085,34898,35136,35299,35303,35351,35311,35316,35756,35524,35294,34499,34864,34245,34347,34584,34676,34651,34734,34784,34304,34547,34979,35277,35444,35457,35311,35663,36198,36469,36341,36453,36301,36114,36646,36423,36345,35817,36195,35998,36070,36228,35975,36473,36881,37114,37708,37702,37668
