"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Disbursements","W269RC1",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.6,117,117.5,112.1,123,135.4,134.7,147.2,171.5,185.7,199.1,197.3,212.2,229.1,240,241.4,259.9,273,280.7,299.5,314.9,337.8,363.8,400.3,429,472,518.3
"12","5","      To persons","W270RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.4,134.7,147.1,171.4,185.5,198.9,197.1,212,228.9,239.8,241.2,259.7,272.7,280.4,299.2,314.7,337.6,363.6,400.1,428.8,471.7,518.1
"13","6","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"14","7","    Wage accruals less disbursements","A062RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0.1,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","8","  Supplements to wages and salaries","A038RC1",0.7,0.7,0.6,0.6,0.5,0.6,0.7,1,1.8,2,2.2,2.3,2.7,3.2,3.8,4.5,5.8,7.6,7,6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3
"16","9","Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9
"17","10","Less: Subsidies \1\","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"18","11","Net operating surplus","W271RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.7,130.8,136.8,149.4,158.8,171.2,189.7,203.2,205.8,218.6,225.5
"19","12","  Private enterprises","W260RC1",35.2,28.3,20.6,13.1,12.1,16.2,20.8,23.3,26.3,22.6,25,29.3,39.8,52.7,62.3,63.5,60.6,62.6,67.3,79.9,73.8,84.9,96.5,96.4,97.5,98.4,112.1,113.6,116.7,116.5,128.7,129.9,135.9,148.5,157.5,169.9,188.3,202.2,204.9,217.4,224.4
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",4,4.3,4.3,4.1,3.7,3.8,3.9,3.7,3.6,3.6,3.6,3.3,3.3,3.2,2.9,2.5,2.3,1.9,2.4,2.5,2.8,3.1,3.5,4,4.6,5.4,6.1,6.8,8,9.4,9.5,10.4,12.1,13.8,14.7,16.9,19.1,21.9,24.9,26.7,33.2
"21","14","    Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14.1,10.9,8.4,5.1,5.3,7,10.1,10.4,12.5,10.6,11.1,12.3,16.6,23.4,28.3,29.4,30.8,35.7,34.5,39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5
"23","16","    Rental income of persons with capital consumption adjustment","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.7,3,3.6,3.8,3.9,4.5,5.5,6.1,6.4,6.7,7.1,7.2,7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",10.4,7.2,2.8,-0.2,-0.3,2.3,3.7,5.9,6.6,4.5,6.1,9.4,14.9,20.1,24.4,24.4,19.9,17.2,22.5,29.6,27.6,34.4,39.1,37,37.3,36.4,46.6,45.2,44.5,39.9,51.1,50,50.9,58.6,64.3,71.1,81.8,88,85.4,91.6,87.9
"25","18","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",9.1,6.4,2.3,-0.6,-0.8,1.6,2.7,4.5,5.1,3.5,4.6,6.5,7.3,8.6,10.3,11.4,9.2,8.1,11.2,17.2,17.4,16.4,16.5,17.6,17,18.7,24.6,23.2,23.1,21,27.4,27.2,28,34.5,37.9,42.9,50.8,54.1,52.5,52,47.9
"27","20","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.5,0.6,1.1,2.8,3.1,4.6,6.1,7.1,4.8,3,5.6,11,11,8.6,9.1,10.1,9.3,10.9,15.7,13.7,13.3,11.1,16.7,15.8,16.5,22.1,24.3,27.9,33.9,36.3,34.2,31.8,27.5
"29","22","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1
"30","23","Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2
"31","24","  Private","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5
"32","25","  Government","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Statistical discrepancy","A030RC1",0.8,-0.4,0.8,0.3,0.5,0.4,-0.2,1.2,0,0.7,1.3,1.1,0.3,-0.9,-1.8,2.6,3.9,1.2,2.3,-0.5,1.8,1.4,3.6,2.7,4,3.1,2.4,-1.8,-0.1,1,0.5,-1,-0.6,0.3,-0.8,0.8,1.5,6.2,4.5,4.3,2.9
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
