"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","      Gross investment \2\","A782RA3",47.882,44.731,44.555,40.795,41.994,40.866,41.509,41.288,37.738,37.203,37.299,35.773,34.838,35.135,33.157,35.061,37.102,35.754,34.301,35.072,36.606,38.361,37.372,36.789,38.203,35.077,38.348,40.278,41.42,38.318,37.739,36.654,37.626,38.426,37.317,36.224,35.628,40.63,41.837,43.059,39.752,41.899,44.819,44.658,46.472,44.373,42.397,42.833,44.277,42.469,41.541,42.442,40.855,42.438,41.784,43.609,43.669,44.367,46.412,47.215,48.948,50.256,50.894,54.004,54.364,57.817,60.24,59.66,60.611,62.319,66.078,64.284,65.028,66.798,68.203,67.661,65.319,66.804,66.518,67.541,67.475,68.427,70.41,70.447,73.37,73.292,73.315,74.736,72.966,74.344,74.402,74.336,76.409,75.246,74.037,72.979,71.276,72.527,71.688,72.239,68.182,69.747,73.059,71.833,72.633,73.345,71.872,71.795,73.094,74.814,75.812,76.867,78.002,77.481,77.692,75.706,75.262,78.854,82.947,82.614,83.242,84.927,86.28,88.941,89.356,87.873,88.559,88.765,90.005,95.079,90.155,94.67,96.422,96.863,98.335,98.624,98.144,98.801,101.576,101.094,100.551,101.901,101.338,99.379,98.397,99.563,100.358,101.682,101.893,104.434,103.237,103.507,103.436,105.156,105.441,105.907,106.253,110.253,111.386,110.222,107.497,110.036,111.542,109.989,107.652,110.565,113.283
"12","4","        Structures","A760RA3",74.625,73.98,71.468,66.943,65.741,65.163,68.071,66.814,66.001,66.228,65.176,65.759,64.685,61.676,61.387,63.352,64.019,61.979,61.963,62.661,62.999,64.834,61.214,59.261,63.324,58.537,60.593,64.614,67.714,61.847,57.991,55.809,57.849,59.435,57.338,55.975,54.573,64.763,66.839,66.969,59.686,64.067,66.634,67.793,69.755,65.854,62.448,61.294,65.091,58.998,55.54,57.408,54.596,53.896,53.864,55.371,53.999,53.263,55.738,54.587,56.679,58.663,60.738,61.511,62.126,65.813,67.163,65.763,69.195,69.652,70.728,68.027,71.003,71.1,71.868,72.816,70.635,73.392,71.725,72.662,70.888,71.614,72.052,74.144,77.817,76.208,76.28,78.343,77.102,78.06,79.027,81.649,84.766,81.516,77.569,77.229,76.711,79.54,79.969,79.872,75.812,77.385,80.633,81.46,81.825,82.716,81.36,80.789,80.466,83.461,85.94,90.206,92.612,90.681,88.489,84.035,83.274,87.471,92.726,92.139,93.714,92.667,93.285,96.917,99.18,95.988,96.613,96.806,98.685,106.313,97.525,105.03,106.979,105.58,106.388,107.829,107.115,106.445,109.979,107.994,107.06,107.84,104.597,100.888,100.142,99.824,99.234,100.8,99.109,101.871,100.851,100.201,99.83,100.419,99.624,99.53,98.882,101.531,102.181,100.51,99.358,101.02,103.043,100.014,96.172,98.27,101.36
"13","5","        Equipment and software","A871RA3",24.109,20.014,21.251,18.566,21,19.728,18.901,19.33,14.649,13.732,14.547,11.968,11.289,13.346,10.884,12.391,14.825,14.117,12.062,12.722,14.723,16.163,17.04,17.466,16.908,15.268,19.042,19.344,19.043,18.138,19.765,19.525,19.681,19.869,19.54,18.761,18.755,19.779,20.266,22.036,21.748,22.154,24.973,23.912,25.428,24.8,24.025,25.578,25.155,26.671,27.696,27.8,27.255,30.402,29.334,31.241,32.36,34.06,35.61,37.784,39.108,39.809,39.329,43.908,44.049,47.034,50.074,50.155,49.051,51.616,57.264,56.362,55.195,58.284,60.156,58.338,56.018,56.267,57.241,58.274,59.757,60.847,64.101,62.252,64.283,65.628,65.605,66.336,64.202,65.875,65.084,62.532,63.496,64.344,65.765,64.11,61.42,61.112,59.139,60.269,56.482,57.936,61.088,57.944,59.104,59.596,58.113,58.567,61.465,61.802,61.182,58.759,58.417,59.411,62.225,63.086,63.081,65.877,68.482,68.451,67.893,72.792,74.986,76.363,74.464,75.2,75.959,76.19,76.57,78.132,78.516,78.844,80.282,83.303,85.701,84.334,84.203,86.791,88.42,90.15,90.171,92.362,95.959,96.809,95.465,99.098,102.258,103.179,106.755,108.912,107.401,109.387,109.84,113.727,116.129,117.712,120.095,126.832,128.966,128.906,122.878,127.264,127.651,129.243,130.112,134.697,136.582
"14","6","Federal","B823RA3",72.285,71.132,71.182,69.277,67.908,65.781,64.808,64.455,61.946,61.053,60.796,58.915,59.155,60.101,56.86,56.673,57.611,56.718,54.311,54.354,56.066,55.977,56.258,56.671,56.034,55.584,56.97,57.115,56.588,56.466,56.306,56.45,56.919,57.857,58.191,57.621,57.823,59.202,59.411,59.932,60.013,60.755,60.661,60.647,62.588,64.162,63.297,63.511,64.826,66.761,66.689,67.403,67.508,68.12,69.141,71.185,72.042,73.574,75.639,72.99,73.614,75.924,75.634,78.144,78.977,80.904,83.617,83.585,83.141,85.792,89.039,87.657,88.179,89.403,89.498,90.829,88.361,87.461,86.806,89.413,87.583,89.554,90.416,89.962,91.312,91.421,90.605,91.401,92.11,92.371,90.65,88.871,88.899,88.81,89.824,89.87,87.106,85.876,84.97,85.415,82.358,81.893,84.14,81.83,81.63,81.307,80.754,77.722,79.341,80.472,79.053,78.825,77.764,79.142,78.884,78.776,76.319,78.419,77.767,78.529,78.01,78.009,79.646,81.416,78.194,81.324,79.747,79.379,81.069,82.805,83.361,84.368,86.376,88.372,89.772,91.289,91.315,95.718,95.812,96.511,97.749,98.304,100.01,98.778,99.19,99.286,101.608,99.915,102.763,101.887,101.792,102.066,100.828,102.582,104.95,105.236,106.995,109.014,112.686,114.906,113.444,117.447,119.085,119.091,119.634,122.276,124.882
"15","7","    Consumption expenditures","B957RA3",79.304,80.116,79.576,78.798,75.917,73.765,72.913,72.126,71.289,70.526,69.549,68.639,69.492,69.632,67.002,66.012,65.715,65.117,63.057,62.843,64.253,63.187,63.467,63.607,62.996,63.345,63.068,63.009,62.448,62.833,61.893,62.131,62.568,63.559,64.126,63.963,64.199,65.082,64.997,65.063,65.737,66.564,64.967,65.71,67.286,69.637,68.788,68.586,70.307,72.031,71.724,72.429,73.066,72.615,74.431,76.151,76.765,78.054,79.974,75.935,76.356,78.97,79.014,80.34,81.465,82.551,84.604,84.758,84.575,86.967,88.753,87.547,88.404,88.636,88.184,90.537,89.072,87.916,87.126,90.332,88.048,90.387,90.439,90.729,91.64,91.392,90.43,91.528,93.104,92.576,90.856,89.253,89.027,88.737,89.838,90.12,87.667,86.419,85.93,86.311,84.414,83.565,85.263,83.32,82.796,82.598,82.395,78.928,79.82,80.979,79.699,80.491,79.656,81.184,80.123,80.4,77.52,79.487,78.124,79.515,79.152,78.217,79.801,81.624,78.705,82.464,80.484,80.319,82.324,83.848,84.33,85.311,87.336,88.929,89.986,91.93,92.026,96.506,96.379,97.058,98.547,98.827,100.235,99.094,99.754,99.425,101.426,99.394,102.313,100.957,101.292,101.024,99.967,101.141,103.676,104.042,105.934,106.726,110.282,112.609,111.792,115.6,116.828,116.599,116.932,119.086,121.564
"16","8","    Gross investment","B787RA3",45.213,37.819,39.765,34.28,37.94,36.008,34.683,35.735,27.88,26.593,28.766,23.762,22.003,25.314,20.612,22.858,27.434,25.725,22.476,23.299,25.794,28.76,29.008,30.261,29.589,26.591,33.295,34.093,33.695,31.92,34.3,34.126,34.683,35.392,34.945,33.052,33.129,36.058,37.228,39.24,37.321,37.742,42.716,40.124,43.258,42.056,41.181,42.858,42.656,45.267,46.037,46.758,44.95,49.35,47.482,50.594,52.281,54.633,57.162,59.714,61.125,62.234,60.675,67.683,67.332,72.533,77.808,76.997,75.464,79.129,88.432,86.328,85.406,90.942,93.468,90.236,83.34,83.621,83.599,83.454,83.705,83.96,88.485,84.656,87.988,89.728,89.599,88.979,85.613,89.582,87.889,85.31,86.561,87.456,88.021,86.917,82.684,81.566,78.638,79.392,70.683,72.128,77.031,72.959,74.349,73.413,71.153,70.361,75.605,76.599,74.497,68.982,66.725,67.277,71.271,69.096,68.955,71.751,74.977,72.297,70.918,76.049,77.963,79.433,74.563,74.105,74.853,73.314,73.152,76.11,77.084,78.23,80.12,84.596,88.114,86.959,86.542,90.434,91.964,92.787,92.354,94.754,98.452,96.596,95.299,98.315,102.86,103.527,105.875,108.431,105.276,109.41,106.885,112.858,113.993,113.674,114.424,125.521,130.022,131.432,125.216,130.637,135.308,137.061,139.168,145.476,149.023
"17","9","      Structures","B801RA3",145.793,147.317,145.241,134.781,126.622,130.613,135.181,138.082,144.315,150.305,164.195,159.601,155.127,153.009,149.609,146.164,156.998,151.509,158.684,159.214,148.785,159.743,140.185,146.411,149.79,145.805,151.861,155.663,155.981,151.954,146.38,149.439,151.802,157.352,159.095,151.046,154.559,175.71,184.073,173.276,154.944,154.4,162.15,153.274,165.303,164.674,170.86,158.942,163.782,164.952,153.088,162.43,152.914,145.675,146.493,149.801,154.477,154.869,161.684,155.118,152.511,159.467,156.89,160.304,160.558,173.039,183.997,177.766,186.986,185.733,190.549,184.465,197.768,207.778,205.443,204.883,170.968,176.381,167.079,157.237,147.805,145.263,149.723,150.584,158.398,157.016,156.431,138.611,133.448,146.576,141.935,160.822,162.759,163.819,150.464,169.526,168.669,163.097,171.273,165.909,149.113,148.151,155.345,170.881,172.742,162.352,165.633,155.114,163.436,169.728,160.841,145.95,147.237,144.519,152.112,128.072,144.721,144.907,149.361,136.127,140.86,135.519,131.653,130.208,116.131,111.062,110.989,100.499,99.173,103.515,104.213,109.511,115.141,117.346,121.323,123.233,126.88,131.122,133.625,126.485,120.999,118.029,114.294,97.469,100.52,93.638,101.298,104.544,97.745,102.749,100.412,113.731,110.126,125.704,122.286,114.015,103.906,120.756,129.011,133.06,135.738,135.432,162.136,166.17,173.275,180.206,187.679
"18","10","      Equipment and software","B872RA3",34.047,27.012,28.968,24.42,28.345,26.291,24.766,25.566,17.769,16.203,17.466,13.018,11.639,14.674,10.731,12.925,16.486,15.223,11.839,12.557,15.467,17.585,18.998,19.81,18.958,16.318,22.458,22.985,22.565,21.099,23.739,23.374,23.769,24.101,23.559,22.245,22.093,23.569,24.158,26.8,26.138,26.589,30.965,29.021,31.287,30.135,28.812,31.371,30.802,33.334,34.974,35.01,33.893,38.839,36.903,39.781,41.131,43.457,45.493,48.531,50.146,50.744,49.371,56.177,55.806,60.108,64.604,64.26,61.938,65.784,74.916,73.27,71.189,76.061,78.907,75.582,71.457,71.253,72.088,72.865,74.031,74.544,78.887,74.756,77.511,79.489,79.41,80.504,77.455,80.365,79.034,74.421,75.555,76.399,78.335,75.25,70.841,70.218,66.274,67.625,60.066,61.705,66.193,60.237,61.525,61.607,58.838,59.102,63.851,64.248,62.947,58.611,56.006,56.907,60.394,60.798,58.698,61.757,64.785,63.421,61.309,67.646,70.248,72.065,68.422,68.564,69.417,69.07,69.072,71.826,72.834,73.397,74.75,79.519,82.953,81.366,80.367,84.192,85.567,87.55,87.858,91.055,95.895,96.406,94.438,99.078,103.122,103.363,107.292,109.425,106.125,108.605,106.263,110.451,112.43,113.608,116.423,126.428,130.216,131.122,123.173,129.721,130.134,131.451,132.607,138.792,141.592
"19","11","  National defense","B824RA3",87.542,85.578,85.448,83.658,81.434,77.587,76.38,75.8,72.237,69.47,68.079,66.136,65.182,66.208,61.528,61.434,62.627,61.504,57.856,58.257,59.601,60.56,59.117,59.101,58.647,57.741,59.928,59.805,58.981,58.94,58.813,58.578,59.235,60.138,60.167,58.505,58.876,60.203,60.365,60.633,60.931,62.156,61.972,62.32,64.154,64.308,64.427,65.275,66.514,68.523,69.108,70.367,71.161,73.141,74.413,76.541,76.996,78.776,79.314,81.355,81.609,82.477,82.148,85.65,86.242,88.731,92.308,92.727,92,95.469,99.187,96.41,97.831,100.183,101.665,101.522,100.432,99.576,98.608,100.687,97.426,99.502,100.711,99.703,99.921,99.639,97.934,99.725,100.593,100.318,97.631,94.314,92.843,92.91,94.185,93.464,89.785,88.463,87.26,88.097,83.683,83.726,86.484,82.395,82.174,82.028,81.047,78.495,80.026,81.117,79.396,78.886,76.352,78.151,77.772,78.199,73.543,76.359,77.308,76.7,75.772,75.81,78.056,79.904,75.179,78.647,77.03,77.09,78.447,79.544,80.267,81.374,83.128,85.041,86.482,88.476,87.785,95.191,94.066,95.929,97.359,97.871,100.708,98.201,99.068,99.826,102.492,98.614,101.115,101.384,100.892,102.963,101.066,103.103,105.645,105.655,107.419,109.23,114.255,115.707,113.195,117.684,120.237,119.477,119.582,121.732,124.233
"20","12","    Consumption expenditures","B997RA3",96.214,97.143,95.853,95.936,91.237,87.354,86.387,85.218,84.215,81.428,78.859,78.484,78.232,78.009,74.174,72.863,72.459,71.698,68.517,68.646,68.995,69.487,67.026,66.758,66.599,66.569,66.304,66.033,65.197,66.216,64.897,64.646,65.152,66.208,66.847,65.413,66.165,66.928,67.106,66.277,67.227,68.623,66.493,67.489,69.149,69.918,70.563,70.748,72.536,73.888,74.323,75.574,77.021,77.765,79.992,81.41,81.993,83.244,83.189,84.596,84.657,85.485,85.575,87.471,88.601,89.564,92.462,93.193,92.935,95.743,97.045,94.733,96.86,98.311,99.2,100.179,100.501,99.382,98.355,100.818,96.962,99.679,99.701,99.843,99.642,98.713,96.519,98.646,101.047,99.946,97.366,94.759,92.771,92.424,93.796,93.763,90.916,89.414,88.684,89.063,85.793,85.135,87.202,83.989,83.528,83.297,82.954,80.05,80.922,82.161,80.748,81.347,79.212,81.218,79.668,80.19,75.843,78.594,78.671,78.634,78.21,77.287,79.31,81.857,76.407,80.486,78.36,78.529,80.282,80.872,81.428,82.601,84.633,85.772,86.719,89.262,88.456,96.38,94.719,96.552,98.203,98.485,100.79,98.265,99.548,99.751,102.339,98.362,100.843,100.214,100.367,101.869,100.2,101.456,104.262,104.298,106.244,106.316,111.294,112.845,111.044,115.111,117.326,116.251,116.337,117.866,120.389
