"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","  Exports","B020RG3",32.771,34.027,35.283,36.928,41.784,51.478,56.738,58.6,60.987,64.703,72.49,79.843,85.744,86.138,86.478,87.28,84.609,83.342,85.451,89.876,91.373,91.993,93.212,92.833,92.808,93.842,95.997,94.727,93.103,90.972,90.408,91.999,91.627,91.253,93.216,96.517,100,103.447,106.902,111.874,105.877
"23","16","    Goods","B253RG3",37.453,39.142,40.188,41.256,47.884,60.598,67.352,69.075,71.59,75.717,85.713,93.955,100.587,99.436,98.711,99.568,94.588,91.487,93.853,99.897,101.197,100.238,100.133,98.526,97.97,99.016,101.367,98.749,96.021,92.992,91.733,92.897,92.321,91.719,93.522,96.926,100,103.328,106.796,111.97,104.403
"24","17","    Services","B646RG3",23.708,24.164,25.751,28.36,29.681,33.11,35.334,37.468,39.579,42.446,45.749,51.381,55.845,59.233,61.553,62.231,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.14,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.718,107.146,111.643,109.172
"25","18","  Imports","B021RG3",22.254,23.57,25.017,26.77,31.423,44.957,48.699,50.165,54.586,58.44,68.434,85.24,89.822,86.794,83.541,82.82,80.1,80.097,84.948,89.011,90.956,93.563,92.783,92.856,92.144,93.009,95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.144,100,104.144,107.531,118.685,105.987
"26","19","    Goods","B255RG3",22.665,24.205,25.445,27.395,32.29,48.319,52.366,53.766,58.692,62.607,73.825,93.155,98.341,94.369,90.424,89.802,86.268,84.336,90.35,94.654,97.303,99.09,97.216,96.685,95.604,96.301,98.868,96.362,92.381,86.801,86.874,91.128,88.482,86.93,89.476,93.872,100,104.207,107.489,119.603,104.908
"27","20","    Services","B656RG3",19.805,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.094,42.645,48.16,55.892,58.318,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.072,71.019,73.612,75.673,76.313,77.806,80.235,82.234,82.233,80.629,83.185,84.209,84.219,86.088,91.469,95.573,100,103.806,107.75,113.921,110.711
"28","21","Government consumption expenditures and gross investment","B822RG3",17.517,18.945,20.421,21.989,23.594,25.977,28.586,30.469,32.583,34.67,37.575,41.669,45.768,48.775,50.717,53.319,54.974,55.977,57.541,59.074,60.924,63.405,65.606,67.276,68.949,70.819,72.753,74.488,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.531,100,104.842,109.863,115.009,114.644
"29","22","  Federal","B823RG3",18.226,19.699,21.383,23.471,25.08,27.315,30.158,32.302,34.742,36.888,39.727,43.9,48.165,51.434,53.218,56.358,57.635,57.938,58.642,59.884,61.504,63.548,66.07,68.101,69.83,71.725,73.717,75.763,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.753,111.119,110.895
"30","23","    National defense","B824RG3",17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.057,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.249,112.109,111.342
"31","24","    Nondefense","B825RG3",19.284,21.143,22.746,23.892,25.231,27.245,30.505,32.549,34.993,36.514,39.1,42.906,46.917,49.825,51.501,52.779,54.574,55.915,56.953,58.679,60.497,62.568,65.672,67.034,70.002,72.267,74.83,76.406,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.743,109.077,109.984
"32","25","  State and local","B829RG3",17.013,18.411,19.72,20.896,22.495,24.97,27.41,29.114,31.005,33.042,35.976,40.002,43.975,46.786,48.857,51.034,53.002,54.577,56.849,58.621,60.654,63.474,65.443,66.856,68.494,70.351,72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,111.112,117.349,116.892
