"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","  Goods","DGDSRG3",33.292,33.692,34.07,34.387,34.719,35.002,35.246,35.639,35.827,36.168,36.366,36.47,36.84,36.957,37.242,37.501,38.1,38.978,39.719,40.603,42.203,43.606,44.961,46.275,46.954,47.314,48.213,48.867,49.106,49.269,49.876,50.585,51.385,52.112,52.654,53.299,54.026,55.17,56.072,57.036,58.414,60.097,61.657,63.16,65.422,67.009,68.376,69.769,71.493,72.383,73.094,73.707,74.126,74.284,75.048,75.141,75.145,75.891,76.415,76.538,77.152,77.338,77.506,77.743,78.239,78.622,78.682,79.163,78.904,77.78,78.141,78.411,79.774,80.564,81.263,81.709,81.83,82.521,83.433,84.048,84.943,86.419,86.439,86.798,88.392,88.727,89.981,91.611,91.556,91.736,91.904,92.284,92.391,92.782,93.257,93.484,93.653,93.734,93.628,94.129,94.03,94.357,95.226,95.347,95.46,95.656,95.681,95.704,96.341,96.766,96.583,97.012,97.125,96.6,96.328,96.198,95.449,95.068,95.04,94.868,94.768,95.455,95.93,96.26,97.02,97.479,97.74,97.842,97.831,97.998,97.484,96.404,95.956,96.609,96.585,96.571,97.189,95.783,96.289,96.259,97.11,97.654,97.751,98.953,98.847,99.103,100.846,101.203,101.116,101.765,102.329,100.822,101.626,102.798,102.997,104.362,105.67,106.929,108.807,103.643,102.039,102.974,104.403,105.12,105.784,104.812,105.058
"12","4","    Durable goods","DDURRG3",54.264,54.671,54.932,55.271,55.366,55.584,55.992,56.924,57.73,58.14,58.011,57.713,58.211,58.509,58.808,58.619,58.862,59.325,59.618,59.809,60.471,62.002,64.364,66.377,67.417,68.629,69.382,70.448,71.4,72.193,73.067,74.303,75.067,75.449,76.233,77.253,78.36,79.555,80.844,82.259,83.595,85.066,86.042,87.592,90.16,92.288,93.971,95.581,96.796,98.621,100.079,101.381,102.232,103.028,103.397,103.7,104.432,104.823,105.398,106.054,106.084,106.742,106.953,107.15,107.695,107.946,107.763,108.042,108.066,108.564,109.47,110.09,111.018,111.888,112.688,113.147,112.95,113.576,114.384,115.234,115.818,115.912,116.173,116.554,117.174,117.186,117.237,117.474,118.479,118.777,119.217,119.473,119.468,119.793,119.892,120.08,120.019,120.652,121.239,122.04,122.322,123.052,123.919,124.13,124.627,124.491,124.09,123.813,123.907,123.09,122.769,122.237,121.765,120.592,119.783,119.114,118.238,117.355,116.456,115.587,114.611,114.036,113.501,112.815,112.283,112.048,111.362,111.081,110.573,109.786,109.055,108.501,107.535,106.978,106.455,105.721,104.446,103.367,102.358,101.458,101.419,101.344,100.598,100.657,100.548,100.385,99.623,99.444,99.141,98.742,98.281,97.789,97.339,96.995,96.474,96.138,95.981,95.503,95.345,94.532,94.028,94.046,93.45,93.603,93.121,92.755,92.235
"13","5","    Nondurable goods","DNDGRG3",25.72,26.079,26.443,26.724,27.069,27.335,27.52,27.765,27.81,28.1,28.346,28.527,28.838,28.905,29.161,29.496,30.126,31.035,31.824,32.802,34.493,35.753,36.76,37.803,38.341,38.479,39.337,39.843,39.893,39.89,40.386,40.91,41.659,42.423,42.863,43.365,43.942,44.997,45.737,46.519,47.818,49.44,51.042,52.425,54.442,55.772,56.954,58.185,59.905,60.498,60.975,61.377,61.662,61.658,62.454,62.489,62.315,63.096,63.572,63.542,64.282,64.322,64.468,64.702,65.154,65.554,65.686,66.204,65.872,64.3,64.466,64.607,66.048,66.774,67.409,67.831,68.051,68.735,69.643,70.155,71.116,72.991,72.929,73.268,75.121,75.55,77.138,79.136,78.744,78.874,78.946,79.344,79.482,79.877,80.453,80.686,80.927,80.823,80.488,80.866,80.636,80.811,81.647,81.731,81.706,82.011,82.186,82.316,83.129,83.998,83.873,84.651,84.987,84.729,84.674,84.764,84.084,83.916,84.254,84.385,84.669,85.906,86.834,87.626,88.987,89.776,90.486,90.776,91.014,91.649,91.245,89.898,89.713,90.985,91.223,91.592,93.196,91.627,92.95,93.392,94.724,95.601,96.16,97.994,97.886,98.375,101.542,102.197,102.229,103.472,104.621,102.539,104.064,106.107,106.718,109.061,111.196,113.427,116.433,108.882,106.676,108.097,110.624,111.651,112.949,111.638,112.315
"14","6","  Services","DSERRG3",16.977,17.208,17.438,17.68,17.919,18.168,18.394,18.665,18.917,19.167,19.436,19.619,19.834,19.998,20.196,20.384,20.554,20.878,21.241,21.64,22.086,22.608,23.134,23.643,24.183,24.585,25.041,25.535,25.958,26.293,26.76,27.22,27.758,28.307,28.854,29.32,29.886,30.486,31.057,31.689,32.135,32.968,33.749,34.559,35.418,36.292,37.228,38.281,39.312,40.107,40.98,41.831,42.584,43.238,44.101,44.924,45.602,46,46.822,47.307,47.911,48.637,49.215,49.636,50.318,50.787,51.316,51.79,52.555,53.145,53.639,54.175,54.619,55.058,55.688,56.288,57.041,57.762,58.525,59.18,59.946,60.573,61.112,61.747,62.551,63.508,64.265,64.924,65.625,66.187,66.924,67.608,68.405,68.987,69.497,70.073,70.533,71.13,71.572,71.961,72.456,72.921,73.471,73.972,74.554,75.15,75.637,76.142,76.553,77.143,77.784,78.434,79.018,79.594,80.071,80.586,80.998,81.474,81.913,82.394,82.85,83.251,83.7,84.258,85.058,85.417,86.063,86.756,87.709,88.277,88.555,89.173,89.719,90.468,91.186,91.856,92.558,93.392,94.063,94.754,95.513,96.314,97.175,97.748,98.704,99.52,100.306,101.47,102.171,102.998,103.844,104.63,105.754,106.51,107.33,108.298,109.191,110.412,111.234,111.428,111.579,111.894,112.355,113.102,113.62,114.116,114.314
"15","7","Gross private domestic investment","B006RG3",30.303,30.625,30.872,31.281,31.512,32.198,32.101,32.479,33.05,33.532,33.905,34.194,34.594,34.823,35.191,35.701,36.012,36.649,37.41,37.816,38.572,39.736,41.345,42.937,44.467,45.498,46.035,46.664,47.079,47.87,48.538,49.273,50.317,51.271,52.289,53.342,54.36,55.48,56.561,57.719,58.907,60.406,61.91,63.174,64.642,66.166,67.539,68.996,71.038,72.638,73.815,75.126,76.056,76.878,77.3,77.36,77.035,76.649,76.481,76.659,76.813,77.21,77.435,77.565,77.733,77.801,78.079,78.573,78.884,79.392,80.03,80.643,80.949,81.086,81.22,81.798,82.417,82.882,83.168,84.014,84.445,84.945,85.312,85.725,86.191,86.427,86.981,87.389,88.085,88.015,88.055,87.768,87.536,87.564,87.691,87.898,88.321,88.614,88.826,88.929,89.444,89.689,89.977,90.202,90.592,90.881,90.974,90.913,90.55,90.265,90.549,90.457,90.302,90.147,90.096,89.933,89.387,89.103,89,88.945,89.059,89.019,88.882,88.997,89.516,89.783,90.184,90.334,90.337,90.622,91.02,91.012,90.975,90.962,90.928,91.608,92.191,92.035,92.303,93.115,94.059,95.181,96.194,97.092,98.208,99.258,100.57,101.964,103.139,104.026,104.666,105.653,106.195,106.22,106.164,106.264,106.211,106.482,106.981,108.235,107.111,105.259,103.656,103.466,102.952,102.765,102.895
"16","8","  Fixed investment","B007RG3",29.306,29.623,29.874,30.265,30.489,31.178,31.08,31.443,31.994,32.456,32.845,33.147,33.556,33.772,34.108,34.599,34.943,35.555,36.302,36.751,37.442,38.525,40.045,41.677,43.161,44.19,44.712,45.383,45.831,46.62,47.27,48.008,49.062,50.003,51.144,52.253,53.252,54.371,55.417,56.525,57.718,59.209,60.659,61.88,63.31,64.775,66.174,67.613,69.431,70.997,72.191,73.588,74.591,75.452,75.859,75.968,75.61,75.301,75.193,75.292,75.367,75.702,75.94,76.149,76.377,76.485,76.807,77.305,77.661,78.253,78.933,79.469,79.723,79.824,79.969,80.628,81.349,81.848,82.225,83.023,83.436,83.942,84.289,84.729,85.199,85.473,86.013,86.546,87.178,87.168,87.134,86.846,86.689,86.725,86.85,87.06,87.517,87.768,87.97,88.096,88.591,88.871,89.215,89.415,89.779,90.074,90.194,90.194,89.903,89.63,89.893,89.841,89.696,89.587,89.608,89.466,88.999,88.745,88.671,88.611,88.74,88.729,88.606,88.727,89.282,89.58,89.988,90.151,90.121,90.443,90.837,90.813,90.743,90.748,90.752,91.453,92.084,91.915,92.189,93.016,93.957,95.088,96.113,97.006,98.146,99.237,100.605,102.012,103.195,104.089,104.713,105.677,106.237,106.287,106.221,106.279,106.267,106.617,107.365,107.961,107.14,105.575,104.294,104.03,103.661,103.487,103.523
"17","9","    Nonresidential","B008RG3",37.944,38.295,38.696,39.174,39.586,40.272,40.499,41.037,41.616,42.119,42.495,42.755,43.235,43.553,43.828,44.077,44.436,45.055,45.729,46.199,47.01,48.493,50.555,52.874,54.947,56.38,57.098,57.898,58.569,59.287,60.067,60.952,62.238,63.198,64.323,65.46,66.396,67.518,68.613,69.783,71.297,72.88,74.433,75.816,77.491,79.283,80.966,82.653,85.016,87.119,88.687,90.504,91.706,92.687,93.115,93.172,92.477,91.904,91.564,91.429,91.348,91.634,91.705,91.798,92.005,92.11,92.41,92.836,92.999,93.633,94.279,94.722,94.726,94.581,94.476,95.227,96.076,96.546,96.925,97.882,98.278,98.636,99.078,99.567,100.02,100.312,101.008,101.791,102.684,102.516,102.248,101.918,101.793,101.493,101.421,101.246,101.528,101.562,101.523,101.547,101.87,102.085,102.188,101.971,102.067,102.352,102.387,102.18,101.583,100.978,100.961,100.695,100.289,99.948,99.672,99.193,98.388,97.768,97.306,96.885,96.731,96.334,95.859,95.768,95.988,96.095,96.421,96.371,95.864,95.893,95.85,95.547,95.524,95.307,95.148,95.472,95.412,95.127,95.247,95.632,95.927,96.603,97.111,97.696,98.78,99.572,100.248,101.401,102.279,103.112,103.878,104.868,105.393,105.586,105.499,105.541,105.686,106.248,107.431,108.571,107.726,106.162,104.768,104.144,103.639,103.636,103.689
"18","10","      Structures","B009RG3",14.174,14.408,14.607,14.885,15.034,15.504,15.547,15.805,16.132,16.499,16.865,17.161,17.497,17.714,17.946,18.294,18.566,18.963,19.49,19.966,20.504,21.399,22.397,23.341,24.025,24.461,24.68,24.971,25.124,25.576,25.951,26.311,27.145,27.634,28.259,28.854,29.474,30.297,31.041,31.887,32.776,33.781,34.827,35.567,36.182,36.917,37.704,38.883,40.552,41.961,43.149,44.609,45.576,46.028,46.155,45.95,45.162,44.708,44.613,44.546,44.598,45.047,45.338,45.606,45.953,46.059,46.299,46.566,46.76,47,47.21,47.455,47.467,47.668,47.925,48.392,49.151,49.64,50.127,50.663,51.095,51.697,52.099,52.501,52.942,53.312,53.753,54.08,54.562,54.654,54.64,54.109,54.108,54.323,54.584,54.994,55.392,55.869,56.326,56.824,57.267,57.618,58.325,59.147,59.853,60.243,60.899,61.406,61.466,61.697,62.486,62.916,63.525,64.106,64.827,65.605,66.531,67.246,67.796,68.346,68.829,69.276,69.763,70.369,71.213,71.866,72.626,73.485,74.521,75.648,76.854,77.323,78.054,78.912,79.628,80.572,81.545,81.599,82.214,83.339,85.083,87.025,89.449,92.209,95.042,97.673,101.447,105.838,108.823,111.791,113.962,117.111,118.548,119.067,120.038,121.466,122.516,123.978,126.424,128.922,127.071,123.006,119.654,119.017,119.291,119.887,120.755
"19","11","      Equipment and software","B010RG3",57.387,57.688,58.183,58.681,59.314,59.868,60.305,60.988,61.609,61.967,62.037,62.005,62.404,62.679,62.828,62.696,62.965,63.582,64.08,64.236,65.032,66.645,69.327,72.654,75.907,78.221,79.38,80.583,81.752,82.506,83.525,84.791,86.139,87.359,88.707,90.128,91.109,92.167,93.275,94.371,96.116,97.828,99.403,101.094,103.602,106.162,108.4,109.965,112.137,114.214,115.525,116.85,117.687,119.009,119.717,120.206,120.085,119.617,119.054,118.87,118.629,118.538,118.249,118.038,117.934,117.988,118.243,118.718,118.778,119.705,120.678,121.214,121.195,120.664,120.145,120.994,121.673,121.974,122.11,123.268,123.506,123.487,123.851,124.299,124.638,124.755,125.542,126.62,127.728,127.326,126.861,126.797,126.571,125.847,125.485,124.822,124.962,124.627,124.197,123.844,124.042,124.133,123.774,122.832,122.496,122.684,122.28,121.599,120.606,119.489,118.948,118.248,117.208,116.306,115.43,114.209,112.414,111.046,110.023,109.08,108.599,107.781,106.84,106.405,106.309,106.146,106.25,105.75,104.496,103.985,103.304,102.626,102.257,101.567,101.042,101.11,100.625,100.201,100.117,100.205,99.926,100.106,99.887,99.669,100.114,100.234,99.812,99.84,99.977,100.042,100.285,100.472,100.659,100.728,100.22,99.696,99.476,99.668,100.32,100.868,100.461,99.953,99.344,98.721,97.954,97.764,97.574
"20","12","    Residential","B011RG3",15.879,16.112,16.172,16.415,16.399,17.011,16.558,16.694,17.138,17.487,17.815,18.088,18.345,18.427,18.733,19.308,19.565,20.048,20.73,21.093,21.569,22.073,22.788,23.411,24.004,24.427,24.657,25.098,25.244,25.984,26.4,26.867,27.51,28.258,29.194,30.074,30.96,31.885,32.707,33.571,34.231,35.405,36.544,37.43,38.412,39.318,40.219,41.207,42.108,42.77,43.313,43.951,44.599,45.261,45.644,45.858,46.079,46.193,46.419,46.83,47.111,47.487,47.945,48.311,48.557,48.662,48.994,49.562,50.157,50.639,51.291,51.89,52.436,52.834,53.286,53.762,54.246,54.737,55.077,55.591,55.991,56.669,56.858,57.202,57.675,57.909,58.18,58.278,58.444,58.706,59.07,58.864,58.671,59.215,59.636,60.421,61.114,61.685,62.244,62.517,63.24,63.604,64.292,65.138,65.942,66.254,66.526,66.89,67.138,67.447,68.194,68.532,68.879,69.21,69.807,70.33,70.53,71.012,71.718,72.387,73.096,73.89,74.516,75.102,76.397,77.133,77.738,78.391,79.446,80.421,81.772,82.338,82.164,82.601,82.916,84.326,86.229,86.279,86.84,88.463,90.544,92.463,94.377,95.802,97.026,98.64,101.224,103.11,104.89,105.94,106.295,107.199,107.793,107.48,107.5,107.681,107.296,107.012,106.268,104.867,104.094,102.503,101.637,102.712,102.869,102.03,101.994
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
