"","Table 5#5#5U# Private Fixed Investment in Equipment and Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195"
"11","3","  Information processing equipment and software","A679RC0",3759,3837,3960,4394,4593,4940,4817,5129,4833,5338,5353,5519,5855,5722,5553,5694,6043,6461,6767,6844,7195,7296,7229,7741,7845,8255,8778,9190,9831,10486,10938,11398,11124,11222,11059,11695,11854,11711,12033,12056,13031,14171,15227,16019,16694,16991,16359,16506,16173,17299,17594,18275,19111,19067,19498,20139,21567,22731,23358,24662,25144,25629,27885,29269,29086,28453,28223,28378,29423,31613,33657,36170,36827,38577,39637,41619,43694,47777,50365,52910,55543,56714,59356,62328,65402,66741,70672,72267,76519,79462,82922,86951,90226,87529,88361,86917,92110,97372,101304,109484,112048,119212,124151,130745,128852,131393,128682,132467,132998,136467,136285,141297,137623,138949,143608,144566,148873,154263,156850,159748,164874,171740,176299,177432,178442,176743,174599,179008,177626,181092,184514,188462,190160,197308,205632,206588,211343,213344,222099,223622,228778,232425,236422,243264,252319,262468,263735,273488,281458,285866,294214,299027,311478,323200,340551,345883,355675,360585,362640,374576,389155,410539,422666,421578,446404,466489,473602,483974,470754,442796,422032,412514,402922,400277,403731,390616,393781,394922,412488,425522,430028,428145,431533,436495,446976,452335,456635,461315,482400,479876,489635,487947
"12","4","    Computers, software, and communication","W175RC0",1569,1652,1855,2120,2302,2532,2575,2875,2802,3109,3162,3371,3712,3689,3501,3510,3694,3999,4214,4238,4403,4436,4366,4651,4781,5094,5485,5808,6142,6500,6899,7190,7107,7190,7097,7622,7737,7710,7987,7968,8667,9527,10343,11055,11399,11843,11370,11603,11219,11827,11868,12388,12923,12751,12822,12967,13848,14608,15118,15879,16098,16144,17005,17802,18246,17703,17368,17285,17927,19353,20822,22796,23313,24540,25297,26375,27505,30040,31684,33699,35981,37034,39471,41877,43674,45557,48150,48978,52214,54527,57439,60474,63460,61248,61661,60701,64435,68109,69990,76597,77996,83493,88015,94462,93187,95374,93360,96036,95440,97824,98322,100749,100535,101842,106173,107473,111334,115104,117286,119767,122944,128659,130318,132480,133219,131204,128859,132692,131788,134120,136051,138374,139910,145751,153261,153379,157166,157988,163862,164586,170957,174475,178983,185376,193691,203771,205413,213925,220813,225082,232519,237664,250862,263102,278701,282771,290552,296016,297515,310277,326713,347684,359247,357795,382660,402197,406531,415284,402223,376315,356004,345945,335084,330588,332718,319154,320854,319598,336215,347257,347620,348246,352032,356727,366040,370811,374027,377807,400026,393805,401730,401825
"13","5","      Computers and peripheral equipment","B935RC0",5,2,17,56,118,176,215,259,225,260,273,286,293,298,350,447,576,717,806,841,950,947,888,927,1020,1076,1219,1341,1439,1621,1766,1966,1860,1859,1818,1935,1871,1908,1979,1938,2096,2408,2564,2696,3113,2950,2429,2396,2272,2793,2912,3119,3717,3446,3498,3231,3430,3666,3398,3662,3455,3188,4426,4403,4084,3535,3273,3452,3677,4391,4512,5028,5210,5629,5753,6068,6271,7343,7955,8683,9301,9828,10409,11118,10947,11872,13477,13796,15397,15858,17247,20010,20802,18118,18343,18221,21312,23297,25166,25789,27681,30127,32938,35690,33313,35044,32405,34174,33662,34348,32340,33290,34971,35082,36333,36662,36618,37729,38578,38897,40999,43749,44275,43347,40949,38612,36552,38458,36366,36522,37561,40367,40147,44507,45933,45465,47722,46737,49235,48046,50057,51417,52338,55728,59089,65840,67047,72464,72466,71489,73526,73691,76542,80365,84922,83673,87394,87968,85683,87809,93442,98682,98156,93616,96190,103524,103828,102224,97320,88260,77525,78402,79717,76415,78079,74766,75280,73527,79067,83374,81364,79040,83034,85851,85448,85256,83898,85942,88028,85864,87155,85333
"14","6","      Software \1\","B985RC0",7,6,11,32,76,119,149,164,158,161,166,183,188,201,225,270,321,402,479,531,547,550,539,528,576,629,708,795,873,964,1054,1153,1171,1179,1155,1183,1229,1285,1343,1414,1516,1679,1885,2080,2257,2369,2366,2292,2245,2342,2451,2602,2683,2759,2840,2831,2979,3130,3294,3478,3578,3695,4001,4374,4803,4827,4749,4741,4818,5088,5330,5580,5454,5483,5454,5512,5726,6103,6520,7032,7452,7906,8351,8831,9142,9544,10055,10603,11087,11485,12038,12770,13739,14136,14193,14091,14828,15770,17018,17920,18726,19658,20872,22192,23002,23742,23850,24453,24755,25488,25821,26393,27307,28403,29579,30690,31949,33346,34902,36515,38445,40710,43158,45164,46331,47559,46978,49660,51999,53318,54040,55522,55652,56931,58356,60482,62500,63671,65050,65875,66800,67710,68828,69710,71038,73329,75794,78379,80997,83675,86495,90728,99544,104523,110069,115796,117478,121019,125922,131594,139478,149592,157913,163272,168668,174843,177882,183243,182809,176120,172103,167580,165864,167666,170960,165954,166147,167481,174611,177420,181617,181873,185382,188309,189727,193756,195573,196933,203576,206950,210750,214561
"15","7","      Communication equipment","C275RC0",1557,1644,1827,2032,2108,2237,2211,2452,2419,2688,2723,2902,3231,3190,2926,2793,2797,2880,2929,2866,2906,2939,2939,3196,3185,3389,3558,3672,3830,3915,4079,4071,4076,4152,4124,4504,4637,4517,4665,4616,5055,5440,5894,6279,6029,6524,6575,6915,6702,6692,6505,6667,6523,6546,6484,6905,7439,7812,8426,8739,9065,9261,8578,9025,9359,9341,9346,9092,9432,9874,10980,12188,12649,13428,14090,14795,15508,16594,17209,17984,19228,19300,20711,21928,23585,24141,24618,24579,25730,27184,28154,27694,28919,28994,29125,28389,28295,29042,27806,32888,31589,33708,34205,36580,36872,36588,37105,37409,37023,37988,40161,41066,38257,38357,40261,40121,42767,44029,43806,44355,43500,44200,42885,43969,45939,45033,45329,44574,43423,44280,44450,42485,44111,44313,48972,47432,46944,47580,49577,50665,54100,55348,57817,59938,63564,64602,62572,63082,67350,69918,72498,73245,74776,78214,83710,83302,85680,87029,85910,90874,93793,99410,103178,100907,117802,123830,124821,129817,122094,111935,106376,99963,89503,86507,83679,78434,79427,78590,82537,86463,84639,87333,83616,82567,90865,91799,94556,94932,108422,100991,103825,101931
"16","8","    Medical equipment and instruments","W176RC0",223,231,236,253,260,302,292,299,293,319,327,340,346,334,331,360,389,405,431,448,458,464,475,520,503,521,531,528,549,591,619,663,733,817,838,894,854,811,826,885,980,1018,1087,1158,1180,1241,1285,1267,1346,1454,1562,1581,1569,1619,1653,1720,1883,1959,1970,2054,2176,2368,2456,2605,2570,2733,2909,3014,3061,3214,3442,3539,3531,3550,3654,3826,4175,4356,4523,4623,4723,4755,4778,4932,5194,4943,5123,5527,5682,6070,6521,7002,7337,8158,8791,8737,8783,8951,9231,9539,9854,10029,10281,10235,10302,10407,10322,10626,10600,11144,10973,11743,11923,12191,12684,12800,13235,14163,13657,13045,14604,14217,14606,14508,15466,16225,16987,16964,16900,17368,18218,18751,18929,19638,20122,20872,21540,21624,22218,22869,21349,21468,21386,21270,21746,21618,21553,22197,22782,23496,24274,24522,25368,25879,26787,27726,29172,29429,30450,31257,31190,31679,31930,32104,32640,33372,35373,36355,37206,36970,36995,38237,39972,42019,43092,43855,44563,45361,46395,47736,50889,49158,49350,50089,51562,51346,52393,52473,52603,54707,56121,54851
"17","9","    Nonmedical instruments","W177RC0",479,478,462,474,467,525,489,481,461,488,484,483,476,439,423,445,463,464,481,487,480,479,486,536,537,565,582,582,605,639,645,666,657,723,731,776,764,707,714,754,777,772,803,842,893,919,912,845,819,855,900,927,1004,1103,1175,1240,1262,1295,1271,1301,1490,1672,1794,1932,1784,1765,1819,1827,1823,1956,2168,2314,3072,3369,3592,3936,3986,4067,4123,4102,4306,4355,4380,4610,4915,4770,4887,5130,5164,5406,5723,6109,6219,6107,6231,5946,5917,6093,6490,6775,7075,7620,8120,8287,8297,8414,8168,8352,8325,8619,8576,9062,8815,8922,8938,8735,8616,9039,9403,9774,10565,11158,12384,12821,12809,12958,12930,12969,12730,13092,13619,14137,14127,14343,14358,14187,13912,14134,14721,15317,15020,15333,15485,15868,16561,16795,16996,17817,17964,17972,18072,17630,16744,16137,16641,16805,16773,17205,17046,16820,16867,16907,16796,17091,16740,17052,18352,18996,18890,18167,17544,17905,18012,18226,18630,17997,18094,19024,19036,19909,21733,20253,20367,20078,20123,20489,20667,21246,20928,21930,22358,22025
"18","10","    Photocopy and related equipment","C285RC0",236,243,244,265,290,302,293,299,277,308,311,340,352,356,405,455,515,570,658,745,825,914,976,1081,1067,1121,1161,1203,1396,1494,1446,1452,1317,1223,1196,1168,1319,1298,1303,1297,1356,1428,1534,1521,1673,1623,1740,1798,1848,2013,2080,2130,2205,2331,2513,2863,2988,2969,3036,3139,3141,3314,3623,3946,3792,3963,4051,4098,4278,4304,4454,4596,4089,4269,4319,4614,4718,5194,5467,5549,5449,5426,5535,5589,6384,5853,6415,6778,7171,7387,7261,7162,7587,7586,7314,6993,6941,6837,7221,8089,8649,9595,9158,8929,8992,8732,8815,8625,9121,9035,9346,9515,9136,9648,9895,9955,10063,10433,11004,11367,11063,11366,12575,11684,11537,11361,11117,11668,11709,12018,12054,12221,12030,12403,12776,13075,13444,14145,15297,15066,15447,15477,15051,15213,14642,14251,13985,13871,14055,13530,13452,13311,12720,12398,12538,12879,13609,12610,12501,11437,10348,10219,10578,10604,10644,10147,9022,8739,7472,6751,6690,5868,5110,4602,4463,4355,4616,4670,4810,4467,4028,3991,3318,3222,3090,3198,3193,3315,3027,2965,2940,2911
"19","11","    Office and accounting equipment","B936RC0",1252,1233,1163,1282,1274,1279,1168,1175,1000,1114,1069,985,969,904,893,924,982,1023,983,926,1029,1003,926,953,957,954,1019,1069,1139,1262,1329,1427,1310,1269,1197,1235,1180,1185,1203,1152,1251,1426,1460,1443,1549,1365,1052,993,941,1150,1184,1249,1410,1263,1335,1349,1586,1900,1963,2289,2239,2131,3007,2984,2694,2289,2076,2154,2334,2786,2771,2925,2822,2849,2775,2868,3310,4120,4568,4937,5084,5144,5192,5320,5235,5618,6097,5854,6288,6072,5978,6204,5623,4430,4364,4540,6034,7382,8372,8484,8474,8475,8577,8832,8074,8466,8017,8828,9512,9845,9068,10228,7214,6346,5918,5603,5625,5524,5500,5795,5698,6340,6416,5939,5411,4995,4706,4715,4499,4494,4572,4979,5164,5173,5115,5075,5281,5453,6001,5784,6005,5672,5517,5537,5679,6033,5788,5678,5844,5786,5897,5900,5784,5684,5884,5702,5569,5325,5128,4785,4037,4050,4115,3984,3720,3721,4324,4600,4963,4593,4799,4559,4744,4842,4828,5255,5654,6269,6032,6153,5758,6497,6466,6379,6161,6491,6355,6474,5816,6469,6486,6335
"20","12","  Industrial equipment","A680RC0",8403,8294,8407,8992,9234,9935,9339,8993,8397,8685,8735,9386,9404,9529,9182,8895,9385,9833,10288,10599,10828,10885,11502,12520,12732,13332,14161,14496,15061,16117,16519,16903,17266,17077,16410,16925,17332,17095,17058,17628,18349,18799,19511,19545,20296,20281,20523,20035,19235,19126,19401,20072,20009,21019,21930,22681,23671,25444,26661,28318,29323,30405,31232,31674,30544,30935,31726,32110,33291,33805,34262,35124,36848,37775,40415,42733,44284,46855,49293,50488,54135,54875,56195,59415,60259,59837,60107,62765,63986,65062,66247,66645,64524,63918,62411,59825,56892,57264,59828,61535,65361,67301,68943,70949,70446,72612,71896,74919,74659,74397,76304,76301,75889,75644,77336,77977,79058,83443,86210,88016,91709,92828,95235,93529,94326,90976,92417,90852,90594,88940,89238,88484,88758,91020,94282,97784,98896,99970,101685,108375,109448,110993,114864,119171,125276,129099,130964,130502,134310,137112,136303,138358,137861,140475,141406,141931,148841,147421,144404,144888,144649,146301,148296,148814,155994,159527,162052,159285,160102,148397,141575,136556,136664,133587,136037,136397,141138,144857,141291,135413,134513,134299,140871,143718,150051,149499,156981,163877,163395,170061,171954,170570
"21","13","    Fabricated metal products","C263RC0",1029,980,887,900,937,960,907,896,805,912,873,862,864,809,756,743,776,848,916,968,980,977,1024,1095,1129,1170,1239,1290,1364,1418,1449,1413,1412,1411,1364,1433,1591,1642,1741,1842,1939,2017,2150,2366,2494,2513,2643,2658,2543,2649,2911,2969,2883,2901,2919,3161,3466,3625,3707,3914,4170,4309,4630,4771,4725,5089,5614,5884,6092,6281,6052,5963,6180,6203,6137,6384,6453,6910,7196,7669,8068,8045,8371,10596,9083,8585,9080,9976,10071,10086,9950,9425,9350,9695,9743,9404,9226,9149,9067,9138,9109,8689,8434,8504,8552,8586,8788,8578,8287,8098,7874,7641,7379,7255,6891,7003,7461,7915,7964,8493,9058,8931,8921,8933,9015,9192,9272,9209,9044,9168,9588,9694,9503,9611,9624,9658,9467,9429,9101,9399,9745,9896,10096,10410,10621,10754,10815,11159,11837,12390,12363,11949,10786,10423,10541,10444,10661,11261,11034,11240,11348,11559,11955,12289,12267,12477,12426,12401,12562,12472,12587,12327,11828,11697,11115,10849,11190,11842,12124,12523,12386,12122,12430,12322,12430,12448,12973,12769,13088,13319,13552,13433
"22","14","    Engines and turbines","A668RC0",651,647,525,513,525,607,543,549,455,436,426,591,456,427,444,373,407,425,436,424,449,436,422,401,341,451,456,552,490,546,564,584,788,769,750,733,818,906,914,1116,1020,1104,1355,936,1102,1182,1358,1427,1502,1484,1349,1474,1690,1747,1703,1600,1421,1713,1840,1790,1709,1870,1671,2014,1697,1791,1820,1664,1954,1752,1515,1859,1738,1481,1714,2015,1888,1647,2009,1852,1900,2003,1956,1649,2049,1878,1812,1981,2505,2206,2197,2432,2189,2238,1805,1660,1741,1792,1650,1893,1384,1750,2037,2569,2397,2236,2100,1995,2099,1741,1695,1937,1972,2436,2840,2788,2367,2610,2896,3002,3223,3244,3229,3347,2999,3034,3271,3155,3519,4268,4182,3348,3889,3820,3469,3474,3337,3201,3717,3815,3509,4047,3567,4420,3618,3501,3345,2699,3561,3582,4211,4563,4715,2969,4363,2929,5053,4900,3960,3850,4637,5166,5986,6193,8817,6785,6263,6567,11511,10100,11556,10035,13472,11189,10842,10986,10425,11492,10660,8085,6008,3959,3887,4718,4480,4084,5290,6094,4721,5132,6267,6402
