"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"30","23","    Nonresidential","B008RG3",15.539,14.812,13.789,12.475,12.253,12.686,12.822,12.806,13.878,13.989,13.841,14.156,15.088,16.677,17.215,17.562,18.011,19.924,23.175,25.172,25.755,26.281,28.805,29.457,29.72,30.007,30.413,32.81,34.485,34.659,35.114,35.275,35.076,35.087,35.088,35.268,35.672,36.206,37.129,38.431,40.018,41.908,43.88,45.367,47.115,51.658,58.763,62.018,66.258,70.695,76.44,83.198,91.245,96.295,95.432,95.195,95.936,97.566,98.435,100.625,102.731,104.695,106.314,105.411,105.487,106.008,106.239,105.011,103.696,101.421,100.057,100,99.683,99.513,99.591,100.896,103.829,107.277,108.739
"31","24","      Structures","B009RG3",6.419,6.078,5.56,4.819,4.861,4.882,5.115,5.112,5.808,5.701,5.64,5.726,6.129,6.836,7.43,7.594,7.932,8.885,10.766,11.981,11.939,12.085,13.48,13.838,14.107,13.936,14.214,15.431,16.092,15.835,15.923,15.904,15.81,15.941,16.085,16.316,16.791,17.398,17.943,18.835,20.074,21.39,23.04,24.704,26.619,30.295,33.911,35.571,38.651,42.382,47.313,51.74,58.88,63.566,61.939,62.468,63.94,65.168,66.199,69.016,71.707,74.015,75.355,75.33,77.602,80.388,83.879,86.045,89.381,93.474,96.257,100,105.403,110.03,113.872,120.912,135.177,151.822,157.662
"32","25","      Equipment and software","B010RG3",23.012,22.09,20.938,19.748,18.973,20.043,19.866,19.835,20.97,21.475,21.249,21.818,23.205,25.521,25.655,26.148,26.589,29.107,32.974,35.35,36.714,37.635,40.834,41.662,41.76,42.765,43.166,46.376,49.005,49.968,50.882,51.305,51.025,50.774,50.495,50.474,50.52,50.654,51.776,53.167,54.645,56.657,58.34,59.044,60.047,64.474,74.001,78.355,83.011,87.391,92.932,100.868,108.077,112.293,112.53,111.547,111.413,113.178,113.796,115.216,116.657,118.168,119.854,118.444,117.243,116.572,115.224,112.451,109.12,104.259,101.366,100,97.708,95.956,94.912,94.6,94.534,94.594,94.87
"33","26","        Information processing equipment and software","A679RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.698,208.087,212.631,214.147,218.763,231.84,227.725,226.938,229.166,231.819,238.401,249.95,252.942,255.21,253.84,250.401,244.528,235.856,232.28,226.202,214.921,211.939,210.422,212.172,214.188,209.245,204.637,206.16,210.028,222.914,224.85,222.031,213.729,212.19,213.666,218.732,220.846,215.048,205.894,198.371,192.417,187.046,184.527,180.479,175.898,172.815,163.663,157.401,151.08,143.956,132.556,122.387,110.494,103.144,100,95.204,91.313,87.889,84.965,82.559,80.851,79.17
"34","27","          Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262389.608,206016.973,152198.265,107961.791,70908.676,59316.144,49013.29,34354.846,27913.278,23819.752,21566.993,19372.365,14750.214,11897.438,11279.976,9209.691,8519.406,7115.332,6191.973,4188.316,3470.456,2708.602,2380.406,2130.131,1775.924,1436.769,1221.439,1052.188,896.227,832.476,777.36,705.322,633.63,540.749,459.505,404.107,338.192,257.899,198.813,147.625,114.709,100,82.192,70.95,63.234,58.619,51.388,44.779,40.062
"35","28","          Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.443,139.782,137.303,132.029,127.025,128.064,124.805,120.825,119.298,119.461,120.538,122.538,119.62,117.496,119.764,124.434,129.662,129.953,131.216,128.314,132.104,135.367,140.241,143.969,142.527,140.105,137.647,132.634,131.707,130.238,123.807,119.504,119,109.084,108.383,104.808,104.179,101.689,98.755,95.82,97.047,100,100.496,98.792,96.705,94.525,94.236,95.464,95.888
"36","29","          Other","A937RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.233,40.129,41.005,41.298,42.188,44.71,43.916,43.764,44.194,44.706,45.975,48.202,48.76,49.229,49.291,49.32,49.156,49.438,49.774,49.823,50.404,51.932,53.291,55.074,57.082,59.12,60.588,61.782,65.71,71.872,75.209,75.816,78.922,81.215,87.192,93.255,97.66,100.38,102.561,104.086,106.713,109.307,110.786,112.199,113.551,114.973,116.158,115.893,115.268,114.28,112.518,111.106,106.219,102.833,100,97.437,95.953,94.227,91.864,91.132,90.86,90.278
"37","30","        Industrial equipment","A680RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.952,10.782,11.684,12.246,12.749,14.378,14.469,14.879,15.154,15.708,17.349,18.647,19.089,19.522,19.912,19.747,19.746,19.808,19.985,20.283,20.821,21.726,22.638,23.404,24.567,25.664,26.188,26.924,29.457,35.5,38.474,41.964,45.642,50.122,56.645,62.054,65.009,66.344,67.086,68.199,71.305,74.381,77.725,80.549,84.409,87.418,89.356,90.578,92.423,95.578,97.561,98.226,98.823,99.425,100,100.677,100.852,101.652,104.253,108.132,111.551,115.968
"38","31","        Transportation equipment","A681RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.336,18.941,20.294,21.234,21.611,22.982,24.354,23.444,24.476,23.995,26.342,27.528,27.926,28.506,28.462,28.4,28.095,27.964,27.718,27.644,27.616,28.064,28.841,29.717,31.141,32.686,33.387,33.749,36.891,41.011,43.952,47.366,51.635,56.065,61.951,66.567,69.579,70.622,71.357,73.513,78.113,79.346,80.563,83.396,86.366,90.741,93.132,94.025,96.696,96.271,98.194,99.752,99.057,99.972,100,99.211,100.236,103.988,109.421,109.973,110.916,112.762
"39","32","        Other equipment","A862RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.832,13.708,14.812,15.302,15.642,16.915,17.05,17.395,17.66,17.83,18.452,19.376,19.84,20.147,20.431,20.438,20.653,20.798,20.986,21.178,21.661,22.391,23.226,24.052,24.92,26.119,26.858,27.431,29.863,36.305,38.98,42.409,45.915,49.897,55.99,62.266,66.699,68.192,69.486,70.895,73.13,74.988,77.202,80.37,83.561,86.301,88.178,89.722,91.228,93.108,95.606,96.804,98.247,99.467,100,101.454,102.244,103.151,104.087,108.14,110.642,113.222
"40","33","    Residential","B011RG3",6.765,6.619,5.991,4.883,4.816,5.346,5.27,5.527,6.064,6.254,6.297,6.485,7.084,7.612,8.238,9.038,9.648,10.552,12.638,13.699,13.881,14.224,15.243,15.662,15.774,15.837,16.166,16.578,16.622,16.58,16.63,16.743,16.769,16.795,16.663,16.796,17.272,17.899,18.521,19.504,20.853,21.526,22.775,24.158,26.297,29.011,31.706,33.743,37.147,41.696,46.374,51.394,55.587,58.564,59.908,61.63,63.219,65.868,68.561,70.928,73.211,74.93,75.912,76.836,79.941,82.754,85.769,87.61,89.843,92.239,95.78,100,104.633,107.24,112.372,120.587,129.268,136.897,138.884
"41","34","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
