"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2008 9:58:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","  Gross domestic purchases","A712RV1",-4.1,-9.9,-11.7,-2.8,4.8,1.9,1.3,3.9,-2,-1,0.7,6.3,8,5.6,2.2,2.7,12.4,11.1,5.8,0.1,1.2,7.1,2,1.1,1.2,1.4,3.4,3.4,2.2,1.2,1.4,1.1,1.3,1.2,1.6,1.7,2.8,2.9,4.2,4.9,5.4,5.1,4.5,5.8,10.2,9.3,5.8,6.8,7.1,8.8,10.5,9.1,5.7,3.5,3.5,2.9,2.3,3.1,3.4,3.8,4.1,3.3,2.3,2.2,2.1,2.1,1.8,1.4,0.6,1.6,2.5,2,1.6,2.3,3.1,3.7,3.4,2.8
"9","2","Personal consumption expenditures","A002RV1",-4.2,-10.8,-11.9,-3.6,4.6,2.4,1,3.6,-2.3,-0.9,0.8,6.1,12.3,9.1,5.7,4,7.2,10.2,5.7,-0.8,1.2,6.8,2,1.4,0.9,0.5,2.1,3,2.4,1.6,1.6,1,1.2,1.2,1.4,1.5,2.5,2.5,3.9,4.6,4.7,4.3,3.5,5.4,10.3,8.3,5.5,6.5,7,8.8,10.7,8.9,5.5,4.3,3.8,3.3,2.4,3.5,4,4.4,4.6,3.6,2.9,2.3,2.1,2.1,2.2,1.7,0.9,1.7,2.5,2.1,1.4,2,2.6,2.9,2.8,2.6
"10","3","  Durable goods","A003RV1",-5.9,-10.5,-11.4,-3,5.4,-0.6,0.6,4.1,0.3,-1,0.9,7.2,16.6,8.8,12,5.4,4.1,8.5,5.1,1.2,0.6,6.6,0.9,-0.8,-2.2,-0.4,2.4,3.8,1.9,1.6,-0.5,0.2,0.4,0.3,0.5,-0.9,-0.4,1.6,3.3,2.8,2.2,3.6,1.1,1.5,6.3,9.1,5.6,4.4,5.7,6.7,8.4,6.7,3.9,2,1.5,1.1,1.1,2.8,1.4,1.8,0.8,1.5,0.6,1,2,0.6,-1.1,-2.2,-2.7,-2.4,-1.6,-1.9,-2.4,-3.6,-1.8,-0.8,-1.3,-1.8
