"","Table 4#4# Real Exports and Imports of Goods and Services by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"47","40","  Other","A653RX",27.2,28.2,30.4,35.2,36.1,37.4,38.1,42.2,43.2,45.6,51.5,60.7,69.9,78.8,79.8,83.8
"48","41","Imports of services \1\","B656RX",120.2,123.4,126.9,136.6,133.4,128,134,141.9,147.7,154.8,171.7,192.2,200.3,223.6,222.4,227.2
"49","42","  Direct defense expenditures","B752RX",22.7,21.2,20.9,20.3,18.9,15.3,13.7,11.3,10,11,12.7,13.7,14.7,15.5,17.5,20.9
"50","43","  Travel","B768RX",40.1,41.2,42.4,45.3,41,42.3,44.3,45.9,46.3,48,52.2,59.1,60.1,67,63.5,61.9
"51","44","  Passenger fares","B769RX",10,10.2,10.9,12.7,10.9,11.2,12.2,13.9,14.9,15.8,17.1,18.6,19.4,20.9,17.7,16.2
"52","45","  Other transportation","B770RX",22.7,24.4,25.3,27.2,26.8,25.7,26.3,27.9,27.8,27.4,29.6,31.6,31.8,35.4,33.6,35.1
"53","46","  Royalties and license fees","B908RX",2.5,3.3,3.1,3.7,4.6,5.7,5.4,6.1,7.1,7.8,9.4,11,12.1,15.1,15,16.7
"54","47","  Other private services","B909RX",18.3,18.8,19.8,22.7,25.8,22.4,26.4,30.5,35.2,38,43.7,51.1,55.4,62.6,69.8,70.4
"55","48","  Other","B910RX",5.7,5.8,5.8,5.8,6,6.1,6.2,6.4,6.5,6.7,6.9,7.2,7.2,7.6,8,8.3
"56","49","Residual","A978RX",-30.3,-26.3,-23.3,-22.6,-17.6,-14.6,-11.6,-7.7,-1.9,0.1,-1.2,-2,-4.9,-12.6,-2.5,-4.4
"57",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","50","  Exports of agricultural goods \2\","B181RX",42.8,47,50.3,50,50.1,56,54.6,56.4,62.9,61.5,62.6,62.6,63.1,68.3,70.5,68.8
"59","51","  Exports of nonagricultural goods","A182RX",231.7,278.2,315.3,344.9,372,395.4,409.8,452.3,506.3,556.9,645.4,660,686.4,765.4,714.9,688.5
"60","52","  Imports of nonpetroleum goods","A187RX",398,411.4,427.2,440.9,443.5,487.4,536.3,611,671.7,735.6,847,949.6,1073.2,1225.5,1177.1,1229.8
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","* The chained-dollar estimates for computers can be used to accurately measure the real growth rate of this component. However, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for computers, or for other components that exhibit rapid changes in prices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","relative to other prices in the economy, the chained-dollar estimates should not be used to measure the component's relative ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","importance or its contribution to the growth rate of more aggregate series.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","  Note. Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","For exports and for imports, the residual line is the difference between the aggregate line and the sum of the most detailed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","  Chain-type quantity indexes for the series in this table are shown in table 7.10.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","  Contributions to the percent change in real exports and in real imports of goods and services are shown in table 8.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","  See footnotes to table 4.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
