"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 8:53:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Gross domestic product","B191RG3",23.13,24.349,25.567,26.67,28.148,30.695,33.606,35.535,37.796,40.447,43.811,47.817,52.326,55.514,57.705,59.874,61.686,63.057,64.818,67.047,69.579,72.274,74.826,76.602,78.288,79.935,81.602,83.154,84.627,85.58,86.84,88.724,90.731,92.192,94.134,96.784,100,103.237,106.231,108.565,109.732,111
"9","2","Personal consumption expenditures","DPCERG3",22.626,23.685,24.692,25.536,26.913,29.716,32.198,33.966,36.171,38.705,42.137,46.663,50.833,53.64,55.948,58.065,59.965,61.427,63.618,66.151,69.025,72.18,74.789,76.989,78.679,80.302,82.078,83.864,85.433,86.246,87.636,89.818,91.53,92.778,94.658,97.121,100,102.723,105.499,108.943,109.169,111.112
"10","3","  Goods","DGDSRG3",33.907,35.2,36.258,37.186,39.404,44.322,47.903,49.777,52.435,55.653,60.916,67.737,72.769,74.753,76.102,77.541,78.785,78.417,80.939,83.072,86.268,89.801,91.996,93.106,93.915,94.87,95.757,96.809,96.696,95.237,95.735,97.655,97.563,96.563,96.492,97.929,100,101.441,102.764,105.912,103.209,104.837
"11","4","    Durable goods","DDURRG3",54.912,56.096,58.033,58.673,59.542,63.451,69.129,72.91,76.177,80.441,85.773,93.216,99.45,103.329,105.421,106.98,108.112,109.301,112.446,114.301,116.384,117.54,119.263,120.087,121.269,123.642,124.544,123.287,120.593,117.181,114.005,111.953,109.733,106.92,103.113,101.124,100,98.361,96.43,94.628,92.901,91.348
"12","5","    Nondurable goods","DNDGRG3",26.245,27.425,28.199,29.103,31.45,36.206,39.004,40.274,42.582,45.304,50.186,56.344,60.695,62.072,63.138,64.45,65.657,64.818,67.023,69.154,72.584,76.745,78.986,80.133,80.784,81.215,82.064,83.922,84.798,84.169,86.268,90.016,90.961,90.888,92.797,96.114,100,103.23,106.49,112.567,109.301,112.748
"13","6","  Services","DSERRG3",17.324,18.285,19.284,20.102,21.077,22.866,24.834,26.556,28.558,30.777,33.35,36.802,40.555,43.709,46.429,48.846,51.049,53.375,55.409,58.123,60.84,63.808,66.581,69.236,71.294,73.2,75.365,77.473,79.812,81.689,83.509,85.818,88.422,90.801,93.686,96.688,100,103.414,106.981,110.584,112.353,114.465
"14","7","Gross private domestic investment","B006RG3",30.883,32.19,33.794,35.206,37.107,40.797,45.833,48.366,51.994,56.235,61.323,67.08,73.422,77.18,76.987,77.538,78.332,80.029,81.561,83.424,85.418,87.064,88.302,87.993,88.997,90.157,91.173,90.786,90.449,89.435,89.315,90.283,91.08,91.451,92.483,95.633,100,104.302,106.313,107.501,106.401,104.743
"15","8","  Fixed investment","B007RG3",29.877,31.162,32.731,34.135,36.02,39.568,44.525,47.106,50.803,55.094,60.088,65.71,71.816,75.747,75.628,76.07,77.028,78.87,80.332,82.415,84.41,86.125,87.404,87.152,88.163,89.352,90.393,90.149,89.921,89.085,89.029,90.083,90.888,91.261,92.374,95.543,100,104.347,106.36,107.587,106.305,104.843
"16","9","    Nonresidential","B008RG3",38.74,40.571,42.479,43.914,45.605,50.008,56.893,60.048,64.157,68.453,74.013,80.541,88.316,93.181,92.35,92.127,92.85,94.427,95.275,97.392,99.435,101.339,102.906,102.048,102.1,102.592,102.811,101.612,100.326,98.125,96.704,96.75,96.317,95.889,95.471,96.837,100,103.425,105.645,107.717,107.106,105.373
"17","10","      Structures","B009RG3",14.518,15.473,16.664,17.863,19.247,21.91,24.534,25.741,27.973,30.675,34.238,37.421,42.567,45.927,44.757,45.147,46.219,47.106,47.863,49.895,51.848,53.522,54.491,54.502,56.103,58.089,60.601,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,119.78,125.706,122.49,121.117
"18","11","      Equipment and software","B010RG3",58.411,60.56,62.36,63.112,64.184,68.917,79.1,83.754,88.73,93.412,99.335,107.819,115.524,120.03,120.284,119.234,119.09,120.976,121.637,123.155,124.695,126.31,128.112,126.605,125.322,124.604,123.163,120.199,116.639,111.454,108.195,106.893,104.364,102.24,100.45,99.9,100,100.049,100.525,101,101.496,99.634
"19","12","    Residential","B011RG3",16.144,16.666,17.632,18.703,20.359,22.46,24.547,26.124,28.759,32.281,35.902,39.789,43.036,45.34,46.38,47.713,48.944,50.994,53.079,54.913,56.68,58.011,58.771,59.486,61.89,64.069,66.403,67.828,69.557,71.412,74.151,77.415,80.994,83.002,86.953,93.297,100,106.081,107.612,106.296,102.637,102.214
"20","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","B020RG3",32.796,34.053,35.31,36.956,41.816,51.517,56.781,58.645,61.033,64.752,72.545,79.903,85.81,86.204,86.544,87.347,84.674,83.406,85.516,89.945,91.443,92.063,93.283,92.904,92.879,93.914,96.07,94.799,93.174,91.042,90.477,92.069,91.696,91.322,93.282,96.539,100,103.44,106.9,111.975,105.959,110.617
"23","16","    Goods","B253RG3",37.494,39.185,40.232,41.301,47.937,60.665,67.426,69.151,71.668,75.8,85.807,94.058,100.697,99.545,98.819,99.677,94.691,91.588,93.956,100.006,101.308,100.348,100.242,98.634,98.077,99.124,101.478,98.857,96.127,93.094,91.834,92.999,92.422,91.819,93.616,96.958,100,103.319,106.793,112.143,104.524,109.69
"24","17","    Services","B646RG3",23.708,24.164,25.751,28.36,29.681,33.11,35.334,37.468,39.579,42.446,45.749,51.381,55.845,59.233,61.553,62.231,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.14,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.718,107.146,111.574,109.146,112.669
"25","18","  Imports","B021RG3",22.27,23.587,25.035,26.789,31.446,44.989,48.734,50.201,54.624,58.482,68.483,85.301,89.886,86.855,83.601,82.879,80.157,80.154,85.008,89.074,91.021,93.63,92.848,92.922,92.21,93.075,95.625,93.958,90.691,85.809,86.311,90.027,87.824,86.846,89.851,94.164,100,104.131,107.785,119.237,106.571,113.032
"26","19","    Goods","B255RG3",22.684,24.225,25.467,27.418,32.317,48.36,52.411,53.812,58.742,62.66,73.888,93.234,98.425,94.449,90.501,89.878,86.342,84.408,90.427,94.735,97.386,99.174,97.299,96.767,95.686,96.383,98.952,96.444,92.46,86.875,86.948,91.205,88.557,87.004,89.541,93.895,100,104.192,107.791,120.254,105.396,112.607
