"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160"
"11","2","  Durable goods industries","KS30DM0",87990,88040,89529,89902,90745,91465,92582,93015,94489,95539,95261,96013,97367,97903,98307,98825,98775,99840,99887,99536,100565,101082,101121,100394,101257,101915,102508,102207,102261,102834,103803,102944,103685,102717,104032,105950,104924,105895,105947,107127,108370,109850,110183,111619,111507,112072,113704,113940,114208,113347,112095,110062,110292,109097,108408,107794,106089,106083,105884,105105,104345,103699,104343,104133,103264,102868,102323,102684,102541,102701,101862,102321,101941,103071,102445,101611,101828,101258,100295,99555,99031,99351,98711,98924,99135,99433,100139,100755,100411,101343,102322,102244,102028,102923,103563,103393,104941,104945,105468,105822,106023,106508,106745,106798,107291,107378,108293,108572,108115,108769,109806,110270,110639,110671,111806,112382,112827,113670,113545,113457,113462,113044,112491,112378,111863,111395,111186,110838,110082,110497,110589,110537,110422,110086,110154,109812,108757,108696,109272,109031,109283,109987,111214,111701,112588,112815,111642,110301,109002,107555,105638,104489,103486,102081,100869,100542,99920
"12","3","    Wood product manufacturing","KS321M0",3721,3772,3776,3865,3809,3769,3730,3791,3925,3953,3954,3982,3926,3959,3847,3947,3993,4119,4139,4100,4183,4256,4235,4176,4342,4331,4315,4185,4190,4170,4197,4280,4188,4229,4331,4454,4429,4445,4446,4404,4426,4388,4295,4418,4401,4368,4360,4320,4382,4309,4334,4389,4391,4398,4370,4365,4147,4152,4214,4178,4127,4208,4294,4251,4257,4326,4282,4314,4334,4335,4373,4323,4410,4442,4446,4478,4412,4365,4325,4280,4164,4306,4325,4380,4464,4474,4605,4751,4709,4665,4779,4844,4906,4933,4913,4821,4997,5009,5088,5143,5093,5084,5057,5013,5064,5065,5069,5132,4942,5098,5073,5107,5076,5269,5139,5191,5113,5112,5049,5102,5056,5065,5024,4960,4932,4875,4847,4793,4768,4727,4708,4611,4615,4549,4445,4362,4328,4317,4350,4306,4301,4291,4247,4223,4263,4276,4385,4332,4202,4083,3976,3915,3839,3755,3726,3762,3810
"13","4","    Nonmetallic mineral product manufacturing","KS327M0",3860,3897,3834,3936,3899,3913,3965,3952,3975,4017,4023,4034,4001,3944,3938,3965,3921,3953,3985,4053,4090,4032,4040,3997,3967,3977,3998,4006,4010,4005,4017,4074,4098,4089,4041,4081,4053,4107,4016,4051,4095,4151,4124,4201,4189,4139,4147,4156,4159,4137,4111,4126,4103,4104,4106,4151,4145,4165,4158,4070,4113,4060,4056,4104,4072,4102,4060,4047,4054,4108,4050,4072,4045,4074,4084,4052,4119,4077,4159,4088,4133,4167,4022,4070,4050,4089,4105,4175,4165,4180,4206,4182,4193,4261,4301,4277,4314,4271,4351,4310,4331,4391,4330,4362,4319,4303,4288,4362,4345,4400,4382,4388,4395,4428,4469,4515,4502,4496,4503,4492,4544,4533,4535,4548,4519,4471,4471,4509,4476,4489,4484,4515,4613,4538,4536,4554,4418,4390,4377,4373,4402,4443,4334,4297,4321,4330,4289,4306,4296,4331,4282,4253,4249,4186,4122,4068,4092
"14","5","    Primary metal manufacturing","KS331M0",8909,9076,9081,9078,9113,9125,9222,9344,9365,9629,9475,9587,9524,9581,9652,9871,9993,10251,10339,10487,10719,10645,10719,10790,10667,10635,10622,10506,10441,10401,10423,10450,10459,10433,10492,10698,10692,10639,10685,10565,10543,10499,10550,10431,10371,10417,10399,10180,10297,10247,10121,10078,9947,9748,9580,9617,9450,9538,9579,9418,9389,9093,8987,9069,9026,9111,9205,9290,9341,9434,9364,9429,9495,9640,9425,9296,9343,8963,8770,8658,8690,8482,8455,8358,8382,8731,8754,8869,9019,9385,9540,9702,9772,10023,10258,10287,10363,10372,10534,10682,10775,10825,10758,10847,10812,10635,10735,10655,10754,10884,10895,10847,10907,10871,10978,11077,11454,11350,11288,11487,11374,11108,11097,10932,10937,10702,10521,10457,10371,10357,10208,10113,10079,10141,10110,10383,10224,10464,10587,10790,10975,11309,11748,11963,12285,12321,12103,11928,11668,11349,10843,10232,9970,9761,9552,9317,9250
"15","6","    Fabricated metal product manufacturing","KS332M0",13495,13432,13646,13589,13565,13658,13737,13752,13799,13721,13810,14038,13974,13999,13905,14154,14007,14394,14239,14181,14419,14463,14450,14380,14516,14412,14210,14390,14386,14501,14549,14596,14826,14722,14602,14753,14337,14659,14733,14772,15063,15181,15189,15184,15117,15139,15391,15253,15045,14968,14940,14981,15037,14987,14883,14998,14729,14888,14757,14625,14973,14747,14788,14557,14136,14402,14329,14470,14490,14507,14394,14348,14145,14905,14962,14695,14694,14536,14290,14203,14193,14141,14185,14096,14103,14164,14137,14027,14117,14035,14120,14304,14303,14194,14302,14234,14456,14708,14723,14760,14892,14953,15180,15111,15082,15093,15304,15338,15437,15607,15521,15431,15433,15498,15445,15330,15433,15693,15592,15785,15765,15697,15600,15450,15205,15051,15006,14971,14942,14884,15000,14965,14942,14660,14650,14711,14418,14338,14485,14479,14735,14788,15027,15236,15417,15276,15063,14757,14530,14315,13896,13870,13776,13500,13307,13294,13042
"16","7","    Machinery manufacturing","KS333M0",13719,13615,13643,13692,13832,13921,14066,14180,14152,14366,14521,14454,14674,14845,14847,14831,14898,14841,15001,15015,15055,14880,14925,14613,15127,15209,15239,15322,15050,14932,15161,14978,15038,15064,15387,15241,15202,15062,14940,15576,15471,15650,15807,16025,15964,15962,15701,16084,16330,16185,16135,15975,15716,15571,15458,15170,15118,14851,14936,14965,14912,15003,15197,15088,15147,14957,15003,15032,14925,14992,14904,15195,15095,15088,15047,14833,14971,14963,14939,14617,14555,14658,14285,14395,14321,14304,14258,14193,14236,14333,14333,14366,14304,14361,14512,14501,14692,14760,14725,14998,15063,15193,15267,15315,15403,15512,15569,15669,15758,15817,15972,16097,16232,16077,16278,16243,16506,16663,16683,16791,16994,16848,16858,16850,16643,16883,17274,17156,17136,17419,17250,17263,17151,17204,17270,17125,17093,17075,17104,16981,17013,17192,17599,17421,18096,18134,17924,17645,17526,17155,16817,16666,16563,16199,16131,15837,15522
"17","8","    Computer and electronic product manufacturing","KS334M0",12930,13018,13714,13661,14058,14432,14747,14718,15343,15721,15788,15781,16161,16091,16261,16406,16390,16175,16235,16035,16075,16253,16041,15725,15820,16015,16853,16721,16725,17185,17518,17122,17364,16914,17626,18460,17747,18528,19178,19156,20008,21063,21125,22007,21863,22050,22931,23428,23725,23424,23035,21789,22220,21816,21806,21389,20861,20709,20672,20401,20236,19919,20024,19910,19621,19390,19052,19044,19068,19082,18961,18702,18677,18919,18667,18437,18668,18459,18174,18086,17842,18119,17923,18081,18164,18083,18532,18760,17951,18313,18589,18135,17923,18434,18402,18507,18903,18923,18535,18511,18537,18306,18222,18395,18786,18581,18973,19017,18926,18668,19216,19364,19478,19597,20057,20533,20169,20565,20441,20088,20170,20083,19927,20144,20279,20340,19802,19585,19675,19878,19898,19781,19770,19779,20051,19794,19520,19517,19489,19470,19604,19651,19470,19477,19549,19763,19460,19359,18948,18493,18364,18379,18303,18182,17665,17483,17522
"18","9","    Electrical equipment, appliance, and component manufacturing","KS335M0",5355,5394,5460,5601,5633,5727,5708,5701,5794,5790,5841,5873,5921,5906,5987,5889,5869,5936,5905,5926,5855,5923,5926,5938,5930,5913,5894,5918,5949,5922,6062,6107,6052,6099,6106,6102,6229,6287,6242,6242,6182,6195,6338,6454,6617,6621,6755,6701,6625,6742,6635,6719,6715,6582,6413,6438,6402,6501,6381,6389,6300,6372,6332,6351,6360,6327,6395,6349,6324,6319,6336,6263,6352,6316,6267,6249,6254,6220,6114,6073,6005,5999,5934,6000,6040,5877,5946,5920,5939,5976,5961,6037,6012,6042,5958,5961,5945,5952,6040,6037,6025,6062,6035,6036,6116,6043,6089,6085,6142,6105,6102,6110,6023,5934,6019,6031,5885,5973,5926,6057,6026,6051,6043,6005,5928,5919,5914,5927,5765,5815,5872,5935,5994,6040,5969,6049,5895,5902,5858,5904,5873,5847,5749,5740,5765,5600,5602,5432,5377,5267,5173,5040,4935,4885,4865,4807,4825
"19","10","    Transportation equipment manufacturing","KS336M0",18223,18030,18182,18424,18431,18288,18783,18887,19174,19280,18711,19090,19908,20297,20566,20334,20246,20923,20779,20563,20936,21169,21509,21591,21615,22059,21619,21435,21839,21922,21966,21625,21827,21495,21439,21924,22149,21881,21300,21896,21894,21761,21791,21527,21625,21909,22298,21985,21705,21533,20819,20568,20480,20264,20373,20434,20076,20249,20100,20024,19593,19576,19678,19940,19650,19403,19156,19383,19199,19215,19024,19326,19095,19203,19088,19110,18841,19067,18922,18981,18930,18862,18991,18924,18913,19205,19450,19547,19817,19822,20052,20116,20044,20116,20409,20315,20813,20493,20965,20919,20903,21057,21091,20931,20851,21248,21205,21271,20730,21041,21496,21751,21888,21958,22404,22372,22575,22659,22921,22355,22194,22379,22155,22331,22317,22077,22209,22272,21860,21838,22096,22263,22206,22200,22228,21938,21971,21895,22175,21920,21567,21663,22053,22329,21749,22065,21752,21569,21497,21669,21610,21587,21370,21197,21105,21586,21545
"20","11","      Motor vehicle and parts manufacturing","KS3MVM0",10818,10926,11189,11216,11361,11097,11525,11604,11054,11330,11350,11302,11318,11406,11445,11341,11409,12201,11835,11731,11937,12158,12134,12036,12083,12341,12257,12447,12738,12739,12598,12564,12509,12486,13140,13252,13250,13157,13175,13202,12825,12708,12853,12707,12800,12728,12573,12488,12305,12246,11981,11806,11733,11848,11852,11743,11588,11692,11430,11252,11045,11239,11397,11492,11578,11566,11695,11734,11898,11882,11770,11936,11988,12147,12039,12031,12002,12108,11982,11986,12118,12049,12042,12136,12227,12359,12426,12332,12387,12529,12550,12516,12567,12580,12683,12497,12758,12723,12928,12829,12730,12854,12771,12608,12627,12709,12676,12724,12370,12477,12828,12950,12984,12991,13231,13051,12931,13012,13003,13078,12987,13087,12882,12757,12644,12518,12647,12658,12521,12429,12346,12326,12105,12122,12094,11892,11977,11659,11939,11801,11284,11321,11327,11232,11027,10993,10811,10757,10669,10574,10604,10506,10252,10158,10236,10478,10198
"21","12","      Other transportation equipment manufacturing","KS3OTM0",7394,7090,6978,7193,7054,7177,7242,7268,8110,7938,7349,7777,8580,8880,9110,8982,8826,8712,8933,8820,8986,8998,9360,9538,9516,9702,9349,8980,9094,9174,9358,9053,9308,9001,8296,8667,8892,8718,8123,8688,9060,9043,8930,8812,8818,9169,9707,9481,9384,9272,8826,8749,8734,8408,8512,8679,8477,8546,8655,8755,8532,8324,8270,8435,8063,7830,7458,7644,7299,7330,7251,7386,7105,7056,7048,7079,6839,6959,6939,6994,6812,6814,6949,6790,6688,6847,7024,7214,7429,7292,7502,7600,7477,7535,7725,7819,8056,7770,8037,8090,8174,8203,8321,8323,8225,8539,8530,8548,8361,8565,8669,8802,8904,8967,9174,9322,9645,9648,9918,9277,9207,9293,9274,9575,9674,9560,9563,9613,9339,9408,9748,9934,10096,10072,10128,10037,9985,10228,10225,10106,10274,10331,10717,11086,10712,11060,10928,10801,10816,11077,10990,11062,11095,11015,10849,11088,11321
"22","13","    Furniture and related product manufacturing","KS337M0",3759,3739,3767,3764,3914,3909,3858,3838,3908,3916,3958,3952,3990,4012,3917,3993,3973,3971,3913,3916,3952,3953,3916,3931,3968,3922,3964,3963,3978,3984,4063,4023,3954,3931,4029,4071,3980,4020,4005,4030,4072,4138,4133,4185,4210,4244,4263,4202,4264,4189,4328,4222,4237,4171,4104,4035,4047,4018,4070,3952,3902,3977,4005,3943,3974,3998,3989,3955,4005,4012,3994,4082,4077,3962,4019,4010,4084,4045,4033,3999,3898,3899,3949,3921,3958,3863,3793,3876,3932,3993,4077,4029,4054,4022,4008,3996,3965,3910,3978,3927,3923,4047,4093,4042,4073,4060,4166,4165,4198,4195,4237,4270,4228,4197,4195,4224,4227,4259,4259,4261,4320,4264,4202,4299,4250,4267,4291,4250,4236,4264,4264,4243,4234,4192,4192,4126,4200,4113,4129,4125,4028,3975,4015,3981,3917,3804,3727,3698,3702,3618,3532,3510,3488,3496,3473,3520,3492
"23","14","    Miscellaneous durable goods manufacturing","KS339M0",5847,5854,5889,5816,5849,5932,5902,6045,6005,6003,5985,6110,6060,6106,6182,6246,6303,6298,6358,6371,6476,6630,6574,6570,6596,6653,6699,6720,6622,6597,6563,6530,6694,6670,6704,6709,6801,6768,6715,6776,6748,6682,6695,6808,6794,6829,6849,6835,6806,6800,6901,6789,6886,6939,6739,6737,6719,6685,6692,6770,6564,6503,6706,6648,6762,6687,6770,6742,6752,6665,6433,6603,6573,6598,6530,6525,6501,6565,6556,6539,6632,6653,6590,6614,6645,6589,6467,6522,6478,6597,6615,6512,6512,6528,6500,6492,6486,6537,6527,6533,6476,6589,6714,6745,6780,6831,6890,6876,6867,6925,6907,6914,6995,6880,6870,6939,6979,6940,6930,7025,7022,7049,7064,6929,6951,6951,6958,7003,6965,6959,6959,6986,6970,6957,6944,6904,6875,6833,6848,6767,6824,6818,6878,6932,7075,7120,7200,7156,7117,7110,7019,6970,6953,6914,6885,6855,6840
"24","15","  Nondurable goods industries","KS30NM0",76296,76904,77089,77214,77292,77193,76870,77120,77920,78519,77726,78519,78920,79105,79189,78533,77861,78340,78572,78548,78260,78140,78084,77677,78193,78475,78455,78886,79309,79355,79436,79814,79783,79747,80292,81156,81033,80509,80483,80134,80151,79993,80051,79914,79783,78721,79399,78397,79149,77942,77992,78013,78000,77561,78052,77553,77476,77835,78209,77138,77122,76325,76181,76745,76829,76600,77562,77740,77708,77724,78525,77746,78391,78736,77802,78370,78113,77367,76493,76792,76779,76348,76711,75955,75818,76415,76142,76007,75456,75455,76237,76203,75913,76269,76536,76185,77011,76977,77445,77342,77249,77094,77186,77115,76823,76987,76081,77369,77298,77503,77906,77927,79493,79050,79075,79570,79919,78430,78726,78355,78184,78334,77947,78165,78498,78603,78511,78642,79609,78609,78119,77945,79463,78877,78254,77510,77501,76790,75668,75013,74435,73269,72772,71061,70711,70017,69722,68876,69129,69258,69782,69810,69164,69755,70656,71178,70677
"25","16","    Food manufacturing","KS311M0",12317,12497,12458,12301,12347,12459,12439,12486,12741,12873,12589,12738,12709,13017,12884,12870,12607,12738,12823,12721,12690,12593,12490,12703,12948,12910,12960,13201,13285,13233,13167,13264,13059,12868,13219,13486,13397,13290,13389,13170,13099,13145,13031,13167,13106,12926,12906,12820,13092,12528,12600,12668,12679,12531,12778,12455,12634,12576,12806,12607,12699,12563,12460,12509,12642,12768,12996,13205,12777,12522,12507,12771,12822,12776,12918,12864,13010,12886,12688,12737,12497,12562,13005,12597,12571,12556,12410,12050,11961,11931,12031,12043,12210,12206,12174,12212,12090,12138,12242,12429,12568,12749,12894,12893,13026,13172,12904,12975,13053,13098,13063,13141,13113,13190,13186,13298,13190,12941,13071,13109,13021,12832,12457,12561,12581,12615,12688,12777,12895,12357,12290,12133,12059,11904,11864,11687,11702,11772,11687,11404,11356,11639,11764,11882,12055,11890,12122,12244,12309,12267,12242,12214,12002,12244,12214,12453,12205
"26","17","    Beverage and tobacco product manufacturing","KS312M0",7867,7947,7918,8073,7999,8046,8031,7938,7942,8032,7861,7801,8150,7994,7975,7915,7804,7887,7915,7856,7986,8199,7957,7875,7767,7862,7746,7792,7741,7661,7599,7600,7528,7685,7401,7602,7666,7346,7288,7315,7322,7241,7232,7255,7235,7182,7175,6940,7004,6964,6936,7087,7183,7135,7222,7149,7061,7016,6988,7119,7199,7159,7175,7090,7112,7142,7203,7158,7111,7188,7245,7198,7059,6996,6941,6969,6947,6925,6847,6940,6995,6911,6930,6807,6770,6876,6752,6780,6712,6713,6561,6729,6811,6718,6729,6673,6682,6654,6630,6800,6741,6715,6750,6841,6857,6879,6914,6769,6834,6771,6699,6687,6662,6736,6743,6706,6676,6706,6758,6728,6715,6672,6623,6592,6620,6565,6559,6509,6382,6411,6392,6362,6387,6463,6367,6313,6304,6299,6287,6275,6319,6385,6340,6278,6208,6291,6305,6288,6266,6244,6260,6230,6211,6323,6351,6343,6295
