"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46424,46143,46284,46934,50059,53852,55739,57619,56535,55234,56036,55731,54232,50968,48717,46786,45944,45753,46479,47421,45257,44332,42854,44556,43513,43365,42359,42010,40837,40619,39559,39695,40502,39777,40276,40911,40212,41245,41330
"22","14","A     Furniture and related product manufacturing","KS3370",7101,7245,7192,7227,7297,7346,7356,7384,7500,7533,7523,7729,7864,8002,8085,7963,8093,7975,7846,7557,7500,7643,7743,7873,8056,8066,7819,7658,7532,7681,7698,7756,7659,7697,7761,7784,7882,7826,7831
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14237,14179,14114,14519,14808,14913,15112,14995,15243,15466,15627,15773,15952,16198,16603,16626,16666,16522,16575,16672,16530,16772,16774,16630,17096,16983,17086,17472,17409,17055,16888,16919,16488,16468,16676,16277,16048,15922,16148
"24","16","A   Nondurable goods manufacturing industries","KS30N0",163113,164779,166370,169003,169986,169843,169398,169352,170611,172725,174407,177841,178485,179770,179813,178466,177444,175546,175076,175332,176037,176049,177899,176279,176767,176888,176131,173262,173798,174441,173292,173024,174113,172344,169385,169772,171539,172850,173135
"25","17","A     Food manufacturing","KS3110",30950,31313,31492,31937,32140,32040,31899,32049,32517,32717,33182,33679,34550,34207,34119,34159,33871,33847,33517,33848,33951,34579,34577,34204,34214,33932,33658,33244,33056,32648,32540,32438,32047,32198,32251,32101,32218,32193,32304
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11352,11586,11921,12154,12382,12005,11835,12074,11836,11846,11478,11908,12037,12062,12119,11798,11984,11997,12287,12364,12535,12596,12668,12400,12138,12222,12087,11996,12009,11989,12201,11773,11945,11798,11703,12332,12222,11854,11636
"27","19","A     Textile mills","KS3130",6726,6722,6704,6684,6762,6757,6798,6813,6775,6824,6849,7001,6839,6772,6663,6578,6432,6382,6222,5961,5706,5577,5631,5683,5778,5860,5816,5678,5582,5478,5426,5335,5115,4991,4858,4837,4794,4736,4776
"28","20","A     Textile product mills","KS3140",3562,3690,3762,3801,3788,3685,3640,3581,3654,3792,3823,3924,4033,4212,4293,4341,4350,4315,4362,4509,4089,3940,3738,3425,3500,3482,3460,3553,3400,3313,3282,3170,3225,3157,3105,3186,3105,3130,3135
"29","21","A     Apparel manufacturing","KS3150",8082,8384,8522,8506,8491,8347,8397,8446,8439,8666,9000,9086,8925,8744,8687,8804,8569,8320,7738,7183,6828,6775,6976,7139,7360,7383,7274,7152,6845,6731,6777,6773,6923,6884,6897,6795,6661,6487,6177
"30","22","A     Leather and allied product manufacturing","KS3160",1551,1628,1623,1662,1698,1717,1713,1686,1647,1666,1682,1696,1682,1655,1643,1594,1588,1461,1476,1427,1322,1309,1317,1353,1255,1235,1223,1295,1262,1244,1227,1272,1281,1057,616,1274,1182,1192,1215
"31","23","A     Paper manufacturing","KS3220",15999,15579,15794,16130,16132,16313,16177,15764,15966,16274,16810,16811,17112,17184,16941,16267,15810,15484,15580,16079,16503,16930,17204,17479,17151,17222,16994,16689,16338,16265,16435,16591,16748,16675,16164,15920,15976,15846,15903
"32","24","A     Printing and related support activities","KS3230",6418,6550,6483,6708,6452,6431,6578,6210,6354,6591,6678,6911,7025,6847,6790,6552,6483,6236,6190,6286,6182,6620,6529,6732,6719,6476,6454,6409,6295,6319,6388,6347,6245,6143,5951,5803,5748,5794,5785
"33","25","A     Petroleum and coal product manufacturing","KS3240",16148,16184,16468,16606,15831,15709,15386,15812,15426,14697,15239,15515,15351,15864,15489,15208,15488,15995,16298,16411,16253,15946,16123,15805,15957,16158,16411,15900,16614,17055,16465,16334,17394,16802,16908,16629,17208,18352,18295
"34","26","A     Chemical manufacturing","KS3250",46439,47010,47568,48642,49808,50070,49970,49797,50491,51707,51553,52948,52781,53745,54733,54802,54638,53884,53816,53646,53785,53478,54603,53953,54483,54432,54609,53413,54270,55042,54016,54659,54281,53914,52339,52682,53535,53408,53744
"35","27","A     Plastics and rubber product manufacturing","KS3260",16389,16596,16557,16698,16741,16971,17059,17422,17630,17767,18073,18357,18138,18455,18314,18358,18261,17745,17745,17766,19006,18364,18580,18189,18282,18552,18193,17997,17994,18114,18439,18152,18468,18372,18011,17830,18115,18319,18581
"36","28","A Merchant wholesale industries","KS42W0",236476,243631,247480,254081,260527,263076,270179,274423,278872,280366,285756,291968,296511,302011,304819,307035,307179,308021,304936,298639,295519,295938,298506,300485,300974,299233,299748,301795,303808,306817,314043,319358,323677,328021,330988,334731,337886,342891,350221
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",144620,150667,152528,156023,161417,162675,167288,170846,173656,175442,178158,182814,185770,191088,191864,192822,192772,188597,184458,178533,174956,174576,177325,178554,180005,178740,177242,180107,182997,186932,192867,196116,199150,202592,204411,209062,210787,214961,220734
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21534,22653,23001,22507,23695,21917,22195,22951,23384,23953,24855,25271,26030,26667,25699,25995,25700,25001,25166,24311,23793,24689,26010,27160,27611,27787,26664,28595,29918,29819,31330,30193,30187,32192,31767,33041,34225,34620,35521
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4766,4962,5065,5124,5091,5245,5296,5271,5303,5350,5361,5549,5686,5949,5880,5972,5993,5704,5644,5477,5335,5436,5629,5737,5873,5989,5904,6083,6276,6290,6349,6326,6321,6199,6329,6459,6329,6527,6668
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5269,5500,5604,5597,5548,5571,5526,5545,5575,5666,5774,5932,6128,6262,6186,6380,6240,5946,6293,6424,6290,6311,6584,6871,7061,7106,7297,8141,8543,9118,9665,10092,10652,10341,10149,11103,11016,11570,12141
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15410,17173,18156,19029,20707,20754,21082,20970,21875,22342,22835,24404,24403,24576,25365,25293,25247,24916,23986,23375,23503,24543,25052,25041,25989,25815,26459,26337,26595,27590,28648,30026,30105,31214,31680,32478,33673,34789,37007
"42","34","D       Computers and software wholesalers","KS42430",6871,8020,8725,9147,10326,10455,10504,10907,11227,11804,12018,13100,12319,12095,12817,12680,12898,12293,11885,11574,12209,12975,13196,12642,13878,14224,14383,15144,15259,16269,16933,18173,18671,18991,20580,20913,21868,22306,24633
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9381,9726,9826,10314,10597,10459,10793,10123,10742,10565,10845,11303,12114,12505,12565,12612,12377,12583,12075,11776,11435,11790,12077,12446,12433,12078,12497,11951,12087,12291,12739,13125,12930,13585,13176,13592,14010,14596,15157
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",13038,13300,13271,13319,13666,13783,14331,14737,14379,14640,14487,15029,15679,16026,16007,15375,15095,15055,14860,14484,14156,14060,14506,14215,13913,13760,13610,13987,14782,14879,15442,16174,16199,16049,15713,15322,15234,16100,16783
"45","37","D     Electrical goods wholesalers","KS42160",20528,20668,20644,20520,21220,21872,22223,22441,22559,22936,24037,25707,26044,26967,28034,29184,29308,28332,26427,24492,23344,22871,23537,23577,23347,23115,23052,23182,24374,25281,25561,25853,26395,26477,26913,27292,27741,28245,29636
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9378,9613,9667,9664,10066,10373,10388,10484,10556,10571,10548,10701,10919,11416,11428,11614,11391,11190,11273,11022,10864,10878,10980,10995,11412,11157,10982,10969,10856,11104,11520,11660,11607,11773,11984,12574,12896,13129,13205
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40679,42606,42082,44402,45163,46386,48198,50068,51037,51218,51450,51167,51377,52486,52645,51914,52464,52176,50753,48993,48053,46578,46342,46220,46168,45490,44907,44117,44081,45140,45966,47553,48599,49675,51107,52273,52816,54423,55489
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",15238,14956,15444,16125,16220,16774,18152,18623,19155,18885,18876,19057,19509,20740,20620,21098,21335,20274,20009,19950,19677,19426,18938,18996,19018,18933,18925,19229,18223,18508,19209,19029,19803,19848,20104,20187,19179,18014,17442
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92081,93053,95088,98242,99197,100513,102992,103620,105257,104922,107624,109154,110743,110922,112958,114213,114417,119291,120291,119882,120285,121055,120920,121661,120775,120281,122161,121473,120734,119974,121363,123419,124721,125679,126818,126138,127547,128490,130175
"50","42","D     Paper and paper products wholesalers","KS42210",7726,7803,8233,8266,8353,8319,8285,8417,8548,8605,8678,8463,8798,8723,8824,8942,8853,8786,8692,8520,8364,8518,8348,8300,8364,8300,8211,8424,8599,8768,9047,9111,9178,9446,9569,9575,9425,9247,9303
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14148,14456,15267,15568,16349,16054,16052,16528,17387,18830,19303,19706,20810,21528,22663,23951,24425,26974,29154,30373,30153,29751,29508,31198,32237,32188,32312,31257,31918,31746,31804,30918,29677,29168,28605,28505,28454,29509,29742
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11992,12384,12358,12860,12646,12769,12770,12873,12539,11848,11650,12084,12268,12222,12282,12049,12616,13143,12799,11938,11858,11916,12898,12506,12449,12501,11936,11806,11777,11273,12039,12180,12769,13246,13412,13111,12920,12755,13150
"53","45","D     Grocery and related products wholesalers","KS42240",16852,17043,16970,17816,17709,18213,18109,17795,18465,18289,19174,19800,19710,19307,20080,20249,19618,19442,19052,19048,19170,20554,20600,20710,20698,19892,20426,20078,20199,20332,20266,20230,20527,20593,21345,21708,21823,22229,22664
"54","46","D     Farm product raw material wholesalers","KS42250",9847,9839,10042,10736,10417,10762,12380,12645,12717,13005,14024,13588,13868,13724,14116,14209,13969,14791,14825,14558,14914,15010,14293,13752,12833,13127,13855,14811,14533,13200,12805,13622,14768,15120,15555,15561,15430,15729,15748
"55","47","D     Chemical and allied products wholesalers","KS42260",4731,4913,4923,4915,4821,4948,5259,5331,5373,5318,5332,5487,5488,5404,5195,5088,5048,5195,5305,5283,5363,5376,5520,5572,5343,5313,5238,5349,4897,4938,5049,5131,5331,5445,5376,5106,5254,5292,5180
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6291,6409,6391,6630,7001,7415,7928,7363,7461,6912,6540,5931,5581,5631,5420,5452,5533,5694,5817,6797,7168,6597,6452,6295,5321,6091,6216,6018,5671,5611,5984,6453,6745,6651,6729,6440,7000,6786,7101
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",4790,5015,5117,5456,5794,5675,5798,5660,6285,6058,5981,6012,6100,6040,6085,6249,6050,6185,6118,6044,6323,6255,6349,6528,6709,6649,6747,6740,6471,6847,6787,7100,7211,7236,7480,7571,7782,7811,8004
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16360,15884,16537,16599,16966,17261,17274,17561,17030,16393,17111,18066,18076,18307,18270,18007,18272,19028,18484,17455,17161,17112,17020,16885,17062,16393,17258,16871,16631,17451,17783,18665,18418,18766,18749,18772,19200,19078,19115
"59","51","A Retail trade industries","KS440",325441,330810,335557,340561,350400,353173,355715,357859,366348,369513,373670,385517,387559,396651,402422,407133,402859,404331,405660,396311,401564,408690,413359,420589,426475,428862,433713,436447,442894,450557,452365,458362,462158,459323,457014,463612,466809,468763,469307
"60","52","A   Motor vehicle and parts dealers","KS4410",100539,101653,103460,106600,110379,110304,109359,108868,114186,114292,116219,121928,122981,129069,133067,134232,128961,131338,133080,125404,130881,135897,136906,143825,148572,152500,154563,156477,160641,164759,164003,164011,165166,159700,156371,161325,162712,162952,161156
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19623,19936,20096,20291,20901,21150,21684,22218,22560,23239,23755,24336,24927,25720,25590,26437,26428,25804,25464,25844,26820,27158,27865,27619,27583,28037,28449,29230,29843,30400,31146,32321,32129,33069,32939,33454,34009,34271,34320
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32690,33182,33800,34030,34795,34864,35642,36369,36896,37197,37591,38660,38880,39751,40309,40040,40084,40174,40102,40016,40735,40550,40959,41493,41753,41552,42654,42631,43075,43824,43887,44840,45298,45426,46157,46868,47148,47294,47286
"63","55","A   Food and beverage stores","KS4450",28530,28540,29014,28819,29394,29889,29891,30065,30507,30727,31430,31910,31962,31537,31721,31757,32143,32317,32201,32485,32181,32266,32603,32645,32681,32242,32588,31681,31675,31980,32154,32088,31971,32112,31737,32058,32307,32569,32611
"64","56","A   Clothing and clothing accessories stores","KS4480",25941,26806,27219,27573,28022,28507,29029,28723,29277,29703,28989,29996,30037,30606,31420,32527,32398,32227,32262,31460,30809,31612,32501,33056,33712,33238,33305,33478,33842,34567,34905,35671,36944,37186,37221,37201,37883,38468,38731
"65","57","A   General merchandise stores","KS4520",58151,58954,58649,59047,59534,59652,60324,59921,60449,60683,61289,62618,62794,63295,63038,63682,65236,65315,64851,63551,62689,62815,63833,64771,64563,64549,65092,65609,66697,67492,67869,69776,71147,71462,72231,72513,71348,71222,72430
"66","58","D     Department stores","KS45210",41861,42353,41991,42469,42527,42353,42559,41766,41923,41805,41805,42422,42098,42110,41552,41797,42183,41838,41485,39701,38447,37995,38017,38144,37602,37324,37019,36447,36646,36763,36636,37141,37903,37186,37387,37364,35929,35380,35898
"67","59","D     Other general merchandise stores","KS45290",16262,16575,16634,16550,16984,17280,17750,18145,18519,18873,19482,20196,20698,21187,21488,21885,23050,23471,23360,23830,24211,24780,25765,26568,26895,27153,27986,29051,29927,30593,31085,32464,33072,34064,34621,34917,35146,35542,36222
"68","60","A   Other retail stores","KS44X0",59954,61718,63334,64235,67428,68853,69778,71703,72480,73665,74393,76055,75956,76654,77256,78444,77608,77128,77664,77518,77489,78485,78802,77397,77927,77232,77592,78063,78033,78581,79407,80625,80475,81045,80815,80901,82130,82675,83260
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
