"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151"
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35963,36207,35382,35069,34698,34204,34491,34437,33009,34103,34013,34115,34993,35587,35528,37562,38879,39886,40538,41707,41574,43206,42085,42284,40591,41379,41119,40871,40715,40250,41393,40508,41206,40776,41785,41255,39868,39901,40525,38992,36825,36414,35066,33927,34219,32902,32774,31849,31679,31096,30652,31037,31297,30942,31289,31344,31806,32170,31762,32398,32262,32437,30388,29516,29483,29690,29464,29569,29246,29515,29246,31610,31515,31631,31523,32008,32440,31718,31048,30750,30936,31046,29807,30320,30473,30242,29360,29377,28722,28737,29007,28592,27408,27329,27780,27447,27301,28252,27956,27215,27398,27220,28325,27702,28471,28469,28850,29483,29060,28553,28897,29111,28996,29244,29719,28327,29716,30243,30051,30459,30791,30913,31317,31911,32068,32686,32930,33320,33598,33737,34744,35966,36449,37244,38316,39052,39634,39851,40383,40884,40656,41804,43601,45991,46232,46015,45953,46620
"22","40","A     Furniture and related product manufacturing","KS337W0",1389,1395,1361,1323,1349,1327,1371,1360,1355,1351,1342,1365,1368,1380,1430,1449,1462,1462,1503,1506,1497,1461,1458,1469,1513,1486,1468,1426,1434,1459,1453,1482,1422,1449,1502,1510,1523,1554,1561,1582,1568,1583,1580,1598,1588,1575,1588,1569,1594,1623,1600,1615,1603,1562,1550,1488,1477,1474,1468,1446,1515,1495,1494,1526,1559,1531,1543,1510,1544,1554,1554,1485,1574,1590,1628,1617,1557,1582,1592,1520,1512,1485,1462,1443,1507,1509,1509,1496,1456,1481,1481,1535,1448,1471,1490,1480,1512,1552,1523,1531,1535,1526,1501,1517,1503,1497,1526,1483,1488,1472,1481,1458,1512,1507,1488,1482,1503,1479,1487,1439,1412,1425,1343,1280,1318,1278,1299,1296,1264,1235,1234,1223,1225,1226,1221,1218,1196,1193,1150,1110,1168,1150,1140,1142,1181,1163,1198,1140
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3869,3735,3706,3647,3645,3704,3653,3626,3648,3667,3737,3660,3662,3621,3713,3723,3646,3691,3745,3670,3622,3555,3609,3559,3570,3608,3609,3638,3679,3633,3609,3614,3734,3618,3609,3688,3632,3668,3674,3743,3752,3771,3815,3801,3913,3898,3915,3887,3919,3893,3845,3820,3797,3795,3925,3860,3822,3789,3772,3723,3713,3695,3628,3679,3675,3663,3598,3648,3644,3706,3701,3779,3936,4027,4237,4101,4196,4134,4523,4476,3698,3716,3911,3904,3841,3951,3990,3653,3662,3699,3712,3669,3673,3900,3866,3890,3785,4008,3867,4166,4041,3956,3890,3981,3881,3844,3824,3927,3866,3852,3767,3859,3780,3761,3949,3930,3947,4005,3962,3973,3996,3969,3860,3823,3877,3850,3843,3833,3878,3964,3866,3842,3915,3828,3805,3758,3769,3848,3801,3738,3727,3742,3743,3734,3765,3783,3756,3726
"24","42","A   Nondurable goods industries","KS30NW0",26418,26392,26394,26626,26969,26840,26951,27548,27838,28250,28526,28626,28155,28377,28212,28444,28557,28428,28451,28169,27974,27881,28363,28007,28260,28338,28570,29149,29484,29390,29095,28739,28729,29080,29437,29400,29017,28853,28967,29023,28908,29370,29741,29546,29364,30110,29843,29546,29267,29101,28951,28946,28926,28484,28387,28689,29052,28489,28347,28684,29032,28962,29136,29057,29231,29489,29842,30492,30487,30207,29833,29223,29479,29977,30323,29943,29703,30105,30393,30418,30165,30204,30366,29196,29480,29837,30142,30292,29790,30144,29609,29604,29136,29280,29250,29467,28971,29575,29960,29416,29037,29405,29475,29587,29911,30316,30294,30043,31268,29903,29868,30617,29843,31416,31526,31772,31295,31479,31692,31373,30999,30861,30906,30499,30701,30494,29923,29366,29340,29586,29899,30334,31416,31916,31876,30956,31539,30964,31383,31329,30560,29459,28991,27850,28477,28279,28803,28948
"25","43","A     Food manufacturing","KS311W0",4750,4816,4749,4781,4887,4843,4828,4910,4892,4940,4954,4894,4713,4678,4552,4616,4625,4573,4578,4622,4540,4531,4575,4595,4663,4684,4676,4646,4608,4649,4653,4607,4659,4666,4747,4732,4686,4697,4768,4797,4867,4847,4836,4818,4783,4628,4705,4839,4723,4730,4738,4705,4766,4647,4528,4607,4627,4569,4605,4616,4616,4650,4598,4563,4558,4596,4618,4625,4648,4744,4760,4746,4672,4813,4868,4880,4842,4843,4850,4821,4812,4714,4653,4635,4647,4620,4588,4601,4630,4523,4528,4538,4512,4550,4466,4579,4346,4544,4568,4600,4560,4391,4348,4360,4390,4557,4611,4586,4562,4526,4504,4418,4451,4497,4497,4484,4480,4934,4886,4759,4650,4642,4579,4491,4464,4368,4365,4370,4314,4315,4215,4158,4221,4181,4137,4093,4050,3968,3906,3893,3948,4047,4026,3969,3962,3956,4057,4006
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",784,809,894,886,1004,998,1118,1313,1391,1436,1437,1524,1539,1583,1643,1683,1642,1651,1606,1367,1259,1300,1403,1516,1562,1623,1574,1585,1545,1553,1483,1443,1308,1461,1448,1437,1511,1511,1527,1646,1643,1721,1760,1728,1749,1779,1804,1913,1826,1885,1846,1905,1961,2001,2092,2161,2146,2122,2144,2127,2199,2202,2234,2165,2194,2125,2042,2105,2195,2132,2046,2085,2039,2011,1998,2030,1977,1895,1978,1939,1969,2034,2045,2007,2030,1993,1937,1909,1930,1952,1860,2096,2167,1976,1810,1917,1900,1796,1780,1741,1888,1928,1954,1830,1822,2150,2237,2234,2157,2133,2069,2083,2006,2048,2027,2065,2029,2120,2214,2230,2171,2263,2257,2283,2274,2195,2153,2117,2049,2010,1990,1944,1962,1934,1904,1890,1849,1844,1823,1863,1844,1801,1777,1796,1845,1899,1941,1943
"27","45","A     Textile mills","KS313W0",1738,1719,1676,1718,1716,1683,1678,1675,1672,1695,1682,1662,1651,1665,1653,1658,1616,1656,1671,1681,1681,1652,1646,1636,1633,1605,1610,1608,1598,1577,1594,1573,1582,1606,1632,1632,1622,1614,1595,1617,1631,1625,1539,1574,1555,1555,1515,1517,1499,1497,1505,1499,1479,1480,1454,1424,1417,1391,1388,1357,1327,1328,1304,1268,1271,1264,1263,1284,1199,1223,1218,1266,1287,1278,1260,1259,1309,1313,1305,1300,1299,1287,1279,1290,1289,1283,1301,1311,1280,1261,1257,1258,1258,1252,1246,1229,1229,1231,1221,1176,1198,1212,1220,1220,1216,1266,1247,1204,1231,1223,1269,1266,1220,1210,1220,1207,1204,1199,1181,1164,1158,1136,1075,1072,1057,1061,1056,1042,1032,1024,1022,998,994,982,978,969,983,931,967,981,966,941,946,897,858,843,848,835
"28","46","A     Textile product mills","KS314W0",748,769,761,758,775,780,777,786,804,813,808,837,844,845,838,834,828,825,817,821,804,801,799,796,770,770,792,802,821,844,831,828,839,849,856,860,872,880,884,883,893,886,903,900,920,900,898,878,872,857,845,861,830,836,826,829,832,822,833,836,826,824,814,810,797,781,771,768,748,753,747,719,730,732,744,721,721,719,727,728,718,702,692,712,725,714,717,715,721,720,713,714,704,712,699,699,709,711,712,706,713,718,718,718,725,737,728,723,723,722,720,719,702,699,702,688,687,675,669,682,660,657,620,618,609,600,589,577,577,572,576,557,554,559,543,536,530,522,528,532,529,533,517,521,497,495,481,473
"29","47","A     Apparel manufacturing","KS315W0",1598,1629,1642,1654,1663,1701,1738,1712,1702,1726,1734,1795,1745,1691,1675,1670,1714,1679,1683,1697,1685,1662,1654,1636,1579,1589,1584,1653,1636,1703,1698,1751,1734,1821,1801,1813,1856,1859,1874,1815,1821,1833,1847,1827,1832,1780,1774,1731,1746,1697,1644,1614,1551,1468,1363,1352,1363,1358,1338,1300,1285,1287,1283,1291,1327,1343,1369,1403,1303,1310,1339,1355,1368,1339,1331,1312,1287,1316,1331,1304,1281,1295,1321,1318,1301,1296,1292,1304,1282,1291,1298,1295,1289,1273,1255,1222,1222,1209,1208,1203,1197,1189,1196,1200,1206,1213,1189,1174,1168,1161,1198,1159,1160,1128,1127,1123,1112,1129,1146,1152,1114,1133,1161,1158,1151,1173,1190,1173,1168,1158,1149,1140,1137,1127,1111,1122,1129,1136,1138,1133,1118,1108,1098,1091,1071,1063,1051,1035
"30","48","A     Leather and allied product manufacturing","KS316W0",317,324,336,343,339,340,317,324,328,335,354,334,340,347,334,330,327,314,316,311,304,301,307,318,312,304,298,302,295,301,310,306,319,330,320,319,315,319,307,308,310,316,304,309,318,297,301,298,308,299,302,292,279,271,267,272,270,266,265,261,260,258,254,253,260,265,264,257,247,254,243,242,222,223,226,220,219,213,219,210,217,226,237,227,230,223,218,219,215,211,206,208,208,213,211,221,229,231,230,235,235,239,227,248,248,220,219,221,243,237,236,234,229,234,224,224,222,214,214,212,216,221,217,214,211,213,194,194,194,196,194,194,195,196,194,188,190,190,188,190,193,199,207,205,195,189,192,189
"31","49","A     Paper manufacturing","KS322W0",1557,1569,1588,1579,1586,1571,1558,1572,1609,1602,1595,1627,1633,1615,1589,1587,1568,1495,1514,1518,1464,1447,1453,1501,1501,1516,1550,1535,1544,1562,1562,1563,1608,1613,1670,1606,1620,1614,1588,1592,1578,1610,1611,1597,1600,1586,1565,1527,1517,1529,1459,1447,1473,1444,1429,1453,1473,1502,1507,1517,1543,1521,1576,1620,1631,1657,1697,1749,1674,1650,1660,1646,1636,1624,1622,1633,1611,1635,1618,1616,1647,1650,1650,1579,1606,1546,1537,1545,1567,1550,1556,1566,1533,1546,1545,1527,1530,1565,1600,1592,1592,1580,1556,1591,1585,1587,1591,1562,1573,1612,1632,1631,1646,1634,1663,1641,1655,1684,1713,1655,1643,1637,1635,1639,1660,1672,1675,1690,1718,1717,1727,1836,1759,1744,1743,1723,1718,1739,1700,1725,1725,1727,1736,1616,1587,1592,1587,1579
"32","50","A     Printing and related support activities","KS323W0",1402,1285,1181,1241,1258,1192,1247,1450,1415,1406,1475,1378,1276,1310,1225,1325,1389,1368,1385,1331,1376,1283,1234,1259,1303,1286,1380,1581,1456,1457,1473,1260,1329,1370,1415,1422,1444,1508,1389,1295,1324,1346,1255,1345,1344,1436,1396,1295,1290,1257,1262,1202,1222,1239,1213,1266,1228,1127,1062,1169,1181,1081,1178,1227,1237,1349,1390,1393,1293,1450,1420,1287,1338,1347,1390,1309,1245,1209,1207,1231,1166,1108,1209,1196,1119,1153,1126,1142,1280,1139,1129,1184,1180,1216,1156,1145,1074,1154,1157,1179,1215,1208,1240,1183,1216,1161,1179,1149,1182,1169,1088,1090,1096,1114,1160,1140,1201,1221,1177,1171,1218,1200,1263,1247,1253,1271,1221,1240,1280,1293,1305,1347,1150,1176,1192,1124,1115,1109,1022,989,976,929,941,1008,885,861,885,882
"33","51","A     Petroleum and coal product manufacturing","KS324W0",3728,3682,3757,3847,3800,3848,3816,3971,4118,4209,4325,4213,4064,4326,4369,4287,4343,4313,4239,3916,4195,4262,4052,3927,3810,3443,3735,3746,3659,3551,3465,3645,3597,3518,3749,3773,3763,3611,3593,3685,3642,3791,3795,3709,3762,4195,3826,3747,3734,3824,3762,3752,3817,3776,3862,3773,4079,3851,3838,4001,3947,3715,4019,4040,4031,4049,4057,4068,3998,3878,3581,3795,3716,3712,3921,3636,3251,3612,3727,3758,3559,3822,3712,3475,3748,3887,3866,3954,3441,3601,3651,3419,3436,3768,3790,3579,3731,3935,4038,3839,3446,3724,3850,3930,4090,4094,4030,3836,4388,3547,3416,3788,3375,4246,4352,4510,3870,3776,3981,4026,3686,3691,3907,3947,3986,3982,3688,3550,3594,3803,3937,4273,4510,4942,5009,4647,4908,4726,4984,4997,4726,3845,3653,2469,2974,2624,2749,2890
"34","52","A     Chemical manufacturing","KS325W0",7761,7725,7791,7817,7849,7807,7800,7803,7859,8098,8190,8341,8334,8394,8426,8509,8583,8605,8666,8722,8620,8649,9120,8624,8782,9010,8979,9247,9843,9682,9509,9349,9341,9441,9474,9455,9101,9038,9175,9118,8963,9187,9689,9548,9339,9759,9975,9587,9469,9263,9364,9445,9377,9144,9186,9370,9495,9331,9220,9391,9753,9953,9662,9636,9742,9950,10242,10715,11020,10670,10707,9999,10391,10780,10838,10820,11108,11187,11331,11464,11399,11308,11521,10738,10775,11112,11526,11589,11498,11859,11372,11334,10862,10735,10953,11275,10858,10986,11161,10941,10948,11116,11023,11104,11157,11086,11067,11223,11591,11565,11798,12015,12029,12128,11989,12056,12571,12363,12237,12027,12329,12123,11915,11531,11691,11626,11601,11295,11278,11217,11404,11150,12011,11657,11568,11510,11616,11574,11560,11478,11265,11749,11643,12182,12396,12556,12830,12855
"35","53","A     Plastics and rubber product manufacturing","KS326W0",2113,2129,2106,2105,2167,2172,2157,2145,2199,2161,2171,2183,2155,2162,2184,2172,2170,2197,2189,2254,2268,2266,2273,2304,2392,2373,2390,2417,2417,2413,2412,2376,2377,2347,2309,2349,2224,2198,2259,2258,2225,2199,2194,2185,2155,2176,2079,2212,2282,2268,2231,2234,2184,2192,2196,2183,2169,2161,2155,2148,2099,2082,2237,2217,2206,2139,2159,2140,2142,2140,2106,2080,2089,2126,2113,2113,2105,2147,2079,2026,2066,2032,2023,2008,1968,1947,1972,1932,1939,2005,2000,2002,1995,1947,2002,2013,2029,2041,2072,2045,2036,1994,1981,1983,1951,1989,1976,1994,2017,2036,2037,2106,2072,2061,2099,2070,2098,2086,2098,2078,2103,2117,2127,2125,2157,2147,2180,2200,2199,2180,2171,2222,2123,2148,2123,2141,2125,2090,2089,2082,2070,2065,2070,1977,1980,1984,1922,1958
