"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"19","11","      Transportation equipment manufacturing","PK3363",99.566,99.254,99.006,98.752,98.61,98.52,98.801,99.007,98.827,98.878,98.838,99.514,99.634,99.929,100.25,100.225,100.055,100.3,100.772,99.891,100.073,100.069,99.732,99.789,100.363,100.109,100.541,101.239,101.438,102.203,102.488,103.599,103.785,103.647,104.189,103.64,104.206,104.767,104.406,105.216,105.8,105.86,106.603,106.906,107.183,108.126,109.261,110.358,110.319
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.764,100.319,99.89,99.573,99.414,99.163,99.39,99.683,99.372,99.486,99.378,99.961,99.852,99.985,100.162,100.017,99.602,99.738,100.19,98.813,98.976,98.917,98.257,98.167,98.681,98.111,98.484,99.058,99.032,99.737,99.666,100.724,100.486,100.06,100.558,99.416,99.636,100.037,99.308,100.006,100.466,100.375,101.061,101.08,101.189,101.744,102.453,103.696,103.39
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.407,96.413,96.611,96.521,96.429,96.75,97.168,97.168,97.329,97.21,97.344,98.264,99.011,99.762,100.472,100.78,101.273,101.804,102.333,102.695,102.935,103.076,103.649,104.107,104.84,105.538,106.143,107.222,107.903,108.848,110.216,111.459,112.93,113.645,114.312,115.489,117.074,118.113,118.832,119.958,120.881,121.352,122.24,123.259,123.939,125.729,127.742,128.621,129.027
"22","14","      Furniture and related product manufacturing","PK3373",95.523,95.939,96.25,96.52,96.886,97.107,97.228,97.545,97.803,98.079,98.646,99.023,99.422,99.933,100.219,100.407,100.828,101.256,101.487,101.629,101.828,101.909,102.557,102.898,103.041,103.244,103.313,103.412,103.755,104.408,105.341,106.508,107.589,108.474,109.271,110.194,111.185,111.739,112.413,112.955,113.699,114.025,114.181,114.84,115.647,117.399,119.517,121.066,121.24
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.467,97.813,98.018,98.095,98.136,98.261,98.525,98.784,98.847,99.082,99.02,99.275,99.629,99.684,100.121,100.533,100.943,101.281,101.75,102.046,102.263,102.573,102.831,103.176,103.546,103.769,104.042,104.251,104.748,105.105,105.74,105.846,106.61,106.939,107.407,107.982,108.34,109.086,109.635,109.963,110.846,111.298,111.492,112.087,113.026,113.859,114.961,115.332,115.753
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.666,93.656,93.553,93.63,92.335,91.943,91.487,90.995,90.817,92.178,94.1,95.95,98.447,99.487,100.447,101.635,101.978,102.3,100.665,97.917,97.128,98.697,100.32,101.677,105.339,103.598,104.758,106.173,108.547,111.071,112.728,116.179,118.42,119.695,124.163,127.857,128.397,130.906,131.797,128.958,131.78,136.256,138.022,143.346,150.211,156.781,164.846,145.203,137.008
"25","17","      Food manufacturing","PK3113",102.994,103.896,103.054,102.365,100.486,100.213,100.848,100.067,99.243,98.05,98.92,99.3,99.103,100.563,99.961,100.357,101.997,103.78,104.959,103.279,102.427,101.694,103.306,102.888,105.234,106.598,108.63,112.512,112.123,118.463,114.986,113.506,115.123,116.232,115.666,116.109,115.299,114.417,116.449,117.817,122.17,126.285,127.722,129.443,134.978,139.631,145.586,140.132,136.02
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.982,81.035,81.326,81.861,82.525,84.287,85.279,88.562,93.963,94.251,95.87,98.303,98.59,99.429,100.645,101.334,104.457,106.074,107.039,107.927,107.579,109.419,109.87,109.357,107.368,107.431,107.727,108.599,109.477,109.615,109.892,110.354,112.704,113.481,114.419,114.681,115.013,115.501,115.18,115.713,117.007,118.203,119.323,120.537,121.724,123.231,125.085,126.048,128.427
"27","19","      Textile mills","PK3133",104.003,104.067,104.071,104.178,104.182,104.014,103.375,102.345,101.468,100.67,100.158,99.936,100.044,99.941,100.018,99.996,100.293,100.051,99.109,98.481,97.98,97.789,97.635,97.537,96.942,97.187,97.318,97.54,97.974,99.078,99.416,99.612,100.453,101.205,101.768,102.779,103.786,104.267,104.626,104.768,105.018,104.795,106.283,106.793,107.758,108.673,110.332,110.424,109.044
"28","20","      Textile product mills","PK3143",98.839,98.34,98.897,99.397,99.512,99.557,99.388,99.322,98.824,98.981,99.072,99.253,99.287,100.019,100.224,100.523,101.215,101.324,101.259,101.281,101.194,101.148,101.455,101.111,101.081,101.869,102.392,102.782,101.953,103.335,104.783,106.026,106.547,107.641,107.941,109.1,110.428,109.959,111.014,111.583,111.79,112.005,112.737,113.04,113.448,113.952,116.091,117.463,117.696
"29","21","      Apparel manufacturing","PK3153",98.718,98.781,99.082,99.117,99.393,99.594,99.747,99.841,99.819,99.761,99.728,99.869,99.905,99.904,100.106,100.092,100.019,99.778,99.696,99.465,99.068,98.87,98.939,99.133,98.82,98.507,98.527,98.754,98.515,98.557,98.528,99.108,98.67,98.371,98.599,98.393,98.688,98.741,98.878,99.12,99.597,99.497,99.493,99.694,99.93,100.306,100.731,100.913,101.311
"30","22","      Leather and allied product manufacturing","PK3163",99.629,99.298,98.909,99.739,99.245,98.93,99.049,98.672,98.094,98.225,98.683,99.073,99.518,99.457,99.95,101.047,102.265,104.146,103.683,102.356,102.098,102.525,103.848,104.169,104.44,104.648,104.924,105.599,105.883,105.652,105.752,105.781,106.019,106.135,106.311,106.39,106.84,107.751,108.023,108.552,109.627,110.111,110.299,111.022,112.283,112.71,114.077,114.069,114.165
"31","23","      Paper manufacturing","PK3223",91.452,90.251,91.283,93.341,94.666,94.192,93.426,91.734,91.134,92.392,93.876,95.795,97.222,100.612,101.028,101.262,101.043,100.849,99.763,98.968,98.027,97.575,97.954,99.063,99.006,98.949,98.64,98.427,97.889,99.545,102.375,103.972,104.955,105.629,105.274,105.867,108.24,110.375,112.108,112.644,112.978,113.062,113.84,115.815,117.387,118.751,122.724,125.548,124.124
"32","24","      Printing and related support activities","PK3233",95.033,95.191,95.614,96.711,97.051,97.373,97.492,97.623,97.271,97.531,97.73,98.164,98.664,99.834,100.581,100.937,101.177,101.641,101.469,101.23,101.113,101.071,101.101,101.031,101.188,101.394,101.314,101.256,101.334,101.933,102.536,103.118,103.572,103.72,104.469,104.925,106.033,106.542,106.982,107.551,107.431,107.614,108.167,108.769,109.559,110.754,111.948,112.208,111.671
"33","25","      Petroleum and coal product manufacturing","PK3243",82.917,74.188,73.475,72.884,64.371,60.089,56.448,54.763,54.038,64.805,73.202,79.924,95.925,96.137,100.845,107.186,102.252,101.666,91.572,76.759,75.103,85.3,90.769,99.987,121.443,99.081,105.623,108.428,123.807,125.066,133.799,152.55,157.538,160.605,190.938,205.169,202.955,221.878,220.656,194.905,205.57,228.913,233.116,261.385,290.877,319.212,339.487,201.413,162.346
"34","26","      Chemical manufacturing","PK3253",94.171,94.049,94.258,94.381,94.53,95.176,94.851,94.388,93.909,94.269,95.694,97.617,98.622,99.498,100.643,101.22,102.709,102.048,100.031,99.161,98.515,99.415,100.971,101.707,103.521,105.522,104.93,105.271,106.806,108.959,112.297,115.679,118.342,119.628,120.193,124.578,126.602,126.269,127.409,127.929,129.027,130.153,132.005,134.886,139.234,143.615,154.62,152,145.949
"35","27","      Plastics and rubber product manufacturing","PK3263",98.456,98.588,98.508,98.334,98.296,98.002,97.543,97.334,97.29,97.655,98.249,98.96,99.32,99.607,100.256,100.86,101.098,101.323,100.856,100.516,100.053,100.578,101.027,101.108,102.213,103.701,103.488,103.385,103.893,104.685,105.99,108.208,110.628,111.87,112.721,116.386,118.292,118.091,118.949,119.239,118.417,118.534,119.779,120.812,123.077,125.292,129.515,130.46,127.068
"36","28","  Merchant wholesale industries","PK42W3",103.629,102.531,101.628,101.251,99.475,98.236,96.686,95.921,95.451,96.262,97.021,97.968,99.705,100.015,99.801,100.472,99.975,99.464,98.422,96.481,96.645,97.257,98.413,99.068,101.29,99.758,100.201,102.002,104.126,105.637,106.591,108.466,109.088,109.935,111.999,113.291,113.591,116.786,117.565,116.61,118.798,121.51,122.267,126.461,132.26,138.091,140.558,124.67,119.713
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.116,109.352,108.442,107.536,106.063,104.614,103.083,101.862,100.939,100.465,100.345,100.592,100.676,100.382,99.779,99.174,97.943,97.47,96.893,96.011,95.743,95.826,95.755,95.673,95.704,95.491,95.59,96.446,97.917,98.855,100.374,101.372,101.406,101.029,100.957,101.367,102.357,104.225,104.856,104.621,105.434,106.233,106.305,106.778,108.404,111.97,113.522,107.798,105.879
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.776,100.234,99.544,99.03,98.845,98.499,98.856,99.488,99.029,99.282,99.374,100.061,99.666,99.961,100.083,100.292,99.78,99.652,100.231,98.758,98.651,98.353,97.546,97.346,97.905,97.055,96.967,97.14,96.948,97.374,97.333,98.324,98.318,98.623,99.683,96.915,97.161,97.625,96.448,96.658,96.862,96.958,97.764,97.588,97.913,98.184,98.62,98.931,98.465
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.692,97.588,98.016,98.222,98.398,98.503,98.319,98.518,98.38,98.597,98.797,99.057,99.383,99.82,100.207,100.582,100.711,100.83,100.685,100.809,100.944,100.91,101.499,101.672,101.691,102.274,102.538,102.732,102.396,103.404,104.66,105.991,106.899,107.981,108.608,109.588,110.9,110.948,111.986,112.535,113.482,113.951,114.358,114.926,115.653,117.128,118.899,120.108,120.457
"40","32","      Lumber and other construction materials wholesalers","PK42133",100.842,102.313,101.399,99.341,98.938,98.023,97.455,96.402,98.824,101.069,103.191,100.79,101.95,100.948,98.898,98.19,98.055,101.045,100.647,98.199,99.363,99.913,99.763,98.861,99.469,100.254,102.259,103.028,106.071,111.706,114,110.614,112.656,113.074,112.555,113.349,116.405,116.106,113.845,111.463,112.519,112.283,112.531,111.055,110.254,113.128,116.996,116.621,114.771
"41","33","      Professional and commercial equipment wholesalers","PK42143",154.749,149.357,143.883,139.203,132.532,126.201,120.72,115.808,111.566,108.259,105.578,103.694,102.255,100.632,99.357,97.762,93.109,91.43,89.378,87.19,85.723,84.621,83.347,82.236,80.872,80.194,79.476,79.168,78.842,78.386,77.899,77.418,76.354,75.331,74.614,73.701,72.853,71.989,71.222,70.713,69.949,69.693,68.982,68.179,67.651,67.417,67.148,66.731,66.241
"42","34","        Computers and software wholesalers","PK42433",213.678,200.076,187.553,176.919,162.897,150.389,139.66,129.914,121.996,115.646,110.588,107.108,104.39,101.309,98.582,95.53,87.325,84.022,79.92,75.651,72.879,71.013,68.481,66.228,63.407,61.996,60.535,59.344,58.293,57.284,56.228,55.375,53.086,51.184,49.672,48.181,46.665,45.027,43.572,42.721,41.73,40.63,39.445,38.234,37.162,36.536,35.868,35.256,34.472
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.287,98.527,98.448,98.678,98.629,98.482,98.578,98.753,98.667,99.083,99.421,99.593,99.54,99.736,100.249,100.442,100.211,100.495,100.846,101.119,101.237,101.036,101.332,101.673,102.037,102.243,102.433,103.235,103.938,104.256,104.571,104.615,105.378,105.826,106.47,106.587,106.965,107.459,107.949,108.13,107.912,109.274,109.649,109.869,110.619,111.261,111.922,112.063,112.38
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.809,106.18,106.214,106.351,104.648,103.542,100.683,97.55,95.16,94.975,95.597,98.25,100.678,100.841,100.081,98.386,97.41,95.789,94.618,93.862,94.08,96.669,98.994,101.195,102.096,101.595,101.8,106.788,118.169,127.556,138.624,146.489,147.212,142.557,138.657,145.067,149.749,161.261,169.6,168.956,171.81,178.904,177.228,178.892,191.204,219.932,233.934,189.211,164.227
"45","37","      Electrical goods wholesalers","PK42163",105.788,105.311,104.993,104.166,103.39,102.927,102.282,102.265,102.164,101.627,101.109,100.734,100.262,100.189,100.008,99.557,99.067,98.474,98.03,97.823,97.832,97.29,96.998,96.578,96.158,95.901,95.641,95.225,94.495,94.286,93.896,93.912,94.334,94.086,93.817,93.552,93.853,94.872,95.55,95.8,95.354,94.6,94.249,94.208,94.671,94.989,95.229,95.487,95.631
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",97.054,97.256,97.47,97.777,97.815,97.84,97.909,98.121,98.162,98.414,98.861,99.216,99.503,99.908,100.258,100.325,100.729,100.911,101.167,101.598,101.604,101.619,101.807,101.865,102.368,102.603,102.911,103.325,104.205,105.231,106.638,108.033,109.894,110.627,111.411,112.41,112.836,114.228,116.086,117.896,119.409,120.911,121.653,122.006,123.297,125.666,129.759,130.57,129.146
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.281,97.44,97.638,97.881,98.121,98.227,98.369,98.759,98.955,99.065,99.116,99.421,99.691,99.868,100.136,100.302,100.623,100.875,101.048,101.284,101.333,101.488,101.917,102.166,102.533,102.883,103.258,103.74,104.505,105.657,106.669,108.153,109.83,111.277,112.06,112.944,113.978,114.837,116.2,117.172,118.383,119.219,120.19,121.175,122.588,124.539,127.322,128.816,129.453
"48","40","      Miscellaneous durable goods wholesalers","PK42193",102.126,101.948,101.999,102.215,100.932,99.531,96.921,94.966,94.501,94.787,96.879,100.332,101.752,101.338,99.085,97.892,96.407,95.444,94.545,94.053,93.736,95.494,96.578,97.543,98.635,98.765,99.641,104.114,110.08,108.594,113.976,116.909,114.235,112.741,113.364,117.45,121.238,130.332,132.437,130.045,135.422,139.173,139.888,144.848,151.947,166.414,166.872,132.119,128.344
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.839,95.403,94.498,94.638,92.572,91.554,90.001,89.697,89.689,91.825,93.5,95.179,98.674,99.621,99.81,101.835,102.12,101.566,100.039,97.031,97.621,98.766,101.158,102.555,106.96,104.116,104.908,107.678,110.486,112.616,112.943,115.785,117.059,119.272,123.749,126.05,125.543,130.264,131.205,129.407,133.202,138.137,139.679,148.168,158.85,167.321,170.852,143.463,135.269
"50","42","      Paper and paper products wholesalers","PK42213",88.266,87.232,88.799,91.32,92.631,92.156,90.559,88.029,87.471,89.245,91.643,93.814,96.147,100.801,101.53,101.711,101.415,99.986,97.482,96.069,94.977,94.12,95.198,96.168,96.165,96.941,96.227,95.794,95.479,98.235,101.893,103.102,105.083,105.262,103.112,104.895,107.876,110.556,113.362,114.633,114.499,113.81,114.648,117.775,119.639,121.012,126.081,128.573,125.396
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.708,89.421,89.738,90.438,92.533,95.997,96.755,97.384,97.369,97.64,98.683,99.356,99.587,99.64,100.28,100.43,100.837,100.827,100.738,101.185,101.479,101.806,102.484,103.089,103.496,104.127,104.843,105.469,106.557,107.318,107.578,108.437,109.863,111.255,113.028,113.372,114.502,115.026,115.753,116.401,117.529,118.199,119.371,120.601,121.911,123.333,124.299,126.086,127.695
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.209,100.427,100.642,100.789,101.112,100.906,100.73,100.642,100.353,100.179,100.1,100.059,100.177,99.99,99.958,99.879,100.056,100.136,99.891,99.454,98.876,98.345,98.215,98.499,98.708,98.824,98.83,98.96,99.06,99.08,99.063,99.137,99.318,99.382,99.666,99.692,99.926,100.11,100.234,100.361,100.677,100.802,100.994,101.306,101.639,102.082,102.8,102.956,103.303
"53","45","      Grocery and related products wholesalers","PK42243",99.259,99.063,98.46,99.008,98.592,98.846,99.023,99.046,99.591,99.72,99.843,99.636,99.441,100.537,99.67,100.342,101.899,102.984,102.77,102.755,104.698,101.895,101.669,101.518,103.138,104.536,105.297,107.831,107.029,110.084,109.05,112.693,112.444,113.378,112.104,114.128,113.738,114.095,116.994,117.58,121.045,122.998,122.846,125.641,128.144,130.156,132.442,133.66,131.028
"54","46","      Farm product raw material wholesalers","PK42253",135.191,138.606,129.644,128.695,123.997,116.913,105.629,105.454,103.363,100.337,94.273,94.345,102.085,103.45,93.257,101.955,104.749,99.848,102.515,97.725,99.25,98.273,116.594,115.79,115.813,117.551,114.65,128.372,136.495,139.381,119.689,107.53,112.06,112.869,111.709,109.169,112.104,116.062,117.636,140.92,154.574,156.738,160.039,184.996,233.826,245.702,232.159,167.801,167.776
"55","47","      Chemical and allied products wholesalers","PK42263",97.097,96.241,96.582,96.461,95.959,95.501,94.8,94.367,93.466,93.404,94.463,96.512,98.157,99.592,101.111,101.061,102.96,101.997,99.259,97.478,96.902,99.174,100.812,102.272,107.388,106.746,106.476,107.042,110.754,113.373,118.817,123.61,125.948,126.959,130.273,139.124,140.717,143.484,146.481,143.321,144.083,148.28,150.623,157.405,164.008,173.268,187.252,163.96,151.752
"56","48","      Petroleum and petroleum products wholesalers","PK42273",81.388,71.453,70.481,69.986,59.851,55.179,51.275,49.251,48.543,60.999,70.954,78.586,95.588,95.449,101.371,107.184,100.776,98.429,89.137,72.768,72.789,84.128,88.614,97.467,123.757,96.992,102.908,108.169,121.006,125.969,137.278,155.567,156.329,165.943,200.969,211.573,201.401,232.646,229.081,197.77,207.317,235.465,238.901,274.238,311.171,351.689,363.04,202.297,159.011
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.178,96.435,96.376,95.581,95.921,95.876,96.063,97,97.081,96.762,97.574,97.525,97.967,99.499,100.986,101.515,102.675,103.248,103.507,104.226,104.146,104.31,104.567,105.302,105.168,105.939,105.78,106.633,110.274,107.96,108.083,109.075,110.916,112.586,113.689,113.701,113.282,114.789,113.886,113.654,112.793,113.006,114.621,115.471,116.365,117.329,118.867,120.515,122.109
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.778,93.162,92.948,92.763,91.434,91.433,91.956,93.32,95.263,95.457,96.442,98.038,98.721,99.15,100.277,101.892,104.783,104.569,104.147,103.281,102.899,104.927,106.686,106.327,106.796,107.683,107.307,109.215,111.013,112.431,112.973,113.6,115.215,117.564,119.983,121.168,122.46,123.368,123.763,124.285,128.094,131.919,134.87,138.935,147.534,158.514,172.325,164.338,149.848
"59","51","  Retail trade industries","PK443",99.902,99.454,99.097,98.86,98.276,97.86,97.8,97.503,97.202,98.045,98.757,98.963,99.599,100.033,100.14,100.227,100.286,100.51,99.785,98.565,98.018,98.608,98.512,98.218,98.697,97.725,97.716,97.213,98.013,99.035,98.979,99.654,99.849,100.008,101.096,101.211,101.027,101.502,101.717,100.247,100.632,101.204,101.209,101.906,102.606,103.288,104.425,100.764,99.301
"60","52","    Motor vehicle and parts dealers","PK4413",99.89,99.574,98.926,98.637,98.565,98.34,98.795,98.988,98.503,98.578,99.377,99.635,99.483,100.059,100.002,100.483,101.234,101.095,100.636,100.7,100.065,99.58,99.824,99.321,98.702,98.339,97.523,95.775,95.581,95.896,96.128,97.071,97.91,98.279,98.313,98.473,98.846,99.265,99.579,98.685,98.111,98.174,98.686,98.896,98.9,98.583,98.303,96.914,96.46
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.777,122.94,120.504,118.581,116.726,115.328,112.539,110.157,108.05,106.552,104.85,102.879,101.871,100.706,99.409,98.062,95.782,93.63,91.645,89.98,87.998,87.005,85.738,83.932,82.295,80.492,78.435,77.416,76.933,76.022,74.693,73.833,72.851,72.091,70.6,69.657,68.646,67.385,66.355,65.393,64.598,63.642,62.198,60.875,60.33,59.253,58.43,57.238,56.349
"62","54","    Building material and garden equipment and supplies dealers","PK4443",102.127,102.693,102.342,101.436,101.756,100.857,100.162,98.969,99.747,100.768,101.937,100.368,100.995,100.481,99.403,99.128,99.095,100.258,99.981,98.42,98.891,99.448,99.084,98.423,98.528,98.623,100.143,101.359,103.298,106.057,106.389,105.422,106.962,107.401,107.408,107.789,108.651,108.686,107.511,106.799,108.055,108.418,108.434,107.75,107.963,109.427,110.529,109.545,106.948
"63","55","    Food and beverage stores","PK4453",92.844,93.098,93.414,93.749,94.208,94.632,95.114,95.802,96.675,97.02,97.58,98.18,98.776,99.661,100.588,100.952,101.842,102.655,103.612,103.98,104.428,104.81,104.966,105.077,105.586,105.981,106.636,107.449,108.171,109.227,109.658,110.281,110.283,111.206,111.777,112.406,112.955,113.323,114.139,114.4,115.725,116.973,118.134,119.28,120.788,122.904,125.522,126.687,126.747
