"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"21","14","A137RX B       Used autos","A137RX0",42403,44816,47815,48366,53476,52805,54801,57380,61337,61709,60650,58701,58070,56289,56053,56802,56804,56148,50994
"22","15","GAP57  D         Margin","GAP570",21828,21612,22749,23352,24326,24787,24908,24575,24309,24317,24886,26251,22891,22924,23095,23468,23443,23136,21322
"23","16","GAP60  D         Net transactions","GAP600",22912,25437,27425,27348,31196,30125,31892,34698,38873,39194,37500,34265,37117,35199,34783,35104,35072,34683,31174
"24","17","GAP63  D         Employee reimbursement","GAP630",-1851,-2047,-2232,-2121,-2045,-1994,-1967,-1901,-1833,-1787,-1735,-1806,-1711,-1724,-1772,-1744,-1684,-1636,-1577
"25","18","W241RX B       Used light trucks (including utility vehicles","W241RX0",16897,17836,20234,20551,20413,23193,28937,35076,43111,49815,50599,52188,55672,55917,58062,58695,60981,67184,64746
"26","19","W491RR D         Margin","W491RR0",6806,6405,5595,6674,7980,9245,10485,11708,12768,13828,14343,15018,14561,15811,16386,16254,16501,17296,16834
"27","20","W492RR D         Net transactions","W492RR0",9985,11303,14266,13726,12514,14065,18471,23353,30336,35992,36256,37171,41220,40034,41608,42469,44630,50364,48321
"28","21","AB62RX B   Private fixed investment","AB62RX0",59351,56935,59248,73032,92934,97868,103038,110013,113412,125706,118264,101698,95747,89956,107060,126875,140372,118488,80493
"29","22","AB68RX B     New motor vehicles","AB68RX0",93034,93798,100671,115386,137537,142375,155993,167433,180878,200245,193374,173495,170100,162181,183413,203975,220634,205866,162199
"30","23","B139RX B       Autos","B139RX0",54892,58020,58343,62567,72913,70095,72890,73566,72831,77333,76390,71094,69358,64050,65296,69079,72333,74081,63462
"31","24","GAP66  D         Domestic","GAP660",47173,50810,50212,53693,62544,61005,64757,64797,63452,64284,59953,52041,46971,42634,43928,47146,48458,47540,39564
"32","25","GAP69  D         Foreign","GAP690",7718,7210,8131,8874,10369,9090,8132,8768,9378,13048,16437,19053,22387,21415,21367,21932,23874,26539,23897
"33","26","B705RX B       Trucks","B705RX0",37801,35265,41980,52545,64317,72001,82838,93666,108003,122915,116984,102394,100736,98141,118057,134764,148124,131689,98708
"34","27","B196RX B         Light trucks (including utility vehicles)","B196RX0",20740,20810,23554,28380,37386,42224,56287,68682,76686,87577,86066,79600,77427,77583,89577,99569,109834,109450,81289
"35","28","BTRLDD D           Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84969,91225,90258,65760
"36","29","BTRLMD D           Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14599,18608,19191,15529
"37","30","B197RX B         Other trucks, buses, and truck trailers","B197RX0",17449,14764,18859,24782,27464,30347,26747,24918,31335,35353,30918,22822,23307,20686,28345,34767,37875,23988,18440
"38","31","W242RX B     Net purchases of used autos and used light trucks","W242RX0",-33690,-37351,-42283,-42707,-44597,-44501,-52767,-57218,-67415,-74474,-75109,-71696,-74184,-72149,-75237,-74009,-76274,-86562,-84168
"39","32","B140RX B       Used autos","B140RX0",-24310,-27220,-28885,-29538,-32535,-32094,-35098,-36944,-40125,-40448,-39863,-36193,-36356,-35449,-36966,-36975,-37404,-40347,-39971
"40","33","GAP72  D         Margin","GAP720",625,611,642,700,772,830,878,910,900,900,921,972,848,849,855,869,868,857,790
"41","34","GAP75  D         Net transactions","GAP750",-24928,-27842,-29542,-30242,-33312,-32919,-35974,-37853,-41024,-41348,-40784,-37164,-37193,-36291,-37807,-37833,-38258,-41161,-40694
"42","35","W243RX B       Used light trucks (including utility vehicles)","W243RX0",-9398,-10155,-13393,-13171,-12090,-12429,-17664,-20266,-27289,-34027,-35247,-35505,-37836,-36707,-38278,-37029,-38878,-46272,-44239
"43","36","W493RR D         Margin","W493RR0",836,787,786,1024,1330,1667,2036,2441,2662,2882,2990,3131,3035,3296,3416,3389,3440,3606,3510
"44","37","W494RR D         Net transactions","W494RR0",-10298,-11025,-14333,-14289,-13440,-14074,-19709,-22712,-29955,-36909,-38237,-38635,-40847,-40034,-41722,-40472,-42337,-49728,-47635
"45","38","AB64RX B   Gross government investment","AB64RX0",12640,11287,11782,10699,9897,10139,10037,10632,11417,11978,12384,12378,12577,13744,13830,14347,15562,15919,15642
"46","39","B144RX B     Autos","B144RX0",3882,3243,3827,3572,3635,3856,3646,3279,3424,3515,3409,3542,3307,3272,3220,3506,3797,3817,3621
"47","40","GAP81  D       New autos","GAP810",2396,1823,2254,2129,2261,2464,2316,2027,2281,2435,2390,2412,2294,2252,2236,2613,3018,3103,2925
"48","41","GAP84  D       Net transactions in used autos","GAP840",-356,-585,-630,-652,-659,-612,-635,-631,-685,-706,-716,-678,-698,-706,-801,-858,-902,-915,-877
"49","42","GAP87  D       Employee reimbursement","GAP870",1851,2047,2232,2121,2045,1994,1967,1901,1833,1787,1735,1806,1711,1724,1772,1744,1684,1636,1577
"50","43","B708RX B     Trucks","B708RX0",8753,8043,7955,7129,6273,6299,6400,7353,7994,8463,8975,8837,9269,10472,10609,10847,11770,12104,12013
"51","44","W495RX B       New trucks","W495RX0",9295,8604,8567,7792,7009,7011,7171,8148,8855,9383,9926,9785,10279,11540,11830,12078,13057,13572,13232
"52","45","GOVLTD D         Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267,4831,5378,5027
"53","46","QTKGHT D         Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7811,8226,8194,8251
"54","47","W496RR B       Net transactions in used light trucks","W496RR0",-554,-590,-664,-696,-748,-721,-772,-796,-862,-920,-951,-947,-1010,-1063,-1236,-1230,-1244,-1374,-1200
"55","48","AB63RX B   Net exports","AB63RX0",-51859,-45633,-44413,-49012,-53795,-54423,-55474,-62116,-69102,-91310,-101714,-99906,-103359,-100227,-103420,-98418,-106509,-92165,-71642
"56","49","AB69RX B     Exports","AB69RX0",16672,19130,21510,21995,24659,25521,26641,28101,26713,25735,26125,25235,28347,31193,34559,40993,45458,55796,59874
"57","50","B142RX B       Autos","B142RX0",10784,12560,12660,12109,12923,12719,13063,12780,12345,11986,12235,13131,14707,15387,15836,19480,22673,29922,35196
"58","51","B706RX B       Trucks","B706RX0",5815,6484,8782,9832,11688,12769,13551,15327,14370,13750,13890,12107,13644,15795,18678,21487,22803,25995,24969
"59","52","AB70RX B     Imports","AB70RX0",68531,64763,65923,71007,78454,79944,82115,90217,95815,117046,127839,125140,131706,131420,137979,139411,151967,147961,131516
"60","53","B143RX B       Autos","B143RX0",46052,41812,40671,45421,46701,50065,46497,51636,53715,63656,69414,67708,71930,69420,69567,67089,74234,73071,73009
"61","54","B707RX B       Trucks","B707RX0",22311,22814,25142,25432,31678,29736,35587,38533,42077,53389,58425,57432,59779,61984,68353,72204,77631,74813,58653
"62","55","AB65RX B Change in private inventories","AB65RX0",-5862,-3158,616,2360,6451,7212,-2496,4455,462,11791,10535,-12869,12169,9141,4509,-3601,-2873,-7531,-6311
"63","56","A145RX B   Autos","A145RX0",-4197,-759,-464,1947,1590,3564,-3313,1716,3275,2419,4095,-3382,6909,132,-1337,-2283,1856,-4471,6181
"64","57","B146RX B     New","B146RX0",-3810,-1309,-9,992,961,2533,-5413,495,2494,1159,1199,-6571,7867,22,-1776,-1143,3397,-3167,7365
"65","58","AB71RX B       Domestic","AB71RX0",-4266,-1406,559,846,2395,3171,-3774,319,1510,-82,683,-7250,6726,335,-768,-666,2117,-2389,5391
"66","59","AB72RX B       Foreign","AB72RX0",540,132,-623,142,-1561,-709,-1679,179,986,1242,516,626,1197,-294,-977,-468,1261,-784,1930
"67","60","B147RX B     Used","B147RX0",-258,703,-507,995,637,1034,2054,1227,770,1266,2895,3139,-941,115,580,-1162,-1826,-1230,-1923
"68","61","B709RX B   Trucks","B709RX0",-1402,-2614,1249,266,5262,3692,1108,2785,-2878,9393,6440,-9359,5324,8391,5319,-1374,-4319,-3118,-11429
"69","62","W244RX B     New trucks","W244RX0",-1859,-2570,1005,-679,4282,3706,-755,3566,-2565,8599,4510,-10849,5333,7693,4528,-15,-2335,-2670,-10181
"70","63","AB73RX B       Domestic","AB73RX0",-1298,-2154,977,26,3923,4056,-902,3009,-2469,8159,3623,-10326,3940,7600,4558,-606,-3049,-1959,-10971
"71","64","AB74RX B       Foreign","AB74RX0",-598,-431,27,-737,360,-317,135,539,-99,441,887,-524,1411,54,-59,621,746,-717,778
"72","65","W245RX B     Used \1\","W245RX0",297,-173,260,785,1062,154,1647,-630,-335,817,1930,1653,-211,220,544,-1647,-2196,-314,-550
"73",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","66","AB75RX B   Final sales of motor vehicles to domestic purchasers","AB75RX0",291161,258473,278480,302464,334772,334380,349807,374233,409179,451235,456143,461206,477468,483270,507049,525541,529596,513968,417487
"75","67","AB76RX B   Private fixed investment in new autos and new light trucks","AB76RX0",75644,78887,81883,90912,110291,112369,129281,142346,149549,164909,162456,150696,146789,141574,154767,168519,181973,183387,144922
"76","68","B148RX B   Domestic output of new autos \2\","B148RX0",103207,96019,100622,104840,119067,112628,109584,108811,107355,109922,110502,101087,104839,93896,91525,101572,103350,99959,97218
"77","69","B149RX B   Sales of imported new autos \3\","B149RX0",62196,53319,55323,57481,58116,56031,54503,59268,67000,78280,83864,82831,89215,87655,91058,92425,101404,104660,93401
"78","70","GAP90  D     Imports from Canada","GAP900",13782,13826,13690,16778,15820,17300,16532,18143,21837,22504,19207,14136,18065,19089,18945,15022,13744,15994,13855
"79","71","GAP109 D       Sales","GAP1090",14326,13974,13605,16659,15525,16880,17046,18096,21559,22505,19119,15042,17261,19007,19069,15093,13512,16371,13173
"80","72","GAP111 D       Inventory change","GAP1110",-544,-147,86,119,295,420,-514,46,278,-1,88,-906,805,83,-124,-71,232,-377,682
"81","73","GAP127 D     Imports from Mexico","GAP1270",2189,2593,2918,2806,3859,4421,4616,4193,5309,6558,9379,9086,10223,7856,8061,11361,17026,15520,16120
"82","74","GAP130 D       Sales","GAP1300",2263,2626,2893,2804,3788,4337,4805,4172,5274,6560,9316,9672,9715,7822,8124,11397,16739,15881,15029
"83","75","GAP132 D       Inventory change","GAP1320",-74,-34,25,2,71,84,-189,21,35,-2,64,-586,508,34,-63,-36,287,-361,1090
"84","76","GAP99  D   Exports of used autos","GAP990",1179,1484,1973,1695,1284,1554,1677,1576,1297,966,763,741,807,1108,2368,3767,4852,7563,11318
"85","77","GAP102 D   Imports of used autos","GAP1020",263,84,56,87,105,103,80,120,364,678,1010,975,1121,615,391,319,265,343,415
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","B=Annual and quarterly data published in the Survey of Current Business monthly (NIPA table 7.2.6B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","  Chain-type quantity indexes for the series in this table are shown in table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
