"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"29","21","    Apparel manufacturing","PK3153",98.925,98.999,99.153,98.897,99.286,99.367,99.358,99.49,99.628,99.391,99.734,99.677,99.845,99.815,99.754,99.804,99.841,99.924,100.043,99.977,100.153,100.35,100.204,100.196,100.257,100.275,100.333,100.367,100.519,100.098,99.913,100.424,100.463,100.419,100.482,100.544,100.401,100.463,100.645,100.67,100.586,100.664,100.873,100.791,100.894,100.93,100.868,100.931,100.923,100.986,100.799,100.846,100.757,100.646,100.675,100.841,100.732,100.783,100.777,100.461,100.415,100.322,100.148,99.947,100,100.008,99.997,99.998,100.083,100.205,100.209,100.31,99.872,99.846,100.073,99.974,99.827,99.719,99.582,99.766,99.907,99.953,99.917,99.928,99.894,99.748,99.798,99.908,100.08,99.798,99.707,99.736,100.284,100.456,100.647,100.565,100.471,100.309,99.794,99.778,99.893,100.005,99.87,99.886,100.405,99.904,99.894,99.779,99.986,100.161,100.182,100.197,100.257,100.189,100.148,100.371,100.423,100.79,100.702,100.678,101.197,101.438,101.378,101.511,101.365,101.342,101.419,101.466,101.474,101.664,101.702,101.694,101.886,101.879,102.162,102.427,102.424,102.355,102.585,102.871,103.133,103.464,103.623,103.615,103.898,103.892,103.933,103.881,103.687,103.705,103.593,103.647,103.875,104.004,103.97,103.98,103.891,103.836,103.837,104.089,104.029,104.054,104.172,104.246,103.899,103.923,103.962,104.095,104.268,104.921,105.136,105.431,105.515,105.797,106.199,106.053,106.641,106.362,106.785,106.708
"30","22","    Leather and allied product manufacturing","PK3163",93.253,93.589,93.493,93.716,93.035,92.604,92.704,92.549,92.595,93.3,93.823,93.352,93.19,93.049,92.991,92.603,92.723,92.706,92.943,92.684,92.746,92.618,92.226,92.453,91.783,91.976,91.898,91.943,91.801,92.124,92.254,92.312,92.468,92.683,92.712,92.747,93.118,93.25,93.145,93.324,93.042,92.936,93.131,93.468,94.076,94.099,94.743,95.084,95.23,96.017,96.419,97.718,98.2,97.515,97.449,97.717,96.793,96.449,96.021,95.586,96.056,95.647,95.695,95.787,96.209,96.713,97.066,97.873,97.783,97.616,97.978,98.112,98.147,98.253,98.275,98.672,98.098,98.448,98.542,98.406,98.897,99.258,99.459,99.39,99.578,99.738,99.824,99.516,99.426,99.559,99.719,99.563,99.487,99.45,99.667,99.728,99.747,99.833,99.904,99.868,99.905,100.079,100.206,100.057,99.994,100.149,100.186,100.146,100.25,100.445,100.767,101.245,101.384,101.349,101.47,101.635,101.607,101.88,102.025,102.19,102.88,102.909,103.294,103.546,103.499,103.345,103.345,103.784,103.807,104.159,104.29,104.643,105.245,105.513,105.61,105.675,105.446,106.179,106.366,106.663,107.037,106.86,106.679,106.635,106.488,106.634,106.519,105.737,105.713,105.627,105.26,105.601,105.584,105.123,104.85,104.849,105.016,105.181,105.303,106.223,106.625,106.821,107.076,107.47,107.577,108.68,108.727,109.032,109.926,110.606,110.735,111.266,111.405,112.983,113.844,113.548,113.402,113.198,112.388,111.88
"31","23","    Paper manufacturing","PK3223",86.652,85.978,85.246,84.735,84.695,84.845,85.055,85.617,86.639,87.064,88.027,88.99,89.252,89.415,89.264,88.835,88.807,88.553,88.44,88.117,87.578,86.934,86.479,86.156,85.73,85.581,86.078,86.663,87.07,87.483,87.992,88.837,89.745,90.525,90.714,90.894,91.339,91.636,93.039,94.452,95.36,95.59,95.583,95.647,95.885,95.86,95.831,95.769,95.665,95.651,95.631,95.703,95.294,95.154,94.911,94.23,94.094,93.664,93.319,93.433,93.052,92.608,92.328,92.385,91.957,92.004,92.171,92.638,93.01,93.406,93.572,93.484,93.388,93.478,93.246,93.392,93.559,93.414,93.258,93.401,93.117,92.947,92.932,92.98,92.361,92.497,92.517,93.262,94.163,95.319,96.206,97.348,97.812,98.338,98.562,98.854,99.14,99.51,99.952,100.189,100.335,100.315,100.168,99.748,99.553,99.585,100.599,100.89,101.476,102.927,103.749,103.83,105.021,106.052,106.253,106.564,106.993,107.168,106.968,107.312,107.533,107.487,107.417,107.651,107.623,107.702,107.87,108.012,108.482,109.526,110.219,110.518,111.278,111.859,112.261,112.812,113.244,113.794,114.699,117.268,118.769,119.36,119.235,119.205,118.513,117.789,117.16,116.086,114.745,114.063,113.245,112.848,112.703,112.635,112.875,113.03,113.143,114.481,115.787,116.729,118.932,120.102,120.824,120.886,121.525,121.668,121.883,122.211,122.592,122.549,123.183,123.44,123.957,124.397,124.688,124.73,124.371,124.218,124.043,124.279
"32","24","    Printing and related support activities","PK3233",89.264,89.282,89.214,89.378,89.341,89.434,89.661,89.845,89.905,90.776,90.885,90.939,91.184,91.215,91.381,91.659,91.607,91.504,91.713,91.756,91.817,91.987,92.022,92.07,91.767,91.824,92.013,92.065,92.157,92.173,92.269,92.421,92.41,92.677,92.862,92.937,92.989,93.143,93.562,94.086,94.183,94.939,95.12,95.226,95.293,95.682,95.662,95.842,95.949,96.106,96.224,96.638,96.402,96.294,96.364,96.195,96.162,96.134,96.188,95.96,96.147,96.247,95.891,96.066,96.067,96.109,96.194,96.061,96.098,96.094,96.1,96.169,96.259,96.49,96.496,96.52,96.604,96.674,96.488,96.628,96.639,96.698,96.721,96.68,96.837,96.842,97.088,97.535,97.525,97.622,97.989,98.072,98.575,98.656,98.915,98.976,99.346,99.227,99.407,99.452,99.534,99.747,100.099,100.272,100.569,100.703,100.779,100.906,101.361,101.738,101.987,102.12,102.249,102.439,102.533,102.777,102.896,103.292,103.367,103.389,103.38,103.237,103.492,103.681,103.83,103.88,104.156,104.381,104.59,104.808,104.912,105.19,105.639,105.945,105.99,106.577,106.765,106.93,107.385,107.914,108.254,108.267,108.118,108.134,108.022,107.473,107.508,107.29,107.135,107.035,106.163,106.026,106.161,106.349,106.477,106.5,106.169,106.301,106.369,106.393,106.496,106.992,107.208,107.049,107.143,107.419,107.899,107.932,107.795,107.841,107.966,108.3,108.282,108.17,108.337,108.423,109.001,109.148,109.114,109.082
"33","25","    Petroleum and coal product manufacturing","PK3243",48.718,47.818,46.538,43.664,41.374,40.632,39.562,41.228,40.581,40.856,40.959,41.265,38.732,36.653,34.917,34.521,33.968,32.938,32.812,30.912,30.348,31.744,31.239,29.624,30.894,29.449,31.747,37.199,36.191,35.718,38.952,41.554,42.487,42.022,44.527,49.069,49.83,54.67,58.378,52.753,51.76,57.659,56.957,54.851,59.018,59.076,61.656,61.296,59.602,58.387,55.057,56.956,57.851,55.786,50.068,51.061,54.47,45.604,44.032,41.322,40.703,41.324,45.377,49.451,47.113,48.253,50.138,50.319,52.276,56.688,55.504,56.465,61.416,72.468,73.662,57.991,52.681,56.944,58.141,60.149,58.621,58.164,60.396,64.85,69.671,69.403,67.693,68.865,71.881,70.739,73.739,74.893,76.776,86.089,89.734,82.524,83.226,88.091,92.394,91.897,86.895,91.867,96.564,103.291,117.853,128.638,110.176,114.565,117.077,112.283,113.002,120.791,122.558,127.637,123.543,128.444,111.394,107.881,112.421,118.583,101.802,106.432,119.018,130.129,137.596,134.546,142.002,129.373,134.052,133.834,153.405,144.696,147.973,149.826,169.447,174.79,193.236,204.242,216.011,191.961,192.039,149.809,109.753,81.729,87.998,87.002,82.699,92.099,102.49,118.639,112.387,125.453,120.337,119.999,129.056,127.056,138.008,130.625,139.314,144.193,146.781,140.945,139.958,142.75,141.826,148.504,152.391,156.36,161.831,169.175,187.689,198.832,206.66,200.044,199.584,191.264,193.994,185.448,187.907,182.898
"34","26","    Chemical manufacturing","PK3253",79.653,79.695,79.644,79.576,79.69,79.692,79.769,79.796,79.845,79.958,80.029,80.033,79.957,79.937,81.127,81.071,81.088,81.078,81.07,81.035,80.846,80.77,80.738,80.689,80.535,80.298,80.281,80.272,80.531,80.894,81.264,81.245,81.589,82.397,82.506,82.535,82.666,82.836,82.879,83.034,83.465,83.587,84.046,84.251,84.697,84.839,84.751,84.878,85.625,86.047,86.199,86.272,85.721,85.633,84.64,84.196,84.489,83.979,83.978,83.582,83.546,83.526,84.02,84.112,84.016,84.205,84.986,85.056,85.082,85.668,85.912,85.543,86.312,86.96,88.059,88.608,88.47,88.364,88.059,87.842,88.006,88.228,88.183,88.346,89.032,89.423,89.915,90.478,90.689,91.481,92.134,92.884,94.034,94.929,95.679,96.585,97.542,97.824,98.47,99.094,99.101,98.917,99.417,99.514,100.204,102.246,103.724,103.75,104.628,104.925,104.943,104.439,104.934,105.128,105.297,105.65,105.78,105.993,105.798,106.172,106.354,106.686,107.272,107.595,107.981,108.556,109.073,109.539,109.439,110.497,111.769,112.321,114.159,115.327,117.084,118.385,120.283,122.129,125.988,127.617,129.384,128.08,126.545,124.467,122.877,122.207,121.881,121.204,120.492,120.077,120.882,120.661,121.339,121.388,121.613,122.649,123.129,124.447,124.94,125.826,125.793,125.603,125.83,126.116,126.653,127.531,127.907,128.66,131.533,132.465,133.218,134.825,135.861,136.675,137.713,137.291,138.087,138.311,138.034,137.594
"35","27","    Plastics and rubber product manufacturing","PK3263",87.17,87.151,87.091,87.27,87.311,87.286,87.251,87.245,87.134,87.078,87.152,87.1,87.089,87.104,87.123,87.057,86.951,86.887,86.704,86.591,86.494,86.364,86.319,86.366,86.26,86.25,86.274,86.569,86.635,86.884,87.002,87.295,87.406,87.563,87.829,87.918,88.104,88.14,88.152,88.376,88.284,88.697,89.245,88.988,89.216,89.119,89.767,89.782,89.754,89.668,90.072,89.979,90.207,90.15,90.084,89.673,89.493,89.384,89.428,89.343,89.146,88.836,88.995,89.211,89.43,89.831,89.678,89.881,90.166,90.164,89.806,89.85,90.211,90.935,91.56,92.178,92.203,91.98,91.841,91.79,91.656,91.606,91.537,91.735,91.845,92.189,92.355,92.587,92.886,93.268,93.584,93.666,94.629,95.283,95.944,96.593,97.492,98.072,98.678,98.961,99.064,99.416,99.552,99.299,100.297,101.699,103.313,103.918,104.713,104.77,104.623,104.686,104.598,104.708,105.06,105.356,105.507,105.724,105.54,105.552,105.209,105.088,104.947,104.96,105.21,105.313,105.683,106.295,106.302,106.623,106.981,107.604,108.594,109.031,109.633,109.999,111.009,111.681,113.829,114.912,115.817,116.316,115.859,114.8,113.993,112.979,112.739,112.755,112.732,112.392,112.264,112.326,112.814,113.035,113.338,113.473,113.651,114.246,114.987,115.781,116.229,116.881,116.729,116.782,117.07,117.324,117.92,118.388,119.726,120.578,121.055,122.033,123.509,124.946,125.204,125.067,125.192,125.271,124.947,125.14
"36","28","Merchant wholesale industries","PK42W3",96.05,95.669,95.643,95.148,94.637,94.047,93.776,93.917,93.689,93.786,93.382,93.28,92.258,91.87,91.362,90.984,90.577,90.011,90.056,88.865,88.613,88.881,88.538,88.127,88.337,87.752,88.016,88.664,88.665,88.732,88.926,89.499,89.934,89.797,90.165,90.797,90.947,91.716,92.153,91.592,91.762,91.96,91.776,91.152,91.906,92.157,92.371,92.23,92.081,91.671,91.309,91.262,91.327,90.997,90.302,90.251,90.531,89.214,88.818,88.529,88.466,88.601,89.156,89.12,88.946,89.184,89.695,89.969,90.445,91.026,90.535,90.454,91.225,92.599,92.804,91.09,90.691,91.018,90.938,91.385,91.729,92.223,92.701,93.41,94.133,94.393,94.83,95.321,95.91,95.495,95.852,96.18,96.564,97.918,98.262,97.667,97.958,98.475,99.301,99.204,98.579,98.808,99.343,100.066,101.701,102.673,101.463,102.2,102.713,102.232,102.354,103.483,104.101,104.658,104.507,105.048,103.766,103.822,104.785,105.656,104.853,106.29,106.965,107.538,107.751,107.828,108.355,108.046,109.615,111.032,114.159,114.492,116.008,116.858,118.813,119.55,121.476,123.694,125.198,123.334,123.168,116.782,110.848,105.971,106.778,106.234,104.999,105.707,106.882,109.162,107.197,110.057,110.018,111.677,113.033,114.139,116.138,115.376,116.46,116.334,114.683,112.571,112.751,114.192,116.035,118.686,120.489,122.864,124.658,127.452,127.911,129.203,127.71,127.225,127.66,127.343,129.33,128.304,129.8,129.854
"37","29","  Durable goods merchant wholesale industries","PK42WD3",112.976,112.799,112.727,112.453,111.872,111.665,111.299,111.069,110.655,110.267,110.019,109.697,109.077,108.553,108.156,107.564,107.104,106.526,106.144,105.35,105.065,104.644,104.341,103.943,103.542,103.421,103.114,102.811,102.714,102.649,102.639,102.444,102.393,102.41,102.541,102.519,102.54,102.366,102.268,102.135,101.996,101.858,101.776,101.266,101.282,101.096,100.878,100.622,99.837,99.368,99.103,99.01,98.967,98.83,98.577,98.156,98.05,97.442,97.206,97.006,96.864,96.829,96.821,96.717,96.731,96.838,96.593,96.419,96.533,96.606,96.293,96.142,96.166,96.059,96.276,95.891,95.93,95.859,95.816,95.89,96.096,96.303,96.529,96.669,97.076,97.656,98.216,98.448,98.569,98.505,99.09,99.745,99.754,100.22,100.362,100.47,100.488,100.422,100.314,100.32,99.853,99.427,99.372,99.643,100.028,99.696,100.094,100.353,100.63,100.925,101.085,101.372,102.155,102.194,101.82,101.864,102.137,101.642,102.196,102.331,102.299,102.518,103.041,103.021,102.849,102.949,103.001,102.984,102.855,103.194,103.409,103.492,103.849,104.358,104.999,106.336,107.108,107.799,108.856,108.818,107.574,105.818,103.783,103.28,103.223,102.751,102.416,102.07,102.259,102.588,102.782,103.525,103.756,104.025,104.296,104.854,105.387,105.493,105.983,106.338,106.226,105.673,105.32,105.421,105.718,106.138,106.718,107.26,107.726,108.248,108.307,108.544,108.473,108.906,109.214,109.206,109.551,109.208,109.289,109.614
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",102.579,102.428,102.577,102.257,101.817,102.033,101.337,101.4,100.974,100.455,100.264,99.989,100.224,100.446,100.518,100.397,100.132,100.015,100.629,100.419,100.414,100.722,101.048,100.876,100.702,100.871,100.657,100.872,101.121,101.059,100.967,101.047,101.097,101.708,101.409,101.43,101.386,101.291,101.486,101.428,102.02,101.748,101.779,101.567,101.929,101.309,101.907,102.186,102.15,101.028,101.485,101.885,101.12,100.989,101.853,101.751,102.115,100.169,100.238,100.701,100.223,100.657,100.278,100.087,99.793,99.934,99.058,98.712,99.146,99.593,98.923,98.596,98.87,99.137,100.672,98.7,98.703,98.193,98.449,98.571,98.072,99.035,98.72,98.354,98.296,98.375,98.757,98.505,98.807,98.992,98.37,98.518,99.056,99.981,99.789,100.123,100.436,99.773,99.645,99.872,100.286,99.994,100.852,100.803,101.446,98.821,98.984,99.19,99.412,99.87,100.05,100.403,100.33,100.406,96.916,97.908,98.496,96.314,99.244,98.995,98.531,98.453,98.39,98.352,98.428,98.758,99.298,99.136,98.516,98.714,99.423,99.156,99.555,99.673,99.38,99.989,99.881,100.642,100.86,101.366,101.217,102.283,101.508,101.831,101.65,101.482,101.399,101.825,102.002,103.485,102.755,103.57,103.06,102.327,103.116,103.219,103.762,103.919,103.83,103.873,104.327,104.022,104.431,104.743,104.827,103.171,103.096,103.263,103.571,103.822,104.19,104.858,105.222,106.194,106.869,106.697,106.675,105.776,105.887,106.124
"39","31","    Furniture and home furnishings wholesalers","PK42123",90.299,90.314,90.409,90.11,90.333,90.329,90.635,90.576,90.632,90.73,90.848,90.887,90.899,91,91.101,91.02,91.221,91.07,90.904,90.93,90.884,91.031,91.13,91.164,90.995,90.887,91.127,91.057,91.145,91.412,91.309,91.375,91.402,91.592,91.623,91.602,91.69,91.938,92.158,92.238,92.239,92.522,92.461,92.821,92.662,92.938,92.885,93.16,93.056,93.308,93.059,93.42,93.256,93.09,93.339,93.015,92.899,93.305,93.194,93.157,93.464,93.365,93.29,93.367,93.168,93.459,93.781,93.777,93.917,93.975,94.184,93.845,93.986,94.018,94.143,94.362,94.46,94.837,94.855,94.828,94.57,94.813,95.332,94.692,94.619,94.862,94.556,95.114,95.658,96.056,96.339,96.877,96.85,97.228,98.187,98.378,98.371,98.664,99.234,99.54,99.794,99.933,100.245,100.17,100.367,100.591,101.414,101.519,102.229,102.498,102.48,102.438,102.368,102.548,102.862,103.316,103.744,103.847,103.891,103.84,104.581,105.007,104.858,105.005,105.38,105.385,105.494,105.464,105.64,105.881,106.2,106.206,106.357,106.887,107.031,107.686,107.805,108.281,109.145,109.774,110.163,110.805,110.921,111.006,111.49,111.473,111.419,112.133,112.033,112.012,112.142,111.923,112.452,112.458,112.502,112.51,112.45,111.661,111.674,111.729,112.226,112.515,112.415,112.795,112.746,112.853,112.826,112.789,113.35,114.425,114.262,114.775,115.29,115.984,116.545,116.553,116.381,117.605,117.662,117.858
"40","32","    Lumber and other construction materials wholesalers","PK42133",89.012,89.533,89.409,90.027,90.89,89.668,89.921,89.515,89.547,88.859,89.241,88.819,87.928,87.684,87.421,87.342,86.75,85.199,85.948,86.341,86.223,86.232,86.08,86.518,87.061,87.567,88.096,88.07,89.047,90.222,92.196,91.122,90.528,89.744,90.317,90.643,90.8,90.253,90.124,89.72,88.793,88.475,87.892,87.227,87.103,87.845,87.807,87.839,87.051,86.907,86.844,87.059,89.654,90.624,89.017,89.025,88.663,88.068,87.827,87.405,87.923,87.965,88.305,88.115,88.244,87.714,87.827,88.388,88.006,88.329,88.426,88.445,88.211,88.303,87.946,87.929,88.241,88.614,89.546,89.819,91.413,91.556,92.204,92.658,92.707,93.732,95.302,97.116,99.356,98.75,98.856,101.647,101.52,99.716,98.402,98.834,98.993,100.228,100.15,100.172,98.671,99.754,99.317,98.898,99.62,100.759,101.2,101.955,103.167,103.027,102.652,102.556,102.665,101.213,100.678,100.133,100.229,99.446,99.235,99.621,99.975,99.507,99.118,99.007,98.379,98.701,99.378,99.288,98.609,98.954,98.776,99.271,97.887,97.347,97.388,98.146,99.303,100.411,101.434,103.048,103.995,103.937,103.863,104.082,102.508,100.499,100.784,100.565,99.727,99.546,100.659,100.119,101.031,101.578,101.96,102.377,102.394,104.216,105.351,106.517,107.66,105.718,105.24,104.408,104.079,104.529,104.943,105.53,105.993,105.853,105.977,105.653,105.623,106.167,106.882,107.164,106.473,107.053,105.97,106.218
"41","33","    Professional and commercial equipment wholesalers","PK42143",238.751,236.188,234.056,232.397,226.754,224.769,222.313,218.937,216.717,214.148,211.588,210.053,205.303,200.816,198.182,193.806,190.846,189.136,186.568,181.016,179.267,176.28,174.414,171.77,168.996,166.914,165.181,162.753,161.219,159.494,158.109,156.229,155.319,153.713,153.338,152.11,151.274,150.111,149.156,148.113,147.282,146.493,146.597,144.891,144.599,143.85,142.901,141.654,136.555,134.748,132.507,132.31,131.326,130.92,129.726,127.228,126.244,124.899,123.583,122.728,122.015,121.174,120.851,119.985,119.848,119.192,118.211,117.254,116.823,115.877,115.287,114.884,114.235,112.583,112.078,112.076,111.558,111.237,110.633,110.174,110.328,109.882,109.627,109.065,109.011,108.966,108.756,108.375,108.237,107.204,106.874,106.321,105.783,105.19,104.664,104.578,103.409,103.331,102.455,101.759,100.833,100.506,99.615,99.448,98.247,97.816,97.16,96.583,96.198,95.422,95.019,94.235,93.926,93.299,92.791,92.37,91.781,91.394,91.382,91.177,90.376,90.035,89.597,89.618,89.146,88.632,88.141,87.693,87.398,87.129,86.812,86.531,85.95,85.679,85.317,85.164,85.114,84.762,84.688,84.426,83.946,83.755,83.544,83.402,83.302,82.534,82.148,81.788,81.867,81.179,80.928,80.969,80.419,80.462,79.718,79.556,79.483,79.434,79.34,79.013,78.933,78.529,78.673,78.575,78.24,78.228,78.176,78.062,77.661,77.653,77.143,77.005,76.58,76.218,76.243,75.614,75.689,75.027,75.427,75.503
"42","34","      Computers and software wholesalers","PK42433",468.836,460.436,452.236,445.205,426.833,420.388,412.807,402.21,395.16,387.019,379.185,374.041,360.885,347.223,339.788,328.13,320.282,315.69,308.908,294.119,289.559,281.66,276.395,269.753,262.78,257.585,253.149,246.774,242.907,238.806,235.376,230.654,228.689,224.99,223.827,220.938,218.928,216.122,213.837,211.309,209.293,207.278,207.255,203.288,202.077,200.187,198.593,195.526,184.115,180.404,175.306,174.584,172.18,171.191,168.457,162.651,160.208,157.101,154.311,152.224,150.72,148.529,148.069,146.543,146.122,144.572,142.418,140.188,139.21,137.126,135.67,134.741,132.681,129.541,128.23,127.992,126.993,126.149,124.849,123.821,123.987,122.39,121.7,120.568,119.832,119.624,119.164,118.276,117.941,115.81,115.084,113.922,112.522,111.602,110.316,109.975,107.419,106.653,104.852,103.704,101.799,101.02,99.2,98.705,96.414,95.489,94.263,92.928,92.199,90.69,89.909,88.294,87.556,86.342,85.246,84.393,83.308,82.557,82.234,81.893,80.954,80.271,79.233,78.635,77.736,76.713,75.814,74.896,74.322,73.838,73.175,72.647,71.517,70.871,70.006,69.619,69.477,68.899,68.591,68.081,67.227,66.922,66.683,66.298,66.048,64.835,64.006,63.33,63.343,62.381,61.99,62.144,61.255,61.156,60.292,60.074,60.019,59.922,59.704,59.289,59.214,58.64,58.526,58.354,58.006,57.891,57.722,57.444,56.734,56.609,56.103,55.763,55.197,54.887,54.775,54.109,54.099,53.718,53.755,53.875
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",93.456,93.22,93.359,93.675,93.613,93.527,93.392,93.377,93.414,93.462,93.478,93.677,93.403,93.681,93.667,93.5,93.435,93.443,93.404,93.443,93.412,93.437,93.641,93.52,93.476,93.503,93.629,93.855,93.957,93.909,94.017,94.252,94.148,94.145,94.329,94.299,94.223,94.247,94.26,94.337,94.402,94.514,94.706,94.747,95.134,95.218,94.799,94.994,94.926,94.689,94.736,94.933,95.064,95.144,95.213,95.304,95.505,95.567,95.448,95.598,95.568,95.825,95.639,95.339,95.437,95.532,95.544,95.72,95.767,95.825,95.969,95.997,96.529,96.154,96.331,96.514,96.414,96.535,96.543,96.576,96.713,97.268,97.408,97.375,97.99,98.112,98.146,98.247,98.294,98.312,98.349,98.391,98.671,98.442,98.66,98.802,99.009,99.645,99.749,99.551,99.728,99.907,100.063,100.272,100.328,100.427,100.415,100.687,100.745,100.83,100.878,101.041,101.242,101.302,101.505,101.616,101.638,101.715,102.104,102.08,101.45,101.541,101.871,102.714,102.804,102.995,103.036,103.231,103.317,103.367,103.562,103.648,103.871,104.155,104.562,104.772,104.871,104.906,105.229,105.384,105.569,105.555,105.423,105.725,105.97,105.974,106.368,106.542,106.726,106.567,106.603,106.441,106.575,106.89,106.499,106.473,106.363,106.412,106.581,106.492,106.4,106.443,107.104,107.165,106.901,107.092,107.283,107.522,107.983,108.253,107.869,108.231,108.273,107.879,108.232,107.867,108.127,106.95,108.132,108.082
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",73.666,74.007,74.325,74.115,74.121,74.314,74.217,74.411,74.466,74.152,73.987,73.921,73.221,73.166,72.627,72.499,72.393,71.813,71.241,70.446,69.662,68.618,67.799,67.356,66.447,66.606,66.143,66.071,66.382,66.537,66.638,67.152,67.366,67.931,68.428,69.117,70.013,70.162,70.686,70.66,70.384,70.274,70.407,70.259,70.059,69.389,68.404,68.412,68.218,68.27,67.885,67.321,67.304,66.67,66.742,66.383,66.245,65.672,65.343,64.996,65.127,65.274,65.814,66.456,67.255,68.217,68.86,69.099,69.97,70.199,70.27,70.3,70.371,71.127,71.27,71.064,70.819,70.724,70.737,71.447,71.943,72.618,73.683,75.395,78.351,82.617,85.777,88.57,89.33,89.463,93.923,97.163,97.846,100.331,102.046,102.119,102.824,102.676,101.962,101.833,99.458,96.317,95.467,96.138,98.616,99.07,102.309,103.139,104.347,106.185,106.884,109.223,113.513,115.503,117.4,117.035,118.82,118.678,116.958,117.662,117.123,119.123,123.268,125.863,125.613,125.512,125.338,123.796,122.775,122.983,123.224,124.387,128.344,131.856,137.61,149.153,155.996,161.276,165.781,165.424,157.388,141.127,128.084,119.625,117.284,114.686,111.485,107.871,107.49,108.259,111.261,116.023,119.861,121.461,120.983,124.144,128.775,130.04,134.184,139.385,140.358,138.434,135.05,135.225,136.609,137.858,139.841,142.582,148.359,152.531,154.663,156.651,156.842,155.621,156.265,156.06,155.726,153.096,150.936,152.136
"45","37","    Electrical goods wholesalers","PK42163",113.256,113.054,113.183,112.756,112.532,112.644,112.573,112.199,111.956,111.593,111.392,111.043,110.828,110.345,110.309,110.154,110.024,109.677,109.24,109.219,109.088,109.267,109.248,109.123,109.16,109.23,109.078,108.895,108.518,108.248,107.956,107.933,107.894,107.68,107.49,107.4,107.223,107.077,106.876,107.007,106.962,106.913,106.867,106.628,106.566,106.482,106.307,105.89,105.876,105.695,105.606,105.258,105.134,104.908,104.745,104.542,104.37,104.391,104.373,104.243,104.392,104.326,104.312,104.006,103.785,103.783,103.335,103.457,103.414,103.149,103.044,102.737,102.711,102.409,102.377,102.446,102.361,102.177,102.085,101.903,101.879,101.648,101.671,101.236,100.872,100.469,100.483,100.469,100.519,100.433,100.025,100.063,100.028,99.946,99.994,100.048,100.246,100.366,100.344,100.338,100.173,100.106,99.999,100.036,99.769,99.766,99.512,99.392,99.369,99.463,100.463,100.889,100.934,101.123,101.376,101.799,102.046,102.014,101.966,101.796,101.924,101.127,100.891,100.614,100.457,100.635,100.395,100.297,100.278,100.245,100.28,100.151,100.283,100.584,100.57,100.589,100.833,100.866,100.929,101.101,101.205,101.356,101.142,101.017,100.975,100.999,101.138,101.175,101.163,101.061,100.865,100.931,100.949,100.976,101.031,100.722,100.742,100.726,100.493,100.418,100.452,100.415,100.371,100.256,100.177,100.114,99.941,99.994,100.037,100.192,100.47,100.527,100.419,100.708,100.63,100.708,100.56,100.662,100.525,100.872
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",87.347,87.494,87.583,87.622,87.668,87.671,87.619,87.801,87.853,87.968,88.003,88.048,88.008,88.259,88.12,88.15,88.221,88.098,88.172,88.118,88.193,88.262,88.375,88.347,88.548,88.341,88.379,88.523,88.608,88.857,88.888,89.042,89.128,89.187,89.303,89.471,89.449,89.662,89.757,89.973,89.967,90.075,90.237,90.334,90.257,90.331,90.3,90.3,90.571,90.89,90.703,90.624,91.024,91.053,90.98,91.043,91.207,91.325,91.49,91.514,91.49,91.476,91.584,91.561,91.588,91.48,91.462,91.659,91.793,91.704,91.583,91.725,92.044,92.227,92.292,92.34,92.397,92.502,92.52,92.583,92.677,92.708,92.969,93.09,93.635,93.8,94.062,94.322,94.864,95.253,95.602,95.795,96.31,96.83,97.088,97.399,98.506,99.172,99.399,99.52,99.647,99.71,99.677,100.299,100.42,100.707,101.267,101.429,101.621,101.594,101.895,102.546,102.858,103.536,104.234,104.604,105.29,105.718,106.271,106.717,107.096,107.699,108.001,108.372,108.901,109.004,108.95,109.302,109.535,109.59,109.795,109.811,110.441,111.272,111.735,112.711,113.748,114.589,115.997,116.696,117.494,117.636,117.684,117.776,117.076,116.341,116.587,116.344,116.118,116.299,116.03,116.185,116.486,116.704,116.817,116.987,117.034,117.031,116.793,117.325,117.52,117.538,117.895,117.939,117.996,118.103,118.369,118.643,118.904,119.607,119.71,120.287,120.188,120.881,121.478,121.777,121.81,121.896,121.998,122.012
