"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 12:54:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Government consumption expenditures and gross investment","A822RL1",10.1,4.2,-3.1,-3.4,12.2,3.1,16.1,-4.1,7.6,8.7,3.6,68.1,132.1,50,12.3,-12.1,-64.7,-14.9,5.8,10.9,0.6,36.7,19.6,6.8,-6.4,-3.2,0.2,4.6,3.4,2.5,0.6,5.3,6.5,2.4,2.5,3.2,8.7,7.9,3.4,0.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","      Consumption expenditures \1\","A955RZ2",4.46,2.55,0.09,1.75,8.63,0.97,5.9,-0.81,4.44,5.92,4.74,32.8,68.59,33.79,11.65,-2.48,-44.49,-15.52,0.3,4.55,0.08,24.35,13.48,4.16,-5.24,-1.68,-0.59,2.69,1.24,-0.04,0.43,2.35,4.86,1.43,1.46,2.65,6.04,6.38,3.66,1.42
"12","3","      Gross investment \2\","A782RZ2",5.66,1.64,-3.24,-5.1,3.58,2.17,10.19,-3.25,3.15,2.8,-1.17,35.28,63.51,16.18,0.67,-9.66,-20.19,0.64,5.53,6.32,0.53,12.4,6.14,2.61,-1.16,-1.55,0.84,1.91,2.14,2.52,0.17,2.98,1.64,1.01,1.03,0.58,2.68,1.54,-0.23,-1.27
"13","4","        Structures","A760RZ2",5.62,1.11,-3.12,-5.14,2.83,0.96,10.5,-3.59,2.46,2.43,-1.18,13.09,15.6,-8.88,-3.65,-0.72,-1.02,2.12,2.97,3.97,1.75,2.77,1.69,0.65,0.82,-0.11,0.24,0.83,1.64,0.27,-0.05,1.13,0.2,0.71,0.58,0.78,0.75,0.29,0.38,-0.69
"14","5","        Equipment","Y054RZ2",-0.19,0.37,-0.36,0.07,0.93,1.19,-0.39,0.33,0.6,0.29,-0.09,21.05,47.45,24.55,3.88,-8.93,-19.03,-1.15,2.17,2.08,-1.45,9.5,4.15,1.65,-2.34,-1.94,-0.58,0.17,0.13,1.84,-0.38,1.1,0.66,-0.99,-0.27,-0.77,1.03,0.9,-0.81,-0.57
"15","6","        Intellectual property products","Y055RZ2",0.23,0.16,0.25,-0.04,-0.17,0.02,0.07,0.01,0.09,0.07,0.09,1.14,0.46,0.52,0.44,-0.01,-0.14,-0.32,0.39,0.27,0.23,0.12,0.3,0.3,0.37,0.5,1.17,0.9,0.37,0.41,0.6,0.75,0.78,1.29,0.72,0.58,0.9,0.35,0.2,-0.01
"16","7","          Software","Y056RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0.01,0.03,0.01,0.02,0.05,0.03,0.02,0.06
"17","8","          Research and development","Y057RZ2",0.23,0.16,0.25,-0.04,-0.17,0.02,0.07,0.01,0.09,0.07,0.09,1.14,0.46,0.52,0.44,-0.01,-0.14,-0.32,0.39,0.27,0.23,0.12,0.3,0.3,0.37,0.5,1.17,0.9,0.37,0.41,0.59,0.75,0.77,1.25,0.71,0.55,0.85,0.33,0.18,-0.07
"18","9","Federal","A823RZ2",2.09,0.68,0.4,4.96,8.77,0.86,16.05,-4.16,4.19,3,5.42,71.53,134.99,51.12,12.62,-12.42,-65.54,-18.39,3.61,5.22,-2.54,36.41,19.09,5.4,-8.77,-5.48,-0.89,2.49,0.33,1.22,-1.06,2.9,5.31,0.14,-0.21,0.44,6,5.76,0.89,-1.37
"19","10","    Consumption expenditures","A957RZ2",1.03,-0.48,-0.79,2.94,7.49,-2.22,15.84,-3.82,4.25,3.61,2.58,31.42,67.98,33.8,11.8,-2.66,-44.74,-17.02,0.06,2.05,-1.65,24.43,13.18,3.51,-6.05,-3.08,-1.45,1.41,-0.67,-0.95,-1.06,0.83,4.1,0.13,-0.37,0.74,4.18,5.01,1.68,-0.6
"20","11","    Gross investment","A787RZ2",1.05,1.16,1.19,2.02,1.27,3.09,0.22,-0.34,-0.06,-0.61,2.84,40.11,67.01,17.32,0.83,-9.77,-20.8,-1.38,3.55,3.17,-0.89,11.97,5.91,1.9,-2.72,-2.39,0.57,1.08,1,2.17,0.01,2.07,1.21,0.01,0.16,-0.3,1.82,0.75,-0.79,-0.77
"21","12","      Structures","A801RZ2",0.69,0.88,1.19,1.62,0.45,1.91,0.52,-0.36,-0.61,-0.76,2.56,17.61,18.94,-7.8,-3.5,-0.82,-1.57,0.29,1.21,0.88,0.36,2.4,1.52,-0.01,-0.66,-0.97,0.08,0.21,0.51,-0.01,-0.09,0.27,-0.15,-0.13,-0.14,0,0.03,-0.43,-0.12,-0.1
"22","13","      Equipment","Y058RZ2",0.14,0.15,-0.23,0.43,1.01,1.19,-0.35,0.03,0.47,0.09,0.2,21.37,47.59,24.6,3.88,-8.93,-19.09,-1.37,1.96,2.03,-1.47,9.46,4.09,1.61,-2.41,-1.92,-0.68,-0.02,0.13,1.78,-0.48,1.07,0.6,-1.11,-0.4,-0.85,0.93,0.85,-0.85,-0.64
"23","14","      Intellectual property products","Y059RZ2",0.21,0.13,0.24,-0.03,-0.19,-0.02,0.05,0,0.07,0.07,0.09,1.13,0.48,0.53,0.45,-0.01,-0.14,-0.3,0.39,0.26,0.22,0.11,0.3,0.29,0.35,0.5,1.16,0.89,0.36,0.4,0.58,0.73,0.76,1.26,0.7,0.55,0.86,0.33,0.19,-0.04
"24","15","        Software","Y060RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.02,0.01,0.01,0.03,0.02,0.02,0.05
"25","16","        Research and development","Y061RZ2",0.21,0.13,0.24,-0.03,-0.19,-0.02,0.05,0,0.07,0.07,0.09,1.13,0.48,0.53,0.45,-0.01,-0.14,-0.3,0.39,0.26,0.22,0.11,0.3,0.29,0.35,0.5,1.16,0.89,0.36,0.4,0.58,0.73,0.75,1.24,0.69,0.54,0.83,0.3,0.16,-0.09
"26","17","  National defense","A824RZ2",0.73,0.05,-0.04,-0.48,-1.06,1.86,1.82,0.1,0.47,1.1,7.88,74.46,138.31,52.14,12.6,-11.99,-66.62,-20,-0.34,1.88,-0.18,38.36,18.04,3.82,-8.34,-5.01,-0.28,2.49,0,-1.5,-0.42,2.49,3.28,-1.09,-1.47,-0.6,5.51,5.52,0.73,-1.83
"27","18","    Consumption expenditures","A997RZ2",0.33,-0.24,-0.04,-0.71,-1.13,1.98,0.43,-0.17,0.49,1,4.79,35.93,70.88,34.66,11.45,-2.38,-45.95,-18.04,-2.74,-0.24,1.21,26.16,12.12,1.64,-5.84,-2.87,-0.43,1.82,-0.56,-3.59,0.19,0.93,2.85,0.15,-0.66,0.49,4.41,4.29,1.62,-1.24
"28","19","    Gross investment","A788RZ2",0.41,0.29,0,0.23,0.06,-0.12,1.39,0.26,-0.02,0.1,3.09,38.53,67.43,17.48,1.15,-9.62,-20.68,-1.96,2.4,2.12,-1.39,12.2,5.92,2.19,-2.5,-2.14,0.15,0.68,0.57,2.1,-0.61,1.56,0.43,-1.24,-0.81,-1.09,1.1,1.23,-0.89,-0.59
"29","20","      Structures","A808RZ2",0.17,0.18,0,0.01,0.2,-0.11,1.01,0.26,-0.21,-0.18,2.7,17.46,19.45,-7.71,-3.29,-0.78,-1.41,-0.4,0.44,-0.01,0.21,2.63,1.6,0.06,-0.52,-0.67,-0.16,0.05,0.24,-0.08,-0.25,0.12,-0.31,-0.25,-0.26,-0.09,0.04,-0.05,-0.01,0.04
"30","21","      Equipment","Y050RZ2",0.13,0.13,-0.1,0.23,-0.05,-0.01,0.36,0.01,0.16,0.26,0.36,20,47.59,24.74,3.99,-8.85,-19.16,-1.24,1.78,2.07,-1.47,9.4,3.94,1.71,-2.35,-1.88,-0.7,-0.03,0.18,1.77,-0.5,1,0.63,-1.15,-0.5,-0.84,0.88,0.86,-0.78,-0.66
"31","22","      Intellectual property products","Y052RZ2",0.11,-0.02,0.1,-0.01,-0.08,0,0.02,-0.01,0.02,0.03,0.03,1.07,0.39,0.45,0.45,0.02,-0.11,-0.32,0.18,0.06,-0.13,0.17,0.38,0.42,0.37,0.41,1,0.66,0.14,0.4,0.13,0.44,0.12,0.16,-0.06,-0.16,0.19,0.43,-0.1,0.03
"32","23","        Software","Y053RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.01,0,0,0.02,0.01,0.01,0.01
"33","24","        Research and development","Y076RZ2",0.11,-0.02,0.1,-0.01,-0.08,0,0.02,-0.01,0.02,0.03,0.03,1.07,0.39,0.45,0.45,0.02,-0.11,-0.32,0.18,0.06,-0.13,0.17,0.38,0.42,0.37,0.41,1,0.66,0.14,0.4,0.13,0.45,0.11,0.16,-0.06,-0.16,0.17,0.42,-0.1,0.01
