"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"16","8","    Civilian aircraft, engines, and parts","B688RX1",87,76.3,80.1,79.6,65.7,75.7,70,68.1,78.7,75.6,69.5,65.5,66.8,67.9,71.6,63.6,60.2,56.7,58.8,66.1,59.5,55.9,57.8,57.2,62.5,72,64,69,72.7,73.7,72.2,77.9,76.6,76.2,83.6,84.9,81.1,82,82.5,65.1,78.5,75.3,70.9,74.3,69.7,69.4,70.8,70.4,69.9,74.2,76.9,81,87.1,80.6,87.8,89.3,86.8,96,99.1,94.8,91.6,99.2
"17","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Other","B689RX1",191,195.3,206.2,215.8,225.6,239.3,255,251.9,242.1,218.9,199.4,192.8,190.9,198.1,200.1,194.8,195.2,199.1,206.3,222,234.2,240.5,241,242,244.9,250.5,255.6,270.7,279.9,287.8,289,293.7,299,308,317.8,327,337,345.9,345.8,327,279.1,268.1,275.4,293.5,309.2,328,337.2,346.6,348.8,361.1,361.2,367.5,373.9,379.9,379.4,372.3,368.9,374,367.6,374.6,374.8,374.9
"19","11","  Automotive vehicles, engines, and parts","B641RX1",80.2,81.7,82.9,83.9,90.7,86.6,85.3,84.6,79.2,82.5,82.2,80.6,80.4,86.8,86.2,84.3,84.8,87.2,83.1,87.5,89.2,92.6,97,97.8,99.3,99.7,102.8,108.4,110.4,108.9,109.4,112.9,117.3,124.8,126.1,125.5,124.3,127.4,130.7,106.8,68.2,68.1,88.4,102.1,106.1,110.7,112,117.2,126.3,126.7,133.1,134.5,140.8,141.7,139.9,139.4,141.3,146.7,148,147.3,142.2,151.6
"20","12","  Consumer goods, except food and automotive","A642RX1",85.2,85.9,87.6,91.1,94.3,95.5,98.4,96.5,100.1,99.1,92,90.5,89.7,91.8,92.8,92.1,94,95,98.3,101,104.9,110.1,111.2,115.5,118.1,120.8,122.8,126.1,130.6,133,134.7,141.1,145.8,147.6,150.9,152.9,158.9,164.7,167.3,155.2,145.3,145.2,149.3,157.5,161.6,158.4,162.3,170.2,166.1,171.4,171.1,173.6,171.3,174.6,174.6,175.7,176,189,182.8,184.8,189.9,197.2
"21","13","    Durable goods","B690RX1",42.1,43.9,45.1,47.9,49.7,48.9,50.7,49.3,52.3,51.7,47.5,45.7,46.3,47,47.7,46.2,46.2,47.5,49.6,52.2,53,56.4,58.3,60.4,62.4,63.8,66.3,67.5,70.4,73.1,73.7,77.8,80.8,83.4,85.6,89.5,92.9,96.1,94.5,81.4,72.6,71.3,76.4,80.7,83,87.1,90,93.6,94.3,97.3,97.3,98.4,97.9,97,95.8,96.7,98.5,108.6,101.2,107,108.4,112.9
"22","14","    Nondurable goods","B691RX1",43.2,42.2,42.6,43.2,44.6,46.7,47.8,47.3,47.9,47.5,44.5,45,43.6,44.8,45.2,46.1,48,47.6,48.9,48.9,52.1,53.8,53,55.3,55.8,57.1,56.6,58.7,60.3,59.9,61.1,63.4,65,64.2,65.4,63.4,66.1,68.8,72.8,73.8,72.7,73.8,72.8,76.7,78.6,71.5,72.5,76.8,72.1,74.4,74.2,75.6,73.8,77.9,79.1,79.2,77.9,80.9,81.9,78.2,82,84.8
"23","15","  Other \3\","A643RX1",65.2,67.4,61.9,64.3,61.2,60.1,62.3,64.3,59.3,62.7,59.1,57.6,61.3,62.8,66.4,63.1,58,57,58.5,56.4,57.8,60.6,57.2,56.6,61,61.5,65.8,64.8,67.8,62.7,67,68.1,67.3,63.8,63.1,66.4,63.2,62.9,52.6,58,56.6,54,50.6,59.5,55.2,57.7,58.1,51.3,50.5,45.7,46.4,44.5,47.2,47.2,49.2,55.8,51.9,47.2,51.4,56.2,51.3,56
"24","16","Exports of services \1\","A646RX1",331.7,331.7,344.2,346.8,348.3,357.6,354.9,356.7,350.4,345.3,334.4,316.1,341.1,344,347,350.6,341.1,339.6,353.4,369.3,390.1,393.1,391.9,406.6,409.3,404.8,407.9,419.2,427.8,440.4,435.8,470.1,481.2,492,508.9,534.4,525,539.8,523.4,524.9,507.6,518.7,522.5,541.7,534.2,543.6,567.2,587,588,601.2,610.3,603,604.2,609.7,613.2,631.8,630.4,633.6,639.3,642.9,638.4,641.8
"25","17","  Transport","Y800RX1",60.6,59.9,60.4,60.9,60.3,61.3,59.6,59.9,59.6,58,54.1,48.7,55.1,54.9,54.3,56.1,50.9,49.9,50.9,53.4,54.3,55.1,55.3,53,54.9,56,56.4,59.2,59.7,59.7,60.5,61.4,64,63.6,67,68.4,70.7,70,69,65.2,60.9,61.9,62.9,63.1,64.1,66,66.2,67.2,66.6,67.2,69,68,68.2,69,68.3,69.7,71.3,72.7,71.6,73.6,74,74.8
"26","18","  Travel (for all purposes including education)","Y801RX1",131.8,130.7,137,135,137.3,141.2,139,136.8,133.8,125.6,118.5,96.8,112.2,112.6,111,111.5,104,100.6,109.3,112.9,117.3,118.1,117,118.8,115.2,115.1,110.5,109.7,109.1,110,112,114.7,116.9,118.6,121.6,129,132.7,134.5,128.3,125.9,117.4,118.4,121.2,122.6,127.6,130.6,135.2,138.1,136,141.8,139.5,139.6,140.1,145.4,146.6,146.5,151.9,152.7,154.8,156.4,157.6,158.8
"27","19","  Charges for the use of intellectual property n.e.c.","B684RX1",60.1,59.9,61.7,61.5,64.1,64.8,64.8,63.6,60.2,60.5,58.8,61.3,61.3,65.3,67.1,64.4,64.6,65.8,67.6,68.2,74,73.9,75.9,81.4,82.9,81.1,81.2,81.4,85.9,88.9,85.8,93.9,94.7,98.2,103,107.1,103,101.9,102.4,100.3,91.6,96,95.1,110.9,105.2,103.8,104.7,109.8,117.8,117.8,120.9,117.5,117.9,116.3,117.9,122,120.8,121.6,121.4,118.3,119.2,119.9
"28","20","  Other business services \4\","Y802RX1",70.7,71.8,75,78.8,77,79.2,79.6,83.9,85.4,87.8,87.5,91.9,96.8,96,97.7,102.3,103.9,105.1,105.9,114.3,122.2,124.2,121.1,131.7,130.8,126.7,133.3,144.4,145.6,150.6,148.7,170.2,174.2,186.3,189.7,193.5,191.1,203.6,196.9,206.4,209.8,210.7,207.3,215.7,208.2,213.9,231.4,243.8,235,239.4,246.2,244.4,244.2,245.8,247.1,259.3,252.4,252.8,257.1,262.9,256.9,258.4
"29","21","  Government goods and services n.e.c.","Y803RX1",10.6,11.4,12.4,11.3,10.9,12.9,13.7,12.9,10.9,11.5,12.4,10,10.3,9.7,11,9.5,9.3,9.3,12.1,12.8,14.5,13.6,14.2,12.6,16.5,17.1,17.4,15,18,21.9,19.8,20.9,22.5,16.5,18.3,27.9,18.3,20.5,17.2,17,17,20,24.7,17.7,18.1,18.5,19.3,17.7,21.3,23.1,22.6,21.2,22.1,21.5,21.9,23.5,23.1,22.6,23.2,20.2,18.9,18
"30","22","  Other","B980RX1",9.9,9.7,9.8,10.1,10.1,10.1,9.8,9.5,9.3,9.2,9.1,9,8.9,9.1,9.2,9.4,9.3,9.3,9.2,9,9,9.1,9.4,9.5,9.3,9.3,9.3,9.3,9.4,9.3,9.1,9,9.1,8.8,9.3,9,9,9.4,9.5,10.1,11,11.6,11.4,11.6,10.7,10.6,10.5,10.8,11.7,12.2,12.7,12.7,12.3,12,11.7,11.5,11.1,11.3,11.3,11.5,11.6,11.6
"31","23","Residual","A977RX1",-26.6,-23,-21.8,-19,-12.1,-10.2,-6.3,-4.3,-7.9,-12.2,-14.4,-12.1,-17,-15.6,-14.9,-13.4,-12.4,-10.2,-10.5,-8.6,-7.2,-5,-4.7,-5.4,-4.3,-4.9,-2.1,-2.3,-2.4,-2.4,-3.2,-3.3,-3.9,-4,-5.5,-6.1,-3.2,-2.7,-2.5,-0.8,-0.2,0.2,0.1,0.1,0.3,0.6,-0.3,-0.9,-1.1,-3.5,-4.3,-2.1,-6.2,-3.7,-3.7,-5.2,-4.4,-6.2,-1.8,2.6,-4.1,-1.7
"32","24","    Imports of goods and services","A021RX1",1466.9,1509,1565.2,1603.8,1668.1,1719.6,1779,1778.1,1748.5,1696.8,1662.8,1639.8,1686.9,1739.8,1765.6,1802.9,1777.9,1805.9,1829.1,1894.6,1952.7,2033,2053.6,2102,2126.8,2151.2,2156.9,2222,2269.9,2297.6,2315.2,2321.4,2358.7,2369.4,2368.7,2339.3,2361.6,2340.4,2293,2199.5,1986.7,1905.7,1977,2063.4,2116.9,2217.8,2296,2310.7,2328.5,2345.9,2364.9,2391.3,2401.7,2425.5,2422.1,2401,2399.5,2448.8,2452.3,2460.5,2474.1,2539.7
"33","25","Imports of goods \1\","A255RX1",1222.5,1265,1314.2,1346.1,1399.3,1439.4,1488.8,1494.2,1467.1,1410.5,1383.7,1372.4,1398.1,1457.6,1483.8,1504.9,1487.6,1526.8,1530.7,1587,1631,1698.2,1722.4,1765,1787.5,1805.8,1810,1868.3,1900.1,1924.6,1944.9,1931.9,1965.1,1970.7,1968.4,1939.3,1950.1,1932.4,1883.8,1785.1,1594.1,1515.6,1585.1,1666.4,1719.4,1814.2,1880.4,1893,1917.7,1921.3,1931.8,1957.8,1967.2,1986.8,1981.2,1957.2,1959.8,2000.1,2000.8,2005.3,2017.7,2077
"34","26","  Foods, feeds, and beverages","B647RX1",57.5,59.8,60.2,61.1,61.7,62.9,64.5,64.9,64,65.1,68.9,67.6,68.3,69.6,70.7,71.1,73.2,74.5,75.7,77.9,79.4,80.7,79,80.4,80.6,82.1,83.4,84.5,88.2,87.3,87.1,88.5,91.2,89.3,88.6,86.5,89.3,88.2,86.7,87.1,84.3,83,82.4,81.8,84.5,85.4,86,83.2,84.3,85.1,85.5,90.6,88.8,88.3,90,91.1,93.1,94.3,92.4,92.4,94.1,101
"35","27","  Industrial supplies and materials, except petroleum and products","A649RX1",202.8,208.7,214.3,223.1,225.9,225,227.6,225.8,226.6,215.5,215.2,214.5,217.4,222.6,226,232.2,222.9,226.2,230.6,231.7,243.5,261.8,271.9,275.1,279.7,278.4,272.8,289.5,294.8,294.6,295.8,283.9,281.6,289.3,285.3,267.4,269.5,265.5,264.5,240.9,207.6,182.7,191.6,204.7,216,226.9,230.4,227.9,235.5,241.4,241.8,239.8,245.5,244.8,249.1,242.4,248.2,247,251.8,250.9,253,266.7
"36","28","    Durable goods","A820RX1",106.9,108.3,109.2,116.2,118.8,117.4,117,116.7,114.9,109.3,109.5,108.6,114,114.7,117.1,119.8,116.8,115.1,116.3,121.7,126.7,138.1,147.3,151.9,150.8,151.6,145.5,155,168.2,166.1,168.2,157.6,154.2,154.9,149.3,138.6,143.1,139,138.4,126,104.4,89,90.7,97.9,104.1,111.7,112.6,110.5,116.7,120.1,119.9,117.9,127.2,125.8,123.9,123.4,128.6,127.5,128.5,128.5,136.3,144.5
"37","29","    Nondurable goods","B696RX1",95.6,100.1,105,106.7,106.7,107.4,110.4,108.9,111.3,105.8,105.4,105.6,103.1,107.6,108.6,112.2,106.1,110.6,113.7,109.8,116.6,123.7,124.6,123.3,129.1,127,127.1,134.2,127.5,128.9,127.8,126.6,127.7,134.9,136.6,129.3,127,127,126.5,115.3,103.2,93.7,100.8,106.8,111.8,115.1,117.7,117.5,118.6,121.1,121.8,121.8,117.8,118.7,125,118.8,119.3,119.1,122.9,122,116.5,122.1
"38","30","  Petroleum and products","B648RX1",269.8,260.7,261.7,249.6,267.2,264.6,270,278,292.2,277.7,265.1,276.6,263.1,269.2,268.7,284.8,273.1,296.7,299.9,288.5,309.7,301.6,304.2,319.3,313.3,311.4,311.4,323.5,305.2,309,324.8,297,301.4,305.6,299.3,300.4,294.7,285.7,281.3,303.4,294.1,263.9,259.3,253.5,262.1,274.9,278,261.1,271.4,265.5,259.2,259.6,246.6,248.7,241.1,233.6,227.3,230.4,224.1,218.8,227.4,211.8
"39","31","  Capital goods, except automotive","A650RX1",235.9,251.3,263.2,273.3,282,305.6,321.1,321.2,305.3,273.1,257.7,254.1,261.2,269.7,270.4,272.1,273.4,279.9,282.1,300.7,313.5,331,341.8,352.2,355.1,372.4,375.5,387.8,402.8,411.8,420.8,424.2,434.5,440.6,447.1,449.3,459.8,465.8,455.1,419.7,370.4,352.6,371.5,401.8,413,445.8,470.5,486,494.6,510,523.4,536.8,551.5,559.6,552.3,551.1,554.1,559,569.6,577.9,581.4,602.8
"40","32","    Civilian aircraft, engines, and parts","B932RX1",33.2,34.1,37.8,35.4,33.9,35.8,38,42.9,43.2,42.8,42.1,44.2,38.6,33.3,30,35,31,31.6,30,34,27.3,31.4,30.4,34.6,31.8,34.7,29.4,30.5,33.8,32.7,32,35.5,37.8,39.3,38.8,38.5,40.3,40.6,36,33.1,30.6,31.9,29.6,30.6,29.3,29.9,31,31.7,32.5,32.3,32.4,36,32.9,35,36.5,38.5,39.3,40.2,42.2,42.4,44.4,45.8
"41","33","    Computers, peripherals, and parts \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","    Other","B853RX1",175.9,186.1,194.5,205.1,216.5,234.2,243.4,243.4,230.6,199.8,185.7,178.6,182.8,195.3,198.2,196.2,198.5,203.4,205,215.7,230.6,240.7,247.8,251.7,256.1,269.6,273,281.3,288.4,295.5,301.2,301,301,308.8,316.6,317.1,321.7,324.2,321,302.8,259.2,235.9,244,257.7,268.7,294.7,317.6,334.7,343.1,349.4,356.6,368.4,382.4,388.3,387,378.1,381.8,388.1,393,395.8,407,422.9
"43","35","  Automotive vehicles, engines, and parts","B651RX1",187.1,191.8,200.7,204.1,215.3,211.1,212.6,208.7,204,205.9,207.1,202.9,208.7,219.6,225,224.9,220.6,227.2,219.8,233.4,236,242.9,242.5,242.9,242.5,245.1,250.4,262.5,268.1,267.4,261.4,271.6,264.7,267.5,274.8,261.5,262.9,254.8,230.3,193.8,130.3,129.9,174.3,202.3,202.5,224.9,232.7,236.9,247.3,223.2,251,261.8,280.6,280.2,282.6,282.1,275.3,290.9,301,303.4,293.3,316.3
"44","36","  Consumer goods, except food and automotive","A652RX1",235.8,241.9,254.8,265.6,276.8,291.8,299.1,307.5,304.3,300.2,296.9,292.9,304,325.6,337.9,341.7,348,350,356.8,371.5,377.6,399.4,396.5,412.1,425.6,430.6,426.2,432.6,448.4,456.2,466.2,482,496.8,488.4,483.2,491.3,493.5,495.8,492.9,453.8,423.8,419.6,426.7,449.4,455.3,478.1,503.9,504.3,508.5,513.1,504.7,503.3,494.3,502,507.3,508.2,508,518.3,520.6,527.3,522.9,543.8
"45","37","    Durable goods","B697RX1",115.5,122.7,129,133.8,143.5,148.7,151.8,157.4,153,148.2,147.7,147.3,155,168.3,172,171.3,171,173.9,181.9,192.2,195.2,208.5,208.9,220,226.4,228,233.6,234.9,243.9,243.4,249.8,261.9,267.8,262.2,265.8,272.1,268.8,271.4,271.8,242.9,221,221.8,223,234.3,242.2,257.9,275.5,274.6,276.1,273.4,269.1,271.8,267.6,274,278,284,281,293,294.4,300.2,292.1,307.8
"46","38","    Nondurable goods","B698RX1",120.9,119.5,126.2,132.3,133.4,143.3,147.6,150.4,151.8,152.7,149.8,146.1,149.4,157.6,166.2,171,177.8,176.9,175.3,179.6,182.7,191.2,187.7,192.1,199.4,202.6,192.5,197.6,204.5,213,216.4,220.1,229,226.2,217.3,219,224.6,224.2,221,210.8,202.8,197.8,203.6,215.1,213.1,220.3,228.6,229.9,232.6,239.7,235.5,231.6,226.8,228.2,229.6,224.9,227.5,226.3,227.2,228.2,231.4,237.1
"47","39","  Other","A653RX1",79.9,82,83.4,81.8,87.2,85,98.4,95.4,90,95,94.4,94.5,93.6,96.1,97.7,98.1,90,93.3,88.3,93.6,87.5,89.2,94.7,93,99,91.2,95.8,92.6,97.1,102.7,91.2,89.2,101.3,95.4,96.2,87.5,87.3,88.4,82.3,79.9,82.4,82,79,76.6,88.5,81.6,85.3,106.7,87.2,98.3,88.1,90.2,94.7,98.7,97.4,90.4,99.2,108.1,94,92.2,98.3,101.2
"48","40","Imports of services \1\","B656RX1",241.1,240.3,247,253.4,264.5,276,286,279.1,276.8,282.7,275.5,263.5,285,278.1,277.5,293.8,286.2,275,294,303.1,317.1,330.1,326.4,332.1,334.2,340.3,341.7,348.2,364.7,367.7,364.7,384.8,388.7,394,395.7,395.6,407.8,404.2,406.8,414.2,392.6,390,391.9,396.9,397.2,402.7,414.6,416.6,408.7,423.5,432.4,432.4,433.2,437.5,440.1,443.8,439.2,448.2,451.2,455.1,456.3,461.9
"49","41","  Transport","Y804RX1",67.4,64.7,66.4,67.6,69.7,71.7,75.1,71.8,70.1,69.2,64.6,60,61,63.7,63.3,66.7,66.6,63.8,65.6,66,71.5,73,74,75,78.8,76.8,75.2,77.5,76.7,79.4,80.7,81.4,78.8,82.2,82.2,80,80.8,78.6,76.7,74.4,65.3,63,64.2,64,66.1,68.5,70.7,67.9,69.9,69.6,70.8,71.7,72.4,72.5,72.5,72.7,75.8,76.5,77.2,77.8,76.1,78.2
"50","42","  Travel (for all purposes including education)","Y805RX1",85.2,83.4,85.5,88.3,92.3,99.1,100.1,95,93.5,96.6,91.7,77.4,90.7,85.7,78.4,87.1,81.5,73,86.3,84.7,90,97.3,92.3,88,94.3,95.3,92.7,92.8,93.9,93.9,92.4,95.4,95.4,91.8,90.8,89.8,93.9,88.6,87.6,87.9,82.8,78.2,82.9,81.8,83.7,84.6,85.6,85.3,81.6,86.1,85.7,88.4,94,95.7,95.8,96.2,96.4,97.7,98,99.8,100.3,104.2
"51","43","  Charges for the use of intellectual property n.e.c.","B908RX1",16.2,16.7,17,17.8,19,19.3,23.1,21.1,20.3,19.9,20,20.9,23.8,23,24.2,22.5,21.4,22,23.3,23.6,24.6,25.8,29,28.4,26.7,28.3,29.5,27.7,26.7,24.9,24.2,30.4,27.2,27.1,26.9,27.9,29.1,28.3,31.9,29,30.4,30.9,30.6,33.3,33.7,29.8,31.6,33.2,33.8,32.6,35.5,36.7,35.6,37,37.6,39.1,37.5,36.4,35.2,36.6,39.9,38
"52","44","  Other business services \4\","Y806RX1",49.6,51,53.2,55.1,57.9,59.6,60.5,63.4,64.8,68.1,69.1,69.8,73.5,70.5,74.1,79.1,78.7,78.4,79.7,87.2,91,93.2,91.3,100.7,95.7,100,104.8,110.4,126.4,130.8,129.3,139.6,148.9,154.7,159.1,162.5,169.4,175.7,177.3,185.3,175.6,179.9,177.2,181.2,176.3,181,186.7,192.9,186.3,200,205.2,200.1,196.2,197.9,200.1,203.7,198.2,206.2,210.6,211.8,211.7,213.5
"53","45","  Government goods and services n.e.c.","Y807RX1",23.8,24.8,25,24.3,25.5,26.9,28,26.5,25.9,26.8,27.2,31.4,33.5,32.6,33.1,34.4,33.2,31.9,35,36.5,34.3,35.4,33.8,32.9,32.4,33.7,33.3,33.2,34.3,31.4,30.6,30.1,30.4,30,28.7,27.6,27,26.1,26.8,31.4,32.4,31.9,30.8,30.6,31.4,32.9,34,31.8,31.3,29.9,30,29.8,29.1,28.5,28.3,26.3,24.8,25.2,24.4,23.4,22.6,22.2
